node count,replica count,result
8,235,70309.03
8,623,146957.89
8,454,110512.52
8,476,39655.47
8,687,166547.84
8,796,350478.44
8,229,60212.26
8,292,107744.61
8,329,55898.35
8,375,0.00
8,672,237127.40
8,260,39796.55
8,471,134742.15
8,463,118988.01
8,155,67629.39
8,365,104614.80
8,529,104587.58
8,99,9645.35
8,156,31268.72
8,668,81866.55
8,1321,180067.19
8,62,1697.11
8,897,108314.02
8,161,16907.18
8,137,49854.32
8,108,76092.40
8,340,19573.82
8,47,9533.07
8,389,95822.48
8,152,36196.87
8,1409,346489.01
8,1073,30386.87
8,270,19513.60
8,468,120941.66
8,276,72710.86
8,258,104566.15
8,81,10928.11
8,1379,249292.76
8,1376,492085.92
8,1381,73811.59
8,115,17402.22
8,74,39630.06
8,166,46095.10
8,694,61799.48
8,143,29395.71
8,200,4559.16
8,65,30417.39
8,829,233704.00
8,736,22717.49
8,1539,351357.63
8,177,29353.32
8,136,48795.99
8,339,10358.78
8,257,20435.55
8,460,148404.79
8,368,79194.43
8,330,50147.48
8,238,55989.80
8,174,68775.47
8,150,48168.62
8,293,59445.65
8,210,40308.41
8,152,52640.25
8,574,85793.58
8,318,55530.36
8,150,33040.02
8,367,41652.97
8,136,13218.82
8,188,53564.15
8,296,131624.89
8,333,92806.53
8,256,51256.07
8,295,156757.10
8,482,44154.07
8,342,91869.51
8,541,158665.35
8,107,49896.22
8,795,146465.99
8,318,26946.72
8,631,184418.73
8,239,13909.61
8,809,173177.90
8,1031,125677.28
8,679,17625.32
8,544,27979.89
8,214,59214.83
8,1183,291043.05
8,99,36773.02
8,248,10428.92
8,757,150868.31
8,113,4850.54
8,311,90299.98
8,425,10143.87
8,438,87173.84
8,381,134418.22
8,296,18408.06
8,133,28559.65
8,920,121316.29
8,105,17524.46
8,387,68443.16
