node count,replica count,result
8,235,54111.02
8,623,208336.46
8,454,662268.88
8,476,345007.17
8,687,631787.17
8,796,647581.04
8,229,52135.19
8,292,107365.40
8,329,94658.37
8,375,234989.95
8,672,553119.14
8,260,169544.62
8,471,288921.07
8,463,535837.89
8,155,26973.57
8,365,398188.29
8,529,215830.73
8,99,39089.96
8,156,111554.43
8,668,565116.14
8,1321,1087126.48
8,62,40222.74
8,897,729012.42
8,161,90694.80
8,137,28501.87
8,108,33269.36
8,340,76850.24
8,47,20346.57
8,389,363823.47
8,152,76946.78
8,1409,1928839.73
8,1073,582198.80
8,270,129442.33
8,468,363788.93
8,276,99929.24
8,258,116630.90
8,81,30873.72
8,1379,1275287.01
8,1376,2226346.70
8,1381,646924.12
8,115,46218.80
8,74,16018.47
8,166,39951.18
8,694,417593.09
8,143,138929.29
8,200,67649.71
8,65,86340.02
8,829,1077140.72
8,736,405477.87
8,1539,1806889.61
8,177,119860.22
8,136,76334.30
8,339,126210.55
8,257,70643.21
8,460,517078.15
8,368,191759.28
8,330,185946.62
8,238,101416.45
8,174,39541.52
8,150,41922.03
8,293,215777.14
8,210,163291.36
8,152,109186.34
8,574,255545.16
8,318,308260.17
8,150,147801.63
8,367,241651.48
8,136,95447.20
8,188,133482.66
8,296,192777.93
8,333,108020.08
8,256,107661.04
8,295,255391.03
8,482,318227.78
8,342,119738.14
8,541,694248.92
8,107,17980.69
8,795,513234.17
8,318,203140.33
8,631,272549.37
8,239,88341.14
8,809,818716.70
8,1031,820321.19
8,679,380500.36
8,544,302756.16
8,214,56640.87
8,1183,853349.51
8,99,34931.97
8,248,160020.64
8,757,535237.13
8,113,45798.79
8,311,131270.65
8,425,226454.77
8,438,296850.27
8,381,444028.29
8,296,100367.05
8,133,39544.82
8,920,342148.53
8,105,22432.90
8,387,359789.60
