podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
900,0.5,4,4,0.1,0.1,61317,0.423,61893,0.421,56779,0.456
900,0.5,4,4,0.1,0.1,54457,0.453,54731,0.454,48690,0.502
900,0.5,4,4,0.1,0.1,62625,0.412,63360,0.411,58393,0.443
900,0.5,4,4,0.1,0.1,52003,0.555,53959,0.560,48339,0.613
900,0.5,4,4,0.1,0.1,28238,0.616,28181,0.617,26362,0.662
900,0.5,4,4,0.1,0.1,47322,0.413,46710,0.417,41919,0.458
900,0.5,4,4,0.1,0.1,51966,0.421,51881,0.423,45271,0.463
900,0.5,4,4,0.1,0.1,29655,0.751,29615,0.753,27276,0.810
900,0.5,4,4,0.1,0.1,57927,0.437,56560,0.434,50969,0.470
900,0.5,4,4,0.1,0.1,27909,0.674,28595,0.678,26003,0.742
900,0.5,4,4,0.1,0.5,57165,0.426,55230,0.420,53060,0.449
900,0.5,4,4,0.1,0.5,48774,0.452,49580,0.454,44578,0.491
900,0.5,4,4,0.1,0.5,59496,0.415,59145,0.413,52612,0.469
900,0.5,4,4,0.1,0.5,47890,0.558,47308,0.557,44189,0.593
900,0.5,4,4,0.1,0.5,25620,0.607,25605,0.609,23180,0.649
900,0.5,4,4,0.1,0.5,40511,0.413,41105,0.418,36929,0.448
900,0.5,4,4,0.1,0.5,45534,0.421,44877,0.420,40372,0.450
900,0.5,4,4,0.1,0.5,27126,0.745,27719,0.741,24909,0.815
900,0.5,4,4,0.1,0.5,51001,0.437,50525,0.440,45760,0.473
900,0.5,4,4,0.1,0.5,25236,0.678,25337,0.672,22366,0.765
900,0.5,4,4,0.1,1.0,53345,0.422,51894,0.421,46380,0.465
900,0.5,4,4,0.1,1.0,43770,0.453,45219,0.457,39716,0.482
900,0.5,4,4,0.1,1.0,54211,0.418,55266,0.417,48773,0.463
900,0.5,4,4,0.1,1.0,41918,0.560,42167,0.560,37880,0.608
900,0.5,4,4,0.1,1.0,22920,0.599,22664,0.610,21158,0.657
900,0.5,4,4,0.1,1.0,34808,0.409,34609,0.411,30714,0.466
900,0.5,4,4,0.1,1.0,40891,0.422,41263,0.421,35054,0.457
900,0.5,4,4,0.1,1.0,24750,0.740,24572,0.755,23079,0.782
900,0.5,4,4,0.1,1.0,45472,0.439,45873,0.440,41720,0.461
900,0.5,4,4,0.1,1.0,22027,0.659,22550,0.670,21112,0.726
900,0.5,4,4,0.1,2.0,45509,0.423,45795,0.427,43305,0.446
900,0.5,4,4,0.1,2.0,35977,0.456,36039,0.454,32708,0.478
900,0.5,4,4,0.1,2.0,47696,0.420,48870,0.422,44967,0.446
900,0.5,4,4,0.1,2.0,33728,0.562,33978,0.564,31156,0.577
900,0.5,4,4,0.1,2.0,19285,0.586,19309,0.584,16913,0.657
900,0.5,4,4,0.1,2.0,27870,0.403,27196,0.399,25434,0.425
900,0.5,4,4,0.1,2.0,33816,0.424,33474,0.423,29055,0.455
900,0.5,4,4,0.1,2.0,20944,0.733,20557,0.733,18509,0.823
900,0.5,4,4,0.1,2.0,37938,0.441,38040,0.442,32926,0.484
900,0.5,4,4,0.1,2.0,18668,0.663,18218,0.662,16874,0.742
900,0.5,4,4,0.5,0.1,92388,0.278,91367,0.280,85604,0.299
900,0.5,4,4,0.5,0.1,86279,0.285,87218,0.283,80702,0.305
900,0.5,4,4,0.5,0.1,87569,0.299,88573,0.294,80874,0.322
900,0.5,4,4,0.5,0.1,80171,0.375,80774,0.373,75298,0.397
900,0.5,4,4,0.5,0.1,49232,0.353,49001,0.355,44456,0.393
900,0.5,4,4,0.5,0.1,78443,0.249,78305,0.255,71319,0.270
900,0.5,4,4,0.5,0.1,78393,0.279,76497,0.277,70072,0.301
900,0.5,4,4,0.5,0.1,50081,0.446,50364,0.445,46519,0.492
900,0.5,4,4,0.5,0.1,80965,0.310,79435,0.308,72154,0.333
900,0.5,4,4,0.5,0.1,47029,0.407,47787,0.406,43570,0.440
900,0.5,4,4,0.5,0.5,87460,0.280,86263,0.285,79287,0.301
900,0.5,4,4,0.5,0.5,78045,0.283,78221,0.286,72426,0.303
900,0.5,4,4,0.5,0.5,79576,0.305,81402,0.301,74695,0.327
900,0.5,4,4,0.5,0.5,72594,0.368,73370,0.367,68775,0.391
900,0.5,4,4,0.5,0.5,46485,0.336,45754,0.338,40224,0.380
900,0.5,4,4,0.5,0.5,69566,0.241,67924,0.246,62668,0.265
900,0.5,4,4,0.5,0.5,68732,0.278,69731,0.273,62468,0.294
900,0.5,4,4,0.5,0.5,45738,0.445,45632,0.456,41978,0.485
900,0.5,4,4,0.5,0.5,71049,0.312,71171,0.312,64064,0.339
900,0.5,4,4,0.5,0.5,43329,0.397,42384,0.402,39248,0.436
900,0.5,4,4,0.5,1.0,81085,0.278,78645,0.282,71531,0.302
900,0.5,4,4,0.5,1.0,69720,0.280,69719,0.289,64072,0.305
900,0.5,4,4,0.5,1.0,73025,0.310,75231,0.307,65361,0.341
900,0.5,4,4,0.5,1.0,62261,0.375,62704,0.374,57222,0.406
900,0.5,4,4,0.5,1.0,42123,0.330,41902,0.328,37559,0.363
900,0.5,4,4,0.5,1.0,59148,0.240,59007,0.240,56430,0.251
900,0.5,4,4,0.5,1.0,61783,0.277,61205,0.277,53330,0.293
900,0.5,4,4,0.5,1.0,42391,0.431,42984,0.425,38050,0.480
900,0.5,4,4,0.5,1.0,61129,0.326,63374,0.318,58039,0.346
900,0.5,4,4,0.5,1.0,37525,0.404,38502,0.393,35846,0.423
900,0.5,4,4,0.5,2.0,68202,0.283,68384,0.283,61669,0.305
900,0.5,4,4,0.5,2.0,57348,0.280,58177,0.285,52994,0.297
900,0.5,4,4,0.5,2.0,64626,0.318,63944,0.321,59685,0.342
900,0.5,4,4,0.5,2.0,50792,0.375,50486,0.377,48390,0.388
900,0.5,4,4,0.5,2.0,34840,0.320,36079,0.311,30714,0.346
900,0.5,4,4,0.5,2.0,50126,0.220,46625,0.233,43988,0.246
900,0.5,4,4,0.5,2.0,50428,0.279,50967,0.274,45515,0.294
900,0.5,4,4,0.5,2.0,36364,0.424,36464,0.419,33093,0.472
900,0.5,4,4,0.5,2.0,50908,0.326,51204,0.328,45693,0.349
900,0.5,4,4,0.5,2.0,32924,0.374,33517,0.384,29809,0.417
900,0.5,4,4,1.0,0.1,134959,0.195,133027,0.196,118249,0.217
900,0.5,4,4,1.0,0.1,128982,0.198,130476,0.192,120320,0.204
900,0.5,4,4,1.0,0.1,117312,0.221,118738,0.220,105706,0.249
900,0.5,4,4,1.0,0.1,113564,0.254,112780,0.263,108179,0.271
