podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.5,0.4,4,4,0.5,0.1,694706,0.800,639661,0.800,621186,0.800
100,0.5,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.1,629034,0.800,610089,0.800,624504,0.800
100,0.5,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.1,591574,0.457,610805,0.457,549647,0.457
100,0.5,0.4,4,4,0.5,0.1,524293,0.800,505514,0.800,512351,0.800
100,0.5,0.4,4,4,0.5,0.1,499699,0.533,511693,0.533,474804,0.533
100,0.5,0.4,4,4,0.5,0.1,323206,0.776,336584,0.767,304681,0.812
100,0.5,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.1,541433,0.457,604761,0.457,610175,0.457
100,0.5,0.4,4,4,0.5,0.5,586923,0.800,610139,0.800,558020,0.800
100,0.5,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.5,571428,0.800,599161,0.800,554628,0.800
100,0.5,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.5,543141,0.457,555308,0.457,544078,0.457
100,0.5,0.4,4,4,0.5,0.5,434722,0.800,442358,0.800,430172,0.800
100,0.5,0.4,4,4,0.5,0.5,434615,0.533,445984,0.533,406783,0.533
100,0.5,0.4,4,4,0.5,0.5,290493,0.774,303671,0.765,239107,0.825
100,0.5,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,0.5,560681,0.457,604096,0.457,550501,0.457
100,0.5,0.4,4,4,0.5,1.0,534916,0.800,554756,0.800,500898,0.800
100,0.5,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,1.0,559948,0.800,541421,0.800,542147,0.800
100,0.5,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,1.0,492741,0.457,507811,0.457,464551,0.457
100,0.5,0.4,4,4,0.5,1.0,371788,0.800,379565,0.800,394741,0.800
100,0.5,0.4,4,4,0.5,1.0,368761,0.533,381988,0.533,350677,0.640
100,0.5,0.4,4,4,0.5,1.0,257137,0.781,272971,0.773,241052,0.797
100,0.5,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,1.0,493996,0.457,544401,0.457,494952,0.457
100,0.5,0.4,4,4,0.5,2.0,242225,0.700,486145,0.800,417494,0.800
100,0.5,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,2.0,474975,0.800,524925,0.800,463775,0.800
100,0.5,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,2.0,393184,0.457,428130,0.457,389571,0.457
100,0.5,0.4,4,4,0.5,2.0,310003,0.800,302783,0.800,264901,0.800
100,0.5,0.4,4,4,0.5,2.0,286700,0.533,300536,0.533,259598,0.533
100,0.5,0.4,4,4,0.5,2.0,219609,0.744,222136,0.769,181358,0.785
100,0.5,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,0.5,2.0,443869,0.457,475793,0.457,414892,0.457
100,0.5,0.4,4,4,1.0,0.1,642451,0.800,657935,0.800,618520,0.800
100,0.5,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.1,669304,0.800,658542,0.800,657279,0.800
100,0.5,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.1,597040,0.457,610805,0.457,609962,0.457
100,0.5,0.4,4,4,1.0,0.1,498119,0.800,505514,0.800,527035,0.800
100,0.5,0.4,4,4,1.0,0.1,484626,0.533,511693,0.533,425718,0.533
100,0.5,0.4,4,4,1.0,0.1,314590,0.800,336584,0.767,325997,0.787
100,0.5,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.1,587095,0.457,595842,0.457,612000,0.457
100,0.5,0.4,4,4,1.0,0.5,562233,0.800,568759,0.800,562672,0.800
100,0.5,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.5,624847,0.800,659634,0.800,641488,0.800
100,0.5,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.5,543141,0.457,554892,0.457,556646,0.457
100,0.5,0.4,4,4,1.0,0.5,453596,0.800,445979,0.800,437357,0.800
100,0.5,0.4,4,4,1.0,0.5,434615,0.533,416622,0.533,406783,0.533
100,0.5,0.4,4,4,1.0,0.5,290493,0.774,303671,0.765,276145,0.736
100,0.5,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,0.5,575344,0.457,579990,0.457,542150,0.457
100,0.5,0.4,4,4,1.0,1.0,553929,0.800,561771,0.800,507840,0.800
100,0.5,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
