MPEFT,IPPTS,Custom
5320671.37,3768401.77,177296.00
1121612.04,1130771.51,117975.92
766304.79,943563.58,27055.36
549885.93,678146.13,71866.43
1326023.30,3678576.45,146548.96
5090711.48,8999038.72,114324.06
505302.90,545503.99,44636.73
8194523.35,5608962.79,132931.40
1474903.21,492068.08,98778.56
616233.23,922625.25,137622.11
4871992.73,4456954.53,41262.00
1043250.31,1071240.96,193980.46
3264627.18,4558163.15,110142.51
1015306.72,648393.52,68637.06
176205.48,293295.09,35984.97
3668365.21,2760262.03,83926.97
1036623.73,687007.50,34739.75
563837.91,214387.20,11735.56
467336.67,611090.99,53539.23
11527906.06,10354693.71,144750.34
2996699.01,2596475.09,73506.03
4161225.57,4897244.65,46324.95
91535.34,99017.37,7517.24
35016.21,36192.38,97106.22
16973749.59,23950081.68,114167.13
6419035.87,4618409.52,101991.88
3765459.54,5973723.45,16065.79
26481.75,69309.96,85761.42
21347.38,72364.54,36514.57
1637315.23,2152125.27,66728.44
80311.16,103646.78,89257.97
5931332.56,10737331.90,112307.05
16327037.05,12263528.29,147505.98
6463381.51,13491560.62,299753.61
2638048.53,4591267.94,90323.90
8072440.28,8425181.84,255206.51
3607336.25,4073650.43,70872.00
105104.09,16032.71,19634.93
6480182.94,3314846.51,16897.16
1922571.14,2032619.93,6334.49
4892320.72,5784094.56,205353.78
9126454.00,3926028.49,260563.85
1029974.58,786600.88,60393.63
19204.45,10677.24,3446.13
673964.54,673658.66,24480.32
3972675.82,2742852.86,75484.50
113821.63,302673.17,48950.18
1059472.38,1064219.58,188892.18
5048773.15,4454293.75,524557.98
1105043.42,1888737.68,174400.83
95119.26,166325.03,12126.67
3372262.74,3322683.48,160394.76
28165111.92,21544848.19,309974.94
6412714.92,7995555.69,195690.35
926981.15,1154555.26,108675.83
10020760.97,8608953.72,70478.66
843314.43,1219605.43,31031.10
397438.46,466852.06,19104.18
544991.51,933192.32,90157.74
951145.20,1256098.36,78177.13
806133.30,780254.11,49714.17
3481144.42,2650439.32,172706.73
36593.97,60121.70,60802.90
2617579.47,3937617.34,176198.19
4377719.60,2821545.06,181617.34
889708.92,826148.75,16138.28
5328133.82,4163064.05,114730.87
701969.70,737717.68,13409.70
604806.36,1152181.82,20566.85
4632858.63,3951735.99,196651.04
328027.30,743151.44,31342.40
509208.60,474136.56,103558.85
170997.32,350287.91,10743.07
302544.80,800666.87,12358.59
1617224.88,4195944.66,21811.87
162892.05,216361.36,113244.52
7922211.41,7755802.02,73119.86
800086.59,398597.67,71146.19
6180.50,4512.38,8398.26
1706514.61,1499107.92,18726.75
2206300.39,2446654.90,215359.10
12868.07,10678.93,69431.03
1156308.13,1207424.09,60899.97
131154.50,61299.57,40809.58
3426629.46,2297154.50,65952.88
6701484.10,4233848.42,27084.93
436643.27,808331.30,27790.32
14506.05,7256.86,15287.24
824923.41,616328.43,38672.63
205254.61,204186.34,91193.11
7027375.12,6657408.21,119195.33
2477771.60,2957593.83,59534.05
640498.70,726323.82,78460.86
420532.61,268263.27,15223.45
1360136.14,1669276.21,202249.16
882089.65,486193.62,51538.53
7301240.45,10789136.59,99371.80
1468490.88,2001199.88,48014.07
4644826.93,3642169.07,82784.19
6240066.51,7452870.86,280350.78
9432788.86,15275350.84,96770.13
418444.63,237478.75,46091.68
543082.03,870985.24,132894.83
965447.54,2245885.34,62974.71
392006.14,333003.03,59358.58
7126892.31,11985079.49,216297.25
702659.16,715515.54,20980.20
2563933.68,4640070.47,604787.50
3952330.43,2007042.60,27302.83
12355567.08,8467016.82,94526.64
1658625.22,3271444.90,106270.85
565023.86,636920.17,50939.31
5301281.11,6201452.08,91346.67
15514.06,14445.71,15327.47
1285580.54,911723.33,35620.64
637856.84,509004.18,68226.99
228819.17,270590.22,153809.87
41016.57,43301.72,84797.22
2521244.08,2182394.86,27584.74
4173043.33,11824138.33,94092.38
10266.14,10274.72,37174.31
72972.54,183654.94,29494.46
495903.60,529560.71,54479.42
12081.04,13468.77,12749.82
1202251.81,1526527.31,130219.80
2090506.80,1961633.48,62538.04
2294180.39,5233337.50,65329.86
4487155.15,6707618.59,254069.25
29857.41,75566.40,86654.72
149852.94,119808.85,176474.43
5771878.70,7188667.37,171804.98
257732.55,251440.41,76096.05
412825.74,387696.44,147672.23
4162620.08,5435106.19,201211.54
12610.58,10935.35,63547.15
9048955.94,8584118.26,166064.79
4249604.70,3687838.81,149478.09
8585581.11,5847452.52,220711.71
19062368.44,14516497.65,407602.82
438200.91,573326.35,67218.82
78878.06,231893.02,19933.19
1029683.97,1077240.10,43392.32
218826.33,223479.61,34268.46
1898311.04,1469539.95,58669.75
502601.37,619999.14,114651.60
1959496.85,874912.70,12684.75
1009680.34,939904.77,51605.63
3251399.36,2984455.63,121660.46
8776362.28,2065708.06,112969.46
4140488.43,7200520.85,163613.48
3699590.30,3987086.88,160498.76
74469.80,70013.27,52701.51
1483415.41,1027436.07,76546.78
21389819.42,10955034.78,139498.95
717429.83,1000577.85,144363.92
1164933.78,696666.36,21502.76
1702221.82,935322.34,51869.88
489767.91,663185.23,98875.17
3845606.03,3355515.01,58702.30
895076.43,1122941.78,553499.30
2668133.32,4763008.90,108194.32
2362721.42,2406544.53,32899.91
373775.94,547627.95,64504.42
75018.50,16222.69,18000.59
243147.91,236320.70,84609.01
649787.83,372911.85,21319.44
2005760.82,1664718.26,134472.28
602267.70,789433.28,104298.99
1422887.43,508546.60,158339.93
3502475.18,4539931.48,157344.20
4575283.25,7066727.90,109656.99
1548871.50,3079800.18,228510.73
17017226.39,18033000.33,187193.10
3656201.73,727523.69,64464.70
2062875.24,1613787.82,200346.38
14038.22,12819.36,27121.20
2771791.12,4056380.94,161548.61
3312659.60,2326762.23,73403.61
2264428.04,3134491.42,79828.52
6323148.82,9736853.82,212329.33
2111780.75,1983523.24,68822.33
10323550.40,10056167.73,628996.17
7480693.57,6903822.18,132485.17
4444279.29,4227986.05,180354.31
5647760.75,10853931.40,62919.05
1126839.95,3238567.63,391943.84
2226742.48,2417199.64,46349.94
19800266.93,14755286.18,469574.01
192872.22,630976.46,153189.59
722992.31,782755.63,103388.90
1527791.83,1091496.27,36631.33
4986230.81,4709887.14,197561.77
115152.22,71380.55,38988.68
77429.45,229262.48,105510.13
146850.20,246513.88,160131.40
17371934.09,23589850.82,919640.15
1571903.44,526698.70,87172.52
762614.55,602459.80,91546.69
16412.87,12757.24,51994.43
126046.82,153172.86,46050.78
7639222.21,11840428.57,205132.35
6920822.69,9479377.40,212456.59
192787.70,290452.62,100145.99
452335.55,324271.11,9979.77
9902896.10,13812104.97,448211.88
1092703.85,661369.06,75637.35
66913.37,90585.15,77506.91
229001.03,118735.92,58809.93
13442301.16,16551512.72,646207.18
26952505.93,19073706.33,900561.76
8902201.78,13051275.01,361654.69
9711836.36,11520363.84,46208.90
4721414.25,5356124.35,100542.66
12835117.98,10773880.55,122852.60
3317308.87,2456089.53,196759.86
65270.47,142529.03,109831.86
1938263.73,2693951.99,114437.50
4159643.45,2587118.81,81691.68
1358647.18,1513187.72,17715.59
645215.53,1180009.68,54931.18
148570.02,205920.01,46545.58
1470195.87,2428168.46,527740.66
1750702.07,2170234.13,134415.30
4752715.10,3439039.47,105605.89
4233202.47,6017503.68,222165.05
9775121.13,9350520.25,510810.32
42340.89,31044.16,47047.34
319338.69,329407.63,55355.86
360794.97,485037.93,244119.60
11186788.29,12955904.81,139285.80
6049754.01,5274184.36,36833.92
612455.53,935964.80,37395.06
535919.94,761686.69,133592.29
7112560.14,4560985.24,90298.90
548030.31,1645237.65,35687.13
4398844.00,6336231.81,128749.08
7597917.70,5978655.47,142324.70
5266635.34,3388652.06,12441.73
5419493.41,9370075.62,32169.84
3853434.06,5516932.15,80480.95
2497363.21,1989086.00,37851.61
629192.85,439170.39,12673.35
791887.86,885825.09,13813.18
1691912.68,1605936.86,99614.68
