podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
700,0.2,0.6,4,16,10.0,0.05,0.5,2849438,0.118,2853488,0.118,354082,0.649
700,0.2,0.6,4,16,10.0,0.05,0.5,2317150,0.160,2291240,0.162,392109,0.649
700,0.2,0.6,4,16,10.0,0.05,0.5,2846873,0.131,3121786,0.120,439842,0.580
700,0.2,0.6,4,16,10.0,0.05,0.5,2283468,0.191,2458360,0.177,303989,0.704
700,0.2,0.6,4,16,10.0,0.05,0.5,2923588,0.128,3097067,0.120,514232,0.549
700,0.2,0.6,4,16,10.0,0.05,0.5,2185620,0.156,2262199,0.151,427233,0.501
700,0.2,0.6,4,16,10.0,0.05,0.5,2502717,0.136,2937459,0.116,398366,0.489
700,0.2,0.6,4,16,10.0,0.05,0.5,2972594,0.138,3408588,0.120,473196,0.595
700,0.2,0.6,4,16,10.0,0.05,0.5,2512062,0.149,2740848,0.137,393952,0.571
700,0.2,0.6,4,16,10.0,0.05,0.5,2837760,0.117,3385383,0.098,390053,0.548
700,0.2,0.6,4,16,10.0,0.05,1.0,2364132,0.146,2522478,0.136,332805,0.672
700,0.2,0.6,4,16,10.0,0.05,1.0,2339472,0.159,2596844,0.143,368315,0.638
700,0.2,0.6,4,16,10.0,0.05,1.0,3443702,0.108,3537422,0.105,429819,0.558
700,0.2,0.6,4,16,10.0,0.05,1.0,2038764,0.214,2175023,0.200,248537,0.715
700,0.2,0.6,4,16,10.0,0.05,1.0,2844212,0.131,2946908,0.127,464039,0.551
700,0.2,0.6,4,16,10.0,0.05,1.0,2321510,0.147,2364933,0.144,374836,0.512
700,0.2,0.6,4,16,10.0,0.05,1.0,2709723,0.126,3363454,0.101,304926,0.543
700,0.2,0.6,4,16,10.0,0.05,1.0,3034634,0.135,2943106,0.139,439465,0.561
700,0.2,0.6,4,16,10.0,0.05,1.0,2755741,0.136,2737651,0.137,344535,0.573
700,0.2,0.6,4,16,10.0,0.05,1.0,3483343,0.096,3621266,0.092,339749,0.546
700,0.2,0.6,4,16,10.0,0.05,2.0,1971032,0.175,2144537,0.160,298710,0.655
700,0.2,0.6,4,16,10.0,0.05,2.0,2466320,0.150,2698446,0.137,311370,0.619
700,0.2,0.6,4,16,10.0,0.05,2.0,3336625,0.112,3274686,0.114,398745,0.544
700,0.2,0.6,4,16,10.0,0.05,2.0,2043170,0.213,2390437,0.182,215850,0.647
700,0.2,0.6,4,16,10.0,0.05,2.0,3414369,0.109,3320313,0.112,446954,0.509
700,0.2,0.6,4,16,10.0,0.05,2.0,2576889,0.132,2506646,0.136,321621,0.551
700,0.2,0.6,4,16,10.0,0.05,2.0,2588572,0.132,3569316,0.095,248634,0.571
700,0.2,0.6,4,16,10.0,0.05,2.0,2780173,0.148,3486578,0.118,396101,0.575
700,0.2,0.6,4,16,10.0,0.05,2.0,2202746,0.170,2268193,0.165,304164,0.556
700,0.2,0.6,4,16,10.0,0.05,2.0,3422844,0.097,4576155,0.073,293899,0.537
700,0.2,0.6,4,16,10.0,0.10,0.1,2007254,0.171,2452823,0.140,416459,0.623
700,0.2,0.6,4,16,10.0,0.10,0.1,2200789,0.169,2304247,0.161,423484,0.679
700,0.2,0.6,4,16,10.0,0.10,0.1,3413534,0.109,3794784,0.098,472698,0.588
700,0.2,0.6,4,16,10.0,0.10,0.1,2185714,0.199,2338700,0.186,321923,0.769
700,0.2,0.6,4,16,10.0,0.10,0.1,3618726,0.103,3841085,0.097,517397,0.579
700,0.2,0.6,4,16,10.0,0.10,0.1,2041432,0.167,2227571,0.153,430220,0.546
700,0.2,0.6,4,16,10.0,0.10,0.1,3020038,0.113,3638251,0.094,435293,0.505
700,0.2,0.6,4,16,10.0,0.10,0.1,2734833,0.150,2853185,0.144,460633,0.649
700,0.2,0.6,4,16,10.0,0.10,0.1,3132302,0.120,3100423,0.121,463436,0.545
700,0.2,0.6,4,16,10.0,0.10,0.1,2803873,0.119,3054895,0.109,400328,0.578
700,0.2,0.6,4,16,10.0,0.10,0.5,2245241,0.153,2828878,0.122,368328,0.657
700,0.2,0.6,4,16,10.0,0.10,0.5,2317150,0.160,2291240,0.162,392109,0.649
700,0.2,0.6,4,16,10.0,0.10,0.5,2846873,0.131,3121786,0.120,439842,0.580
700,0.2,0.6,4,16,10.0,0.10,0.5,2283468,0.191,2458360,0.177,303989,0.704
700,0.2,0.6,4,16,10.0,0.10,0.5,2923588,0.128,3097067,0.120,514232,0.549
700,0.2,0.6,4,16,10.0,0.10,0.5,2185620,0.156,2262199,0.151,427233,0.501
700,0.2,0.6,4,16,10.0,0.10,0.5,2502717,0.136,2937459,0.116,398366,0.489
700,0.2,0.6,4,16,10.0,0.10,0.5,2972594,0.138,3408588,0.120,473196,0.595
700,0.2,0.6,4,16,10.0,0.10,0.5,2512062,0.149,2740848,0.137,393952,0.571
700,0.2,0.6,4,16,10.0,0.10,0.5,2837760,0.117,3385383,0.098,390053,0.548
700,0.2,0.6,4,16,10.0,0.10,1.0,2364132,0.146,2522478,0.136,332805,0.672
700,0.2,0.6,4,16,10.0,0.10,1.0,2339472,0.159,2596844,0.143,368315,0.638
700,0.2,0.6,4,16,10.0,0.10,1.0,3443702,0.108,3537422,0.105,429819,0.558
700,0.2,0.6,4,16,10.0,0.10,1.0,2038764,0.214,2175023,0.200,248537,0.715
700,0.2,0.6,4,16,10.0,0.10,1.0,2844212,0.131,2946908,0.127,464039,0.551
700,0.2,0.6,4,16,10.0,0.10,1.0,2321510,0.147,2364933,0.144,374836,0.512
700,0.2,0.6,4,16,10.0,0.10,1.0,2709723,0.126,3363454,0.101,304926,0.543
700,0.2,0.6,4,16,10.0,0.10,1.0,3034634,0.135,2943106,0.139,439465,0.561
700,0.2,0.6,4,16,10.0,0.10,1.0,2755741,0.136,2737651,0.137,344535,0.573
700,0.2,0.6,4,16,10.0,0.10,1.0,3483343,0.096,3621266,0.092,339749,0.546
700,0.2,0.6,4,16,10.0,0.10,2.0,1971032,0.175,2144537,0.160,298710,0.655
700,0.2,0.6,4,16,10.0,0.10,2.0,2466320,0.150,2698446,0.137,311370,0.619
700,0.2,0.6,4,16,10.0,0.10,2.0,3336625,0.112,3274686,0.114,398745,0.544
700,0.2,0.6,4,16,10.0,0.10,2.0,2043170,0.213,2390437,0.182,215850,0.647
700,0.2,0.6,4,16,10.0,0.10,2.0,3414369,0.109,3320313,0.112,446954,0.509
700,0.2,0.6,4,16,10.0,0.10,2.0,2576889,0.132,2506646,0.136,321621,0.551
700,0.2,0.6,4,16,10.0,0.10,2.0,2588572,0.132,3569316,0.095,248634,0.571
700,0.2,0.6,4,16,10.0,0.10,2.0,2780173,0.148,3486578,0.118,396101,0.575
700,0.2,0.6,4,16,10.0,0.10,2.0,2202746,0.170,2268193,0.165,304164,0.556
700,0.2,0.6,4,16,10.0,0.10,2.0,3422844,0.097,4576155,0.073,293899,0.537
700,0.2,0.6,4,16,10.0,0.50,0.1,2007254,0.171,2452823,0.140,416459,0.623
700,0.2,0.6,4,16,10.0,0.50,0.1,2200789,0.169,2304247,0.161,423484,0.679
700,0.2,0.6,4,16,10.0,0.50,0.1,3413534,0.109,3794784,0.098,472698,0.588
700,0.2,0.6,4,16,10.0,0.50,0.1,2185714,0.199,2338700,0.186,321923,0.769
700,0.2,0.6,4,16,10.0,0.50,0.1,3618726,0.103,3841085,0.097,517397,0.579
700,0.2,0.6,4,16,10.0,0.50,0.1,2041432,0.167,2227571,0.153,430220,0.546
700,0.2,0.6,4,16,10.0,0.50,0.1,3020038,0.113,3638251,0.094,435293,0.505
700,0.2,0.6,4,16,10.0,0.50,0.1,2734833,0.150,2853185,0.144,460633,0.649
