podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
500,0.5,4,4,0.1,0.1,33252,0.458,34353,0.427,32643,0.442
500,0.5,4,4,0.1,0.1,31052,0.457,31235,0.460,27726,0.513
500,0.5,4,4,0.1,0.1,35007,0.413,33907,0.415,31126,0.453
500,0.5,4,4,0.1,0.1,29105,0.564,29210,0.567,27265,0.589
500,0.5,4,4,0.1,0.1,15482,0.626,15388,0.633,14311,0.669
500,0.5,4,4,0.1,0.1,27062,0.424,26526,0.422,24130,0.459
500,0.5,4,4,0.1,0.1,27708,0.427,28077,0.430,24666,0.456
500,0.5,4,4,0.1,0.1,16876,0.752,16457,0.757,14582,0.854
500,0.5,4,4,0.1,0.1,31190,0.438,31315,0.441,28573,0.467
500,0.5,4,4,0.1,0.1,15155,0.685,15329,0.679,14320,0.732
500,0.5,4,4,0.1,0.5,31759,0.426,32793,0.427,29267,0.451
500,0.5,4,4,0.1,0.5,27862,0.455,28162,0.455,25758,0.483
500,0.5,4,4,0.1,0.5,32255,0.417,32153,0.416,30012,0.439
500,0.5,4,4,0.1,0.5,25760,0.566,26897,0.565,24087,0.589
500,0.5,4,4,0.1,0.5,14153,0.613,13988,0.622,12059,0.682
500,0.5,4,4,0.1,0.5,22078,0.417,23292,0.418,20625,0.469
500,0.5,4,4,0.1,0.5,24724,0.428,25372,0.425,21768,0.459
500,0.5,4,4,0.1,0.5,14986,0.757,15663,0.764,13448,0.849
500,0.5,4,4,0.1,0.5,28165,0.441,28285,0.442,25767,0.461
500,0.5,4,4,0.1,0.5,14078,0.670,14341,0.685,12815,0.731
500,0.5,4,4,0.1,1.0,28182,0.430,29585,0.427,27405,0.450
500,0.5,4,4,0.1,1.0,24502,0.456,24981,0.455,22770,0.486
500,0.5,4,4,0.1,1.0,29463,0.420,29832,0.420,29766,0.443
500,0.5,4,4,0.1,1.0,22707,0.563,22915,0.563,21017,0.591
500,0.5,4,4,0.1,1.0,12356,0.614,12414,0.616,11103,0.668
500,0.5,4,4,0.1,1.0,19984,0.419,19349,0.413,18384,0.444
500,0.5,4,4,0.1,1.0,22653,0.428,22176,0.426,19265,0.454
500,0.5,4,4,0.1,1.0,13686,0.745,13769,0.746,12247,0.813
500,0.5,4,4,0.1,1.0,26206,0.444,25442,0.444,22797,0.473
500,0.5,4,4,0.1,1.0,12408,0.666,12225,0.690,10494,0.754
500,0.5,4,4,0.1,2.0,25103,0.429,25122,0.428,22943,0.450
500,0.5,4,4,0.1,2.0,19412,0.454,20702,0.455,18387,0.488
500,0.5,4,4,0.1,2.0,25608,0.423,26072,0.425,24920,0.441
500,0.5,4,4,0.1,2.0,18258,0.564,18544,0.568,17155,0.585
500,0.5,4,4,0.1,2.0,10490,0.590,10622,0.600,9412,0.643
500,0.5,4,4,0.1,2.0,15608,0.414,15123,0.418,14501,0.435
500,0.5,4,4,0.1,2.0,17893,0.430,18298,0.423,15696,0.450
500,0.5,4,4,0.1,2.0,11848,0.742,11854,0.746,10158,0.845
500,0.5,4,4,0.1,2.0,21109,0.447,21264,0.447,19190,0.461
500,0.5,4,4,0.1,2.0,10019,0.661,9930,0.666,9548,0.712
500,0.5,4,4,0.5,0.1,50367,0.289,49505,0.287,46740,0.318
500,0.5,4,4,0.5,0.1,48313,0.290,48787,0.292,47134,0.296
500,0.5,4,4,0.5,0.1,46484,0.303,46730,0.303,43335,0.327
500,0.5,4,4,0.5,0.1,42785,0.383,42069,0.393,40418,0.404
500,0.5,4,4,0.5,0.1,26380,0.369,25717,0.376,24456,0.400
500,0.5,4,4,0.5,0.1,43888,0.260,42925,0.265,39691,0.285
500,0.5,4,4,0.5,0.1,40420,0.293,39953,0.293,37113,0.308
500,0.5,4,4,0.5,0.1,26890,0.470,26469,0.474,25002,0.506
500,0.5,4,4,0.5,0.1,43266,0.304,42023,0.321,39277,0.341
500,0.5,4,4,0.5,0.1,25545,0.413,24885,0.415,22493,0.466
500,0.5,4,4,0.5,0.5,43177,0.266,46130,0.293,42961,0.309
500,0.5,4,4,0.5,0.5,43797,0.287,43776,0.290,38404,0.315
500,0.5,4,4,0.5,0.5,42903,0.309,43694,0.303,41432,0.324
500,0.5,4,4,0.5,0.5,38291,0.381,37417,0.391,35682,0.407
500,0.5,4,4,0.5,0.5,24249,0.363,23802,0.365,21888,0.394
500,0.5,4,4,0.5,0.5,37862,0.259,37105,0.264,33818,0.286
500,0.5,4,4,0.5,0.5,36017,0.290,35376,0.289,33044,0.305
500,0.5,4,4,0.5,0.5,24511,0.485,23075,0.486,22879,0.500
500,0.5,4,4,0.5,0.5,37316,0.325,38530,0.323,35943,0.337
