podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
700,0.2,4,4,0.1,0.1,49683,0.424,46641,0.421,40297,0.474
700,0.2,4,4,0.1,0.1,43486,0.457,43455,0.458,39198,0.504
700,0.2,4,4,0.1,0.1,48383,0.415,48875,0.415,46634,0.452
700,0.2,4,4,0.1,0.1,40500,0.555,40881,0.555,38123,0.582
700,0.2,4,4,0.1,0.1,21116,0.625,21713,0.618,19517,0.699
700,0.2,4,4,0.1,0.1,37052,0.416,37204,0.415,33180,0.457
700,0.2,4,4,0.1,0.1,39268,0.426,39840,0.425,33974,0.470
700,0.2,4,4,0.1,0.1,23085,0.749,22941,0.756,20592,0.838
700,0.2,4,4,0.1,0.1,44768,0.438,44270,0.436,40184,0.476
700,0.2,4,4,0.1,0.1,41383,0.492,21641,0.683,20451,0.741
700,0.2,4,4,0.1,0.5,43347,0.421,44546,0.424,38225,0.461
700,0.2,4,4,0.1,0.5,38865,0.457,39162,0.459,35974,0.479
700,0.2,4,4,0.1,0.5,45106,0.417,45814,0.416,41856,0.451
700,0.2,4,4,0.1,0.5,36197,0.555,36329,0.555,31694,0.651
700,0.2,4,4,0.1,0.5,19754,0.625,19943,0.614,17775,0.667
700,0.2,4,4,0.1,0.5,31071,0.412,32104,0.414,29100,0.446
700,0.2,4,4,0.1,0.5,34900,0.425,34852,0.425,30486,0.463
700,0.2,4,4,0.1,0.5,21147,0.746,20843,0.759,19443,0.801
700,0.2,4,4,0.1,0.5,40573,0.439,40672,0.439,35545,0.485
700,0.2,4,4,0.1,0.5,19234,0.679,19543,0.671,17160,0.761
700,0.2,4,4,0.1,1.0,40114,0.422,40204,0.422,35285,0.456
700,0.2,4,4,0.1,1.0,34534,0.456,35086,0.459,31467,0.492
700,0.2,4,4,0.1,1.0,41793,0.421,42521,0.420,39642,0.439
700,0.2,4,4,0.1,1.0,31582,0.556,31375,0.556,29114,0.586
700,0.2,4,4,0.1,1.0,17475,0.617,17779,0.607,15410,0.672
700,0.2,4,4,0.1,1.0,27656,0.408,27461,0.410,25074,0.441
700,0.2,4,4,0.1,1.0,30760,0.423,31144,0.425,26740,0.456
700,0.2,4,4,0.1,1.0,19904,0.751,18872,0.747,17553,0.813
700,0.2,4,4,0.1,1.0,35048,0.440,35206,0.435,31698,0.489
700,0.2,4,4,0.1,1.0,17998,0.669,17178,0.669,15343,0.757
700,0.2,4,4,0.1,2.0,35265,0.423,14307,0.581,29816,0.467
700,0.2,4,4,0.1,2.0,28321,0.456,28751,0.457,24916,0.504
700,0.2,4,4,0.1,2.0,36823,0.423,37515,0.424,33948,0.452
700,0.2,4,4,0.1,2.0,25623,0.556,25871,0.559,22754,0.604
700,0.2,4,4,0.1,2.0,14522,0.603,14953,0.597,12800,0.667
700,0.2,4,4,0.1,2.0,21580,0.401,21717,0.402,18449,0.455
700,0.2,4,4,0.1,2.0,25382,0.428,26031,0.423,22176,0.451
700,0.2,4,4,0.1,2.0,15924,0.730,16369,0.737,14328,0.823
700,0.2,4,4,0.1,2.0,30121,0.443,30340,0.444,25450,0.501
700,0.2,4,4,0.1,2.0,14853,0.649,14486,0.661,12742,0.738
700,0.2,4,4,0.5,0.1,70815,0.275,72709,0.284,66394,0.299
700,0.2,4,4,0.5,0.1,66306,0.285,68270,0.285,63084,0.311
700,0.2,4,4,0.5,0.1,66760,0.301,66858,0.302,61047,0.329
700,0.2,4,4,0.5,0.1,61500,0.369,62541,0.362,56876,0.393
700,0.2,4,4,0.5,0.1,35926,0.380,37067,0.368,31997,0.400
700,0.2,4,4,0.5,0.1,61868,0.250,59171,0.252,56756,0.275
700,0.2,4,4,0.5,0.1,57757,0.288,58781,0.278,51888,0.296
700,0.2,4,4,0.5,0.1,37837,0.459,37702,0.456,34404,0.507
700,0.2,4,4,0.5,0.1,61557,0.317,62607,0.312,56832,0.338
700,0.2,4,4,0.5,0.1,35691,0.412,36753,0.398,32581,0.451
700,0.2,4,4,0.5,0.5,67959,0.279,65549,0.277,56604,0.309
700,0.2,4,4,0.5,0.5,61191,0.290,61231,0.290,56440,0.311
700,0.2,4,4,0.5,0.5,63082,0.309,61424,0.310,58439,0.320
700,0.2,4,4,0.5,0.5,54891,0.363,54465,0.368,51006,0.389
700,0.2,4,4,0.5,0.5,33430,0.362,32977,0.367,30337,0.397
700,0.2,4,4,0.5,0.5,54687,0.242,54181,0.245,50313,0.305
700,0.2,4,4,0.5,0.5,52435,0.284,50974,0.285,48041,0.301
700,0.2,4,4,0.5,0.5,35373,0.447,35210,0.449,33247,0.500
700,0.2,4,4,0.5,0.5,55823,0.320,55341,0.319,49683,0.350
700,0.2,4,4,0.5,0.5,32559,0.403,32204,0.408,28526,0.458
700,0.2,4,4,0.5,1.0,59933,0.280,58643,0.279,51082,0.316
700,0.2,4,4,0.5,1.0,54136,0.293,54767,0.290,50424,0.310
700,0.2,4,4,0.5,1.0,56716,0.314,56579,0.318,51673,0.345
700,0.2,4,4,0.5,1.0,48030,0.368,47265,0.372,44740,0.389
700,0.2,4,4,0.5,1.0,30786,0.350,30353,0.353,28340,0.367
700,0.2,4,4,0.5,1.0,47763,0.236,47428,0.237,43078,0.260
700,0.2,4,4,0.5,1.0,46082,0.285,45094,0.286,42168,0.301
700,0.2,4,4,0.5,1.0,32640,0.462,32196,0.439,30122,0.473
700,0.2,4,4,0.5,1.0,49082,0.326,48542,0.325,44501,0.349
700,0.2,4,4,0.5,1.0,29200,0.397,28859,0.401,26064,0.444
700,0.2,4,4,0.5,2.0,51069,0.282,51494,0.279,48699,0.301
700,0.2,4,4,0.5,2.0,44416,0.287,45087,0.294,41787,0.301
700,0.2,4,4,0.5,2.0,47510,0.329,48492,0.327,44895,0.348
700,0.2,4,4,0.5,2.0,38997,0.364,37877,0.371,34506,0.407
700,0.2,4,4,0.5,2.0,26323,0.331,26496,0.332,24610,0.353
700,0.2,4,4,0.5,2.0,38027,0.228,36750,0.233,33153,0.258
700,0.2,4,4,0.5,2.0,37914,0.284,38729,0.279,32960,0.314
700,0.2,4,4,0.5,2.0,28185,0.429,28083,0.426,24952,0.474
700,0.2,4,4,0.5,2.0,39935,0.329,40627,0.329,35447,0.361
700,0.2,4,4,0.5,2.0,24378,0.386,24709,0.383,21663,0.434
700,0.2,4,4,1.0,0.1,101802,0.191,102695,0.190,89883,0.224
700,0.2,4,4,1.0,0.1,95424,0.196,97819,0.203,93259,0.211
700,0.2,4,4,1.0,0.1,89774,0.224,93130,0.222,88090,0.227
700,0.2,4,4,1.0,0.1,90068,0.251,88670,0.254,80183,0.286
700,0.2,4,4,1.0,0.1,53563,0.256,55142,0.250,47762,0.281
700,0.2,4,4,1.0,0.1,93508,0.165,91582,0.168,82205,0.186
700,0.2,4,4,1.0,0.1,81329,0.206,80612,0.199,75139,0.222
700,0.2,4,4,1.0,0.1,55965,0.309,56890,0.315,53954,0.323
700,0.2,4,4,1.0,0.1,84822,0.231,83720,0.232,72641,0.256
700,0.2,4,4,1.0,0.1,53191,0.276,53060,0.276,46547,0.312
700,0.2,4,4,1.0,0.5,91327,0.197,91268,0.195,79986,0.221
700,0.2,4,4,1.0,0.5,87627,0.203,87615,0.202,80011,0.223
700,0.2,4,4,1.0,0.5,82523,0.226,81435,0.235,76152,0.252
700,0.2,4,4,1.0,0.5,78185,0.267,78497,0.256,74278,0.285
700,0.2,4,4,1.0,0.5,51356,0.238,50893,0.242,46853,0.259
700,0.2,4,4,1.0,0.5,80638,0.164,82921,0.160,76235,0.172
700,0.2,4,4,1.0,0.5,73370,0.200,74343,0.198,64842,0.219
700,0.2,4,4,1.0,0.5,51995,0.303,53960,0.294,50449,0.314
700,0.2,4,4,1.0,0.5,74454,0.240,74305,0.231,64423,0.267
700,0.2,4,4,1.0,0.5,49074,0.275,48563,0.272,44736,0.291
700,0.2,4,4,1.0,1.0,86663,0.192,82832,0.198,73655,0.218
700,0.2,4,4,1.0,1.0,74963,0.198,79033,0.200,71944,0.206
700,0.2,4,4,1.0,1.0,72418,0.242,73683,0.243,66385,0.262
700,0.2,4,4,1.0,1.0,68138,0.267,67719,0.257,60362,0.289
700,0.2,4,4,1.0,1.0,46374,0.234,46347,0.234,42970,0.254
700,0.2,4,4,1.0,1.0,72370,0.156,70891,0.157,63474,0.177
700,0.2,4,4,1.0,1.0,64217,0.201,62176,0.203,61331,0.216
700,0.2,4,4,1.0,1.0,52145,0.287,50254,0.296,46661,0.300
700,0.2,4,4,1.0,1.0,67019,0.234,65794,0.241,57739,0.269
700,0.2,4,4,1.0,1.0,43247,0.267,43590,0.268,42193,0.274
700,0.2,4,4,1.0,2.0,72072,0.200,74027,0.192,64610,0.211
700,0.2,4,4,1.0,2.0,64914,0.197,65462,0.197,58722,0.210
700,0.2,4,4,1.0,2.0,60222,0.253,65511,0.248,61323,0.267
700,0.2,4,4,1.0,2.0,56400,0.251,51407,0.275,49469,0.288
700,0.2,4,4,1.0,2.0,41728,0.211,41045,0.212,38036,0.226
700,0.2,4,4,1.0,2.0,60512,0.143,55618,0.149,52230,0.164
700,0.2,4,4,1.0,2.0,55086,0.198,52427,0.206,49512,0.215
700,0.2,4,4,1.0,2.0,41911,0.288,41377,0.294,38121,0.313
700,0.2,4,4,1.0,2.0,53354,0.252,52898,0.250,44791,0.286
700,0.2,4,4,1.0,2.0,38094,0.251,37248,0.256,35264,0.272
700,0.2,4,4,5.0,0.1,344897,0.059,339280,0.057,317833,0.062
700,0.2,4,4,5.0,0.1,329523,0.061,345139,0.058,300559,0.067
700,0.2,4,4,5.0,0.1,275985,0.074,290062,0.069,252976,0.080
700,0.2,4,4,5.0,0.1,302813,0.075,304903,0.074,267703,0.086
700,0.2,4,4,5.0,0.1,198426,0.069,202196,0.067,174868,0.078
700,0.2,4,4,5.0,0.1,338386,0.045,330414,0.047,284679,0.054
700,0.2,4,4,5.0,0.1,280915,0.059,271757,0.062,248197,0.069
700,0.2,4,4,5.0,0.1,211039,0.086,205648,0.085,198450,0.088
700,0.2,4,4,5.0,0.1,257180,0.076,276316,0.071,234254,0.083
700,0.2,4,4,5.0,0.1,194146,0.075,193780,0.079,177818,0.082
700,0.2,4,4,5.0,0.5,313423,0.057,323692,0.056,281314,0.062
700,0.2,4,4,5.0,0.5,302041,0.059,285791,0.061,274824,0.065
700,0.2,4,4,5.0,0.5,237265,0.080,241090,0.079,230133,0.086
700,0.2,4,4,5.0,0.5,259483,0.078,267971,0.075,247513,0.082
700,0.2,4,4,5.0,0.5,192056,0.065,190771,0.064,166127,0.073
700,0.2,4,4,5.0,0.5,297792,0.045,303437,0.043,262834,0.050
700,0.2,4,4,5.0,0.5,246164,0.061,241116,0.061,219612,0.068
700,0.2,4,4,5.0,0.5,193698,0.081,198380,0.081,183577,0.086
700,0.2,4,4,5.0,0.5,225748,0.080,220775,0.081,203028,0.087
700,0.2,4,4,5.0,0.5,177489,0.074,174539,0.075,155771,0.082
700,0.2,4,4,5.0,1.0,303502,0.057,286845,0.058,252682,0.065
700,0.2,4,4,5.0,1.0,268474,0.060,272189,0.059,245382,0.066
700,0.2,4,4,5.0,1.0,210351,0.085,230605,0.078,195310,0.093
700,0.2,4,4,5.0,1.0,233233,0.076,230076,0.078,208088,0.089
700,0.2,4,4,5.0,1.0,176068,0.061,178749,0.061,156593,0.067
700,0.2,4,4,5.0,1.0,265367,0.042,249126,0.045,254225,0.044
700,0.2,4,4,5.0,1.0,214213,0.062,214967,0.061,204483,0.064
700,0.2,4,4,5.0,1.0,181158,0.080,180891,0.081,180040,0.084
700,0.2,4,4,5.0,1.0,199811,0.081,194580,0.082,161538,0.094
700,0.2,4,4,5.0,1.0,162828,0.072,158234,0.073,144507,0.079
700,0.2,4,4,5.0,2.0,256063,0.056,259081,0.057,215738,0.066
700,0.2,4,4,5.0,2.0,224241,0.058,215453,0.060,206738,0.062
700,0.2,4,4,5.0,2.0,177930,0.089,177183,0.090,156805,0.100
700,0.2,4,4,5.0,2.0,185158,0.077,174421,0.083,155901,0.093
700,0.2,4,4,5.0,2.0,151147,0.059,160382,0.053,137966,0.065
700,0.2,4,4,5.0,2.0,219616,0.039,223906,0.038,198652,0.044
700,0.2,4,4,5.0,2.0,182354,0.060,183161,0.060,165499,0.066
700,0.2,4,4,5.0,2.0,158552,0.077,157415,0.076,145113,0.083
700,0.2,4,4,5.0,2.0,146995,0.090,156823,0.084,142689,0.093
700,0.2,4,4,5.0,2.0,130453,0.073,130010,0.071,114621,0.082
700,0.2,4,4,10.0,0.1,656635,0.030,627328,0.032,553814,0.035
700,0.2,4,4,10.0,0.1,642394,0.031,629104,0.032,596782,0.033
700,0.2,4,4,10.0,0.1,496048,0.041,500022,0.041,460182,0.044
700,0.2,4,4,10.0,0.1,545457,0.043,558349,0.040,496144,0.046
700,0.2,4,4,10.0,0.1,376724,0.037,361620,0.038,340694,0.039
700,0.2,4,4,10.0,0.1,631703,0.023,641978,0.024,522531,0.029
700,0.2,4,4,10.0,0.1,499519,0.033,507805,0.032,484471,0.035
700,0.2,4,4,10.0,0.1,388751,0.047,416084,0.043,368399,0.047
700,0.2,4,4,10.0,0.1,478530,0.041,471293,0.041,402450,0.049
700,0.2,4,4,10.0,0.1,351974,0.042,362421,0.041,340597,0.042
700,0.2,4,4,10.0,0.5,602306,0.030,607777,0.030,522991,0.034
700,0.2,4,4,10.0,0.5,575809,0.031,573574,0.031,508561,0.035
700,0.2,4,4,10.0,0.5,435574,0.044,426017,0.045,405620,0.047
700,0.2,4,4,10.0,0.5,502994,0.040,456667,0.046,451414,0.045
700,0.2,4,4,10.0,0.5,346697,0.036,367102,0.033,319349,0.038
700,0.2,4,4,10.0,0.5,591691,0.022,566919,0.023,475723,0.028
700,0.2,4,4,10.0,0.5,470242,0.031,453353,0.033,421478,0.036
700,0.2,4,4,10.0,0.5,404312,0.040,365158,0.043,324165,0.048
700,0.2,4,4,10.0,0.5,408843,0.044,409277,0.043,371012,0.048
700,0.2,4,4,10.0,0.5,331490,0.040,317455,0.041,313820,0.042
700,0.2,4,4,10.0,1.0,542209,0.030,539012,0.031,482569,0.034
