podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
100,0.8,4,4,0.1,0.1,6681,0.433,7046,0.422,6770,0.434
100,0.8,4,4,0.1,0.1,5819,0.460,6124,0.467,5496,0.470
100,0.8,4,4,0.1,0.1,6684,0.421,7363,0.422,6440,0.424
100,0.8,4,4,0.1,0.1,5953,0.582,6031,0.572,5836,0.577
100,0.8,4,4,0.1,0.1,3407,0.601,3255,0.631,2851,0.690
100,0.8,4,4,0.1,0.1,4656,0.435,4666,0.436,5049,0.436
100,0.8,4,4,0.1,0.1,5265,0.432,5463,0.429,5169,0.456
100,0.8,4,4,0.1,0.1,3221,0.779,3347,0.752,2506,0.974
100,0.8,4,4,0.1,0.1,6809,0.445,6783,0.447,6553,0.448
100,0.8,4,4,0.1,0.1,3103,0.683,3082,0.681,2919,0.722
100,0.8,4,4,0.1,0.5,7142,0.434,7096,0.434,4865,0.502
100,0.8,4,4,0.1,0.5,5316,0.467,5300,0.471,5143,0.476
100,0.8,4,4,0.1,0.5,6877,0.422,6822,0.426,6284,0.428
100,0.8,4,4,0.1,0.5,5489,0.578,5369,0.575,5159,0.577
100,0.8,4,4,0.1,0.5,3079,0.596,2860,0.645,2613,0.665
100,0.8,4,4,0.1,0.5,3989,0.434,3987,0.441,3881,0.431
100,0.8,4,4,0.1,0.5,4817,0.428,4782,0.426,4348,0.436
100,0.8,4,4,0.1,0.5,2972,0.770,2921,0.756,2283,0.969
100,0.8,4,4,0.1,0.5,6172,0.449,6104,0.448,5880,0.449
100,0.8,4,4,0.1,0.5,2831,0.670,2824,0.670,2659,0.708
100,0.8,4,4,0.1,1.0,6285,0.432,6333,0.438,5850,0.462
100,0.8,4,4,0.1,1.0,4713,0.471,4765,0.471,4737,0.471
100,0.8,4,4,0.1,1.0,6341,0.422,6545,0.428,6187,0.438
100,0.8,4,4,0.1,1.0,4656,0.575,4706,0.574,4510,0.577
100,0.8,4,4,0.1,1.0,2686,0.601,2265,0.617,2062,0.658
100,0.8,4,4,0.1,1.0,3428,0.429,3430,0.420,3284,0.436
100,0.8,4,4,0.1,1.0,4269,0.428,4261,0.430,3805,0.448
100,0.8,4,4,0.1,1.0,2763,0.748,2630,0.756,2114,0.941
100,0.8,4,4,0.1,1.0,5475,0.448,5562,0.447,5183,0.451
100,0.8,4,4,0.1,1.0,2696,0.630,2550,0.660,2425,0.693
100,0.8,4,4,0.1,2.0,5738,0.436,5648,0.434,4773,0.440
100,0.8,4,4,0.1,2.0,3987,0.463,4225,0.470,3698,0.474
100,0.8,4,4,0.1,2.0,5540,0.425,5645,0.430,5413,0.437
100,0.8,4,4,0.1,2.0,3752,0.584,3831,0.575,3537,0.573
100,0.8,4,4,0.1,2.0,2386,0.545,2137,0.628,1804,0.671
100,0.8,4,4,0.1,2.0,2674,0.426,2757,0.422,2567,0.427
100,0.8,4,4,0.1,2.0,3552,0.432,3620,0.431,2995,0.446
100,0.8,4,4,0.1,2.0,2263,0.737,2257,0.731,2010,0.802
100,0.8,4,4,0.1,2.0,4580,0.451,4475,0.455,4372,0.455
100,0.8,4,4,0.1,2.0,2091,0.650,2125,0.674,1907,0.733
100,0.8,4,4,0.5,0.1,10765,0.303,10881,0.300,9726,0.331
100,0.8,4,4,0.5,0.1,8718,0.318,8783,0.319,8568,0.320
100,0.8,4,4,0.5,0.1,9803,0.317,9907,0.316,9314,0.338
100,0.8,4,4,0.5,0.1,8616,0.398,8575,0.402,8220,0.417
100,0.8,4,4,0.5,0.1,5309,0.386,4999,0.413,4689,0.416
100,0.8,4,4,0.5,0.1,7190,0.283,7671,0.297,6844,0.290
100,0.8,4,4,0.5,0.1,7588,0.300,7815,0.292,7375,0.302
100,0.8,4,4,0.5,0.1,5599,0.428,5146,0.487,4468,0.551
100,0.8,4,4,0.5,0.1,8840,0.343,8830,0.342,8612,0.341
100,0.8,4,4,0.5,0.1,5307,0.401,5180,0.414,4721,0.449
100,0.8,4,4,0.5,0.5,9638,0.310,9945,0.305,8455,0.336
100,0.8,4,4,0.5,0.5,7954,0.312,7631,0.328,7061,0.338
100,0.8,4,4,0.5,0.5,9030,0.329,9259,0.321,8350,0.355
