podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
300,0.5,4,4,0.1,0.1,20114,0.417,10052,0.610,18794,0.444
300,0.5,4,4,0.1,0.1,17610,0.463,17867,0.465,16934,0.473
300,0.5,4,4,0.1,0.1,20769,0.419,21057,0.416,19554,0.446
300,0.5,4,4,0.1,0.1,17967,0.574,18059,0.574,15639,0.585
300,0.5,4,4,0.1,0.1,9440,0.619,9523,0.610,8489,0.672
300,0.5,4,4,0.1,0.1,15605,0.423,14799,0.424,14770,0.449
300,0.5,4,4,0.1,0.1,17491,0.432,17556,0.434,16148,0.434
300,0.5,4,4,0.1,0.1,10196,0.769,9802,0.792,8325,0.917
300,0.5,4,4,0.1,0.1,19543,0.439,18559,0.442,17333,0.445
300,0.5,4,4,0.1,0.1,9584,0.679,9579,0.680,8718,0.751
300,0.5,4,4,0.1,0.5,18117,0.429,18313,0.429,16291,0.462
300,0.5,4,4,0.1,0.5,15729,0.464,15902,0.463,14114,0.507
300,0.5,4,4,0.1,0.5,19722,0.420,19732,0.422,19100,0.425
300,0.5,4,4,0.1,0.5,16051,0.572,16019,0.575,14586,0.611
300,0.5,4,4,0.1,0.5,8493,0.611,8646,0.604,7317,0.685
300,0.5,4,4,0.1,0.5,12686,0.421,12638,0.420,12020,0.437
300,0.5,4,4,0.1,0.5,15335,0.435,15676,0.433,13584,0.433
300,0.5,4,4,0.1,0.5,9028,0.769,9346,0.758,8601,0.821
300,0.5,4,4,0.1,0.5,16785,0.447,15985,0.445,15771,0.460
300,0.5,4,4,0.1,0.5,8438,0.685,8468,0.688,7376,0.747
300,0.5,4,4,0.1,1.0,16678,0.429,16562,0.430,15006,0.458
300,0.5,4,4,0.1,1.0,13913,0.466,14309,0.465,12439,0.507
300,0.5,4,4,0.1,1.0,17912,0.420,18374,0.423,17022,0.441
300,0.5,4,4,0.1,1.0,14009,0.575,14183,0.576,12740,0.611
300,0.5,4,4,0.1,1.0,7987,0.584,7828,0.595,6773,0.651
300,0.5,4,4,0.1,1.0,10916,0.418,10933,0.420,10602,0.422
300,0.5,4,4,0.1,1.0,13698,0.434,13883,0.438,12602,0.432
300,0.5,4,4,0.1,1.0,8382,0.772,8213,0.763,7593,0.841
300,0.5,4,4,0.1,1.0,14972,0.451,15191,0.449,13658,0.474
300,0.5,4,4,0.1,1.0,7579,0.672,7893,0.663,6900,0.741
300,0.5,4,4,0.1,2.0,14268,0.430,14814,0.433,13833,0.432
300,0.5,4,4,0.1,2.0,11386,0.462,11662,0.465,10589,0.488
300,0.5,4,4,0.1,2.0,15788,0.424,16347,0.429,15381,0.432
300,0.5,4,4,0.1,2.0,11333,0.575,11386,0.576,10328,0.601
300,0.5,4,4,0.1,2.0,6301,0.595,6570,0.581,5243,0.678
300,0.5,4,4,0.1,2.0,8529,0.412,8872,0.415,8057,0.438
300,0.5,4,4,0.1,2.0,11356,0.435,11395,0.438,10059,0.437
300,0.5,4,4,0.1,2.0,6944,0.756,7195,0.747,6215,0.852
300,0.5,4,4,0.1,2.0,12432,0.453,12704,0.450,11821,0.479
300,0.5,4,4,0.1,2.0,6497,0.667,6535,0.666,5529,0.755
300,0.5,4,4,0.5,0.1,29281,0.288,28328,0.293,27179,0.303
300,0.5,4,4,0.5,0.1,27329,0.300,27004,0.307,25165,0.321
300,0.5,4,4,0.5,0.1,28374,0.306,28491,0.308,27439,0.337
300,0.5,4,4,0.5,0.1,25588,0.404,26013,0.371,23103,0.443
300,0.5,4,4,0.5,0.1,15475,0.378,14524,0.396,13991,0.411
300,0.5,4,4,0.5,0.1,24199,0.272,23469,0.267,22655,0.273
300,0.5,4,4,0.5,0.1,25254,0.298,24899,0.306,23300,0.312
300,0.5,4,4,0.5,0.1,15891,0.487,15951,0.488,14828,0.520
300,0.5,4,4,0.5,0.1,24768,0.333,24908,0.334,23291,0.346
300,0.5,4,4,0.5,0.1,14988,0.440,14778,0.439,14036,0.465
300,0.5,4,4,0.5,0.5,26409,0.291,27649,0.296,23639,0.316
300,0.5,4,4,0.5,0.5,23878,0.304,23843,0.311,22083,0.324
300,0.5,4,4,0.5,0.5,25834,0.317,25734,0.318,25591,0.335
300,0.5,4,4,0.5,0.5,22278,0.411,22754,0.413,20597,0.422
300,0.5,4,4,0.5,0.5,14351,0.362,13863,0.372,12408,0.417
300,0.5,4,4,0.5,0.5,20682,0.259,20991,0.253,19270,0.274
300,0.5,4,4,0.5,0.5,21679,0.301,21345,0.285,21554,0.304
300,0.5,4,4,0.5,0.5,14163,0.493,14782,0.477,13422,0.529
300,0.5,4,4,0.5,0.5,22045,0.340,22246,0.350,20409,0.358
300,0.5,4,4,0.5,0.5,13681,0.421,13319,0.440,12333,0.459
300,0.5,4,4,0.5,1.0,23685,0.295,23653,0.295,22009,0.310
300,0.5,4,4,0.5,1.0,20972,0.307,21192,0.310,19847,0.324
300,0.5,4,4,0.5,1.0,23120,0.336,23532,0.327,22661,0.334
300,0.5,4,4,0.5,1.0,19749,0.406,19812,0.409,18658,0.425
300,0.5,4,4,0.5,1.0,12686,0.361,11861,0.391,10759,0.416
300,0.5,4,4,0.5,1.0,18443,0.247,18366,0.250,16813,0.268
300,0.5,4,4,0.5,1.0,19298,0.306,19857,0.303,18792,0.305
300,0.5,4,4,0.5,1.0,13361,0.478,13423,0.474,11762,0.543
300,0.5,4,4,0.5,1.0,19851,0.342,19612,0.346,18411,0.353
300,0.5,4,4,0.5,1.0,11884,0.435,12041,0.426,11141,0.470
300,0.5,4,4,0.5,2.0,20681,0.300,20182,0.302,17778,0.329
300,0.5,4,4,0.5,2.0,17340,0.308,17601,0.304,16829,0.306
300,0.5,4,4,0.5,2.0,20463,0.323,20894,0.332,18562,0.362
300,0.5,4,4,0.5,2.0,15677,0.399,15902,0.414,15066,0.424
300,0.5,4,4,0.5,2.0,11419,0.337,11334,0.337,10241,0.363
300,0.5,4,4,0.5,2.0,15155,0.232,14977,0.238,13502,0.274
300,0.5,4,4,0.5,2.0,15101,0.300,15347,0.318,15403,0.304
300,0.5,4,4,0.5,2.0,11720,0.463,11668,0.460,10620,0.508
300,0.5,4,4,0.5,2.0,16100,0.348,16011,0.351,14561,0.369
300,0.5,4,4,0.5,2.0,9916,0.423,10031,0.417,9275,0.471
300,0.5,4,4,1.0,0.1,39358,0.211,38893,0.213,37303,0.224
300,0.5,4,4,1.0,0.1,37560,0.216,37458,0.219,34864,0.230
300,0.5,4,4,1.0,0.1,37676,0.230,38934,0.227,35128,0.246
300,0.5,4,4,1.0,0.1,34517,0.299,34598,0.300,33566,0.308
300,0.5,4,4,1.0,0.1,21683,0.279,22487,0.257,20320,0.281
300,0.5,4,4,1.0,0.1,34219,0.182,34245,0.182,33414,0.186
300,0.5,4,4,1.0,0.1,33422,0.221,31435,0.212,31779,0.236
300,0.5,4,4,1.0,0.1,23062,0.341,22415,0.346,21367,0.363
300,0.5,4,4,1.0,0.1,32837,0.250,19690,0.298,32244,0.252
300,0.5,4,4,1.0,0.1,20567,0.320,20888,0.316,19486,0.336
300,0.5,4,4,1.0,0.5,37194,0.208,35072,0.223,31609,0.238
300,0.5,4,4,1.0,0.5,34447,0.214,34324,0.216,31638,0.226
300,0.5,4,4,1.0,0.5,34117,0.239,34835,0.232,31692,0.260
300,0.5,4,4,1.0,0.5,30435,0.301,31233,0.295,28872,0.318
300,0.5,4,4,1.0,0.5,20992,0.247,20871,0.248,18376,0.279
300,0.5,4,4,1.0,0.5,29928,0.179,30128,0.178,30210,0.177
300,0.5,4,4,1.0,0.5,30095,0.223,30908,0.198,29068,0.227
300,0.5,4,4,1.0,0.5,21426,0.332,20649,0.344,19282,0.365
300,0.5,4,4,1.0,0.5,28728,0.264,28759,0.260,27098,0.268
300,0.5,4,4,1.0,0.5,18761,0.317,19687,0.298,17761,0.329
300,0.5,4,4,1.0,1.0,34041,0.206,33381,0.210,28068,0.251
300,0.5,4,4,1.0,1.0,30131,0.212,31620,0.216,26845,0.236
300,0.5,4,4,1.0,1.0,30690,0.248,30693,0.255,29073,0.263
300,0.5,4,4,1.0,1.0,26912,0.299,27441,0.296,25121,0.309
300,0.5,4,4,1.0,1.0,19920,0.233,19411,0.234,17763,0.255
300,0.5,4,4,1.0,1.0,26636,0.170,26562,0.172,26804,0.169
300,0.5,4,4,1.0,1.0,26242,0.225,26662,0.221,24722,0.239
300,0.5,4,4,1.0,1.0,19237,0.335,19477,0.325,17663,0.356
300,0.5,4,4,1.0,1.0,25112,0.273,24744,0.273,22933,0.284
300,0.5,4,4,1.0,1.0,16509,0.312,18578,0.266,15337,0.335
300,0.5,4,4,1.0,2.0,29456,0.211,28519,0.219,26844,0.223
300,0.5,4,4,1.0,2.0,24672,0.216,24230,0.225,24182,0.220
300,0.5,4,4,1.0,2.0,25290,0.258,25095,0.261,24935,0.269
300,0.5,4,4,1.0,2.0,21580,0.302,21695,0.305,18566,0.347
300,0.5,4,4,1.0,2.0,17001,0.223,17953,0.212,14046,0.257
300,0.5,4,4,1.0,2.0,22221,0.158,23183,0.152,20041,0.173
300,0.5,4,4,1.0,2.0,21980,0.223,21990,0.226,20935,0.229
300,0.5,4,4,1.0,2.0,17148,0.314,17078,0.315,15639,0.339
300,0.5,4,4,1.0,2.0,19921,0.272,20658,0.274,18931,0.282
300,0.5,4,4,1.0,2.0,13286,0.315,13664,0.307,14190,0.292
300,0.5,4,4,5.0,0.1,128935,0.065,132323,0.063,107505,0.077
300,0.5,4,4,5.0,0.1,134356,0.063,129190,0.064,119924,0.068
300,0.5,4,4,5.0,0.1,107469,0.082,106180,0.084,102454,0.085
300,0.5,4,4,5.0,0.1,118612,0.088,105536,0.094,101398,0.103
300,0.5,4,4,5.0,0.1,82539,0.071,78958,0.075,72877,0.077
300,0.5,4,4,5.0,0.1,123667,0.054,120464,0.052,116528,0.053
300,0.5,4,4,5.0,0.1,108691,0.069,107305,0.070,103800,0.074
300,0.5,4,4,5.0,0.1,78304,0.100,84421,0.090,72766,0.108
300,0.5,4,4,5.0,0.1,89479,0.093,92223,0.090,85881,0.096
300,0.5,4,4,5.0,0.1,75185,0.087,70054,0.094,68646,0.095
300,0.5,4,4,5.0,0.5,122526,0.063,118040,0.066,103440,0.074
300,0.5,4,4,5.0,0.5,111029,0.066,115269,0.065,105905,0.069
300,0.5,4,4,5.0,0.5,97608,0.081,94905,0.088,85114,0.097
300,0.5,4,4,5.0,0.5,96976,0.095,102272,0.088,88785,0.105
300,0.5,4,4,5.0,0.5,82715,0.060,72895,0.070,67275,0.076
300,0.5,4,4,5.0,0.5,106161,0.050,109462,0.055,103930,0.051
300,0.5,4,4,5.0,0.5,99471,0.067,95357,0.069,90405,0.075
300,0.5,4,4,5.0,0.5,71767,0.100,71426,0.097,69950,0.100
300,0.5,4,4,5.0,0.5,82162,0.092,74693,0.102,76751,0.096
300,0.5,4,4,5.0,0.5,63008,0.094,63400,0.092,62543,0.085
300,0.5,4,4,5.0,1.0,106881,0.066,111859,0.062,106891,0.066
300,0.5,4,4,5.0,1.0,98274,0.068,105817,0.063,92283,0.071
300,0.5,4,4,5.0,1.0,85884,0.090,87757,0.091,76380,0.103
300,0.5,4,4,5.0,1.0,82654,0.098,82438,0.098,80101,0.102
300,0.5,4,4,5.0,1.0,71838,0.065,65111,0.070,62251,0.074
300,0.5,4,4,5.0,1.0,95965,0.047,99003,0.046,98011,0.046
300,0.5,4,4,5.0,1.0,86518,0.070,87796,0.065,80221,0.070
300,0.5,4,4,5.0,1.0,68701,0.062,81537,0.082,62464,0.103
300,0.5,4,4,5.0,1.0,70031,0.097,76577,0.090,65366,0.100
300,0.5,4,4,5.0,1.0,58424,0.086,63919,0.080,54581,0.087
300,0.5,4,4,5.0,2.0,99256,0.062,97762,0.063,85258,0.072
300,0.5,4,4,5.0,2.0,82494,0.064,83228,0.065,73113,0.073
