podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
900,0.2,4,4,0.1,0.1,62389,0.420,62936,0.421,57085,0.436
900,0.2,4,4,0.1,0.1,54302,0.453,55188,0.454,49617,0.490
900,0.2,4,4,0.1,0.1,63695,0.411,63732,0.411,57281,0.457
900,0.2,4,4,0.1,0.1,55211,0.560,54698,0.559,47666,0.629
900,0.2,4,4,0.1,0.1,28555,0.617,28711,0.620,24825,0.701
900,0.2,4,4,0.1,0.1,47746,0.409,47487,0.410,43170,0.447
900,0.2,4,4,0.1,0.1,50858,0.418,50053,0.422,42896,0.458
900,0.2,4,4,0.1,0.1,30997,0.739,30249,0.746,28212,0.810
900,0.2,4,4,0.1,0.1,56655,0.432,57996,0.433,50437,0.486
900,0.2,4,4,0.1,0.1,28698,0.666,28672,0.673,26047,0.745
900,0.2,4,4,0.1,0.5,58899,0.422,56918,0.422,52533,0.454
900,0.2,4,4,0.1,0.5,48929,0.453,49410,0.454,42542,0.516
900,0.2,4,4,0.1,0.5,58756,0.414,59974,0.413,55283,0.439
900,0.2,4,4,0.1,0.5,48258,0.560,48650,0.558,43234,0.613
900,0.2,4,4,0.1,0.5,25678,0.615,25572,0.608,22699,0.677
900,0.2,4,4,0.1,0.5,41944,0.417,41449,0.407,36382,0.454
900,0.2,4,4,0.1,0.5,45285,0.417,46363,0.425,39183,0.470
900,0.2,4,4,0.1,0.5,28115,0.750,27955,0.742,26101,0.800
900,0.2,4,4,0.1,0.5,51310,0.434,51308,0.435,45286,0.478
900,0.2,4,4,0.1,0.5,25234,0.718,25302,0.668,23359,0.737
900,0.2,4,4,0.1,1.0,52828,0.419,51988,0.425,47562,0.454
900,0.2,4,4,0.1,1.0,43526,0.452,43838,0.455,38378,0.504
900,0.2,4,4,0.1,1.0,55029,0.417,55378,0.417,51129,0.448
900,0.2,4,4,0.1,1.0,42220,0.560,42690,0.560,37467,0.617
900,0.2,4,4,0.1,1.0,22916,0.600,23247,0.606,21028,0.653
900,0.2,4,4,0.1,1.0,36456,0.404,35441,0.402,32268,0.447
900,0.2,4,4,0.1,1.0,39510,0.422,40694,0.424,33014,0.485
900,0.2,4,4,0.1,1.0,25849,0.730,25466,0.730,23011,0.826
900,0.2,4,4,0.1,1.0,46179,0.438,45919,0.438,42087,0.480
900,0.2,4,4,0.1,1.0,23157,0.662,22910,0.660,20767,0.750
900,0.2,4,4,0.1,2.0,45821,0.422,45903,0.425,40407,0.459
900,0.2,4,4,0.1,2.0,35554,0.451,36066,0.452,31274,0.502
900,0.2,4,4,0.1,2.0,48306,0.421,49193,0.421,43836,0.461
900,0.2,4,4,0.1,2.0,34133,0.558,34295,0.561,29859,0.615
900,0.2,4,4,0.1,2.0,19164,0.589,19378,0.593,17135,0.655
900,0.2,4,4,0.1,2.0,27959,0.394,27828,0.396,24693,0.440
900,0.2,4,4,0.1,2.0,32967,0.423,34066,0.424,28467,0.462
900,0.2,4,4,0.1,2.0,22049,0.717,22146,0.718,19380,0.811
900,0.2,4,4,0.1,2.0,38193,0.439,38529,0.439,32246,0.493
900,0.2,4,4,0.1,2.0,19453,0.651,18970,0.656,17768,0.712
900,0.2,4,4,0.5,0.1,94028,0.279,93562,0.277,88262,0.289
900,0.2,4,4,0.5,0.1,87084,0.282,86576,0.286,79180,0.310
900,0.2,4,4,0.5,0.1,89600,0.292,88979,0.296,79765,0.328
900,0.2,4,4,0.5,0.1,80191,0.368,82544,0.368,74374,0.408
900,0.2,4,4,0.5,0.1,50118,0.355,49193,0.359,44663,0.394
900,0.2,4,4,0.5,0.1,81953,0.238,80285,0.241,74133,0.262
900,0.2,4,4,0.5,0.1,79662,0.265,75018,0.282,66381,0.316
900,0.2,4,4,0.5,0.1,53212,0.434,52309,0.438,46382,0.489
900,0.2,4,4,0.5,0.1,81521,0.300,81146,0.302,71840,0.334
900,0.2,4,4,0.5,0.1,48642,0.399,49127,0.395,43647,0.443
900,0.2,4,4,0.5,0.5,87793,0.276,85312,0.282,78953,0.296
900,0.2,4,4,0.5,0.5,78054,0.284,77625,0.285,71331,0.307
900,0.2,4,4,0.5,0.5,81755,0.302,84032,0.297,71164,0.347
900,0.2,4,4,0.5,0.5,72958,0.370,72279,0.375,62203,0.431
900,0.2,4,4,0.5,0.5,45233,0.349,43616,0.343,40390,0.390
900,0.2,4,4,0.5,0.5,73229,0.229,71076,0.235,65801,0.253
900,0.2,4,4,0.5,0.5,68002,0.280,69334,0.267,60727,0.302
900,0.2,4,4,0.5,0.5,49025,0.429,47980,0.440,42658,0.489
900,0.2,4,4,0.5,0.5,73832,0.302,71935,0.311,62812,0.333
900,0.2,4,4,0.5,0.5,44009,0.391,44787,0.385,39176,0.441
900,0.2,4,4,0.5,1.0,81920,0.279,77730,0.283,70541,0.303
900,0.2,4,4,0.5,1.0,70114,0.275,69525,0.284,63388,0.306
900,0.2,4,4,0.5,1.0,74378,0.306,75136,0.309,68854,0.334
900,0.2,4,4,0.5,1.0,63070,0.366,64218,0.368,55125,0.426
900,0.2,4,4,0.5,1.0,42313,0.332,41733,0.336,35564,0.389
900,0.2,4,4,0.5,1.0,62799,0.227,60328,0.235,55343,0.254
900,0.2,4,4,0.5,1.0,60316,0.278,60881,0.276,54858,0.291
900,0.2,4,4,0.5,1.0,45092,0.420,44475,0.425,41222,0.461
900,0.2,4,4,0.5,1.0,63622,0.315,64357,0.310,56691,0.343
900,0.2,4,4,0.5,1.0,40256,0.376,39405,0.371,36508,0.420
900,0.2,4,4,0.5,2.0,68930,0.277,67061,0.284,61300,0.303
900,0.2,4,4,0.5,2.0,58497,0.277,57519,0.282,50666,0.313
900,0.2,4,4,0.5,2.0,63863,0.320,64743,0.322,58606,0.349
900,0.2,4,4,0.5,2.0,50748,0.376,51769,0.367,46639,0.405
900,0.2,4,4,0.5,2.0,35649,0.319,35847,0.321,32277,0.355
900,0.2,4,4,0.5,2.0,50849,0.216,50074,0.216,45898,0.243
900,0.2,4,4,0.5,2.0,51143,0.276,49800,0.269,41844,0.319
900,0.2,4,4,0.5,2.0,38560,0.413,38478,0.411,35348,0.449
900,0.2,4,4,0.5,2.0,52725,0.318,51263,0.327,45560,0.352
900,0.2,4,4,0.5,2.0,33168,0.379,33961,0.368,30823,0.407
900,0.2,4,4,1.0,0.1,133917,0.195,136557,0.198,120049,0.215
900,0.2,4,4,1.0,0.1,126398,0.194,124923,0.199,120001,0.204
900,0.2,4,4,1.0,0.1,117114,0.222,123715,0.216,107740,0.245
900,0.2,4,4,1.0,0.1,118270,0.257,117301,0.259,104682,0.282
900,0.2,4,4,1.0,0.1,74461,0.236,74727,0.231,63771,0.273
900,0.2,4,4,1.0,0.1,124301,0.157,122977,0.158,110092,0.176
900,0.2,4,4,1.0,0.1,108006,0.200,114280,0.186,96893,0.220
900,0.2,4,4,1.0,0.1,80300,0.286,79927,0.288,74156,0.307
900,0.2,4,4,1.0,0.1,112181,0.218,110077,0.222,99905,0.248
900,0.2,4,4,1.0,0.1,74349,0.262,74809,0.257,69178,0.280
900,0.2,4,4,1.0,0.5,124499,0.194,122887,0.196,111394,0.213
900,0.2,4,4,1.0,0.5,113188,0.194,116977,0.193,107960,0.205
900,0.2,4,4,1.0,0.5,104831,0.226,110517,0.227,94420,0.263
900,0.2,4,4,1.0,0.5,105351,0.254,100220,0.270,91800,0.285
900,0.2,4,4,1.0,0.5,71559,0.216,69258,0.227,62419,0.250
900,0.2,4,4,1.0,0.5,108812,0.154,108795,0.153,93955,0.178
900,0.2,4,4,1.0,0.5,96063,0.199,97146,0.193,87063,0.220
900,0.2,4,4,1.0,0.5,73962,0.282,71766,0.291,68379,0.308
900,0.2,4,4,1.0,0.5,98586,0.234,97024,0.229,92302,0.239
900,0.2,4,4,1.0,0.5,68494,0.254,66172,0.259,62323,0.270
900,0.2,4,4,1.0,1.0,115767,0.191,111589,0.200,101910,0.211
900,0.2,4,4,1.0,1.0,101102,0.193,100159,0.197,91984,0.210
900,0.2,4,4,1.0,1.0,99917,0.231,99637,0.233,89950,0.253
900,0.2,4,4,1.0,1.0,93333,0.255,90316,0.263,80699,0.296
900,0.2,4,4,1.0,1.0,62777,0.219,64349,0.219,54506,0.254
900,0.2,4,4,1.0,1.0,98825,0.144,94829,0.147,88771,0.159
900,0.2,4,4,1.0,1.0,86618,0.193,86606,0.193,78110,0.215
900,0.2,4,4,1.0,1.0,67260,0.282,67871,0.279,63685,0.299
900,0.2,4,4,1.0,1.0,86341,0.232,85004,0.234,74285,0.269
900,0.2,4,4,1.0,1.0,60860,0.252,60651,0.251,59038,0.257
900,0.2,4,4,1.0,2.0,97863,0.193,94525,0.197,89669,0.215
900,0.2,4,4,1.0,2.0,84638,0.189,83479,0.195,74392,0.213
900,0.2,4,4,1.0,2.0,85746,0.240,84890,0.246,78118,0.263
900,0.2,4,4,1.0,2.0,71799,0.265,70880,0.270,65790,0.290
900,0.2,4,4,1.0,2.0,55669,0.200,57000,0.200,50284,0.226
900,0.2,4,4,1.0,2.0,79933,0.137,75383,0.144,72475,0.150
900,0.2,4,4,1.0,2.0,72882,0.192,69414,0.201,62918,0.220
900,0.2,4,4,1.0,2.0,59880,0.268,59163,0.264,54635,0.293
900,0.2,4,4,1.0,2.0,70336,0.238,68430,0.242,63674,0.254
900,0.2,4,4,1.0,2.0,50805,0.247,51647,0.242,46565,0.268
900,0.2,4,4,5.0,0.1,463110,0.056,443336,0.058,405495,0.062
900,0.2,4,4,5.0,0.1,455435,0.055,433244,0.058,412871,0.060
900,0.2,4,4,5.0,0.1,368981,0.072,367863,0.072,339585,0.078
900,0.2,4,4,5.0,0.1,389905,0.076,382537,0.080,359473,0.083
900,0.2,4,4,5.0,0.1,271736,0.062,275344,0.062,239660,0.073
900,0.2,4,4,5.0,0.1,458326,0.042,466359,0.042,409667,0.047
900,0.2,4,4,5.0,0.1,361802,0.059,362563,0.059,324196,0.067
900,0.2,4,4,5.0,0.1,298616,0.078,294731,0.080,272400,0.085
900,0.2,4,4,5.0,0.1,349186,0.072,337940,0.073,310462,0.080
900,0.2,4,4,5.0,0.1,272436,0.072,267668,0.072,253299,0.076
900,0.2,4,4,5.0,0.5,411854,0.058,418623,0.057,374324,0.064
900,0.2,4,4,5.0,0.5,215303,0.086,396303,0.056,351097,0.064
900,0.2,4,4,5.0,0.5,335838,0.074,332001,0.075,308368,0.081
900,0.2,4,4,5.0,0.5,343850,0.079,352660,0.076,294300,0.090
900,0.2,4,4,5.0,0.5,267516,0.060,260721,0.061,228126,0.069
900,0.2,4,4,5.0,0.5,398894,0.041,398917,0.042,384852,0.043
900,0.2,4,4,5.0,0.5,336146,0.057,341819,0.054,291272,0.066
900,0.2,4,4,5.0,0.5,274136,0.079,287176,0.073,240469,0.090
900,0.2,4,4,5.0,0.5,308234,0.072,300295,0.074,277533,0.079
900,0.2,4,4,5.0,0.5,247721,0.071,238752,0.070,232289,0.074
900,0.2,4,4,5.0,1.0,385383,0.058,363109,0.060,343257,0.064
900,0.2,4,4,5.0,1.0,356128,0.055,353547,0.056,306761,0.064
900,0.2,4,4,5.0,1.0,292804,0.079,295691,0.079,257497,0.090
900,0.2,4,4,5.0,1.0,297022,0.077,287829,0.083,266149,0.088
900,0.2,4,4,5.0,1.0,249848,0.056,244124,0.057,207225,0.066
900,0.2,4,4,5.0,1.0,365999,0.040,361536,0.039,336093,0.042
900,0.2,4,4,5.0,1.0,292394,0.057,303213,0.054,266794,0.063
900,0.2,4,4,5.0,1.0,253192,0.075,246284,0.077,225557,0.085
900,0.2,4,4,5.0,1.0,264739,0.076,261885,0.076,235031,0.085
900,0.2,4,4,5.0,1.0,217798,0.070,214325,0.070,199298,0.074
900,0.2,4,4,5.0,2.0,337298,0.057,336122,0.057,287946,0.064
900,0.2,4,4,5.0,2.0,323532,0.049,307492,0.055,294968,0.053
900,0.2,4,4,5.0,2.0,267607,0.078,247232,0.084,210119,0.100
900,0.2,4,4,5.0,2.0,240503,0.080,240395,0.080,212905,0.092
900,0.2,4,4,5.0,2.0,221112,0.053,222055,0.051,188302,0.060
900,0.2,4,4,5.0,2.0,319039,0.034,301338,0.036,272376,0.040
900,0.2,4,4,5.0,2.0,250390,0.057,238668,0.058,229410,0.063
900,0.2,4,4,5.0,2.0,225936,0.072,220491,0.071,206964,0.078
900,0.2,4,4,5.0,2.0,210168,0.080,209286,0.079,177636,0.096
900,0.2,4,4,5.0,2.0,182810,0.066,187057,0.066,167768,0.073
900,0.2,4,4,10.0,0.1,861733,0.030,859471,0.030,773714,0.033
900,0.2,4,4,10.0,0.1,861697,0.029,843586,0.030,714840,0.035
900,0.2,4,4,10.0,0.1,687417,0.039,692681,0.038,627013,0.042
900,0.2,4,4,10.0,0.1,738798,0.042,741313,0.041,635904,0.048
900,0.2,4,4,10.0,0.1,533899,0.034,540746,0.032,460127,0.038
900,0.2,4,4,10.0,0.1,891134,0.022,857561,0.023,787162,0.025
900,0.2,4,4,10.0,0.1,717232,0.030,716370,0.030,577518,0.037
900,0.2,4,4,10.0,0.1,568692,0.040,556564,0.042,521336,0.045
900,0.2,4,4,10.0,0.1,661128,0.037,650254,0.039,575092,0.043
900,0.2,4,4,10.0,0.1,533434,0.036,526243,0.037,493977,0.039
900,0.2,4,4,10.0,0.5,786725,0.031,788298,0.030,700632,0.034
900,0.2,4,4,10.0,0.5,768961,0.030,777239,0.030,666302,0.034
900,0.2,4,4,10.0,0.5,632053,0.039,605040,0.041,536355,0.046
900,0.2,4,4,10.0,0.5,655078,0.040,644427,0.042,524580,0.052
900,0.2,4,4,10.0,0.5,513698,0.031,470132,0.033,450719,0.035
900,0.2,4,4,10.0,0.5,807879,0.021,824729,0.020,700486,0.024
900,0.2,4,4,10.0,0.5,628137,0.031,644356,0.030,511827,0.037
900,0.2,4,4,10.0,0.5,515879,0.041,534760,0.039,489175,0.043
900,0.2,4,4,10.0,0.5,555189,0.040,573833,0.039,477488,0.047
900,0.2,4,4,10.0,0.5,459509,0.036,461687,0.037,431457,0.039
900,0.2,4,4,10.0,1.0,749959,0.029,726073,0.030,646397,0.034
900,0.2,4,4,10.0,1.0,687314,0.029,668239,0.031,611250,0.032
900,0.2,4,4,10.0,1.0,548269,0.043,553349,0.042,459981,0.051
900,0.2,4,4,10.0,1.0,561936,0.043,554023,0.043,454424,0.053
900,0.2,4,4,10.0,1.0,468636,0.029,476616,0.029,379452,0.035
900,0.2,4,4,10.0,1.0,729990,0.020,733437,0.019,607381,0.024
900,0.2,4,4,10.0,1.0,551015,0.031,541256,0.031,464163,0.037
900,0.2,4,4,10.0,1.0,493813,0.039,480676,0.039,441862,0.043
900,0.2,4,4,10.0,1.0,478704,0.042,497139,0.040,412322,0.048
900,0.2,4,4,10.0,1.0,439219,0.036,427623,0.035,398694,0.039
900,0.2,4,4,10.0,2.0,640100,0.030,609879,0.030,593070,0.034
900,0.2,4,4,10.0,2.0,566211,0.029,551290,0.030,503214,0.032
900,0.2,4,4,10.0,2.0,446170,0.047,435265,0.048,399327,0.051
900,0.2,4,4,10.0,2.0,445747,0.043,446365,0.043,388665,0.049
900,0.2,4,4,10.0,2.0,418052,0.028,414822,0.028,364466,0.030
900,0.2,4,4,10.0,2.0,613224,0.018,593758,0.018,509142,0.021
900,0.2,4,4,10.0,2.0,502157,0.028,459345,0.030,419950,0.034
900,0.2,4,4,10.0,2.0,419393,0.038,422926,0.038,400490,0.041
900,0.2,4,4,10.0,2.0,376819,0.045,395490,0.042,341062,0.049
900,0.2,4,4,10.0,2.0,359242,0.036,359828,0.035,322899,0.038
900,0.2,4,4,20.0,0.1,1681772,0.016,1674226,0.016,1515648,0.017
900,0.2,4,4,20.0,0.1,1667457,0.015,1672460,0.015,1412794,0.018
