podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
1100,0.2,0.4,4,4,0.5,0.01,0.1,5264042,0.375,5377279,0.367,4533625,0.677
1100,0.2,0.4,4,4,0.5,0.01,0.1,8222573,0.230,8919191,0.212,3974712,0.588
1100,0.2,0.4,4,4,0.5,0.01,0.1,9910744,0.285,9728826,0.290,0,0.000
1100,0.2,0.4,4,4,0.5,0.01,0.1,10508312,0.185,10296190,0.189,5689503,0.469
1100,0.2,0.4,4,4,0.5,0.01,0.1,7828927,0.332,8112572,0.320,5204306,0.704
1100,0.2,0.4,4,4,0.5,0.01,0.1,10069620,0.234,10203293,0.231,5975543,0.654
1100,0.2,0.4,4,4,0.5,0.01,0.1,6164191,0.338,6083335,0.343,5100772,0.629
1100,0.2,0.4,4,4,0.5,0.01,0.1,11370734,0.249,11703499,0.242,9272962,0.493
1100,0.2,0.4,4,4,0.5,0.01,0.1,9216561,0.247,9094585,0.250,7153685,0.504
1100,0.2,0.4,4,4,0.5,0.01,0.1,5597711,0.340,5842868,0.326,3722962,0.757
1100,0.2,0.4,4,4,0.5,0.01,0.5,9074121,0.221,9172659,0.218,4907229,0.615
1100,0.2,0.4,4,4,0.5,0.01,0.5,9495957,0.199,10260466,0.185,3853832,0.599
1100,0.2,0.4,4,4,0.5,0.01,0.5,10732465,0.263,10504892,0.268,0,0.000
1100,0.2,0.4,4,4,0.5,0.01,0.5,10815950,0.180,10497734,0.185,4964431,0.486
1100,0.2,0.4,4,4,0.5,0.01,0.5,8844813,0.294,8661901,0.300,4645949,0.690
1100,0.2,0.4,4,4,0.5,0.01,0.5,11862386,0.199,11485543,0.205,5341004,0.639
1100,0.2,0.4,4,4,0.5,0.01,0.5,6308914,0.331,6848663,0.305,4824577,0.642
1100,0.2,0.4,4,4,0.5,0.01,0.5,10639891,0.266,11660176,0.243,8980519,0.501
1100,0.2,0.4,4,4,0.5,0.01,0.5,10147177,0.224,9782088,0.232,6539555,0.503
1100,0.2,0.4,4,4,0.5,0.01,0.5,6281592,0.303,6220528,0.306,3648271,0.755
1100,0.2,0.4,4,4,0.5,0.01,1.0,9291048,0.216,9378176,0.214,4644315,0.618
1100,0.2,0.4,4,4,0.5,0.01,1.0,9447717,0.200,9982537,0.190,3068266,0.601
1100,0.2,0.4,4,4,0.5,0.01,1.0,9711757,0.290,9935917,0.284,0,0.000
1100,0.2,0.4,4,4,0.5,0.01,1.0,12363793,0.157,11738860,0.165,4559191,0.473
1100,0.2,0.4,4,4,0.5,0.01,1.0,8359641,0.311,8330546,0.312,4181015,0.710
1100,0.2,0.4,4,4,0.5,0.01,1.0,11921444,0.198,11447559,0.206,4849514,0.659
1100,0.2,0.4,4,4,0.5,0.01,1.0,6886562,0.303,7038656,0.296,4474910,0.641
1100,0.2,0.4,4,4,0.5,0.01,1.0,9318538,0.304,10467429,0.271,8915669,0.490
1100,0.2,0.4,4,4,0.5,0.01,1.0,9923499,0.229,9705604,0.234,6052161,0.506
1100,0.2,0.4,4,4,0.5,0.01,1.0,5858421,0.325,6217552,0.306,3143353,0.764
1100,0.2,0.4,4,4,0.5,0.01,2.0,9368844,0.214,9240232,0.217,4062525,0.599
1100,0.2,0.4,4,4,0.5,0.01,2.0,7729844,0.245,7984316,0.237,3014530,0.583
1100,0.2,0.4,4,4,0.5,0.01,2.0,9624839,0.293,9694601,0.291,0,0.000
1100,0.2,0.4,4,4,0.5,0.01,2.0,12397606,0.157,11875594,0.163,3858545,0.482
1100,0.2,0.4,4,4,0.5,0.01,2.0,7913052,0.328,8255573,0.315,3809778,0.699
1100,0.2,0.4,4,4,0.5,0.01,2.0,10824071,0.218,10751850,0.219,3877010,0.665
1100,0.2,0.4,4,4,0.5,0.01,2.0,7056541,0.296,7067640,0.295,3927303,0.652
1100,0.2,0.4,4,4,0.5,0.01,2.0,8698778,0.326,9712286,0.292,7857214,0.493
1100,0.2,0.4,4,4,0.5,0.01,2.0,10460730,0.217,9562837,0.238,5094410,0.523
1100,0.2,0.4,4,4,0.5,0.01,2.0,6257135,0.304,6666368,0.285,3010879,0.755
1100,0.2,0.4,4,4,0.5,0.05,0.1,9166913,0.219,9185224,0.218,5383027,0.600
1100,0.2,0.4,4,4,0.5,0.05,0.1,8222573,0.230,8919191,0.212,3974712,0.588
1100,0.2,0.4,4,4,0.5,0.05,0.1,9910744,0.285,9728826,0.290,0,0.000
1100,0.2,0.4,4,4,0.5,0.05,0.1,10508312,0.185,10296190,0.189,5689503,0.469
1100,0.2,0.4,4,4,0.5,0.05,0.1,7828927,0.332,8112572,0.320,5204306,0.704
1100,0.2,0.4,4,4,0.5,0.05,0.1,10069620,0.234,10203293,0.231,5975543,0.654
1100,0.2,0.4,4,4,0.5,0.05,0.1,6164191,0.338,6083335,0.343,5100772,0.629
1100,0.2,0.4,4,4,0.5,0.05,0.1,11370734,0.249,11703499,0.242,9272962,0.493
1100,0.2,0.4,4,4,0.5,0.05,0.1,9216561,0.247,9094585,0.250,7153685,0.504
1100,0.2,0.4,4,4,0.5,0.05,0.1,5597711,0.340,5842868,0.326,3722962,0.757
1100,0.2,0.4,4,4,0.5,0.05,0.5,9074121,0.221,9172659,0.218,4907229,0.615
1100,0.2,0.4,4,4,0.5,0.05,0.5,9495957,0.199,10260466,0.185,3853832,0.599
1100,0.2,0.4,4,4,0.5,0.05,0.5,10732465,0.263,10504892,0.268,0,0.000
1100,0.2,0.4,4,4,0.5,0.05,0.5,10815950,0.180,10497734,0.185,4964431,0.486
1100,0.2,0.4,4,4,0.5,0.05,0.5,8844813,0.294,8661901,0.300,4645949,0.690
1100,0.2,0.4,4,4,0.5,0.05,0.5,11862386,0.199,11485543,0.205,5341004,0.639
1100,0.2,0.4,4,4,0.5,0.05,0.5,6308914,0.331,6848663,0.305,4824577,0.642
1100,0.2,0.4,4,4,0.5,0.05,0.5,10639891,0.266,11660176,0.243,8980519,0.501
1100,0.2,0.4,4,4,0.5,0.05,0.5,10147177,0.224,9782088,0.232,6539555,0.503
1100,0.2,0.4,4,4,0.5,0.05,0.5,6281592,0.303,6220528,0.306,3648271,0.755
1100,0.2,0.4,4,4,0.5,0.05,1.0,9291048,0.216,9378176,0.214,4644315,0.618
1100,0.2,0.4,4,4,0.5,0.05,1.0,9447717,0.200,9982537,0.190,3068266,0.601
1100,0.2,0.4,4,4,0.5,0.05,1.0,9711757,0.290,9935917,0.284,0,0.000
1100,0.2,0.4,4,4,0.5,0.05,1.0,12363793,0.157,11738860,0.165,4559191,0.473
1100,0.2,0.4,4,4,0.5,0.05,1.0,8359641,0.311,8330546,0.312,4181015,0.710
1100,0.2,0.4,4,4,0.5,0.05,1.0,11921444,0.198,11447559,0.206,4849514,0.659
1100,0.2,0.4,4,4,0.5,0.05,1.0,6886562,0.303,7038656,0.296,4474910,0.641
1100,0.2,0.4,4,4,0.5,0.05,1.0,9318538,0.304,10467429,0.271,8915669,0.490
1100,0.2,0.4,4,4,0.5,0.05,1.0,9923499,0.229,9705604,0.234,6052161,0.506
1100,0.2,0.4,4,4,0.5,0.05,1.0,5858421,0.325,6217552,0.306,3143353,0.764
1100,0.2,0.4,4,4,0.5,0.05,2.0,9368844,0.214,9240232,0.217,4062525,0.599
1100,0.2,0.4,4,4,0.5,0.05,2.0,7729844,0.245,7984316,0.237,3014530,0.583
1100,0.2,0.4,4,4,0.5,0.05,2.0,9624839,0.293,9694601,0.291,0,0.000
1100,0.2,0.4,4,4,0.5,0.05,2.0,12397606,0.157,11875594,0.163,3858545,0.482
1100,0.2,0.4,4,4,0.5,0.05,2.0,7913052,0.328,8255573,0.315,3809778,0.699
1100,0.2,0.4,4,4,0.5,0.05,2.0,10824071,0.218,10751850,0.219,3877010,0.665
1100,0.2,0.4,4,4,0.5,0.05,2.0,7056541,0.296,7067640,0.295,3927303,0.652
1100,0.2,0.4,4,4,0.5,0.05,2.0,8698778,0.326,9712286,0.292,7857214,0.493
1100,0.2,0.4,4,4,0.5,0.05,2.0,10460730,0.217,9562837,0.238,5094410,0.523
1100,0.2,0.4,4,4,0.5,0.05,2.0,6257135,0.304,6666368,0.285,3010879,0.755
1100,0.2,0.4,4,4,0.5,0.10,0.1,9166913,0.219,9185224,0.218,5383027,0.600
1100,0.2,0.4,4,4,0.5,0.10,0.1,8222573,0.230,8919191,0.212,3974712,0.588
1100,0.2,0.4,4,4,0.5,0.10,0.1,9910744,0.285,9728826,0.290,0,0.000
1100,0.2,0.4,4,4,0.5,0.10,0.1,10508312,0.185,10296190,0.189,5689503,0.469
1100,0.2,0.4,4,4,0.5,0.10,0.1,7828927,0.332,8112572,0.320,5204306,0.704
1100,0.2,0.4,4,4,0.5,0.10,0.1,10069620,0.234,10203293,0.231,5975543,0.654
1100,0.2,0.4,4,4,0.5,0.10,0.1,6164191,0.338,6083335,0.343,5100772,0.629
1100,0.2,0.4,4,4,0.5,0.10,0.1,11370734,0.249,11703499,0.242,9272962,0.493
1100,0.2,0.4,4,4,0.5,0.10,0.1,9216561,0.247,9094585,0.250,7153685,0.504
1100,0.2,0.4,4,4,0.5,0.10,0.1,5597711,0.340,5842868,0.326,3722962,0.757
1100,0.2,0.4,4,4,0.5,0.10,0.5,9074121,0.221,9172659,0.218,4907229,0.615
1100,0.2,0.4,4,4,0.5,0.10,0.5,9495957,0.199,10260466,0.185,3853832,0.599
1100,0.2,0.4,4,4,0.5,0.10,0.5,10732465,0.263,10504892,0.268,0,0.000
1100,0.2,0.4,4,4,0.5,0.10,0.5,10815950,0.180,10497734,0.185,4964431,0.486
1100,0.2,0.4,4,4,0.5,0.10,0.5,8844813,0.294,8661901,0.300,4645949,0.690
1100,0.2,0.4,4,4,0.5,0.10,0.5,11862386,0.199,11485543,0.205,5341004,0.639
1100,0.2,0.4,4,4,0.5,0.10,0.5,6308914,0.331,6848663,0.305,4824577,0.642
1100,0.2,0.4,4,4,0.5,0.10,0.5,10639891,0.266,11660176,0.243,8980519,0.501
1100,0.2,0.4,4,4,0.5,0.10,0.5,10147177,0.224,9782088,0.232,6539555,0.503
1100,0.2,0.4,4,4,0.5,0.10,0.5,6281592,0.303,6220528,0.306,3648271,0.755
1100,0.2,0.4,4,4,0.5,0.10,1.0,9291048,0.216,9378176,0.214,4644315,0.618
1100,0.2,0.4,4,4,0.5,0.10,1.0,9447717,0.200,9982537,0.190,3068266,0.601
1100,0.2,0.4,4,4,0.5,0.10,1.0,9711757,0.290,9935917,0.284,0,0.000
1100,0.2,0.4,4,4,0.5,0.10,1.0,12363793,0.157,11738860,0.165,4559191,0.473
1100,0.2,0.4,4,4,0.5,0.10,1.0,8359641,0.311,8330546,0.312,4181015,0.710
1100,0.2,0.4,4,4,0.5,0.10,1.0,11921444,0.198,11447559,0.206,4849514,0.659
1100,0.2,0.4,4,4,0.5,0.10,1.0,6886562,0.303,7038656,0.296,4474910,0.641
1100,0.2,0.4,4,4,0.5,0.10,1.0,9318538,0.304,10467429,0.271,8915669,0.490
1100,0.2,0.4,4,4,0.5,0.10,1.0,9923499,0.229,9705604,0.234,6052161,0.506
1100,0.2,0.4,4,4,0.5,0.10,1.0,5858421,0.325,6217552,0.306,3143353,0.764
1100,0.2,0.4,4,4,0.5,0.10,2.0,9368844,0.214,9240232,0.217,4062525,0.599
1100,0.2,0.4,4,4,0.5,0.10,2.0,7729844,0.245,7984316,0.237,3014530,0.583
1100,0.2,0.4,4,4,0.5,0.10,2.0,9624839,0.293,9694601,0.291,0,0.000
1100,0.2,0.4,4,4,0.5,0.10,2.0,12397606,0.157,11875594,0.163,3858545,0.482
1100,0.2,0.4,4,4,0.5,0.10,2.0,7913052,0.328,8255573,0.315,3809778,0.699
1100,0.2,0.4,4,4,0.5,0.10,2.0,10824071,0.218,10751850,0.219,3877010,0.665
1100,0.2,0.4,4,4,0.5,0.10,2.0,7056541,0.296,7067640,0.295,3927303,0.652
1100,0.2,0.4,4,4,0.5,0.10,2.0,8698778,0.326,9712286,0.292,7857214,0.493
1100,0.2,0.4,4,4,0.5,0.10,2.0,10460730,0.217,9562837,0.238,5094410,0.523
1100,0.2,0.4,4,4,0.5,0.10,2.0,6257135,0.304,6666368,0.285,3010879,0.755
1100,0.2,0.4,4,4,0.5,0.50,0.1,9166913,0.219,9185224,0.218,5383027,0.600
1100,0.2,0.4,4,4,0.5,0.50,0.1,8222573,0.230,8919191,0.212,3974712,0.588
1100,0.2,0.4,4,4,0.5,0.50,0.1,9910744,0.285,9728826,0.290,0,0.000
1100,0.2,0.4,4,4,0.5,0.50,0.1,10508312,0.185,10296190,0.189,5689503,0.469
1100,0.2,0.4,4,4,0.5,0.50,0.1,7828927,0.332,8112572,0.320,5204306,0.704
1100,0.2,0.4,4,4,0.5,0.50,0.1,10069620,0.234,10203293,0.231,5975543,0.654
1100,0.2,0.4,4,4,0.5,0.50,0.1,6164191,0.338,6083335,0.343,5100772,0.629
