podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
100,0.5,4,4,0.1,0.1,7496,0.434,7121,0.431,5522,0.492
100,0.5,4,4,0.1,0.1,5939,0.412,6240,0.401,5210,0.532
100,0.5,4,4,0.1,0.1,5402,0.363,6714,0.417,7524,0.424
100,0.5,4,4,0.1,0.1,5274,0.449,6060,0.559,5840,0.564
100,0.5,4,4,0.1,0.1,3049,0.638,3027,0.638,2562,0.719
100,0.5,4,4,0.1,0.1,5120,0.434,5132,0.435,4938,0.439
100,0.5,4,4,0.1,0.1,5251,0.434,5344,0.432,5238,0.436
100,0.5,4,4,0.1,0.1,3332,0.755,3433,0.730,3036,0.815
100,0.5,4,4,0.1,0.1,5896,0.441,5850,0.443,5483,0.462
100,0.5,4,4,0.1,0.1,3054,0.655,3040,0.660,2832,0.725
100,0.5,4,4,0.1,0.5,6936,0.434,6707,0.440,6301,0.437
100,0.5,4,4,0.1,0.5,5188,0.462,5343,0.461,4759,0.511
100,0.5,4,4,0.1,0.5,2843,0.611,6905,0.418,6316,0.420
100,0.5,4,4,0.1,0.5,5325,0.561,5286,0.572,5153,0.564
100,0.5,4,4,0.1,0.5,2776,0.613,2873,0.600,2546,0.650
100,0.5,4,4,0.1,0.5,4428,0.433,4430,0.434,4269,0.435
100,0.5,4,4,0.1,0.5,4712,0.433,4816,0.433,4620,0.433
100,0.5,4,4,0.1,0.5,3092,0.743,3113,0.731,2786,0.808
100,0.5,4,4,0.1,0.5,5302,0.445,5331,0.444,4908,0.467
100,0.5,4,4,0.1,0.5,2707,0.654,2904,0.635,2427,0.746
100,0.5,4,4,0.1,1.0,6363,0.430,6450,0.435,5838,0.454
100,0.5,4,4,0.1,1.0,4695,0.460,4726,0.466,4751,0.489
100,0.5,4,4,0.1,1.0,5957,0.412,6145,0.419,5859,0.420
100,0.5,4,4,0.1,1.0,4672,0.561,4806,0.564,4497,0.564
100,0.5,4,4,0.1,1.0,2544,0.598,2605,0.572,2298,0.618
100,0.5,4,4,0.1,1.0,3758,0.432,3840,0.425,3659,0.432
100,0.5,4,4,0.1,1.0,4229,0.430,4217,0.439,4086,0.433
100,0.5,4,4,0.1,1.0,2716,0.764,2687,0.763,2436,0.814
100,0.5,4,4,0.1,1.0,4800,0.444,4814,0.443,4387,0.468
100,0.5,4,4,0.1,1.0,2513,0.637,2471,0.652,2147,0.732
100,0.5,4,4,0.1,2.0,5439,0.434,5616,0.438,4565,0.460
100,0.5,4,4,0.1,2.0,3791,0.460,3969,0.460,3668,0.466
100,0.5,4,4,0.1,2.0,5221,0.417,5429,0.425,5378,0.424
100,0.5,4,4,0.1,2.0,3491,0.563,3815,0.568,3590,0.564
100,0.5,4,4,0.1,2.0,2004,0.594,2105,0.598,1806,0.674
100,0.5,4,4,0.1,2.0,2929,0.429,2976,0.425,2752,0.433
100,0.5,4,4,0.1,2.0,3579,0.429,3503,0.434,3317,0.430
100,0.5,4,4,0.1,2.0,2230,0.766,2262,0.751,2161,0.789
100,0.5,4,4,0.1,2.0,3927,0.447,3994,0.451,3646,0.468
100,0.5,4,4,0.1,2.0,2029,0.638,2195,0.660,1826,0.725
100,0.5,4,4,0.5,0.1,10585,0.305,10682,0.300,9589,0.329
100,0.5,4,4,0.5,0.1,8830,0.303,9804,0.302,8156,0.335
100,0.5,4,4,0.5,0.1,9423,0.297,9405,0.306,8797,0.327
100,0.5,4,4,0.5,0.1,9022,0.373,9125,0.374,8321,0.404
100,0.5,4,4,0.5,0.1,5209,0.367,4652,0.409,4226,0.445
100,0.5,4,4,0.5,0.1,7873,0.284,7855,0.282,6989,0.310
100,0.5,4,4,0.5,0.1,7616,0.309,7888,0.302,7136,0.313
100,0.5,4,4,0.5,0.1,4995,0.500,5244,0.478,4546,0.547
100,0.5,4,4,0.5,0.1,7724,0.338,7971,0.325,7416,0.345
100,0.5,4,4,0.5,0.1,4849,0.416,5149,0.397,4099,0.495
100,0.5,4,4,0.5,0.5,9700,0.312,9949,0.299,8720,0.332
100,0.5,4,4,0.5,0.5,7861,0.306,8145,0.302,7451,0.299
100,0.5,4,4,0.5,0.5,8818,0.308,8756,0.308,8187,0.331
100,0.5,4,4,0.5,0.5,7785,0.387,7869,0.384,7357,0.406
100,0.5,4,4,0.5,0.5,4548,0.377,4459,0.365,3722,0.431
100,0.5,4,4,0.5,0.5,6986,0.274,6772,0.282,6124,0.302
100,0.5,4,4,0.5,0.5,6537,0.312,6930,0.298,6572,0.313
100,0.5,4,4,0.5,0.5,4677,0.485,4821,0.476,4317,0.522
100,0.5,4,4,0.5,0.5,6910,0.345,7121,0.331,6598,0.350
100,0.5,4,4,0.5,0.5,4576,0.393,4102,0.433,3718,0.488
100,0.5,4,4,0.5,1.0,8828,0.319,9071,0.305,7896,0.336
100,0.5,4,4,0.5,1.0,7278,0.298,7212,0.306,6517,0.333
100,0.5,4,4,0.5,1.0,8263,0.303,8295,0.320,7693,0.328
100,0.5,4,4,0.5,1.0,6913,0.415,7003,0.383,6792,0.387
100,0.5,4,4,0.5,1.0,4017,0.377,4153,0.365,3393,0.426
100,0.5,4,4,0.5,1.0,5882,0.277,5655,0.284,5361,0.292
100,0.5,4,4,0.5,1.0,6262,0.299,5970,0.308,5809,0.315
100,0.5,4,4,0.5,1.0,4474,0.464,4219,0.489,3811,0.531
100,0.5,4,4,0.5,1.0,6311,0.337,6558,0.324,6828,0.353
100,0.5,4,4,0.5,1.0,3889,0.409,4335,0.370,3245,0.490
100,0.5,4,4,0.5,2.0,7599,0.316,7652,0.313,6364,0.358
100,0.5,4,4,0.5,2.0,5710,0.303,5118,0.308,5914,0.308
100,0.5,4,4,0.5,2.0,6974,0.319,6908,0.332,6807,0.328
100,0.5,4,4,0.5,2.0,5561,0.383,5453,0.394,5359,0.396
100,0.5,4,4,0.5,2.0,3527,0.350,3638,0.345,2824,0.403
100,0.5,4,4,0.5,2.0,4720,0.266,4776,0.266,3967,0.301
100,0.5,4,4,0.5,2.0,5086,0.320,5092,0.316,5174,0.305
100,0.5,4,4,0.5,2.0,3736,0.472,3763,0.459,3565,0.489
100,0.5,4,4,0.5,2.0,5185,0.342,5140,0.337,4834,0.377
100,0.5,4,4,0.5,2.0,3303,0.397,3532,0.390,2748,0.482
100,0.5,4,4,1.0,0.1,14641,0.227,14432,0.225,13314,0.240
100,0.5,4,4,1.0,0.1,13913,0.214,14565,0.216,12108,0.219
100,0.5,4,4,1.0,0.1,12944,0.219,12649,0.230,11642,0.247
100,0.5,4,4,1.0,0.1,12480,0.273,12543,0.273,11608,0.292
100,0.5,4,4,1.0,0.1,6902,0.294,7392,0.259,5952,0.329
100,0.5,4,4,1.0,0.1,11135,0.200,10546,0.204,10003,0.218
100,0.5,4,4,1.0,0.1,10445,0.222,11008,0.213,10993,0.211
100,0.5,4,4,1.0,0.1,7468,0.338,7368,0.345,6816,0.371
100,0.5,4,4,1.0,0.1,10299,0.253,10265,0.254,9782,0.260
100,0.5,4,4,1.0,0.1,6844,0.292,6889,0.289,7127,0.280
100,0.5,4,4,1.0,0.5,12182,0.234,14263,0.217,12110,0.246
100,0.5,4,4,1.0,0.5,11750,0.206,11792,0.207,10849,0.218
100,0.5,4,4,1.0,0.5,11723,0.234,12031,0.227,10594,0.256
100,0.5,4,4,1.0,0.5,10916,0.273,11695,0.259,10120,0.296
100,0.5,4,4,1.0,0.5,6769,0.252,6310,0.269,5359,0.320
100,0.5,4,4,1.0,0.5,10384,0.187,9461,0.201,8202,0.228
100,0.5,4,4,1.0,0.5,9345,0.216,9508,0.216,8368,0.231
100,0.5,4,4,1.0,0.5,6396,0.356,6747,0.341,6141,0.372
100,0.5,4,4,1.0,0.5,9541,0.252,9093,0.260,8312,0.277
100,0.5,4,4,1.0,0.5,6375,0.277,6439,0.283,6262,0.287
100,0.5,4,4,1.0,1.0,12061,0.226,12121,0.221,10621,0.252
100,0.5,4,4,1.0,1.0,10717,0.202,10330,0.215,9609,0.219
100,0.5,4,4,1.0,1.0,10610,0.237,10920,0.239,9560,0.264
100,0.5,4,4,1.0,1.0,9716,0.271,9913,0.271,8465,0.289
100,0.5,4,4,1.0,1.0,6065,0.247,5909,0.281,4810,0.311
100,0.5,4,4,1.0,1.0,8869,0.185,8089,0.198,7514,0.210
100,0.5,4,4,1.0,1.0,8377,0.218,8017,0.222,7383,0.230
100,0.5,4,4,1.0,1.0,5751,0.359,6095,0.346,5561,0.366
100,0.5,4,4,1.0,1.0,8196,0.259,8201,0.292,8641,0.260
100,0.5,4,4,1.0,1.0,6035,0.258,5758,0.277,5196,0.302
100,0.5,4,4,1.0,2.0,5701,0.267,12052,0.201,8810,0.263
100,0.5,4,4,1.0,2.0,8336,0.205,8926,0.187,7602,0.227
100,0.5,4,4,1.0,2.0,9337,0.238,9248,0.244,8288,0.271
100,0.5,4,4,1.0,2.0,8211,0.260,7598,0.282,7219,0.295
100,0.5,4,4,1.0,2.0,4966,0.251,4734,0.226,4403,0.257
100,0.5,4,4,1.0,2.0,6625,0.187,6771,0.183,6358,0.191
100,0.5,4,4,1.0,2.0,7375,0.203,7154,0.204,6156,0.241
100,0.5,4,4,1.0,2.0,5433,0.320,5061,0.338,5164,0.345
100,0.5,4,4,1.0,2.0,6788,0.262,6800,0.260,5900,0.288
100,0.5,4,4,1.0,2.0,4635,0.284,4834,0.276,4859,0.288
100,0.5,4,4,5.0,0.1,42144,0.076,38466,0.070,42992,0.075
100,0.5,4,4,5.0,0.1,38875,0.071,40017,0.069,42365,0.064
100,0.5,4,4,5.0,0.1,28635,0.101,38400,0.075,32545,0.090
100,0.5,4,4,5.0,0.1,35944,0.095,42262,0.081,43922,0.078
100,0.5,4,4,5.0,0.1,22827,0.084,23381,0.084,19769,0.101
100,0.5,4,4,5.0,0.1,37833,0.060,34265,0.065,30838,0.071
100,0.5,4,4,5.0,0.1,31167,0.072,36681,0.070,31714,0.072
100,0.5,4,4,5.0,0.1,24985,0.102,24956,0.100,23146,0.104
100,0.5,4,4,5.0,0.1,31841,0.081,32395,0.080,30597,0.086
100,0.5,4,4,5.0,0.1,27084,0.074,25371,0.080,23379,0.086
100,0.5,4,4,5.0,0.5,39278,0.074,43440,0.070,34875,0.080
100,0.5,4,4,5.0,0.5,39014,0.063,41416,0.058,38514,0.063
100,0.5,4,4,5.0,0.5,34375,0.079,35201,0.079,26957,0.102
100,0.5,4,4,5.0,0.5,32617,0.092,36046,0.085,38286,0.079
100,0.5,4,4,5.0,0.5,23170,0.074,21380,0.088,20011,0.082
100,0.5,4,4,5.0,0.5,33662,0.056,28794,0.067,28347,0.066
100,0.5,4,4,5.0,0.5,30090,0.069,32855,0.061,25594,0.079
100,0.5,4,4,5.0,0.5,23183,0.096,22129,0.103,20982,0.114
100,0.5,4,4,5.0,0.5,26948,0.088,27742,0.086,26780,0.087
100,0.5,4,4,5.0,0.5,23660,0.076,20510,0.085,21646,0.084
100,0.5,4,4,5.0,1.0,36905,0.075,37247,0.072,32708,0.081
100,0.5,4,4,5.0,1.0,37306,0.058,34441,0.064,34146,0.063
100,0.5,4,4,5.0,1.0,29635,0.085,29675,0.086,28007,0.091
100,0.5,4,4,5.0,1.0,32536,0.081,32484,0.081,28753,0.093
100,0.5,4,4,5.0,1.0,19699,0.076,21530,0.070,16165,0.089
100,0.5,4,4,5.0,1.0,28678,0.056,26533,0.057,23540,0.068
100,0.5,4,4,5.0,1.0,26611,0.066,27561,0.071,22682,0.079
100,0.5,4,4,5.0,1.0,19859,0.106,21359,0.097,20650,0.106
100,0.5,4,4,5.0,1.0,23528,0.090,21618,0.099,20140,0.104
100,0.5,4,4,5.0,1.0,19598,0.086,19515,0.079,20136,0.079
100,0.5,4,4,5.0,2.0,33562,0.075,31103,0.077,28107,0.078
100,0.5,4,4,5.0,2.0,24314,0.072,28210,0.063,28156,0.060
100,0.5,4,4,5.0,2.0,25383,0.088,21291,0.085,22666,0.101
100,0.5,4,4,5.0,2.0,22771,0.095,22850,0.094,23102,0.094
100,0.5,4,4,5.0,2.0,17260,0.072,16498,0.074,16284,0.075
100,0.5,4,4,5.0,2.0,24068,0.051,23856,0.052,26516,0.045
100,0.5,4,4,5.0,2.0,25459,0.059,23135,0.061,20807,0.075
100,0.5,4,4,5.0,2.0,16984,0.105,17098,0.109,16779,0.101
100,0.5,4,4,5.0,2.0,22091,0.083,18050,0.097,18106,0.098
100,0.5,4,4,5.0,2.0,17095,0.080,17016,0.081,14666,0.086
100,0.5,4,4,10.0,0.1,81955,0.039,91200,0.035,79777,0.040
100,0.5,4,4,10.0,0.1,81292,0.034,78722,0.034,76117,0.035
100,0.5,4,4,10.0,0.1,74396,0.038,69651,0.042,59014,0.050
100,0.5,4,4,10.0,0.1,67798,0.050,74052,0.046,63951,0.056
100,0.5,4,4,10.0,0.1,41338,0.048,41618,0.045,35176,0.056
100,0.5,4,4,10.0,0.1,65302,0.034,67905,0.032,62874,0.035
100,0.5,4,4,10.0,0.1,65381,0.035,61830,0.035,61252,0.037
100,0.5,4,4,10.0,0.1,46830,0.053,41612,0.060,46315,0.054
100,0.5,4,4,10.0,0.1,57066,0.046,55244,0.047,58455,0.045
100,0.5,4,4,10.0,0.1,49196,0.041,46995,0.044,42504,0.049
100,0.5,4,4,10.0,0.5,81911,0.037,70238,0.042,68849,0.043
100,0.5,4,4,10.0,0.5,75904,0.032,73430,0.033,71222,0.036
100,0.5,4,4,10.0,0.5,64419,0.043,64385,0.042,52468,0.053
100,0.5,4,4,10.0,0.5,72413,0.041,67837,0.044,59876,0.051
100,0.5,4,4,10.0,0.5,39142,0.044,38677,0.043,41403,0.046
100,0.5,4,4,10.0,0.5,64848,0.030,57330,0.033,48606,0.039
100,0.5,4,4,10.0,0.5,53746,0.037,55609,0.037,53446,0.037
100,0.5,4,4,10.0,0.5,44389,0.051,46094,0.050,39924,0.056
100,0.5,4,4,10.0,0.5,50235,0.048,51601,0.046,49646,0.048
100,0.5,4,4,10.0,0.5,41947,0.045,41488,0.044,40191,0.045
100,0.5,4,4,10.0,1.0,73899,0.038,62046,0.044,54561,0.047
100,0.5,4,4,10.0,1.0,71086,0.030,64492,0.034,61814,0.034
100,0.5,4,4,10.0,1.0,62795,0.040,58021,0.044,50750,0.050
100,0.5,4,4,10.0,1.0,52935,0.050,61218,0.043,48261,0.056
100,0.5,4,4,10.0,1.0,36441,0.044,39651,0.038,32614,0.045
100,0.5,4,4,10.0,1.0,60812,0.027,52470,0.033,54396,0.031
100,0.5,4,4,10.0,1.0,49884,0.037,57681,0.030,53374,0.035
100,0.5,4,4,10.0,1.0,40298,0.052,38628,0.045,40937,0.051
100,0.5,4,4,10.0,1.0,42440,0.050,40717,0.053,42451,0.051
100,0.5,4,4,10.0,1.0,45604,0.053,37743,0.042,36685,0.043
100,0.5,4,4,10.0,2.0,60811,0.039,59015,0.040,55565,0.039
100,0.5,4,4,10.0,2.0,57337,0.031,54873,0.036,52872,0.033
100,0.5,4,4,10.0,2.0,43027,0.053,41812,0.051,36978,0.063
100,0.5,4,4,10.0,2.0,41582,0.053,48641,0.044,41179,0.053
100,0.5,4,4,10.0,2.0,29184,0.044,30737,0.037,27260,0.045
100,0.5,4,4,10.0,2.0,45238,0.028,44402,0.029,38491,0.032
100,0.5,4,4,10.0,2.0,42069,0.037,41568,0.035,39106,0.039
100,0.5,4,4,10.0,2.0,31972,0.054,31498,0.054,35417,0.051
100,0.5,4,4,10.0,2.0,32263,0.054,33389,0.052,36226,0.049
100,0.5,4,4,10.0,2.0,27852,0.045,40199,0.033,28126,0.046
100,0.5,4,4,20.0,0.1,155395,0.021,157552,0.020,148333,0.021
100,0.5,4,4,20.0,0.1,142649,0.020,148395,0.018,147539,0.018
100,0.5,4,4,20.0,0.1,142626,0.020,137402,0.021,116637,0.025
100,0.5,4,4,20.0,0.1,125683,0.027,146223,0.023,132424,0.026
100,0.5,4,4,20.0,0.1,83135,0.023,97147,0.020,71581,0.027
100,0.5,4,4,20.0,0.1,136190,0.016,131613,0.017,114185,0.018
100,0.5,4,4,20.0,0.1,117730,0.019,115877,0.020,118699,0.019
100,0.5,4,4,20.0,0.1,87825,0.029,88098,0.028,96366,0.025
100,0.5,4,4,20.0,0.1,111324,0.024,102843,0.026,96592,0.028
100,0.5,4,4,20.0,0.1,81482,0.025,93730,0.022,87711,0.023
100,0.5,4,4,20.0,0.5,141093,0.021,141887,0.021,133147,0.022
100,0.5,4,4,20.0,0.5,137824,0.017,142736,0.017,132099,0.018
100,0.5,4,4,20.0,0.5,105288,0.027,126068,0.021,111269,0.025
100,0.5,4,4,20.0,0.5,85257,0.021,127157,0.024,115535,0.026
100,0.5,4,4,20.0,0.5,75722,0.023,66049,0.023,65603,0.026
100,0.5,4,4,20.0,0.5,128240,0.015,110838,0.017,94659,0.020
100,0.5,4,4,20.0,0.5,99826,0.021,112231,0.018,102892,0.019
100,0.5,4,4,20.0,0.5,81930,0.029,90314,0.026,76999,0.029
100,0.5,4,4,20.0,0.5,88609,0.028,91662,0.026,87215,0.028
100,0.5,4,4,20.0,0.5,76318,0.025,82818,0.023,85226,0.022
100,0.5,4,4,20.0,1.0,132238,0.021,130262,0.020,119333,0.022
100,0.5,4,4,20.0,1.0,129104,0.017,124825,0.017,130839,0.015
100,0.5,4,4,20.0,1.0,114928,0.022,104641,0.025,101253,0.025
100,0.5,4,4,20.0,1.0,111187,0.024,110959,0.024,100122,0.027
100,0.5,4,4,20.0,1.0,79652,0.020,72687,0.020,60718,0.026
100,0.5,4,4,20.0,1.0,113633,0.014,94221,0.017,93858,0.017
100,0.5,4,4,20.0,1.0,101741,0.020,110099,0.016,92206,0.019
100,0.5,4,4,20.0,1.0,77103,0.028,76173,0.027,77069,0.027
100,0.5,4,4,20.0,1.0,77274,0.029,84630,0.025,74182,0.029
100,0.5,4,4,20.0,1.0,74923,0.023,76454,0.021,72350,0.024
100,0.5,4,4,20.0,2.0,123957,0.021,114557,0.021,95955,0.020
100,0.5,4,4,20.0,2.0,115383,0.015,105037,0.017,96504,0.018
100,0.5,4,4,20.0,2.0,81014,0.027,83140,0.027,73902,0.031
100,0.5,4,4,20.0,2.0,88005,0.025,84986,0.025,79292,0.027
100,0.5,4,4,20.0,2.0,68802,0.020,67108,0.020,58058,0.021
100,0.5,4,4,20.0,2.0,99958,0.013,83925,0.016,78535,0.015
100,0.5,4,4,20.0,2.0,81902,0.019,80916,0.018,78565,0.019
100,0.5,4,4,20.0,2.0,59181,0.030,60959,0.028,67074,0.026
100,0.5,4,4,20.0,2.0,62656,0.028,69884,0.026,56194,0.031
100,0.5,4,4,20.0,2.0,62496,0.020,63883,0.021,52446,0.025
100,0.5,4,8,0.1,0.1,3773,0.483,3916,0.465,3176,0.556
100,0.5,4,8,0.1,0.1,3269,0.441,3003,0.482,2620,0.537
100,0.5,4,8,0.1,0.1,2647,0.551,2618,0.572,2103,0.692
100,0.5,4,8,0.1,0.1,2214,0.685,2330,0.648,2032,0.738
100,0.5,4,8,0.1,0.1,2230,0.547,2081,0.607,1864,0.624
100,0.5,4,8,0.1,0.1,2687,0.469,2797,0.465,2277,0.535
100,0.5,4,8,0.1,0.1,2133,0.620,2288,0.587,1790,0.702
100,0.5,4,8,0.1,0.1,2157,0.624,2099,0.651,2005,0.643
100,0.5,4,8,0.1,0.1,2207,0.743,2368,0.694,2133,0.756
100,0.5,4,8,0.1,0.1,2148,0.593,2261,0.571,1996,0.623
100,0.5,4,8,0.1,0.5,3508,0.478,3585,0.479,3050,0.535
100,0.5,4,8,0.1,0.5,2828,0.455,2744,0.475,2142,0.592
100,0.5,4,8,0.1,0.5,2248,0.591,2329,0.596,1885,0.711
100,0.5,4,8,0.1,0.5,1977,0.676,2047,0.658,1785,0.740
100,0.5,4,8,0.1,0.5,1859,0.601,1938,0.579,1891,0.600
100,0.5,4,8,0.1,0.5,2263,0.493,2693,0.457,1945,0.548
100,0.5,4,8,0.1,0.5,2005,0.590,2023,0.604,1729,0.659
100,0.5,4,8,0.1,0.5,1896,0.638,1916,0.642,1838,0.649
100,0.5,4,8,0.1,0.5,2081,0.709,2145,0.681,2031,0.693
100,0.5,4,8,0.1,0.5,1918,0.585,2019,0.562,1722,0.634
100,0.5,4,8,0.1,1.0,3252,0.477,3136,0.444,2694,0.532
100,0.5,4,8,0.1,1.0,2492,0.448,2466,0.464,2094,0.529
100,0.5,4,8,0.1,1.0,2078,0.600,2128,0.589,1841,0.657
100,0.5,4,8,0.1,1.0,1818,0.651,1802,0.652,1707,0.688
100,0.5,4,8,0.1,1.0,1645,0.558,1579,0.616,1549,0.630
100,0.5,4,8,0.1,1.0,1993,0.489,2173,0.472,1715,0.548
100,0.5,4,8,0.1,1.0,1824,0.593,1700,0.634,1477,0.691
100,0.5,4,8,0.1,1.0,1791,0.652,1917,0.619,1545,0.693
100,0.5,4,8,0.1,1.0,1860,0.697,1923,0.671,1836,0.679
100,0.5,4,8,0.1,1.0,1660,0.590,1617,0.581,1455,0.658
100,0.5,4,8,0.1,2.0,2834,0.484,3100,0.459,2425,0.526
100,0.5,4,8,0.1,2.0,2104,0.437,1985,0.474,1462,0.612
100,0.5,4,8,0.1,2.0,1484,0.627,1830,0.573,1671,0.602
100,0.5,4,8,0.1,2.0,1465,0.649,1493,0.639,1271,0.743
100,0.5,4,8,0.1,2.0,1339,0.605,1489,0.510,1418,0.567
100,0.5,4,8,0.1,2.0,1725,0.454,1722,0.475,1465,0.516
