podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.2,0.4,4,4,0.5,0.1,637462,0.800,646440,0.800,584716,0.800
100,0.2,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.1,654430,0.800,548897,0.800,590469,0.800
100,0.2,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.1,620554,0.457,618081,0.457,564698,0.457
100,0.2,0.4,4,4,0.5,0.1,458749,0.800,460153,0.800,452744,0.800
100,0.2,0.4,4,4,0.5,0.1,503241,0.533,525345,0.533,470968,0.533
100,0.2,0.4,4,4,0.5,0.1,338308,0.728,350158,0.716,265817,0.819
100,0.2,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.1,638661,0.457,675187,0.457,619660,0.457
100,0.2,0.4,4,4,0.5,0.5,611578,0.800,645781,0.800,530229,0.800
100,0.2,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.5,567955,0.800,560977,0.800,573251,0.800
100,0.2,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.5,531003,0.457,544306,0.457,495917,0.457
100,0.2,0.4,4,4,0.5,0.5,397676,0.800,400254,0.800,398458,0.800
100,0.2,0.4,4,4,0.5,0.5,416108,0.533,432004,0.533,411272,0.533
100,0.2,0.4,4,4,0.5,0.5,313757,0.719,309284,0.711,274725,0.759
100,0.2,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,0.5,576975,0.457,594936,0.457,520938,0.457
100,0.2,0.4,4,4,0.5,1.0,561349,0.800,563225,0.800,501465,0.800
100,0.2,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,1.0,541667,0.800,571831,0.800,490286,0.800
100,0.2,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,1.0,0,0.000,501871,0.457,450751,0.457
100,0.2,0.4,4,4,0.5,1.0,398156,0.800,345174,0.800,334297,0.800
100,0.2,0.4,4,4,0.5,1.0,362867,0.533,402472,0.533,337447,0.533
100,0.2,0.4,4,4,0.5,1.0,273408,0.708,263476,0.796,205424,0.832
100,0.2,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,1.0,536350,0.457,554605,0.457,506715,0.457
100,0.2,0.4,4,4,0.5,2.0,441773,0.800,503440,0.800,433297,0.800
100,0.2,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,2.0,439525,0.533,497329,0.800,428983,0.800
100,0.2,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,2.0,392457,0.457,420147,0.457,377666,0.457
100,0.2,0.4,4,4,0.5,2.0,265203,0.800,271673,0.800,278446,0.800
100,0.2,0.4,4,4,0.5,2.0,301667,0.533,312277,0.533,246996,0.533
100,0.2,0.4,4,4,0.5,2.0,224139,0.722,235470,0.731,186606,0.743
100,0.2,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,0.5,2.0,438322,0.457,467170,0.457,414793,0.457
100,0.2,0.4,4,4,1.0,0.1,664464,0.800,675106,0.800,642075,0.800
100,0.2,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.1,649581,0.800,623948,0.800,663224,0.800
100,0.2,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.1,598407,0.457,586524,0.457,605619,0.457
100,0.2,0.4,4,4,1.0,0.1,456880,0.800,484869,0.800,456381,0.800
100,0.2,0.4,4,4,1.0,0.1,487775,0.533,509204,0.533,477828,0.533
100,0.2,0.4,4,4,1.0,0.1,345002,0.712,304867,0.799,287346,0.772
100,0.2,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.1,635334,0.457,626623,0.457,636711,0.457
100,0.2,0.4,4,4,1.0,0.5,604778,0.800,612988,0.800,597887,0.800
100,0.2,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.5,570602,0.800,612102,0.800,594998,0.800
100,0.2,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.5,540029,0.457,560418,0.457,575220,0.457
100,0.2,0.4,4,4,1.0,0.5,397676,0.800,400254,0.800,397914,0.800
100,0.2,0.4,4,4,1.0,0.5,414178,0.533,455100,0.533,391446,0.533
100,0.2,0.4,4,4,1.0,0.5,474982,0.533,311551,0.771,235171,0.798
100,0.2,0.4,4,4,1.0,0.5,230201,0.703,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,0.5,523195,0.457,601842,0.457,551721,0.457
100,0.2,0.4,4,4,1.0,1.0,561349,0.800,576906,0.800,528540,0.800
100,0.2,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,1.0,535556,0.800,571831,0.800,478037,0.800
