podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
300,0.8,4,4,0.1,0.1,8370,0.621,19259,0.527,18595,0.450
300,0.8,4,4,0.1,0.1,17726,0.470,17946,0.472,16842,0.485
300,0.8,4,4,0.1,0.1,20498,0.425,21773,0.419,21336,0.423
300,0.8,4,4,0.1,0.1,17881,0.573,18009,0.570,16614,0.585
300,0.8,4,4,0.1,0.1,9193,0.651,9172,0.630,8046,0.689
300,0.8,4,4,0.1,0.1,15007,0.427,15529,0.431,14005,0.450
300,0.8,4,4,0.1,0.1,16154,0.429,16323,0.431,14780,0.440
300,0.8,4,4,0.1,0.1,10135,0.767,9807,0.783,9380,0.820
300,0.8,4,4,0.1,0.1,19320,0.444,19295,0.443,17097,0.487
300,0.8,4,4,0.1,0.1,9605,0.684,9594,0.685,8648,0.765
300,0.8,4,4,0.1,0.5,18585,0.432,18826,0.433,17206,0.454
300,0.8,4,4,0.1,0.5,15727,0.468,15928,0.469,14973,0.485
300,0.8,4,4,0.1,0.5,20082,0.421,20745,0.422,19440,0.436
300,0.8,4,4,0.1,0.5,15972,0.569,15967,0.571,15228,0.580
300,0.8,4,4,0.1,0.5,8011,0.633,8288,0.622,7346,0.688
300,0.8,4,4,0.1,0.5,13048,0.424,12517,0.430,12102,0.449
300,0.8,4,4,0.1,0.5,14517,0.429,14918,0.432,13265,0.434
300,0.8,4,4,0.1,0.5,9426,0.750,9321,0.763,8396,0.834
300,0.8,4,4,0.1,0.5,16761,0.444,17919,0.445,15399,0.489
300,0.8,4,4,0.1,0.5,8759,0.673,8674,0.679,7671,0.767
300,0.8,4,4,0.1,1.0,17196,0.431,17149,0.435,15728,0.457
300,0.8,4,4,0.1,1.0,14021,0.469,14440,0.470,13176,0.497
300,0.8,4,4,0.1,1.0,18677,0.423,19233,0.423,16857,0.439
300,0.8,4,4,0.1,1.0,13907,0.571,14014,0.574,13315,0.581
300,0.8,4,4,0.1,1.0,7271,0.621,7318,0.624,6603,0.664
300,0.8,4,4,0.1,1.0,11133,0.421,11261,0.420,10334,0.442
300,0.8,4,4,0.1,1.0,12931,0.429,12932,0.430,11663,0.435
300,0.8,4,4,0.1,1.0,8357,0.754,8414,0.761,7717,0.800
300,0.8,4,4,0.1,1.0,15685,0.447,15844,0.445,13769,0.489
300,0.8,4,4,0.1,1.0,7378,0.682,7786,0.674,6892,0.756
300,0.8,4,4,0.1,2.0,14660,0.434,14634,0.436,14260,0.434
300,0.8,4,4,0.1,2.0,11539,0.469,11811,0.468,10843,0.479
300,0.8,4,4,0.1,2.0,15486,0.426,16887,0.425,15746,0.444
300,0.8,4,4,0.1,2.0,10688,0.572,11387,0.575,9905,0.606
300,0.8,4,4,0.1,2.0,6072,0.616,6147,0.614,5156,0.679
300,0.8,4,4,0.1,2.0,9463,0.428,8754,0.417,7963,0.442
300,0.8,4,4,0.1,2.0,10807,0.432,10940,0.431,9400,0.436
300,0.8,4,4,0.1,2.0,7024,0.760,7104,0.761,5727,0.879
300,0.8,4,4,0.1,2.0,12977,0.450,13154,0.448,11312,0.491
300,0.8,4,4,0.1,2.0,6515,0.667,6426,0.684,5589,0.764
300,0.8,4,4,0.5,0.1,29389,0.297,29299,0.298,26053,0.327
300,0.8,4,4,0.5,0.1,26755,0.314,27378,0.322,24601,0.330
300,0.8,4,4,0.5,0.1,28243,0.312,29743,0.314,27643,0.331
