MPEFT,IPPTS,Custom
16759.20,22743.05,164113.29
9316.66,2526.59,5246.07
19791.68,11492.93,43059.07
8468.68,8470.81,55747.08
25861.94,23530.91,80398.69
8614.87,17417.34,36550.73
4864.84,9126.75,27125.16
3679.08,4612.70,7480.42
22093.45,17333.37,28148.90
16050.27,19368.89,34777.72
27006.39,56625.34,77204.97
10204.60,13857.22,69293.29
15500.35,20054.12,39072.05
6648.06,7619.81,38782.31
11621.89,10424.76,117764.81
1928.77,1930.74,14797.83
6749.62,6745.33,44783.56
3712.57,8367.25,26607.58
6701.86,4743.39,15047.42
3943.85,4882.18,46614.67
17425.85,12387.53,29890.16
30270.69,23244.62,123529.19
9822.64,11741.12,19932.06
1459.61,1888.95,2778.05
17281.60,16107.44,60914.91
14151.18,17425.57,103905.61
4899.00,4663.45,7051.06
14989.33,12320.17,138127.42
3646.27,2785.72,4756.97
