podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.8,0.4,4,4,0.5,0.1,687655,0.800,659896,0.800,638503,0.800
100,0.8,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.1,280093,0.772,664700,0.800,620483,0.800
100,0.8,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.1,580735,0.457,620354,0.457,577634,0.457
100,0.8,0.4,4,4,0.5,0.1,511063,0.800,523461,0.800,512361,0.800
100,0.8,0.4,4,4,0.5,0.1,505106,0.533,514863,0.533,476387,0.533
100,0.8,0.4,4,4,0.5,0.1,319783,0.771,323049,0.766,287278,0.779
100,0.8,0.4,4,4,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.1,593017,0.457,615166,0.457,554938,0.457
100,0.8,0.4,4,4,0.5,0.5,586774,0.800,608401,0.800,557732,0.800
100,0.8,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.5,603534,0.800,635622,0.800,570031,0.800
100,0.8,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.5,541086,0.457,550010,0.457,515694,0.457
100,0.8,0.4,4,4,0.5,0.5,441327,0.800,452245,0.800,445370,0.800
100,0.8,0.4,4,4,0.5,0.5,437408,0.533,466883,0.533,408157,0.533
100,0.8,0.4,4,4,0.5,0.5,281500,0.787,293761,0.772,224195,0.846
100,0.8,0.4,4,4,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,0.5,542527,0.457,555965,0.457,517712,0.457
100,0.8,0.4,4,4,0.5,1.0,538748,0.800,553942,0.800,500880,0.800
100,0.8,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,1.0,532491,0.800,573370,0.800,453805,0.800
100,0.8,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,1.0,464084,0.457,508171,0.457,457133,0.457
100,0.8,0.4,4,4,0.5,1.0,399426,0.800,383245,0.800,307700,0.533
100,0.8,0.4,4,4,0.5,1.0,348536,0.533,382069,0.533,351933,0.533
100,0.8,0.4,4,4,0.5,1.0,251000,0.772,268080,0.774,229497,0.785
100,0.8,0.4,4,4,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,1.0,489899,0.457,517431,0.457,463866,0.457
100,0.8,0.4,4,4,0.5,2.0,447471,0.800,476969,0.800,412223,0.800
100,0.8,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,2.0,460733,0.800,503156,0.800,408974,0.800
100,0.8,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,2.0,411443,0.457,439025,0.457,379772,0.457
100,0.8,0.4,4,4,0.5,2.0,302185,0.800,308997,0.800,302957,0.800
100,0.8,0.4,4,4,0.5,2.0,287729,0.533,297446,0.533,265758,0.533
100,0.8,0.4,4,4,0.5,2.0,228522,0.744,227093,0.795,172258,0.795
100,0.8,0.4,4,4,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,0.5,2.0,417703,0.457,472056,0.457,388140,0.457
100,0.8,0.4,4,4,1.0,0.1,639657,0.800,651804,0.800,632072,0.800
100,0.8,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.1,653340,0.800,637890,0.800,663224,0.800
100,0.8,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.1,601944,0.457,620354,0.457,614489,0.457
100,0.8,0.4,4,4,1.0,0.1,515905,0.800,523461,0.800,518742,0.800
100,0.8,0.4,4,4,1.0,0.1,505106,0.533,514863,0.533,456209,0.533
100,0.8,0.4,4,4,1.0,0.1,316104,0.758,323049,0.766,284574,0.774
100,0.8,0.4,4,4,1.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.1,582402,0.457,0,0.000,578694,0.457
100,0.8,0.4,4,4,1.0,0.5,578947,0.800,608401,0.800,561185,0.800
100,0.8,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.5,603534,0.800,635622,0.800,613852,0.800
100,0.8,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.5,545712,0.457,537687,0.457,538099,0.457
100,0.8,0.4,4,4,1.0,0.5,438450,0.800,450970,0.800,452573,0.800
100,0.8,0.4,4,4,1.0,0.5,252974,0.792,428108,0.533,412325,0.533
100,0.8,0.4,4,4,1.0,0.5,276086,0.784,284426,0.787,263815,0.797
100,0.8,0.4,4,4,1.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,0.5,532437,0.457,574209,0.457,543508,0.457
100,0.8,0.4,4,4,1.0,1.0,538748,0.800,505385,0.800,504959,0.800
100,0.8,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,1.0,491787,0.800,554135,0.800,554992,0.800
100,0.8,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,1.0,487647,0.457,508171,0.457,516138,0.457
100,0.8,0.4,4,4,1.0,1.0,383132,0.800,408866,0.800,389710,0.800
100,0.8,0.4,4,4,1.0,1.0,0,0.000,382069,0.533,344335,0.533
100,0.8,0.4,4,4,1.0,1.0,248494,0.769,265958,0.767,217816,0.787
100,0.8,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,1.0,498940,0.457,517431,0.457,468380,0.457
100,0.8,0.4,4,4,1.0,2.0,440721,0.800,476969,0.800,421894,0.800
100,0.8,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,2.0,460733,0.800,488953,0.800,490639,0.800
100,0.8,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,2.0,411443,0.457,439025,0.457,407486,0.457
100,0.8,0.4,4,4,1.0,2.0,302185,0.800,308997,0.800,306797,0.800
100,0.8,0.4,4,4,1.0,2.0,286683,0.533,0,0.000,263620,0.533
100,0.8,0.4,4,4,1.0,2.0,206677,0.761,225018,0.760,190590,0.765
100,0.8,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,1.0,2.0,417703,0.457,472016,0.457,393632,0.457
100,0.8,0.4,4,4,5.0,0.1,596832,0.800,645021,0.800,615043,0.800
100,0.8,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.1,652880,0.800,615643,0.800,626312,0.800
100,0.8,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.1,580387,0.457,591200,0.457,606995,0.457
100,0.8,0.4,4,4,5.0,0.1,515905,0.800,472166,0.800,520615,0.800
100,0.8,0.4,4,4,5.0,0.1,475018,0.533,520300,0.533,476387,0.533
100,0.8,0.4,4,4,5.0,0.1,329173,0.740,309484,0.789,287278,0.779
100,0.8,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.1,593017,0.457,615166,0.457,582475,0.457
100,0.8,0.4,4,4,5.0,0.5,586774,0.800,608401,0.800,557732,0.800
100,0.8,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.5,603534,0.800,635622,0.800,567975,0.800
100,0.8,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.5,488718,0.533,551036,0.457,521912,0.457
100,0.8,0.4,4,4,5.0,0.5,410832,0.800,420396,0.800,453591,0.800
100,0.8,0.4,4,4,5.0,0.5,381438,0.533,439930,0.533,408157,0.533
100,0.8,0.4,4,4,5.0,0.5,277435,0.769,284426,0.787,257823,0.770
100,0.8,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.5,519067,0.457,555965,0.457,541375,0.457
100,0.8,0.4,4,4,5.0,1.0,538748,0.800,553942,0.800,509594,0.800
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,569870,0.800,545350,0.800,462228,0.800
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,439039,0.457,485449,0.457,425272,0.457
100,0.8,0.4,4,4,5.0,1.0,365278,0.800,409267,0.800,457692,0.800
100,0.8,0.4,4,4,5.0,1.0,374754,0.533,382069,0.533,347052,0.533
100,0.8,0.4,4,4,5.0,1.0,258630,0.759,263351,0.768,219165,0.795
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,489899,0.457,517431,0.457,471555,0.457
100,0.8,0.4,4,4,5.0,2.0,449692,0.800,476969,0.800,399620,0.800
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,460733,0.800,502892,0.800,425040,0.800
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,411443,0.457,439025,0.457,370058,0.457
100,0.8,0.4,4,4,5.0,2.0,0,0.000,321408,0.800,306797,0.800
100,0.8,0.4,4,4,5.0,2.0,275228,0.533,314536,0.533,265758,0.533
100,0.8,0.4,4,4,5.0,2.0,214660,0.787,221228,0.784,198791,0.772
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,435061,0.457,447568,0.457,412377,0.457
100,0.8,0.4,4,4,10.0,0.1,0,0.000,642301,0.800,606258,0.800
100,0.8,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.1,608005,0.800,668565,0.800,624157,0.800
100,0.8,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
