podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
500,0.2,4,4,0.1,0.1,33253,0.424,34896,0.431,29871,0.472
500,0.2,4,4,0.1,0.1,29230,0.464,29317,0.464,27022,0.496
500,0.2,4,4,0.1,0.1,34309,0.414,34804,0.414,32445,0.437
500,0.2,4,4,0.1,0.1,29068,0.560,29639,0.558,27046,0.598
500,0.2,4,4,0.1,0.1,15851,0.618,16038,0.619,14144,0.673
500,0.2,4,4,0.1,0.1,26984,0.421,27015,0.422,24583,0.450
500,0.2,4,4,0.1,0.1,28766,0.427,28634,0.427,26063,0.444
500,0.2,4,4,0.1,0.1,16732,0.756,16811,0.751,14875,0.840
500,0.2,4,4,0.1,0.1,31339,0.434,30949,0.438,27915,0.477
500,0.2,4,4,0.1,0.1,15238,0.679,15436,0.675,13792,0.754
500,0.2,4,4,0.1,0.5,31589,0.434,31772,0.435,28588,0.473
500,0.2,4,4,0.1,0.5,26010,0.463,27057,0.461,23937,0.493
500,0.2,4,4,0.1,0.5,32018,0.417,32615,0.418,31014,0.442
500,0.2,4,4,0.1,0.5,26167,0.560,26135,0.565,24017,0.576
500,0.2,4,4,0.1,0.5,14284,0.608,14459,0.613,13006,0.663
500,0.2,4,4,0.1,0.5,23202,0.419,23336,0.420,20158,0.459
500,0.2,4,4,0.1,0.5,25482,0.428,25718,0.429,22578,0.461
500,0.2,4,4,0.1,0.5,15097,0.754,15413,0.742,13908,0.822
500,0.2,4,4,0.1,0.5,28148,0.438,27924,0.441,25276,0.475
500,0.2,4,4,0.1,0.5,13740,0.675,13739,0.674,12499,0.803
500,0.2,4,4,0.1,1.0,29116,0.433,29684,0.435,27353,0.450
500,0.2,4,4,0.1,1.0,23483,0.461,23516,0.464,20843,0.502
500,0.2,4,4,0.1,1.0,29612,0.418,30690,0.418,28075,0.443
500,0.2,4,4,0.1,1.0,22908,0.562,23057,0.562,21021,0.590
500,0.2,4,4,0.1,1.0,12737,0.606,13010,0.604,11235,0.667
500,0.2,4,4,0.1,1.0,19990,0.416,20164,0.413,18316,0.442
500,0.2,4,4,0.1,1.0,22582,0.426,23052,0.429,20103,0.451
500,0.2,4,4,0.1,1.0,13914,0.750,13362,0.754,11980,0.846
500,0.2,4,4,0.1,1.0,25192,0.440,25201,0.443,22061,0.485
500,0.2,4,4,0.1,1.0,12093,0.683,12506,0.661,10977,0.757
500,0.2,4,4,0.1,2.0,25764,0.431,25459,0.435,23249,0.451
500,0.2,4,4,0.1,2.0,19057,0.460,19401,0.464,17561,0.482
500,0.2,4,4,0.1,2.0,26101,0.424,26719,0.423,24228,0.454
500,0.2,4,4,0.1,2.0,18558,0.561,18727,0.572,16830,0.596
500,0.2,4,4,0.1,2.0,10684,0.593,10602,0.602,9338,0.644
500,0.2,4,4,0.1,2.0,15165,0.405,15471,0.409,14471,0.435
500,0.2,4,4,0.1,2.0,18878,0.425,18778,0.427,15495,0.438
500,0.2,4,4,0.1,2.0,11879,0.728,12051,0.757,10094,0.835
500,0.2,4,4,0.1,2.0,20847,0.444,21006,0.445,18348,0.473
500,0.2,4,4,0.1,2.0,10122,0.663,10231,0.651,9671,0.705
500,0.2,4,4,0.5,0.1,50281,0.297,49466,0.301,45612,0.323
500,0.2,4,4,0.5,0.1,44531,0.304,44148,0.306,41507,0.324
500,0.2,4,4,0.5,0.1,47474,0.299,47045,0.300,44590,0.326
500,0.2,4,4,0.5,0.1,44431,0.371,44431,0.373,41261,0.397
500,0.2,4,4,0.5,0.1,27052,0.356,27373,0.361,24546,0.391
500,0.2,4,4,0.5,0.1,43476,0.255,43348,0.262,40201,0.280
500,0.2,4,4,0.5,0.1,41865,0.293,43282,0.283,38696,0.302
500,0.2,4,4,0.5,0.1,27914,0.453,26255,0.488,24884,0.525
500,0.2,4,4,0.5,0.1,43984,0.309,43852,0.314,37948,0.351
500,0.2,4,4,0.5,0.1,24119,0.409,25531,0.407,23359,0.450
500,0.2,4,4,0.5,0.5,45763,0.301,45258,0.303,43372,0.313
500,0.2,4,4,0.5,0.5,39508,0.305,40086,0.305,37293,0.322
500,0.2,4,4,0.5,0.5,43584,0.307,44258,0.307,42088,0.326
500,0.2,4,4,0.5,0.5,37675,0.379,38539,0.380,36085,0.402
500,0.2,4,4,0.5,0.5,24718,0.346,24930,0.353,23357,0.369
500,0.2,4,4,0.5,0.5,38619,0.253,37960,0.257,34207,0.281
500,0.2,4,4,0.5,0.5,37456,0.288,37919,0.289,34473,0.303
500,0.2,4,4,0.5,0.5,25355,0.451,25361,0.472,23360,0.479
500,0.2,4,4,0.5,0.5,38322,0.325,39191,0.314,32897,0.368
500,0.2,4,4,0.5,0.5,23116,0.404,21911,0.414,21222,0.446
500,0.2,4,4,0.5,1.0,41390,0.303,41275,0.308,36222,0.325
500,0.2,4,4,0.5,1.0,35226,0.302,35572,0.305,35245,0.326
500,0.2,4,4,0.5,1.0,40302,0.309,40428,0.312,35472,0.357
500,0.2,4,4,0.5,1.0,34344,0.376,34307,0.376,31545,0.403
500,0.2,4,4,0.5,1.0,22872,0.343,21752,0.348,20516,0.373
500,0.2,4,4,0.5,1.0,33233,0.250,33784,0.245,31582,0.258
500,0.2,4,4,0.5,1.0,33295,0.289,34125,0.281,29249,0.315
500,0.2,4,4,0.5,1.0,23748,0.427,22672,0.455,20563,0.498
500,0.2,4,4,0.5,1.0,34127,0.324,35061,0.325,29718,0.362
500,0.2,4,4,0.5,1.0,20415,0.408,20363,0.409,19480,0.424
500,0.2,4,4,0.5,2.0,36353,0.303,34154,0.319,32767,0.330
500,0.2,4,4,0.5,2.0,29305,0.298,29237,0.300,26097,0.333
500,0.2,4,4,0.5,2.0,33841,0.326,35327,0.322,32312,0.342
500,0.2,4,4,0.5,2.0,27462,0.381,27889,0.379,25104,0.409
500,0.2,4,4,0.5,2.0,19597,0.324,19518,0.319,16759,0.371
500,0.2,4,4,0.5,2.0,27048,0.237,25315,0.243,24679,0.236
500,0.2,4,4,0.5,2.0,26951,0.286,27908,0.293,24708,0.288
500,0.2,4,4,0.5,2.0,19734,0.448,20212,0.451,18291,0.473
500,0.2,4,4,0.5,2.0,27690,0.336,27889,0.332,23692,0.375
500,0.2,4,4,0.5,2.0,17749,0.381,16558,0.394,15798,0.418
500,0.2,4,4,1.0,0.1,67551,0.220,69012,0.218,61440,0.239
500,0.2,4,4,1.0,0.1,66605,0.213,63182,0.213,59660,0.226
500,0.2,4,4,1.0,0.1,63740,0.224,64485,0.224,59261,0.241
500,0.2,4,4,1.0,0.1,57875,0.287,65204,0.258,60410,0.275
500,0.2,4,4,1.0,0.1,39635,0.240,39985,0.246,36658,0.265
500,0.2,4,4,1.0,0.1,64240,0.177,64654,0.170,58346,0.193
500,0.2,4,4,1.0,0.1,60099,0.202,60225,0.202,55090,0.217
500,0.2,4,4,1.0,0.1,41177,0.308,40747,0.312,37703,0.335
500,0.2,4,4,1.0,0.1,59247,0.229,58726,0.230,50926,0.263
500,0.2,4,4,1.0,0.1,37669,0.277,37686,0.283,35964,0.296
