podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
700,0.5,4,4,0.1,0.1,47993,0.426,48605,0.424,44710,0.450
700,0.5,4,4,0.1,0.1,41978,0.458,42211,0.459,38480,0.500
700,0.5,4,4,0.1,0.1,48888,0.415,48803,0.412,45390,0.444
700,0.5,4,4,0.1,0.1,40346,0.558,42181,0.562,37598,0.589
700,0.5,4,4,0.1,0.1,21900,0.628,21460,0.632,20075,0.693
700,0.5,4,4,0.1,0.1,35807,0.416,35696,0.418,32334,0.456
700,0.5,4,4,0.1,0.1,38553,0.429,38440,0.430,36650,0.448
700,0.5,4,4,0.1,0.1,23391,0.739,23153,0.756,21092,0.833
700,0.5,4,4,0.1,0.1,44184,0.437,43553,0.437,40497,0.456
700,0.5,4,4,0.1,0.1,21715,0.668,21496,0.672,19146,0.760
700,0.5,4,4,0.1,0.5,44814,0.425,44823,0.425,41050,0.453
700,0.5,4,4,0.1,0.5,37512,0.458,38465,0.457,34094,0.503
700,0.5,4,4,0.1,0.5,45129,0.416,45339,0.417,42670,0.443
700,0.5,4,4,0.1,0.5,35862,0.559,35938,0.560,33218,0.587
700,0.5,4,4,0.1,0.5,19840,0.618,19952,0.622,17034,0.689
700,0.5,4,4,0.1,0.5,31128,0.412,30811,0.416,28115,0.449
700,0.5,4,4,0.1,0.5,34242,0.427,34351,0.430,30779,0.457
700,0.5,4,4,0.1,0.5,22410,0.744,21385,0.743,18894,0.840
700,0.5,4,4,0.1,0.5,39564,0.439,39713,0.438,33571,0.502
700,0.5,4,4,0.1,0.5,19573,0.668,19268,0.672,17965,0.722
700,0.5,4,4,0.1,1.0,40204,0.427,41380,0.425,37575,0.449
700,0.5,4,4,0.1,1.0,33548,0.458,33920,0.457,29906,0.509
700,0.5,4,4,0.1,1.0,42242,0.417,42198,0.418,39035,0.449
700,0.5,4,4,0.1,1.0,31449,0.561,31737,0.558,29289,0.585
700,0.5,4,4,0.1,1.0,17605,0.611,17662,0.615,15596,0.661
700,0.5,4,4,0.1,1.0,26798,0.408,26611,0.410,24172,0.442
700,0.5,4,4,0.1,1.0,30054,0.428,31938,0.424,26325,0.453
700,0.5,4,4,0.1,1.0,18914,0.753,19096,0.745,17533,0.805
700,0.5,4,4,0.1,1.0,35253,0.442,35462,0.442,31490,0.474
700,0.5,4,4,0.1,1.0,17592,0.660,17268,0.664,15268,0.743
700,0.5,4,4,0.1,2.0,35655,0.425,36240,0.424,32823,0.444
700,0.5,4,4,0.1,2.0,27484,0.457,27907,0.457,25147,0.484
700,0.5,4,4,0.1,2.0,36901,0.420,38072,0.424,34449,0.452
700,0.5,4,4,0.1,2.0,25742,0.567,25491,0.562,22612,0.606
700,0.5,4,4,0.1,2.0,15097,0.602,14933,0.599,13130,0.648
700,0.5,4,4,0.1,2.0,21074,0.399,20879,0.403,18936,0.438
700,0.5,4,4,0.1,2.0,25228,0.428,26058,0.422,20977,0.469
700,0.5,4,4,0.1,2.0,16015,0.744,16519,0.733,14952,0.791
700,0.5,4,4,0.1,2.0,28968,0.444,30145,0.443,25955,0.485
