podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
500,0.8,4,4,0.1,0.1,32687,0.429,34728,0.433,30614,0.460
500,0.8,4,4,0.1,0.1,30061,0.462,30155,0.466,28711,0.479
500,0.8,4,4,0.1,0.1,34040,0.418,35024,0.418,33084,0.437
500,0.8,4,4,0.1,0.1,28646,0.571,28620,0.568,27475,0.582
500,0.8,4,4,0.1,0.1,16032,0.630,15124,0.631,14341,0.688
500,0.8,4,4,0.1,0.1,26310,0.424,25961,0.422,24378,0.447
500,0.8,4,4,0.1,0.1,27348,0.436,28512,0.432,24576,0.445
500,0.8,4,4,0.1,0.1,16286,0.777,16503,0.784,15034,0.840
500,0.8,4,4,0.1,0.1,31202,0.440,31462,0.441,27659,0.479
500,0.8,4,4,0.1,0.1,14818,0.693,14761,0.688,13069,0.777
500,0.8,4,4,0.1,0.5,32024,0.435,32272,0.436,30659,0.442
500,0.8,4,4,0.1,0.5,25584,0.464,27053,0.467,24963,0.488
500,0.8,4,4,0.1,0.5,32262,0.421,33969,0.421,30357,0.448
500,0.8,4,4,0.1,0.5,25818,0.572,25182,0.564,24958,0.566
500,0.8,4,4,0.1,0.5,14287,0.628,14444,0.634,12615,0.696
500,0.8,4,4,0.1,0.5,22460,0.423,21551,0.425,21387,0.435
500,0.8,4,4,0.1,0.5,23636,0.430,24321,0.432,22701,0.442
500,0.8,4,4,0.1,0.5,15078,0.772,15053,0.766,13322,0.862
500,0.8,4,4,0.1,0.5,27418,0.444,28658,0.444,26242,0.465
500,0.8,4,4,0.1,0.5,13274,0.682,13218,0.679,11910,0.752
500,0.8,4,4,0.1,1.0,29411,0.435,29045,0.434,27391,0.446
500,0.8,4,4,0.1,1.0,23669,0.462,24150,0.465,22157,0.479
500,0.8,4,4,0.1,1.0,29899,0.422,30919,0.422,28027,0.453
500,0.8,4,4,0.1,1.0,22343,0.569,22655,0.564,21146,0.582
500,0.8,4,4,0.1,1.0,12559,0.615,12930,0.622,11407,0.674
500,0.8,4,4,0.1,1.0,19350,0.416,19222,0.419,18420,0.436
500,0.8,4,4,0.1,1.0,21075,0.431,21428,0.432,18901,0.448
500,0.8,4,4,0.1,1.0,13763,0.778,13859,0.760,12407,0.834
500,0.8,4,4,0.1,1.0,25612,0.444,25588,0.444,22803,0.476
500,0.8,4,4,0.1,1.0,11974,0.677,12046,0.665,10883,0.736
500,0.8,4,4,0.1,2.0,23686,0.427,25616,0.439,23460,0.454
500,0.8,4,4,0.1,2.0,19682,0.461,20008,0.455,17754,0.495
500,0.8,4,4,0.1,2.0,26261,0.425,27099,0.426,25221,0.451
500,0.8,4,4,0.1,2.0,17961,0.572,18878,0.564,16836,0.587
500,0.8,4,4,0.1,2.0,10560,0.596,10546,0.621,9213,0.674
500,0.8,4,4,0.1,2.0,14997,0.412,15522,0.412,14290,0.426
500,0.8,4,4,0.1,2.0,17388,0.433,17720,0.434,15067,0.442
500,0.8,4,4,0.1,2.0,11599,0.758,11501,0.774,10094,0.848
500,0.8,4,4,0.1,2.0,21169,0.448,21219,0.446,19232,0.468
500,0.8,4,4,0.1,2.0,9834,0.667,9598,0.672,8595,0.800
500,0.8,4,4,0.5,0.1,47827,0.311,47759,0.311,44520,0.330
500,0.8,4,4,0.5,0.1,45244,0.307,44192,0.321,43964,0.315
500,0.8,4,4,0.5,0.1,46416,0.312,46769,0.313,43198,0.340
500,0.8,4,4,0.5,0.1,41560,0.394,41403,0.396,40458,0.398
