podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
900,0.8,4,4,0.1,0.1,68924,0.409,60786,0.424,56854,0.444
900,0.8,4,4,0.1,0.1,53721,0.458,54935,0.461,50212,0.494
900,0.8,4,4,0.1,0.1,62776,0.414,63807,0.413,60162,0.432
900,0.8,4,4,0.1,0.1,54494,0.558,54557,0.562,50136,0.600
900,0.8,4,4,0.1,0.1,27808,0.636,27984,0.619,25103,0.680
900,0.8,4,4,0.1,0.1,48221,0.419,46644,0.419,44158,0.446
900,0.8,4,4,0.1,0.1,52004,0.425,50743,0.425,47537,0.440
900,0.8,4,4,0.1,0.1,29813,0.759,29982,0.753,26974,0.822
900,0.8,4,4,0.1,0.1,56652,0.437,56840,0.439,52530,0.459
900,0.8,4,4,0.1,0.1,26875,0.680,26691,0.681,24685,0.740
900,0.8,4,4,0.1,0.5,56622,0.425,56210,0.423,51272,0.444
900,0.8,4,4,0.1,0.5,48639,0.459,50003,0.460,45147,0.489
900,0.8,4,4,0.1,0.5,58540,0.417,59564,0.417,55498,0.438
900,0.8,4,4,0.1,0.5,48445,0.561,48795,0.561,43566,0.600
900,0.8,4,4,0.1,0.5,24716,0.622,25242,0.619,22829,0.658
900,0.8,4,4,0.1,0.5,40916,0.420,40486,0.416,37211,0.445
900,0.8,4,4,0.1,0.5,45935,0.425,45939,0.426,41930,0.437
900,0.8,4,4,0.1,0.5,27359,0.747,27482,0.742,24473,0.822
900,0.8,4,4,0.1,0.5,50732,0.440,50788,0.440,46993,0.468
900,0.8,4,4,0.1,0.5,23993,0.675,23957,0.678,21899,0.787
900,0.8,4,4,0.1,1.0,51501,0.424,51859,0.425,47956,0.451
900,0.8,4,4,0.1,1.0,44209,0.459,43925,0.460,38815,0.502
900,0.8,4,4,0.1,1.0,54235,0.419,55326,0.418,51666,0.441
900,0.8,4,4,0.1,1.0,40629,0.560,42671,0.564,39440,0.591
900,0.8,4,4,0.1,1.0,22331,0.606,22526,0.616,20814,0.636
900,0.8,4,4,0.1,1.0,34730,0.412,34612,0.413,32277,0.434
900,0.8,4,4,0.1,1.0,41260,0.424,41241,0.425,36481,0.440
900,0.8,4,4,0.1,1.0,24664,0.744,24449,0.742,23956,0.811
900,0.8,4,4,0.1,1.0,45851,0.442,46946,0.442,41782,0.463
900,0.8,4,4,0.1,1.0,21668,0.668,21195,0.674,19567,0.735
900,0.8,4,4,0.1,2.0,45025,0.425,45693,0.428,42510,0.440
900,0.8,4,4,0.1,2.0,35603,0.457,36422,0.456,33675,0.478
900,0.8,4,4,0.1,2.0,48554,0.422,48623,0.423,45637,0.440
900,0.8,4,4,0.1,2.0,34190,0.564,34624,0.563,31278,0.597
900,0.8,4,4,0.1,2.0,18878,0.602,18900,0.598,16988,0.634
900,0.8,4,4,0.1,2.0,27000,0.407,27337,0.406,24681,0.438
900,0.8,4,4,0.1,2.0,33617,0.419,33155,0.425,30426,0.436
900,0.8,4,4,0.1,2.0,20691,0.739,20366,0.733,19510,0.791
900,0.8,4,4,0.1,2.0,37974,0.445,38320,0.446,35134,0.455
900,0.8,4,4,0.1,2.0,17573,0.671,18409,0.655,17241,0.708
900,0.8,4,4,0.5,0.1,92809,0.278,92044,0.279,85217,0.294
900,0.8,4,4,0.5,0.1,85427,0.289,83521,0.301,76858,0.313
900,0.8,4,4,0.5,0.1,87124,0.299,85964,0.304,83216,0.314
900,0.8,4,4,0.5,0.1,80524,0.379,78557,0.375,76124,0.398
900,0.8,4,4,0.5,0.1,45877,0.380,46836,0.373,41653,0.411
900,0.8,4,4,0.5,0.1,77183,0.253,77141,0.253,72339,0.267
900,0.8,4,4,0.5,0.1,75637,0.283,75685,0.288,73349,0.289
900,0.8,4,4,0.5,0.1,49916,0.450,50926,0.460,46008,0.486
900,0.8,4,4,0.5,0.1,77611,0.297,78770,0.314,71194,0.339
900,0.8,4,4,0.5,0.1,44320,0.413,44402,0.411,40867,0.446
