podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
700,0.8,4,4,0.1,0.1,47881,0.430,46746,0.428,43260,0.452
700,0.8,4,4,0.1,0.1,42195,0.461,42579,0.462,39204,0.491
700,0.8,4,4,0.1,0.1,48980,0.416,49683,0.415,47341,0.431
700,0.8,4,4,0.1,0.1,40200,0.559,40462,0.560,38366,0.578
700,0.8,4,4,0.1,0.1,21669,0.630,22045,0.618,20115,0.674
700,0.8,4,4,0.1,0.1,36674,0.421,37584,0.425,34007,0.447
700,0.8,4,4,0.1,0.1,38898,0.427,39206,0.426,35395,0.445
700,0.8,4,4,0.1,0.1,23315,0.769,22588,0.764,20888,0.861
700,0.8,4,4,0.1,0.1,43764,0.437,43406,0.437,38571,0.478
700,0.8,4,4,0.1,0.1,21971,0.678,21816,0.680,19916,0.746
700,0.8,4,4,0.1,0.5,44480,0.429,43201,0.431,39724,0.459
700,0.8,4,4,0.1,0.5,37794,0.461,37988,0.462,34594,0.498
700,0.8,4,4,0.1,0.5,45697,0.419,46322,0.418,43034,0.445
700,0.8,4,4,0.1,0.5,36963,0.567,36268,0.558,34004,0.575
700,0.8,4,4,0.1,0.5,19561,0.620,20300,0.620,17712,0.660
700,0.8,4,4,0.1,0.5,31668,0.418,31555,0.420,29261,0.445
700,0.8,4,4,0.1,0.5,34845,0.426,34252,0.427,30974,0.448
700,0.8,4,4,0.1,0.5,20906,0.744,20676,0.760,18340,0.873
700,0.8,4,4,0.1,0.5,39227,0.439,39159,0.440,35242,0.475
700,0.8,4,4,0.1,0.5,19066,0.690,19678,0.670,16826,0.759
700,0.8,4,4,0.1,1.0,40223,0.429,39511,0.433,36576,0.459
700,0.8,4,4,0.1,1.0,33540,0.461,33877,0.462,30933,0.492
700,0.8,4,4,0.1,1.0,43450,0.423,43350,0.421,40797,0.438
700,0.8,4,4,0.1,1.0,31416,0.558,32009,0.561,30135,0.583
700,0.8,4,4,0.1,1.0,17478,0.615,17982,0.607,15987,0.644
700,0.8,4,4,0.1,1.0,27091,0.416,26854,0.418,25404,0.436
700,0.8,4,4,0.1,1.0,30946,0.426,31701,0.428,28002,0.429
700,0.8,4,4,0.1,1.0,18883,0.764,18927,0.749,17294,0.805
700,0.8,4,4,0.1,1.0,36317,0.442,35310,0.441,32104,0.459
700,0.8,4,4,0.1,1.0,17670,0.683,16923,0.686,15691,0.744
700,0.8,4,4,0.1,2.0,35596,0.428,34763,0.432,30926,0.456
700,0.8,4,4,0.1,2.0,27323,0.461,28091,0.460,25303,0.491
700,0.8,4,4,0.1,2.0,37280,0.425,38440,0.422,35191,0.451
700,0.8,4,4,0.1,2.0,25310,0.560,25528,0.562,24806,0.587
700,0.8,4,4,0.1,2.0,14740,0.601,14809,0.599,13521,0.625
