podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
900,0.2,0.4,4,4,0.5,0.01,0.1,4724935,0.255,4766939,0.253,2615971,0.724
900,0.2,0.4,4,4,0.5,0.01,0.1,6293088,0.232,7018738,0.208,3235046,0.643
900,0.2,0.4,4,4,0.5,0.01,0.1,7740132,0.286,7769546,0.285,8102083,0.471
900,0.2,0.4,4,4,0.5,0.01,0.1,5527995,0.254,6039887,0.232,2993859,0.661
900,0.2,0.4,4,4,0.5,0.01,0.1,5124532,0.330,5203507,0.325,4236027,0.602
900,0.2,0.4,4,4,0.5,0.01,0.1,5459396,0.255,4685671,0.297,2911832,0.732
900,0.2,0.4,4,4,0.5,0.01,0.1,3598997,0.320,3683923,0.312,2748668,0.657
900,0.2,0.4,4,4,0.5,0.01,0.1,5359766,0.494,5361090,0.494,6981875,0.740
900,0.2,0.4,4,4,0.5,0.01,0.1,4371948,0.388,4407827,0.385,3952978,0.688
900,0.2,0.4,4,4,0.5,0.01,0.1,6252017,0.255,6444255,0.247,3842027,0.614
900,0.2,0.4,4,4,0.5,0.01,0.5,3273379,0.368,3297665,0.365,2607611,0.675
900,0.2,0.4,4,4,0.5,0.01,0.5,7734202,0.189,8021895,0.182,3419862,0.641
900,0.2,0.4,4,4,0.5,0.01,0.5,8248024,0.268,7692924,0.287,9409609,0.451
900,0.2,0.4,4,4,0.5,0.01,0.5,5073947,0.276,5587961,0.251,2825349,0.668
900,0.2,0.4,4,4,0.5,0.01,0.5,5667141,0.298,5570029,0.303,3979934,0.604
900,0.2,0.4,4,4,0.5,0.01,0.5,7123192,0.196,6117076,0.228,2785235,0.705
900,0.2,0.4,4,4,0.5,0.01,0.5,3617121,0.318,4121274,0.279,2551954,0.668
900,0.2,0.4,4,4,0.5,0.01,0.5,5831226,0.454,5522557,0.480,6658677,0.743
900,0.2,0.4,4,4,0.5,0.01,0.5,4236643,0.400,4210747,0.403,3623998,0.693
900,0.2,0.4,4,4,0.5,0.01,0.5,5232648,0.304,5398331,0.295,3691594,0.633
900,0.2,0.4,4,4,0.5,0.01,1.0,3262769,0.369,3341032,0.360,2365299,0.693
900,0.2,0.4,4,4,0.5,0.01,1.0,8086877,0.180,7960913,0.183,2964410,0.639
900,0.2,0.4,4,4,0.5,0.01,1.0,7360342,0.300,7276001,0.304,8989268,0.458
900,0.2,0.4,4,4,0.5,0.01,1.0,4965237,0.283,5448870,0.257,2664557,0.645
900,0.2,0.4,4,4,0.5,0.01,1.0,5966392,0.283,6123645,0.276,3474499,0.608
900,0.2,0.4,4,4,0.5,0.01,1.0,6588693,0.212,6446730,0.216,2519423,0.738
900,0.2,0.4,4,4,0.5,0.01,1.0,3437842,0.335,3549387,0.324,2154527,0.645
900,0.2,0.4,4,4,0.5,0.01,1.0,6656656,0.398,6366744,0.416,6284639,0.750
900,0.2,0.4,4,4,0.5,0.01,1.0,4154838,0.408,4200324,0.404,3344839,0.704
900,0.2,0.4,4,4,0.5,0.01,1.0,6320293,0.252,6503096,0.245,3199770,0.630
900,0.2,0.4,4,4,0.5,0.01,2.0,3175316,0.379,3385145,0.356,2078795,0.672
900,0.2,0.4,4,4,0.5,0.01,2.0,7408955,0.197,6819583,0.214,2240670,0.623
900,0.2,0.4,4,4,0.5,0.01,2.0,6956242,0.318,7357609,0.300,8467019,0.463
900,0.2,0.4,4,4,0.5,0.01,2.0,4248964,0.330,4941525,0.284,2356036,0.657
900,0.2,0.4,4,4,0.5,0.01,2.0,5153920,0.328,5532727,0.306,2974656,0.624
900,0.2,0.4,4,4,0.5,0.01,2.0,7829136,0.178,7339026,0.190,2178173,0.723
900,0.2,0.4,4,4,0.5,0.01,2.0,3781900,0.304,4237011,0.272,2071537,0.640
900,0.2,0.4,4,4,0.5,0.01,2.0,6003439,0.441,5767305,0.459,5932907,0.743
900,0.2,0.4,4,4,0.5,0.01,2.0,4237597,0.400,4422987,0.384,3111054,0.681
900,0.2,0.4,4,4,0.5,0.01,2.0,6843122,0.233,6543879,0.243,2901246,0.650
900,0.2,0.4,4,4,0.5,0.05,0.1,3671602,0.328,3711538,0.324,2876205,0.671
