podCount,alpha,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,HWS-BJ,HWS-BJusage
1100,0.8,4,4,0.1,0.1,77484,0.421,75624,0.422,69403,0.453
1100,0.8,4,4,0.1,0.1,67471,0.456,68372,0.456,62221,0.491
1100,0.8,4,4,0.1,0.1,78617,0.413,79620,0.411,74159,0.441
1100,0.8,4,4,0.1,0.1,64962,0.555,65216,0.555,60275,0.589
1100,0.8,4,4,0.1,0.1,34406,0.623,35137,0.622,30684,0.676
1100,0.8,4,4,0.1,0.1,57039,0.416,57387,0.414,53540,0.437
1100,0.8,4,4,0.1,0.1,64710,0.422,64608,0.421,56407,0.447
1100,0.8,4,4,0.1,0.1,36958,0.754,37040,0.756,33498,0.836
1100,0.8,4,4,0.1,0.1,69284,0.434,69570,0.434,63660,0.461
1100,0.8,4,4,0.1,0.1,34342,0.685,33772,0.682,31703,0.738
1100,0.8,4,4,0.1,0.5,72059,0.420,70216,0.426,62685,0.455
1100,0.8,4,4,0.1,0.5,60220,0.456,61285,0.454,55046,0.489
1100,0.8,4,4,0.1,0.5,73866,0.416,72438,0.413,69050,0.442
1100,0.8,4,4,0.1,0.5,57302,0.557,57822,0.555,52701,0.596
1100,0.8,4,4,0.1,0.5,31685,0.612,31574,0.612,28262,0.652
1100,0.8,4,4,0.1,0.5,50813,0.411,49748,0.410,45737,0.439
1100,0.8,4,4,0.1,0.5,57505,0.420,57553,0.422,50513,0.460
1100,0.8,4,4,0.1,0.5,33588,0.754,34104,0.750,30680,0.828
1100,0.8,4,4,0.1,0.5,62651,0.436,63087,0.436,56043,0.467
1100,0.8,4,4,0.1,0.5,30406,0.673,31138,0.678,28387,0.753
1100,0.8,4,4,0.1,1.0,65021,0.424,64364,0.426,59494,0.443
1100,0.8,4,4,0.1,1.0,53877,0.457,54074,0.455,50416,0.485
1100,0.8,4,4,0.1,1.0,68749,0.418,69271,0.417,64321,0.433
1100,0.8,4,4,0.1,1.0,50641,0.556,50752,0.558,46246,0.595
1100,0.8,4,4,0.1,1.0,28129,0.603,28017,0.605,24843,0.661
1100,0.8,4,4,0.1,1.0,42623,0.407,42945,0.405,39751,0.429
1100,0.8,4,4,0.1,1.0,50925,0.420,51623,0.422,45652,0.440
1100,0.8,4,4,0.1,1.0,30580,0.744,30123,0.743,28010,0.808
1100,0.8,4,4,0.1,1.0,56032,0.439,56384,0.439,48744,0.480
1100,0.8,4,4,0.1,1.0,27183,0.677,27631,0.674,25604,0.722
1100,0.8,4,4,0.1,2.0,55808,0.424,56366,0.426,52102,0.442
1100,0.8,4,4,0.1,2.0,44422,0.452,45171,0.454,40527,0.482
1100,0.8,4,4,0.1,2.0,60424,0.422,61321,0.422,54973,0.458
1100,0.8,4,4,0.1,2.0,40873,0.558,41155,0.558,37172,0.592
1100,0.8,4,4,0.1,2.0,23284,0.591,23602,0.594,21379,0.638
1100,0.8,4,4,0.1,2.0,33898,0.401,33271,0.406,31210,0.421
1100,0.8,4,4,0.1,2.0,42008,0.419,43474,0.422,36460,0.451
1100,0.8,4,4,0.1,2.0,26105,0.742,25996,0.737,24214,0.806
1100,0.8,4,4,0.1,2.0,46629,0.441,46977,0.441,41657,0.470
1100,0.8,4,4,0.1,2.0,22943,0.655,22282,0.669,20200,0.727
1100,0.8,4,4,0.5,0.1,114235,0.285,111137,0.283,102423,0.304
1100,0.8,4,4,0.5,0.1,106465,0.288,107624,0.289,100194,0.304
1100,0.8,4,4,0.5,0.1,107068,0.294,111662,0.296,102048,0.322
1100,0.8,4,4,0.5,0.1,99705,0.367,99632,0.367,90571,0.388
1100,0.8,4,4,0.5,0.1,59440,0.362,58855,0.363,53879,0.406
1100,0.8,4,4,0.5,0.1,96722,0.246,96456,0.254,89497,0.262
