podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,8,12,1.00,0.25,0.2,2,2451,2.674,10.280,0.791,2371,2.391,10.752,0.827,3693,1.186,6.754,0.520,2112,2.043,11.809,0.908
1000,8,12,1.00,0.25,0.2,2,2929,2.523,8.576,0.660,2599,1.913,9.855,0.758,3994,0.746,6.402,0.492,2526,1.296,9.943,0.765
1000,8,12,1.00,0.25,0.2,2,3712,3.769,7.222,0.556,2756,2.191,9.562,0.736,6169,2.366,4.333,0.333,2904,2.622,8.650,0.665
1000,8,12,1.00,0.25,0.2,2,2801,3.788,9.616,0.740,3535,3.123,7.625,0.587,4433,1.347,6.032,0.464,3870,1.056,6.947,0.534
1000,8,12,1.00,0.25,0.2,2,2705,2.569,10.614,0.816,2708,2.642,10.573,0.813,4453,1.552,6.452,0.496,2740,2.931,10.470,0.805
1000,8,12,1.00,0.25,0.2,2,2986,3.586,8.394,0.646,2972,2.716,8.616,0.663,2982,0.911,8.357,0.643,2532,1.279,9.841,0.757
1000,8,12,1.00,0.25,0.2,2,2092,1.838,12.890,0.992,1958,2.316,13.785,1.060,3562,1.112,7.372,0.567,1978,1.936,13.614,1.047
1000,8,12,1.00,0.25,0.2,2,3972,4.838,6.770,0.521,2757,3.281,9.531,0.733,3053,1.062,8.734,0.672,2667,1.295,10.153,0.781
1000,8,12,1.00,0.25,0.2,2,3184,3.873,7.918,0.609,3136,2.417,7.914,0.609,4501,1.510,5.394,0.415,2844,1.392,8.671,0.667
1000,8,12,1.00,0.25,0.2,2,2794,1.433,9.162,0.705,2561,0.838,9.803,0.754,2954,0.926,8.602,0.662,2254,3.147,11.313,0.870
1000,8,12,1.00,0.25,0.2,3,4296,2.818,8.729,0.671,3300,2.376,11.511,0.885,6808,1.435,5.595,0.430,3309,2.178,11.513,0.886
1000,8,12,1.00,0.25,0.2,3,4238,2.148,8.924,0.686,4229,2.367,9.016,0.694,8177,2.402,4.633,0.356,3853,2.094,9.771,0.752
1000,8,12,1.00,0.25,0.2,3,4639,1.336,8.506,0.654,4101,1.774,9.733,0.749,6721,1.762,5.916,0.455,4072,1.083,9.829,0.756
1000,8,12,1.00,0.25,0.2,3,5485,3.917,7.365,0.567,5688,1.501,7.131,0.549,6614,1.311,6.117,0.471,6351,3.281,6.245,0.480
1000,8,12,1.00,0.25,0.2,3,4259,2.635,9.985,0.768,4285,2.158,9.919,0.763,6725,1.538,5.618,0.432,4566,3.051,9.308,0.716
1000,8,12,1.00,0.25,0.2,3,4486,3.179,8.546,0.657,4588,2.593,8.116,0.624,4502,0.965,8.453,0.650,4449,2.395,8.465,0.651
1000,8,12,1.00,0.25,0.2,3,3343,1.713,12.039,0.926,2922,1.426,13.879,1.068,4632,1.064,8.710,0.670,2896,1.457,13.705,1.054
1000,8,12,1.00,0.25,0.2,3,4783,2.466,8.481,0.652,4866,3.579,8.337,0.641,6614,1.401,6.128,0.471,3742,1.606,10.747,0.827
1000,8,12,1.00,0.25,0.2,3,5053,1.899,7.450,0.573,4892,1.217,7.798,0.600,6718,1.612,5.584,0.430,4533,2.855,8.256,0.635
1000,8,12,1.00,0.25,0.2,3,3457,2.087,11.135,0.857,3403,1.229,11.124,0.856,4529,0.975,8.335,0.641,3396,0.959,11.162,0.859
1000,8,12,1.00,0.25,0.2,4,4227,1.822,11.732,0.902,4415,2.825,11.239,0.865,9163,1.354,5.519,0.425,3894,2.041,12.803,0.985
1000,8,12,1.00,0.25,0.2,4,5277,1.874,9.493,0.730,5577,1.597,9.110,0.701,6495,1.011,7.838,0.603,4624,2.022,10.945,0.842
1000,8,12,1.00,0.25,0.2,4,6733,3.934,7.806,0.600,5433,0.853,9.733,0.749,12093,1.964,4.198,0.323,5648,3.418,9.380,0.722
1000,8,12,1.00,0.25,0.2,4,7217,1.397,7.427,0.571,7712,1.089,6.899,0.531,8663,1.554,6.179,0.475,6341,2.351,8.443,0.649
