podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,12,12,0.10,0.25,0.2,2,3229,0.374,3.663,0.282,2722,3.258,4.617,0.355,1871,0.456,6.763,0.520,3679,5.609,3.215,0.247
700,12,12,0.10,0.25,0.2,2,1797,1.649,6.765,0.520,2289,2.628,5.220,0.402,1372,0.302,8.639,0.665,1852,1.556,6.522,0.502
700,12,12,0.10,0.25,0.2,2,1507,1.285,8.963,0.689,1441,1.116,9.627,0.741,2722,0.560,4.992,0.384,4205,3.867,3.345,0.257
700,12,12,0.10,0.25,0.2,2,4098,4.566,3.675,0.283,3466,1.362,4.495,0.346,1967,0.451,7.751,0.596,2842,2.636,5.427,0.417
700,12,12,0.10,0.25,0.2,2,1725,1.769,8.845,0.680,2207,1.393,6.812,0.524,1915,0.348,7.784,0.599,1221,1.294,12.659,0.974
700,12,12,0.10,0.25,0.2,2,2105,1.628,5.872,0.452,1734,0.503,6.977,0.537,1313,0.287,9.429,0.725,1969,1.902,6.286,0.484
700,12,12,0.10,0.25,0.2,2,1588,0.960,8.240,0.634,1085,0.819,11.894,0.915,1299,0.296,10.052,0.773,3319,3.033,4.042,0.311
700,12,12,0.10,0.25,0.2,2,1826,0.711,7.233,0.556,1713,1.704,7.585,0.583,1309,0.265,10.128,0.779,1236,1.392,10.725,0.825
700,12,12,0.10,0.25,0.2,2,3011,3.933,4.122,0.317,1547,1.138,8.080,0.622,1984,0.362,6.338,0.488,1624,1.218,7.446,0.573
700,12,12,0.10,0.25,0.2,2,1490,0.913,8.298,0.638,1449,1.442,8.283,0.637,1301,0.256,9.324,0.717,1382,1.746,8.908,0.685
700,12,12,0.10,0.25,0.2,3,4042,0.642,4.639,0.357,5056,2.612,3.888,0.299,2858,0.360,6.541,0.503,7247,3.228,2.579,0.198
