podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,12,12,1.00,0.25,0.2,2,3143,2.519,4.400,0.338,3378,2.628,4.117,0.317,2334,0.489,6.101,0.469,4214,1.906,3.417,0.263
800,12,12,1.00,0.25,0.2,2,2245,1.480,6.210,0.478,1504,0.890,9.104,0.700,2341,0.528,5.940,0.457,1748,1.926,7.906,0.608
800,12,12,1.00,0.25,0.2,2,2080,1.438,7.684,0.591,2142,2.328,7.179,0.552,3209,0.681,4.881,0.375,1795,1.092,8.726,0.671
800,12,12,1.00,0.25,0.2,2,2565,0.583,6.762,0.520,3638,1.615,4.824,0.371,2274,0.542,7.616,0.586,3739,3.809,4.631,0.356
800,12,12,1.00,0.25,0.2,2,1911,1.331,9.146,0.704,2641,1.838,6.620,0.509,2301,0.427,6.928,0.533,2778,2.444,6.136,0.472
800,12,12,1.00,0.25,0.2,2,1767,0.781,7.830,0.602,2700,2.555,5.094,0.392,1604,0.321,8.483,0.653,3112,2.546,4.541,0.349
800,12,12,1.00,0.25,0.2,2,1592,1.260,9.380,0.722,1276,0.994,12.175,0.937,1559,0.368,9.409,0.724,1242,0.712,12.097,0.931
800,12,12,1.00,0.25,0.2,2,1569,1.718,9.189,0.707,1809,2.267,8.149,0.627,1489,0.257,10.011,0.770,1721,1.767,8.563,0.659
800,12,12,1.00,0.25,0.2,2,1827,2.456,7.486,0.576,1785,1.247,7.665,0.590,1534,0.330,9.169,0.705,2808,4.051,4.892,0.376
800,12,12,1.00,0.25,0.2,2,1827,1.691,7.538,0.580,1583,1.871,8.826,0.679,1513,0.348,9.187,0.707,1476,1.219,9.769,0.751
800,12,12,1.00,0.25,0.2,3,5491,2.377,3.857,0.297,4454,1.864,4.822,0.371,3400,0.493,6.193,0.476,5248,2.685,3.891,0.299
800,12,12,1.00,0.25,0.2,3,2973,2.184,6.909,0.531,3601,1.607,5.800,0.446,3507,0.435,6.065,0.467,3707,2.145,5.738,0.441
800,12,12,1.00,0.25,0.2,3,2729,0.491,8.484,0.653,4236,1.358,5.465,0.420,4759,0.740,4.864,0.374,2360,1.403,9.926,0.764
800,12,12,1.00,0.25,0.2,3,5204,3.979,4.976,0.383,5086,3.347,4.984,0.383,3404,0.520,7.633,0.587,5946,4.581,4.370,0.336
