podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,8,12,1.00,0.25,0.2,2,3019,1.532,7.641,0.588,2015,1.009,11.371,0.875,2747,0.976,8.389,0.645,2033,1.908,11.334,0.872
900,8,12,1.00,0.25,0.2,2,2704,2.013,8.514,0.655,2494,1.931,9.219,0.709,4067,1.442,5.577,0.429,2563,1.457,9.093,0.699
900,8,12,1.00,0.25,0.2,2,3802,5.123,6.253,0.481,2618,3.623,8.958,0.689,3983,1.240,5.506,0.424,2518,3.347,9.602,0.739
900,8,12,1.00,0.25,0.2,2,3534,3.205,6.806,0.524,3094,3.534,7.891,0.607,4044,1.492,5.893,0.453,3158,2.261,7.726,0.594
900,8,12,1.00,0.25,0.2,2,2999,1.985,8.765,0.674,2075,1.700,12.341,0.949,4010,1.098,6.329,0.487,2312,2.132,11.075,0.852
900,8,12,1.00,0.25,0.2,2,2893,2.773,7.693,0.592,2288,2.585,10.059,0.774,2701,0.855,8.239,0.634,1997,1.366,11.142,0.857
900,8,12,1.00,0.25,0.2,2,1942,1.815,12.410,0.955,1832,1.142,13.157,1.012,2039,0.635,11.825,0.910,1765,2.160,13.456,1.035
900,8,12,1.00,0.25,0.2,2,4946,1.363,4.924,0.379,3495,1.559,7.106,0.547,2796,0.845,8.822,0.679,3084,3.403,7.374,0.567
900,8,12,1.00,0.25,0.2,2,3468,1.162,6.604,0.508,2863,1.745,7.938,0.611,4011,1.144,5.647,0.434,2944,1.141,7.661,0.589
900,8,12,1.00,0.25,0.2,2,2032,1.813,11.211,0.862,2028,1.411,11.242,0.865,2684,1.010,8.494,0.653,2130,2.106,10.701,0.823
900,8,12,1.00,0.25,0.2,3,3332,1.824,10.285,0.791,2888,1.762,11.816,0.909,4074,0.961,8.510,0.655,2917,1.587,11.702,0.900
900,8,12,1.00,0.25,0.2,3,4440,1.221,7.864,0.605,3611,1.000,9.508,0.731,6602,1.622,5.204,0.400,3709,1.929,9.235,0.710
900,8,12,1.00,0.25,0.2,3,4198,3.039,8.485,0.653,3527,3.523,10.008,0.770,6063,1.203,5.875,0.452,3736,1.230,9.534,0.733
900,8,12,1.00,0.25,0.2,3,4877,1.199,7.688,0.591,4262,1.704,8.426,0.648,5870,1.165,6.295,0.484,4271,2.745,8.537,0.657
900,8,12,1.00,0.25,0.2,3,3316,1.200,11.820,0.909,3200,1.530,12.249,0.942,6051,1.157,6.477,0.498,3522,1.069,11.253,0.866
900,8,12,1.00,0.25,0.2,3,4746,1.352,7.090,0.545,4434,1.688,7.734,0.595,3941,0.590,8.761,0.674,3152,1.828,10.900,0.838
900,8,12,1.00,0.25,0.2,3,2905,1.693,12.686,0.976,2728,1.120,13.184,1.014,4929,1.093,7.505,0.577,2673,2.138,13.839,1.065
900,8,12,1.00,0.25,0.2,3,4561,2.589,8.088,0.622,4242,2.881,8.694,0.669,4462,0.914,8.042,0.619,4553,0.721,7.805,0.600
900,8,12,1.00,0.25,0.2,3,6077,1.624,5.539,0.426,4425,3.668,7.795,0.600,6034,0.902,5.681,0.437,4136,2.600,8.307,0.639
900,8,12,1.00,0.25,0.2,3,3386,1.884,10.213,0.786,3120,1.813,11.083,0.853,4110,0.881,8.195,0.630,3031,1.347,11.369,0.875
900,8,12,1.00,0.25,0.2,4,3999,2.307,11.566,0.890,4206,2.041,10.816,0.832,8453,1.373,5.356,0.412,5460,2.468,8.330,0.641
900,8,12,1.00,0.25,0.2,4,4406,2.009,10.386,0.799,4163,1.662,10.988,0.845,6248,0.952,7.384,0.568,4619,1.737,9.988,0.768
900,8,12,1.00,0.25,0.2,4,6074,2.119,7.878,0.606,5380,2.689,8.895,0.684,11068,1.716,4.305,0.331,5283,3.208,9.107,0.701
900,8,12,1.00,0.25,0.2,4,6987,3.027,6.895,0.530,6659,3.063,7.305,0.562,7748,1.258,6.304,0.485,6133,3.886,7.796,0.600
900,8,12,1.00,0.25,0.2,4,4282,1.199,10.465,0.805,4152,1.457,12.502,0.962,7925,1.291,6.583,0.506,4358,1.226,11.844,0.911
900,8,12,1.00,0.25,0.2,4,6411,1.615,7.204,0.554,5424,3.125,8.515,0.655,5461,0.787,8.415,0.647,5114,2.500,8.890,0.684
900,8,12,1.00,0.25,0.2,4,3662,2.244,13.510,1.039,3551,1.615,13.802,1.062,4051,0.712,12.055,0.927,3434,1.488,13.940,1.072
900,8,12,1.00,0.25,0.2,4,7161,3.403,6.765,0.520,4285,2.364,11.444,0.880,5449,0.864,8.955,0.689,6727,1.325,6.793,0.523
900,8,12,1.00,0.25,0.2,4,5970,3.370,7.570,0.582,6066,2.332,7.554,0.581,7860,0.804,5.797,0.446,5990,0.646,7.606,0.585
