podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,10,12,1.00,0.25,0.2,2,2855,1.862,7.144,0.550,2384,2.095,10.689,0.822,2362,0.526,8.682,0.668,2201,2.123,9.200,0.708
1000,10,12,1.00,0.25,0.2,2,3413,3.151,6.751,0.519,3157,0.940,7.329,0.564,3478,0.513,6.637,0.511,2794,1.170,8.249,0.635
1000,10,12,1.00,0.25,0.2,2,2576,2.148,8.957,0.689,2048,1.988,11.449,0.881,2326,0.639,10.223,0.786,1939,2.170,12.261,0.943
1000,10,12,1.00,0.25,0.2,2,2304,1.544,9.963,0.766,2430,2.145,9.448,0.727,2407,0.645,9.433,0.726,2187,1.291,10.436,0.803
1000,10,12,1.00,0.25,0.2,2,2328,1.789,9.297,0.715,2549,2.866,8.493,0.653,2588,0.758,8.569,0.659,1956,1.391,11.065,0.851
1000,10,12,1.00,0.25,0.2,2,2510,1.662,8.204,0.631,1970,1.208,10.288,0.791,2364,0.705,8.844,0.680,1964,1.558,10.447,0.804
1000,10,12,1.00,0.25,0.2,2,2529,1.519,9.709,0.747,2251,1.462,11.076,0.852,3421,0.743,7.354,0.566,2435,1.308,10.390,0.799
1000,10,12,1.00,0.25,0.2,2,2491,1.786,11.383,0.876,2108,1.677,13.665,1.051,3426,0.890,8.496,0.654,1942,1.329,14.359,1.105
1000,10,12,1.00,0.25,0.2,2,2847,2.436,7.884,0.606,3120,2.818,7.284,0.560,3560,0.916,6.352,0.489,2274,1.326,9.938,0.764
1000,10,12,1.00,0.25,0.2,2,3804,0.712,5.453,0.419,2409,2.066,8.562,0.659,3489,0.568,5.837,0.449,3226,3.360,6.339,0.488
1000,10,12,1.00,0.25,0.2,3,2621,1.312,11.866,0.913,3935,2.506,7.875,0.606,3466,0.584,8.813,0.678,2757,2.275,11.077,0.852
1000,10,12,1.00,0.25,0.2,3,4762,1.932,7.171,0.552,3736,2.461,9.036,0.695,5286,0.971,6.411,0.493,3663,2.038,9.351,0.719
1000,10,12,1.00,0.25,0.2,3,3033,2.015,11.811,0.909,3058,2.040,11.521,0.886,3582,0.602,9.771,0.752,2830,2.037,12.581,0.968
1000,10,12,1.00,0.25,0.2,3,4000,2.171,8.656,0.666,3824,3.473,9.092,0.699,3547,0.608,9.761,0.751,6054,0.896,5.718,0.440
1000,10,12,1.00,0.25,0.2,3,4511,3.097,7.553,0.581,3686,2.122,9.130,0.702,3855,0.637,8.860,0.682,3084,2.696,10.788,0.830
1000,10,12,1.00,0.25,0.2,3,2997,1.079,10.655,0.820,2936,1.479,10.776,0.829,3624,0.583,8.502,0.654,2833,2.646,11.048,0.850
1000,10,12,1.00,0.25,0.2,3,3892,2.308,9.429,0.725,3459,1.065,10.760,0.828,5030,0.798,7.522,0.579,3446,1.994,9.264,0.713
1000,10,12,1.00,0.25,0.2,3,3821,2.284,8.061,0.620,3202,2.000,13.057,1.004,5192,0.588,8.139,0.626,3061,1.794,13.939,1.072
1000,10,12,1.00,0.25,0.2,3,6373,2.496,5.249,0.404,3662,1.631,9.466,0.728,5298,0.812,6.293,0.484,2552,0.630,13.122,1.009
1000,10,12,1.00,0.25,0.2,3,6328,0.900,4.971,0.382,3985,2.387,7.760,0.597,5181,0.825,6.061,0.466,4453,3.580,7.067,0.544
1000,10,12,1.00,0.25,0.2,4,4015,1.928,10.373,0.798,3742,1.060,11.804,0.908,4675,0.550,8.775,0.675,4205,1.360,9.871,0.759
1000,10,12,1.00,0.25,0.2,4,7166,4.496,6.393,0.492,4695,2.748,9.491,0.730,6879,0.971,6.731,0.518,4880,1.992,8.689,0.668
1000,10,12,1.00,0.25,0.2,4,4196,1.907,11.256,0.866,4011,1.525,11.751,0.904,4599,0.572,10.334,0.795,3870,1.642,12.739,0.980
1000,10,12,1.00,0.25,0.2,4,5694,3.308,7.979,0.614,4801,1.662,9.336,0.718,4703,0.679,9.554,0.735,5106,2.657,8.968,0.690
1000,10,12,1.00,0.25,0.2,4,5100,1.402,8.811,0.678,6218,3.126,7.313,0.563,4814,0.582,9.415,0.724,3930,1.842,11.439,0.880
1000,10,12,1.00,0.25,0.2,4,5300,1.880,7.780,0.598,3876,2.453,10.353,0.796,4582,0.602,8.922,0.686,3869,1.474,10.851,0.835
