podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,10,12,0.10,0.25,0.2,2,2170,1.947,9.463,0.728,1795,1.868,11.432,0.879,2226,0.463,9.507,0.731,2416,2.579,8.369,0.644
1000,10,12,0.10,0.25,0.2,2,2531,2.904,8.663,0.666,2529,3.541,8.999,0.692,3431,0.837,6.701,0.515,2832,2.053,8.027,0.617
1000,10,12,0.10,0.25,0.2,2,2273,2.201,10.201,0.785,1970,1.819,11.877,0.914,2168,0.504,10.916,0.840,1844,2.044,12.611,0.970
1000,10,12,0.10,0.25,0.2,2,2827,1.654,8.186,0.630,2553,2.522,8.838,0.680,2225,0.596,10.396,0.800,3048,2.638,7.670,0.590
1000,10,12,0.10,0.25,0.2,2,2775,3.475,7.802,0.600,2591,3.316,8.354,0.643,2362,0.692,9.165,0.705,1941,2.395,11.154,0.858
1000,10,12,0.10,0.25,0.2,2,2251,2.468,8.916,0.686,4763,1.866,4.412,0.339,2258,0.576,9.262,0.712,1969,1.563,10.619,0.817
1000,10,12,0.10,0.25,0.2,2,2566,0.627,9.628,0.741,2356,1.576,10.548,0.811,3213,0.784,7.434,0.572,2258,1.633,10.907,0.839
1000,10,12,0.10,0.25,0.2,2,2334,1.223,11.846,0.911,2124,0.934,13.349,1.027,3383,0.769,8.382,0.645,2085,1.495,13.598,1.046
1000,10,12,0.10,0.25,0.2,2,3862,2.696,5.885,0.453,2783,2.001,8.335,0.641,3344,0.984,6.561,0.505,3287,0.697,6.963,0.536
1000,10,12,0.10,0.25,0.2,2,3904,1.938,5.308,0.408,2840,2.128,7.207,0.554,3262,0.530,6.328,0.487,3121,1.539,6.502,0.500
1000,10,12,0.10,0.25,0.2,3,3533,2.878,8.768,0.674,2751,2.307,10.980,0.845,3397,0.600,8.924,0.686,3100,2.246,9.862,0.759
1000,10,12,0.10,0.25,0.2,3,4171,3.632,8.091,0.622,3469,2.672,9.804,0.754,5124,0.831,6.569,0.505,3636,2.610,9.274,0.713
1000,10,12,0.10,0.25,0.2,3,3265,1.270,10.979,0.845,3192,1.899,11.230,0.864,3307,0.524,10.877,0.837,2919,2.005,11.815,0.909
1000,10,12,0.10,0.25,0.2,3,4270,2.318,8.153,0.627,3928,3.312,8.813,0.678,3308,0.653,10.163,0.782,3019,2.236,11.268,0.867
1000,10,12,0.10,0.25,0.2,3,3424,2.629,9.901,0.762,3605,2.976,9.488,0.730,3377,0.588,10.188,0.784,2523,1.267,13.357,1.027
1000,10,12,0.10,0.25,0.2,3,3083,1.412,9.896,0.761,2972,2.403,10.279,0.791,3420,0.567,9.169,0.705,3005,1.378,10.528,0.810
1000,10,12,0.10,0.25,0.2,3,3522,2.045,10.469,0.805,3238,1.372,11.498,0.884,4833,0.891,7.734,0.595,3490,1.820,10.737,0.826
1000,10,12,0.10,0.25,0.2,3,3379,1.917,13.275,1.021,3140,1.459,13.587,1.045,5015,0.847,8.968,0.690,3126,1.860,13.909,1.070
1000,10,12,0.10,0.25,0.2,3,4159,1.543,8.017,0.617,3925,1.520,8.604,0.662,4862,0.830,6.914,0.532,3681,1.348,9.132,0.702
