podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,8,12,1.00,0.25,0.2,2,2938,2.793,9.527,0.733,2371,2.251,11.847,0.911,4043,1.325,6.909,0.531,2381,2.036,11.731,0.902
1100,8,12,1.00,0.25,0.2,2,3073,2.811,9.116,0.701,2697,1.881,10.386,0.799,6787,2.367,4.128,0.318,3291,3.462,8.513,0.655
1100,8,12,1.00,0.25,0.2,2,3412,2.493,8.663,0.666,3035,2.328,9.144,0.703,6572,2.005,4.501,0.346,2818,2.514,10.509,0.808
1100,8,12,1.00,0.25,0.2,2,4337,3.108,6.856,0.527,4142,3.434,7.151,0.550,4896,1.514,6.109,0.470,3637,1.781,8.208,0.631
1100,8,12,1.00,0.25,0.2,2,3176,3.813,10.079,0.775,2786,2.781,11.488,0.884,4965,1.589,6.326,0.487,2788,3.232,11.325,0.871
1100,8,12,1.00,0.25,0.2,2,2914,3.741,9.436,0.726,2909,2.740,11.163,0.859,3325,1.138,8.278,0.637,2503,3.122,11.237,0.864
1100,8,12,1.00,0.25,0.2,2,2166,1.879,13.839,1.065,2145,1.896,13.975,1.075,2475,0.729,12.111,0.932,2215,2.153,13.250,1.019
1100,8,12,1.00,0.25,0.2,2,2930,1.987,10.038,0.772,3028,2.111,9.183,0.706,3949,1.225,7.584,0.583,3801,2.723,7.756,0.597
1100,8,12,1.00,0.25,0.2,2,4004,3.895,6.973,0.536,3262,3.029,8.560,0.658,5052,1.714,5.527,0.425,4303,2.581,6.489,0.499
1100,8,12,1.00,0.25,0.2,2,2805,2.923,9.877,0.760,2486,1.289,11.519,0.886,3277,1.046,8.490,0.653,2455,1.388,11.333,0.872
1100,8,12,1.00,0.25,0.2,3,3903,2.371,10.582,0.814,3303,2.315,12.502,0.962,7660,1.652,5.483,0.422,3242,2.197,12.958,0.997
