podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,10,12,1.00,0.25,0.2,2,2379,2.040,9.452,0.727,1962,1.484,11.295,0.869,2688,0.436,8.476,0.652,3060,2.711,7.336,0.564
1100,10,12,1.00,0.25,0.2,2,3649,2.068,6.896,0.530,2679,0.997,9.417,0.724,3870,0.780,6.392,0.492,3257,2.090,7.647,0.588
1100,10,12,1.00,0.25,0.2,2,2610,2.113,9.929,0.764,2128,1.605,12.179,0.937,2537,0.704,10.217,0.786,2041,1.763,12.411,0.955
1100,10,12,1.00,0.25,0.2,2,2343,2.742,10.710,0.824,2640,1.773,9.512,0.732,2565,0.694,9.813,0.755,2507,2.398,10.285,0.791
1100,10,12,1.00,0.25,0.2,2,2559,2.614,9.667,0.744,2709,3.424,8.939,0.688,2659,0.621,9.218,0.709,2733,3.205,8.768,0.674
1100,10,12,1.00,0.25,0.2,2,2354,1.396,9.652,0.742,2267,1.750,10.084,0.776,2472,0.646,9.207,0.708,2257,1.676,10.225,0.787
1100,10,12,1.00,0.25,0.2,2,2654,1.278,10.128,0.779,2453,2.175,10.955,0.843,3677,0.879,7.404,0.570,2404,2.025,11.453,0.881
1100,10,12,1.00,0.25,0.2,2,2939,2.300,10.674,0.821,2377,1.776,13.427,1.033,3846,0.898,8.088,0.622,2249,1.052,13.829,1.064
1100,10,12,1.00,0.25,0.2,2,2609,2.419,9.520,0.732,3180,2.075,7.784,0.599,3889,1.100,6.282,0.483,2671,1.843,9.278,0.714
1100,10,12,1.00,0.25,0.2,2,3618,3.624,6.330,0.487,4098,6.910,5.325,0.410,3781,1.101,6.192,0.476,3428,4.479,6.706,0.516
1100,10,12,1.00,0.25,0.2,3,3237,1.056,10.731,0.825,3146,2.007,11.175,0.860,4009,0.607,8.771,0.675,4173,2.004,8.426,0.648
1100,10,12,1.00,0.25,0.2,3,3990,1.430,9.371,0.721,3757,2.959,10.152,0.781,5658,1.012,6.498,0.500,3974,2.728,9.498,0.731
1100,10,12,1.00,0.25,0.2,3,3387,1.314,11.585,0.891,3052,1.893,12.826,0.987,3952,0.698,9.963,0.766,3192,2.178,12.366,0.951
1100,10,12,1.00,0.25,0.2,3,3914,2.929,9.673,0.744,5013,3.699,7.554,0.581,3793,0.684,9.932,0.764,4812,3.407,7.704,0.593
1100,10,12,1.00,0.25,0.2,3,3627,0.348,10.310,0.793,4053,2.962,9.101,0.700,4071,0.679,8.949,0.688,3505,2.821,10.427,0.802
1100,10,12,1.00,0.25,0.2,3,3579,1.525,9.674,0.744,3395,1.106,10.105,0.777,3803,0.646,9.061,0.697,4371,1.442,7.892,0.607
1100,10,12,1.00,0.25,0.2,3,4434,2.546,9.420,0.725,3735,2.126,11.179,0.860,5639,0.898,7.370,0.567,3544,2.065,11.797,0.907
1100,10,12,1.00,0.25,0.2,3,3924,2.161,12.026,0.925,3407,1.666,13.817,1.063,7757,1.278,6.059,0.466,3598,1.979,13.008,1.001
1100,10,12,1.00,0.25,0.2,3,4316,2.953,8.426,0.648,5326,2.365,7.094,0.546,5779,1.013,6.570,0.505,3623,1.611,10.243,0.788
1100,10,12,1.00,0.25,0.2,3,5326,0.760,6.459,0.497,4123,3.603,8.280,0.637,5723,0.977,5.919,0.455,5859,0.866,5.783,0.445
1100,10,12,1.00,0.25,0.2,4,5071,1.849,8.867,0.682,4900,1.918,9.176,0.706,5107,0.621,8.805,0.677,4642,1.941,9.687,0.745
1100,10,12,1.00,0.25,0.2,4,5488,2.671,9.037,0.695,5390,3.025,8.377,0.644,7669,1.013,6.502,0.500,5642,3.374,8.862,0.682
1100,10,12,1.00,0.25,0.2,4,4519,2.191,11.538,0.888,4439,1.599,11.918,0.917,5059,0.621,10.253,0.789,4237,2.230,12.176,0.937
1100,10,12,1.00,0.25,0.2,4,4861,0.738,10.351,0.796,5443,3.259,9.078,0.698,4973,0.678,10.017,0.771,5001,1.398,10.099,0.777
1100,10,12,1.00,0.25,0.2,4,4563,2.460,10.639,0.818,5852,2.971,8.367,0.644,5055,0.615,9.768,0.751,5617,2.878,8.720,0.671
1100,10,12,1.00,0.25,0.2,4,5213,2.756,10.004,0.770,4664,1.207,9.906,0.762,5147,0.636,8.911,0.685,4704,1.586,9.630,0.741
1100,10,12,1.00,0.25,0.2,4,6851,1.366,8.058,0.620,4745,1.497,11.693,0.899,7525,0.893,7.412,0.570,4530,1.466,12.157,0.935
1100,10,12,1.00,0.25,0.2,4,7084,3.086,8.756,0.674,4653,1.896,13.463,1.036,7658,1.078,8.251,0.635,4596,1.716,13.517,1.040
1100,10,12,1.00,0.25,0.2,4,5769,1.697,8.517,0.655,6519,2.869,7.521,0.579,7563,1.120,6.524,0.502,5985,1.044,8.346,0.642
1100,10,12,1.00,0.25,0.2,4,5463,3.279,8.451,0.650,5428,2.613,8.387,0.645,7443,1.043,6.056,0.466,6926,4.858,6.624,0.510
1100,10,12,1.00,0.25,0.5,2,2465,1.456,9.190,0.707,2150,1.720,10.349,0.796,2796,0.661,8.034,0.618,2453,2.584,10.006,0.770
1100,10,12,1.00,0.25,0.5,2,2621,2.853,9.467,0.728,2792,3.970,9.075,0.698,3880,0.992,6.424,0.494,3464,1.251,6.488,0.499
1100,10,12,1.00,0.25,0.5,2,2328,2.397,11.257,0.866,2069,1.647,12.526,0.964,2583,0.717,10.095,0.777,2129,1.327,12.173,0.936
1100,10,12,1.00,0.25,0.5,2,2961,2.576,8.460,0.651,2578,1.489,9.707,0.747,2503,0.733,9.896,0.761,2648,2.920,9.460,0.728
