podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,8,12,0.10,0.25,0.2,2,2957,2.172,9.465,0.728,2682,3.401,10.342,0.796,4981,1.525,5.608,0.431,2182,1.899,12.801,0.985
1100,8,12,0.10,0.25,0.2,2,3164,2.608,8.856,0.681,2740,2.361,10.252,0.789,4779,1.479,5.745,0.442,2763,2.441,10.140,0.780
1100,8,12,0.10,0.25,0.2,2,3246,2.194,9.057,0.697,2990,2.808,9.770,0.752,3112,1.066,9.174,0.706,3122,2.412,9.457,0.727
1100,8,12,0.10,0.25,0.2,2,3858,0.596,7.662,0.589,3782,3.477,7.737,0.595,4543,1.515,6.549,0.504,3954,3.735,7.674,0.590
1100,8,12,0.10,0.25,0.2,2,3406,0.818,9.302,0.716,2665,3.199,11.961,0.920,4597,1.397,6.963,0.536,2583,2.316,12.062,0.928
1100,8,12,0.10,0.25,0.2,2,4008,3.592,6.917,0.532,3201,2.285,8.581,0.660,3160,1.019,8.621,0.663,2872,3.110,9.564,0.736
1100,8,12,0.10,0.25,0.2,2,2582,1.902,11.609,0.893,2144,1.895,13.978,1.075,2581,0.760,11.544,0.888,2200,1.746,13.628,1.048
1100,8,12,0.10,0.25,0.2,2,3237,2.257,9.295,0.715,3169,2.884,9.450,0.727,3171,0.965,9.402,0.723,2886,2.774,10.413,0.801
1100,8,12,0.10,0.25,0.2,2,3150,2.899,8.876,0.683,3779,4.465,7.400,0.569,4696,1.654,6.029,0.464,3223,1.691,8.591,0.661
1100,8,12,0.10,0.25,0.2,2,3221,4.372,8.638,0.664,2633,3.561,10.568,0.813,3069,1.059,9.037,0.695,2416,3.361,11.555,0.889
1100,8,12,0.10,0.25,0.2,3,4190,2.638,9.878,0.760,3428,2.731,12.317,0.947,7618,1.833,5.453,0.419,3690,2.759,11.028,0.848
1100,8,12,0.10,0.25,0.2,3,3797,1.137,11.088,0.853,4371,0.988,9.372,0.721,9597,2.309,4.411,0.339,4097,1.832,10.334,0.795
1100,8,12,0.10,0.25,0.2,3,5128,3.585,8.450,0.650,4639,1.976,9.322,0.717,4808,1.230,9.228,0.710,4546,2.400,9.644,0.742
1100,8,12,0.10,0.25,0.2,3,5977,2.833,7.445,0.573,6090,3.268,7.297,0.561,6764,1.682,6.597,0.507,7328,1.623,6.132,0.472
1100,8,12,0.10,0.25,0.2,3,4666,3.125,10.377,0.798,3995,2.268,11.933,0.918,6959,1.541,6.958,0.535,3887,1.929,12.458,0.958
1100,8,12,0.10,0.25,0.2,3,4409,3.043,9.429,0.725,4113,2.126,10.109,0.778,4543,0.939,9.075,0.698,4379,2.987,9.473,0.729
1100,8,12,0.10,0.25,0.2,3,3365,2.616,13.210,1.016,3039,1.693,14.896,1.146,3420,0.771,13.143,1.011,3100,2.065,14.497,1.115
1100,8,12,0.10,0.25,0.2,3,5594,4.631,8.054,0.620,4620,3.431,8.993,0.692,4996,0.964,8.961,0.689,5035,2.737,8.943,0.688
1100,8,12,0.10,0.25,0.2,3,4882,3.710,8.422,0.648,5703,5.004,7.392,0.569,7036,1.458,5.986,0.460,5756,1.032,7.144,0.550
1100,8,12,0.10,0.25,0.2,3,4666,1.374,9.061,0.697,3546,1.520,11.767,0.905,4698,0.989,9.011,0.693,3583,1.942,11.659,0.897
1100,8,12,0.10,0.25,0.2,4,5507,2.923,10.133,0.779,5219,2.424,10.587,0.814,9965,1.596,5.632,0.433,5108,2.724,10.800,0.831
1100,8,12,0.10,0.25,0.2,4,7291,4.432,7.669,0.590,5901,2.474,9.554,0.735,6301,1.000,8.939,0.688,6452,3.700,8.669,0.667
1100,8,12,0.10,0.25,0.2,4,7951,3.802,6.983,0.537,5468,3.452,10.756,0.827,6091,0.952,9.740,0.749,6186,2.759,9.464,0.728
1100,8,12,0.10,0.25,0.2,4,7907,3.256,7.649,0.588,8204,0.874,7.213,0.555,9021,1.595,6.572,0.506,7561,3.095,7.999,0.615
1100,8,12,0.10,0.25,0.2,4,7547,5.297,8.419,0.648,5063,1.126,12.549,0.965,9122,1.707,6.965,0.536,5356,1.610,11.939,0.918
1100,8,12,0.10,0.25,0.2,4,7724,3.163,7.172,0.552,6152,2.914,9.043,0.696,6236,1.061,8.891,0.684,7257,1.139,7.688,0.591
1100,8,12,0.10,0.25,0.2,4,4846,2.904,12.203,0.939,4142,1.270,14.278,1.098,7540,1.132,7.788,0.599,4287,2.392,13.949,1.073
1100,8,12,0.10,0.25,0.2,4,7054,4.421,8.393,0.646,6181,3.741,9.578,0.737,6438,1.133,9.300,0.715,7157,4.578,8.332,0.641
1100,8,12,0.10,0.25,0.2,4,7719,2.927,7.354,0.566,7170,2.437,7.916,0.609,9286,1.349,6.466,0.497,6623,1.315,8.410,0.647
1100,8,12,0.10,0.25,0.2,4,5674,2.146,9.723,0.748,5103,1.962,10.774,0.829,6228,0.974,8.847,0.681,4648,2.999,12.100,0.931
1100,8,12,0.10,0.25,0.5,2,3534,3.227,7.904,0.608,2474,2.393,11.168,0.859,3219,1.170,8.650,0.665,2563,2.640,10.790,0.830
1100,8,12,0.10,0.25,0.5,2,3270,2.318,8.592,0.661,2672,3.043,10.484,0.806,3657,1.275,7.559,0.581,2727,1.492,10.140,0.780
