podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,8,12,0.10,0.25,0.2,2,2775,3.209,8.463,0.651,2495,2.551,9.235,0.710,4145,1.378,5.528,0.425,1941,1.880,11.809,0.908
900,8,12,0.10,0.25,0.2,2,3115,2.504,7.390,0.568,2388,2.230,9.638,0.741,2761,0.900,8.471,0.652,2509,1.981,9.172,0.706
900,8,12,0.10,0.25,0.2,2,3447,1.325,6.804,0.523,2640,3.286,8.885,0.683,3833,1.193,6.278,0.483,3101,3.817,7.903,0.608
900,8,12,0.10,0.25,0.2,2,4192,3.785,5.805,0.447,3366,3.240,7.053,0.543,3804,1.145,6.412,0.493,2813,3.418,8.610,0.662
900,8,12,0.10,0.25,0.2,2,2533,2.157,10.328,0.794,2528,1.824,10.314,0.793,3911,1.111,6.546,0.504,2361,1.267,10.844,0.834
900,8,12,0.10,0.25,0.2,2,2532,1.991,8.791,0.676,2246,1.828,9.908,0.762,2536,0.887,8.775,0.675,2890,3.040,7.701,0.592
900,8,12,0.10,0.25,0.2,2,1979,1.696,12.179,0.937,1748,1.634,13.783,1.060,3105,0.968,7.792,0.599,1672,1.794,14.302,1.100
900,8,12,0.10,0.25,0.2,2,2353,1.364,10.350,0.796,2920,2.448,8.330,0.641,3518,1.240,6.914,0.532,2369,2.177,10.269,0.790
900,8,12,0.10,0.25,0.2,2,2733,1.885,8.291,0.638,3040,1.772,7.392,0.569,3839,0.836,5.873,0.452,2820,2.264,7.971,0.613
900,8,12,0.10,0.25,0.2,2,2032,1.414,11.216,0.863,2043,3.037,11.155,0.858,2520,0.949,10.407,0.801,1968,1.349,11.680,0.898
900,8,12,0.10,0.25,0.2,3,3515,2.657,9.877,0.760,3251,1.689,10.468,0.805,3863,0.849,8.942,0.688,3075,2.288,11.098,0.854
900,8,12,0.10,0.25,0.2,3,3950,2.971,8.650,0.665,3379,1.633,10.956,0.843,7873,1.751,4.456,0.343,3315,2.208,10.573,0.813
900,8,12,0.10,0.25,0.2,3,4258,2.712,8.581,0.660,4286,1.961,8.310,0.639,8106,1.626,4.429,0.341,3783,2.785,9.485,0.730
900,8,12,0.10,0.25,0.2,3,3438,2.389,10.728,0.825,4954,2.552,7.321,0.563,5672,1.302,6.490,0.499,5717,3.084,6.373,0.490
900,8,12,0.10,0.25,0.2,3,3609,2.074,10.100,0.777,3225,1.456,12.155,0.935,5746,1.099,6.762,0.520,2861,2.692,13.700,1.054
900,8,12,0.10,0.25,0.2,3,3233,0.821,10.718,0.824,3549,1.982,9.760,0.751,3821,0.851,9.071,0.698,3289,2.309,10.537,0.811
900,8,12,0.10,0.25,0.2,3,2871,1.673,12.855,0.989,2674,1.058,13.518,1.040,4571,0.988,8.116,0.624,2610,2.417,13.787,1.061
900,8,12,0.10,0.25,0.2,3,5018,0.786,7.351,0.565,4022,1.957,8.982,0.691,5484,1.035,6.770,0.521,4348,0.782,7.839,0.603
900,8,12,0.10,0.25,0.2,3,4397,2.303,7.637,0.587,4774,0.594,7.225,0.556,5762,0.803,5.933,0.456,6267,2.615,5.464,0.420
900,8,12,0.10,0.25,0.2,3,3280,1.284,10.373,0.798,3266,1.845,10.582,0.814,3773,0.809,8.969,0.690,3378,1.647,9.987,0.768
900,8,12,0.10,0.25,0.2,4,5135,2.755,8.838,0.680,4512,2.378,10.032,0.772,8054,1.304,5.625,0.433,4244,1.908,10.607,0.816
900,8,12,0.10,0.25,0.2,4,7489,1.306,6.156,0.474,4655,2.353,9.971,0.767,7864,1.230,5.903,0.454,4677,1.887,9.862,0.759
900,8,12,0.10,0.25,0.2,4,5221,1.925,9.272,0.713,5702,3.587,8.399,0.646,7753,1.202,6.151,0.473,5338,2.162,8.993,0.692
900,8,12,0.10,0.25,0.2,4,9282,4.847,5.151,0.396,7570,1.393,6.316,0.486,7353,1.353,6.594,0.507,6620,1.575,7.284,0.560
900,8,12,0.10,0.25,0.2,4,4888,1.529,10.668,0.821,4348,1.739,11.996,0.923,7717,1.113,6.746,0.519,4454,2.699,11.725,0.902
900,8,12,0.10,0.25,0.2,4,5003,2.139,8.897,0.684,6040,3.719,7.614,0.586,5088,0.935,9.077,0.698,5119,0.962,8.820,0.678
900,8,12,0.10,0.25,0.2,4,4015,1.806,12.221,0.940,3450,1.644,14.095,1.084,3752,0.639,13.128,1.010,3509,1.566,13.969,1.075
900,8,12,0.10,0.25,0.2,4,5636,2.760,8.785,0.676,4299,2.468,10.755,0.827,5268,0.940,9.399,0.723,5497,2.029,8.206,0.631
900,8,12,0.10,0.25,0.2,4,5717,0.507,7.969,0.613,6232,0.904,7.265,0.559,7582,0.884,6.057,0.466,5770,1.963,7.896,0.607
900,8,12,0.10,0.25,0.2,4,4600,1.954,9.938,0.764,4086,1.911,11.057,0.851,4989,0.832,9.055,0.697,4043,2.053,11.238,0.864
900,8,12,0.10,0.25,0.5,2,3119,2.809,7.366,0.567,2088,2.137,10.825,0.833,4104,1.294,5.473,0.421,2015,1.744,11.383,0.876
900,8,12,0.10,0.25,0.5,2,2515,1.479,9.153,0.704,2982,2.646,7.662,0.589,3915,1.166,5.879,0.452,2379,2.187,9.675,0.744
900,8,12,0.10,0.25,0.5,2,2931,2.194,8.002,0.616,2760,1.670,8.698,0.669,3813,1.186,6.139,0.472,2573,2.422,9.494,0.730
900,8,12,0.10,0.25,0.5,2,3205,2.532,7.574,0.583,4183,4.283,5.748,0.442,5480,1.933,4.292,0.330,3036,3.134,8.032,0.618
900,8,12,0.10,0.25,0.5,2,3687,3.982,6.944,0.534,2688,1.230,9.527,0.733,3893,1.170,6.531,0.502,2338,1.266,10.394,0.800
900,8,12,0.10,0.25,0.5,2,3055,3.292,7.331,0.564,2313,2.475,9.935,0.764,2512,0.789,8.860,0.682,1996,2.419,11.146,0.857
900,8,12,0.10,0.25,0.5,2,2243,2.567,10.719,0.825,1742,1.628,13.988,1.076,3064,1.047,7.868,0.605,1779,1.501,12.589,0.968
900,8,12,0.10,0.25,0.5,2,2575,2.675,9.346,0.719,2927,3.331,8.384,0.645,3519,1.241,6.911,0.532,2931,4.174,8.299,0.638
900,8,12,0.10,0.25,0.5,2,3456,1.275,6.502,0.500,3344,2.270,6.659,0.512,3815,0.935,5.873,0.452,2395,3.097,9.561,0.735
900,8,12,0.10,0.25,0.5,2,2309,2.305,10.080,0.775,2033,0.951,11.061,0.851,2532,0.736,9.485,0.730,2063,2.547,11.048,0.850
900,8,12,0.10,0.25,0.5,3,3237,2.172,10.479,0.806,2823,1.932,12.099,0.931,3825,0.795,8.962,0.689,3286,2.046,10.357,0.797
900,8,12,0.10,0.25,0.5,3,3682,1.423,9.482,0.729,3094,1.822,11.153,0.858,7902,1.766,4.412,0.339,3498,3.116,10.055,0.773
900,8,12,0.10,0.25,0.5,3,4024,3.517,9.003,0.693,3988,2.103,8.989,0.691,8150,1.713,4.464,0.343,3615,1.528,10.054,0.773
900,8,12,0.10,0.25,0.5,3,4575,3.676,8.008,0.616,4705,3.095,7.825,0.602,5614,1.338,6.413,0.493,5672,1.616,6.460,0.497
900,8,12,0.10,0.25,0.5,3,4113,0.672,9.530,0.733,3196,1.348,12.264,0.943,5660,1.252,6.989,0.538,3320,1.207,11.860,0.912
900,8,12,0.10,0.25,0.5,3,3591,1.081,9.511,0.732,4471,2.164,7.751,0.596,3850,0.782,9.002,0.692,3279,2.302,10.568,0.813
900,8,12,0.10,0.25,0.5,3,3121,1.792,11.879,0.914,2761,2.290,13.499,1.038,4609,1.003,8.163,0.628,2565,1.468,14.508,1.116
900,8,12,0.10,0.25,0.5,3,4933,4.101,7.536,0.580,3395,2.440,10.782,0.829,3883,0.750,9.498,0.731,4335,0.817,8.566,0.659
900,8,12,0.10,0.25,0.5,3,4001,1.139,8.561,0.659,4634,1.848,7.444,0.573,5608,0.797,6.066,0.467,4387,1.739,7.867,0.605
900,8,12,0.10,0.25,0.5,3,3535,1.678,9.782,0.752,3193,2.224,10.830,0.833,3774,0.809,9.029,0.695,3017,3.022,11.461,0.882
900,8,12,0.10,0.25,0.5,4,4144,1.759,10.926,0.840,4568,2.872,9.853,0.758,8131,1.315,5.535,0.426,3592,2.044,12.529,0.964
900,8,12,0.10,0.25,0.5,4,5321,1.974,8.705,0.670,5240,2.382,8.803,0.677,7865,1.230,5.834,0.449,4549,1.873,10.142,0.780
900,8,12,0.10,0.25,0.5,4,5494,1.014,8.857,0.681,5258,3.487,9.175,0.706,7722,1.132,6.176,0.475,5240,2.877,9.100,0.700
900,8,12,0.10,0.25,0.5,4,8041,2.769,5.946,0.457,7051,4.187,6.940,0.534,7433,1.171,6.439,0.495,6373,3.364,7.538,0.580
