podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,10,12,0.10,0.25,0.2,2,1913,1.454,7.406,0.570,2398,3.160,5.869,0.451,1609,0.398,8.776,0.675,1388,1.837,10.126,0.779
700,10,12,0.10,0.25,0.2,2,3656,3.127,4.398,0.338,2170,1.300,7.185,0.553,2288,0.551,6.246,0.480,2194,2.181,7.328,0.564
700,10,12,0.10,0.25,0.2,2,1823,2.380,9.443,0.726,1421,0.738,11.658,0.897,1560,0.414,10.870,0.836,1469,1.189,11.087,0.853
700,10,12,0.10,0.25,0.2,2,1929,1.996,8.228,0.633,2775,2.792,5.854,0.450,1540,0.371,9.448,0.727,1544,1.589,10.695,0.823
700,10,12,0.10,0.25,0.2,2,1590,2.181,10.127,0.779,2329,2.236,6.678,0.514,1564,0.473,10.094,0.776,2410,1.772,6.630,0.510
700,10,12,0.10,0.25,0.2,2,1739,1.157,8.584,0.660,1434,2.348,9.974,0.767,1634,0.455,9.023,0.694,1506,1.892,9.387,0.722
700,10,12,0.10,0.25,0.2,2,2015,1.574,8.990,0.692,2006,2.092,8.952,0.689,2294,0.582,7.842,0.603,1634,1.631,9.591,0.738
700,10,12,0.10,0.25,0.2,2,2553,2.063,5.615,0.432,1529,1.293,12.958,0.997,2413,0.637,6.292,0.484,1736,1.662,11.483,0.883
700,10,12,0.10,0.25,0.2,2,2055,1.180,7.556,0.581,2192,1.003,7.177,0.552,2416,0.616,6.531,0.502,2094,0.865,7.536,0.580
700,10,12,0.10,0.25,0.2,2,2342,0.315,6.314,0.486,4345,2.279,3.283,0.253,1632,0.368,8.973,0.690,2233,2.154,6.556,0.504
700,10,12,0.10,0.25,0.2,3,2284,1.735,9.471,0.729,2372,1.645,9.066,0.697,2367,0.457,9.268,0.713,2293,1.436,9.568,0.736
700,10,12,0.10,0.25,0.2,3,2984,0.544,7.862,0.605,2724,2.430,8.667,0.667,3538,0.587,6.161,0.474,3163,2.369,7.350,0.565
700,10,12,0.10,0.25,0.2,3,3108,1.574,8.002,0.616,2171,0.876,11.376,0.875,2421,0.413,10.180,0.783,2105,1.351,11.657,0.897
700,10,12,0.10,0.25,0.2,3,3167,1.765,7.682,0.591,2705,1.426,8.656,0.666,2293,0.365,10.669,0.821,2574,1.058,9.351,0.719
700,10,12,0.10,0.25,0.2,3,2481,0.684,8.487,0.653,2965,2.036,8.131,0.625,2392,0.393,10.137,0.780,4187,2.697,5.768,0.444
700,10,12,0.10,0.25,0.2,3,2004,1.393,11.010,0.847,2219,1.682,9.743,0.749,2301,0.395,9.683,0.745,1958,1.614,11.235,0.864
700,10,12,0.10,0.25,0.2,3,3096,1.853,8.758,0.674,2318,1.281,11.200,0.862,3406,0.593,7.954,0.612,2685,1.321,9.924,0.763
700,10,12,0.10,0.25,0.2,3,2681,1.577,11.022,0.848,2204,1.074,13.387,1.030,3550,0.665,6.650,0.512,2339,1.249,12.795,0.984
700,10,12,0.10,0.25,0.2,3,3345,0.463,7.119,0.548,4276,2.834,5.569,0.428,3469,0.484,6.747,0.519,3462,1.305,6.808,0.524
700,10,12,0.10,0.25,0.2,3,3700,1.293,6.013,0.463,3728,3.035,5.859,0.451,3430,0.673,6.260,0.482,3452,1.998,6.311,0.485
700,10,12,0.10,0.25,0.2,4,3258,1.052,9.522,0.732,3514,1.703,8.133,0.626,3108,0.390,9.220,0.709,3105,1.366,9.453,0.727
