podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,10,12,0.2,0.25,0.2,2,2715,3.186,8.595,0.661,2330,1.957,9.674,0.744,2451,0.538,9.208,0.708,2900,2.778,7.781,0.599
1100,10,12,0.2,0.25,0.2,2,3511,2.043,6.965,0.536,2451,0.938,10.193,0.784,3705,0.886,6.695,0.515,2455,3.427,10.296,0.792
1100,10,12,0.2,0.25,0.2,2,2532,2.770,10.384,0.799,2200,1.776,11.753,0.904,2387,0.615,10.858,0.835,2097,2.009,12.305,0.947
1100,10,12,0.2,0.25,0.2,2,3829,4.658,6.448,0.496,2521,3.081,9.914,0.763,2442,0.655,10.258,0.789,2569,1.972,9.750,0.750
1100,10,12,0.2,0.25,0.2,2,2138,1.724,11.467,0.882,2370,2.239,10.702,0.823,2501,0.580,9.873,0.759,2877,2.327,8.581,0.660
1100,10,12,0.2,0.25,0.2,2,2220,2.107,10.235,0.787,2245,2.605,10.118,0.778,2413,0.553,9.246,0.711,2226,2.630,10.206,0.785
1100,10,12,0.2,0.25,0.2,2,2700,0.994,9.974,0.767,2749,2.045,9.838,0.757,3596,0.946,7.530,0.579,2885,2.723,9.611,0.739
1100,10,12,0.2,0.25,0.2,2,2799,0.981,10.976,0.844,2194,2.489,14.478,1.114,3820,0.872,8.038,0.618,2129,1.933,14.609,1.124
1100,10,12,0.2,0.25,0.2,2,2786,1.758,8.895,0.684,2451,1.553,10.111,0.778,3631,0.898,6.825,0.525,5468,2.955,4.542,0.349
1100,10,12,0.2,0.25,0.2,2,3169,3.589,7.070,0.544,3104,2.306,7.550,0.581,3594,1.116,6.300,0.485,2843,2.640,8.046,0.619
