podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,12,12,0.10,0.25,0.2,2,4545,4.588,3.857,0.297,4090,3.970,4.302,0.331,2673,0.608,6.583,0.506,4055,3.491,4.472,0.344
1000,12,12,0.10,0.25,0.2,2,2292,2.389,7.370,0.567,2084,1.769,8.519,0.655,2678,0.596,6.485,0.499,2009,2.879,8.366,0.644
1000,12,12,0.10,0.25,0.2,2,2401,1.393,7.881,0.606,1940,2.252,9.972,0.767,3909,0.793,5.032,0.387,1990,1.508,9.789,0.753
1000,12,12,0.10,0.25,0.2,2,3421,3.473,6.415,0.493,3558,3.926,6.167,0.474,2759,0.677,7.602,0.585,3756,3.306,4.800,0.369
1000,12,12,0.10,0.25,0.2,2,2710,1.573,8.033,0.618,3016,1.715,7.216,0.555,2801,0.548,7.771,0.598,2407,2.027,9.042,0.696
1000,12,12,0.10,0.25,0.2,2,1999,0.972,8.994,0.692,1947,0.947,9.045,0.696,1804,0.351,9.390,0.722,1883,0.947,9.563,0.736
1000,12,12,0.10,0.25,0.2,2,1692,0.958,10.991,0.845,1998,2.004,9.396,0.723,1847,0.399,10.173,0.783,1559,1.345,12.323,0.948
1000,12,12,0.10,0.25,0.2,2,1903,1.394,9.906,0.762,2149,2.009,8.718,0.671,1849,0.416,10.509,0.808,2022,2.123,9.146,0.704
1000,12,12,0.10,0.25,0.2,2,1893,1.345,9.449,0.727,2445,3.131,6.855,0.527,1807,0.397,9.998,0.769,4047,6.005,4.141,0.319
1000,12,12,0.10,0.25,0.2,2,1699,1.646,10.336,0.795,1599,0.817,10.800,0.831,1931,0.390,9.044,0.696,1865,1.666,9.437,0.726
1000,12,12,0.10,0.25,0.2,3,5132,4.323,5.144,0.396,6406,4.050,4.231,0.325,4181,0.608,6.224,0.479,6029,4.744,4.261,0.328
