podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,12,12,1.00,0.25,0.2,2,3579,0.774,4.338,0.334,3138,2.242,5.076,0.390,2551,0.485,5.998,0.461,4861,4.880,3.217,0.247
900,12,12,1.00,0.25,0.2,2,2748,2.485,5.650,0.435,2386,3.329,6.493,0.499,2646,0.761,5.933,0.456,2690,0.501,5.834,0.449
900,12,12,1.00,0.25,0.2,2,2433,2.453,7.353,0.566,3018,1.391,5.872,0.452,3711,0.757,4.818,0.371,1756,1.457,10.182,0.783
900,12,12,1.00,0.25,0.2,2,3006,1.103,6.525,0.502,3266,1.120,4.977,0.383,2541,0.555,7.611,0.585,3892,0.720,4.954,0.381
900,12,12,1.00,0.25,0.2,2,2971,3.039,6.458,0.497,3583,2.893,5.356,0.412,2648,0.570,7.312,0.562,3064,1.658,6.150,0.473
900,12,12,1.00,0.25,0.2,2,2011,1.798,7.739,0.595,2326,2.999,6.500,0.500,1740,0.337,8.872,0.682,2516,1.881,6.269,0.482
900,12,12,1.00,0.25,0.2,2,1847,1.125,9.068,0.698,1684,1.144,10.176,0.783,1722,0.330,9.625,0.740,1556,1.288,10.912,0.839
900,12,12,1.00,0.25,0.2,2,2136,1.202,7.812,0.601,1858,1.372,9.004,0.693,1835,0.389,9.093,0.699,1940,0.697,8.598,0.661
900,12,12,1.00,0.25,0.2,2,1964,1.921,8.099,0.623,1443,1.008,10.826,0.833,1746,0.332,8.747,0.673,1968,2.508,7.965,0.613
900,12,12,1.00,0.25,0.2,2,2529,2.973,6.201,0.477,1803,2.146,8.490,0.653,1710,0.501,9.224,0.710,1734,1.182,9.095,0.700
900,12,12,1.00,0.25,0.2,3,4649,4.002,5.039,0.388,5514,3.160,4.155,0.320,3876,0.518,5.990,0.461,7068,3.516,3.260,0.251
900,12,12,1.00,0.25,0.2,3,2833,1.771,8.183,0.629,5045,3.063,4.533,0.349,3858,0.585,5.970,0.459,4395,2.784,5.299,0.408
900,12,12,1.00,0.25,0.2,3,3796,1.743,6.919,0.532,3085,1.069,8.434,0.649,3715,0.532,7.088,0.545,2667,1.158,10.156,0.781
900,12,12,1.00,0.25,0.2,3,5937,2.883,4.952,0.381,5225,0.944,5.562,0.428,3830,0.513,7.587,0.584,4149,0.880,7.005,0.539
900,12,12,1.00,0.25,0.2,3,4150,2.278,6.971,0.536,2906,1.515,9.741,0.749,3886,0.502,7.356,0.566,3969,1.435,7.478,0.575
900,12,12,1.00,0.25,0.2,3,3553,1.978,6.457,0.497,3173,1.797,7.264,0.559,2554,0.330,8.987,0.691,3577,2.839,6.361,0.489
900,12,12,1.00,0.25,0.2,3,2828,1.261,8.811,0.678,2361,1.628,10.669,0.821,2723,0.433,9.346,0.719,2071,0.927,12.092,0.930
900,12,12,1.00,0.25,0.2,3,3592,1.639,7.028,0.541,2377,0.865,10.508,0.808,2598,0.260,9.090,0.699,3269,0.889,7.665,0.590
900,12,12,1.00,0.25,0.2,3,2813,1.194,8.315,0.640,3259,2.746,7.214,0.555,2562,0.378,9.141,0.703,3074,2.629,7.711,0.593
900,12,12,1.00,0.25,0.2,3,2760,2.461,8.509,0.655,2582,2.047,8.969,0.690,2736,0.407,8.281,0.637,2470,1.718,9.472,0.729
900,12,12,1.00,0.25,0.2,4,6368,0.644,4.818,0.371,6826,2.548,4.547,0.350,5012,0.515,6.192,0.476,9080,4.987,4.859,0.374
900,12,12,1.00,0.25,0.2,4,3921,1.676,7.826,0.602,6009,3.260,5.185,0.399,5423,0.568,5.741,0.442,6208,3.396,5.114,0.393
900,12,12,1.00,0.25,0.2,4,4100,1.999,8.496,0.654,4142,2.331,8.341,0.642,7069,0.897,5.030,0.387,3514,1.876,10.113,0.778
900,12,12,1.00,0.25,0.2,4,6485,1.931,5.993,0.461,7413,1.984,5.270,0.405,5043,0.518,7.743,0.596,6254,1.954,6.197,0.477
900,12,12,1.00,0.25,0.2,4,5305,1.281,7.017,0.540,5248,1.965,7.221,0.555,4931,0.492,7.756,0.597,5528,2.442,6.895,0.530
900,12,12,1.00,0.25,0.2,4,4225,2.483,7.342,0.565,4330,2.087,7.194,0.553,3538,0.372,8.882,0.683,5081,1.305,6.119,0.471
900,12,12,1.00,0.25,0.2,4,3572,1.497,9.169,0.705,3034,0.996,11.116,0.855,3620,0.359,9.124,0.702,3010,1.380,10.971,0.844
900,12,12,1.00,0.25,0.2,4,3834,1.222,8.789,0.676,3492,0.747,9.705,0.747,3504,0.251,9.680,0.745,4261,0.850,7.810,0.601
900,12,12,1.00,0.25,0.2,4,3803,2.082,8.214,0.632,4012,1.384,7.891,0.607,3512,0.338,8.895,0.684,3810,1.427,8.230,0.633
