podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,8,12,0.2,0.25,0.2,2,2006,2.141,8.721,0.671,2795,3.820,6.317,0.486,2036,0.673,8.657,0.666,1827,2.151,9.667,0.744
700,8,12,0.2,0.25,0.2,2,2157,1.316,8.307,0.639,2080,2.102,8.715,0.670,2969,1.307,5.928,0.456,1945,2.894,9.247,0.711
700,8,12,0.2,0.25,0.2,2,2226,1.795,8.444,0.650,1926,1.413,9.631,0.741,4142,1.424,4.596,0.354,2029,1.062,8.567,0.659
700,8,12,0.2,0.25,0.2,2,2934,0.560,6.362,0.489,3016,1.186,6.173,0.475,2947,0.904,6.466,0.497,3928,4.058,4.905,0.377
700,8,12,0.2,0.25,0.2,2,1946,1.643,9.047,0.696,1839,1.666,10.325,0.794,3045,1.165,6.514,0.501,2121,1.660,9.556,0.735
700,8,12,0.2,0.25,0.2,2,2340,1.442,7.771,0.598,1872,1.331,10.062,0.774,2001,0.647,9.006,0.693,1991,2.114,8.901,0.685
700,8,12,0.2,0.25,0.2,2,1597,0.860,11.462,0.882,1413,1.153,13.395,1.030,2486,0.750,7.616,0.586,1466,1.438,12.913,0.993
700,8,12,0.2,0.25,0.2,2,1995,1.080,9.788,0.753,1774,2.064,10.593,0.815,2111,0.724,8.296,0.638,2168,2.757,8.742,0.672
700,8,12,0.2,0.25,0.2,2,2046,0.577,8.814,0.678,2962,1.143,5.883,0.453,3044,1.015,5.747,0.442,3057,2.714,5.900,0.454
700,8,12,0.2,0.25,0.2,2,1971,2.265,9.298,0.715,2005,1.872,8.804,0.677,1978,0.850,8.928,0.687,1851,2.611,9.576,0.737
700,8,12,0.2,0.25,0.2,3,2299,1.686,11.502,0.885,2691,2.189,9.807,0.754,3007,0.639,8.846,0.680,4399,2.688,6.052,0.466
700,8,12,0.2,0.25,0.2,3,3129,1.030,8.614,0.663,3385,0.667,7.927,0.610,6270,1.400,4.226,0.325,2938,1.281,9.025,0.694
700,8,12,0.2,0.25,0.2,3,5250,1.397,5.296,0.407,3009,2.659,9.402,0.723,6270,1.565,4.521,0.348,3004,2.886,9.413,0.724
700,8,12,0.2,0.25,0.2,3,5057,2.102,5.521,0.425,3785,0.604,7.469,0.575,4413,1.047,6.496,0.500,4231,0.553,6.661,0.512
700,8,12,0.2,0.25,0.2,3,2458,1.431,12.351,0.950,2837,1.017,10.418,0.801,4435,0.928,6.816,0.524,2792,1.485,10.949,0.842
700,8,12,0.2,0.25,0.2,3,3468,1.464,7.683,0.591,2935,1.293,9.109,0.701,2951,0.501,8.953,0.689,2791,2.750,9.562,0.736
700,8,12,0.2,0.25,0.2,3,2532,2.142,11.327,0.871,2067,0.919,13.828,1.064,2207,0.539,12.828,0.987,2256,1.651,12.277,0.944
700,8,12,0.2,0.25,0.2,3,3098,2.469,9.259,0.712,3178,2.862,8.924,0.686,3277,0.724,8.679,0.668,2818,2.407,9.458,0.728
700,8,12,0.2,0.25,0.2,3,5053,3.115,5.270,0.405,3243,0.812,8.211,0.632,4372,0.978,6.091,0.469,4765,3.342,5.581,0.429
700,8,12,0.2,0.25,0.2,3,2689,0.774,9.993,0.769,3053,1.781,8.802,0.677,2971,0.630,9.124,0.702,2401,1.203,11.222,0.863
700,8,12,0.2,0.25,0.2,4,4651,1.793,7.725,0.594,4001,1.644,8.808,0.678,3980,0.654,8.743,0.673,4431,2.504,8.137,0.626
700,8,12,0.2,0.25,0.2,4,5828,1.043,6.108,0.470,4796,1.298,7.463,0.574,8283,0.888,4.321,0.332,4703,1.424,7.610,0.585
700,8,12,0.2,0.25,0.2,4,4519,1.276,8.239,0.634,4348,1.550,8.675,0.667,8284,1.453,4.613,0.355,5067,1.902,7.442,0.572
700,8,12,0.2,0.25,0.2,4,5586,0.597,6.929,0.533,5392,2.323,6.936,0.534,5799,0.993,6.226,0.479,6919,4.751,5.409,0.416
