podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,12,12,0.2,0.25,0.2,2,3560,3.270,4.036,0.310,2372,1.253,5.851,0.450,2275,0.506,6.184,0.476,3904,5.213,3.534,0.272
800,12,12,0.2,0.25,0.2,2,2069,2.863,6.572,0.506,3859,4.328,3.636,0.280,1719,0.383,8.062,0.620,2707,2.532,5.105,0.393
800,12,12,0.2,0.25,0.2,2,2086,1.928,7.511,0.578,2402,1.661,6.523,0.502,3137,0.630,4.993,0.384,1580,1.103,9.949,0.765
800,12,12,0.2,0.25,0.2,2,2946,1.959,5.842,0.449,4049,3.481,4.268,0.328,2173,0.485,7.968,0.613,3726,2.990,4.647,0.357
800,12,12,0.2,0.25,0.2,2,3129,2.446,5.586,0.430,2625,1.828,6.659,0.512,2181,0.448,8.016,0.617,3702,3.542,4.494,0.346
800,12,12,0.2,0.25,0.2,2,1951,1.253,7.137,0.549,2551,1.927,5.474,0.421,1508,0.337,9.388,0.722,2749,1.979,5.079,0.391
800,12,12,0.2,0.25,0.2,2,1579,1.103,9.633,0.741,1311,0.685,11.149,0.858,1521,0.347,9.206,0.708,1360,1.142,10.847,0.834
800,12,12,0.2,0.25,0.2,2,2333,1.566,6.334,0.487,1456,0.550,10.124,0.779,1483,0.341,9.939,0.765,1922,1.804,7.721,0.594
800,12,12,0.2,0.25,0.2,2,1867,1.471,7.503,0.577,3059,0.644,4.473,0.344,1450,0.271,9.435,0.726,1589,2.293,8.820,0.678
800,12,12,0.2,0.25,0.2,2,1483,1.752,9.175,0.706,2053,2.572,6.497,0.500,1595,0.328,8.746,0.673,1537,0.615,9.074,0.698
800,12,12,0.2,0.25,0.2,3,3720,2.054,5.530,0.425,4620,1.582,4.509,0.347,3242,0.471,6.422,0.494,4836,2.543,4.223,0.325
800,12,12,0.2,0.25,0.2,3,3331,0.625,6.265,0.482,5053,3.777,4.091,0.315,3467,0.522,6.087,0.468,3544,2.066,5.985,0.460
800,12,12,0.2,0.25,0.2,3,2860,1.030,8.094,0.623,4035,2.153,5.738,0.441,4715,0.597,5.001,0.385,2379,1.511,9.730,0.748
800,12,12,0.2,0.25,0.2,3,4902,3.092,5.307,0.408,6539,4.905,3.998,0.308,3167,0.430,8.205,0.631,5503,4.239,4.722,0.363
800,12,12,0.2,0.25,0.2,3,2670,1.299,9.643,0.742,5270,3.309,4.914,0.378,3346,0.423,7.635,0.587,4022,2.318,6.305,0.485
800,12,12,0.2,0.25,0.2,3,3072,1.295,6.770,0.521,3659,1.781,5.904,0.454,2278,0.322,9.013,0.693,4864,2.091,4.354,0.335
800,12,12,0.2,0.25,0.2,3,2672,1.538,8.451,0.650,2031,1.224,11.327,0.871,3313,0.456,6.720,0.517,1890,1.023,11.585,0.891
800,12,12,0.2,0.25,0.2,3,2491,1.727,8.868,0.682,2304,1.576,9.640,0.742,2272,0.297,10.137,0.780,3211,2.515,6.816,0.524
800,12,12,0.2,0.25,0.2,3,2642,1.833,7.897,0.607,4211,1.762,4.933,0.379,2241,0.322,9.267,0.713,4594,1.949,4.448,0.342
800,12,12,0.2,0.25,0.2,3,2990,1.745,6.871,0.529,2342,1.731,8.914,0.686,2262,0.314,9.088,0.699,2905,2.635,7.025,0.540
800,12,12,0.2,0.25,0.2,4,6680,2.360,4.133,0.318,5296,1.704,5.406,0.416,4309,0.300,6.377,0.491,8058,4.429,3.410,0.262
800,12,12,0.2,0.25,0.2,4,4835,2.484,5.697,0.438,5360,2.702,5.194,0.400,3769,0.415,7.510,0.578,4847,1.570,5.753,0.443
800,12,12,0.2,0.25,0.2,4,4478,1.548,6.878,0.529,3728,1.795,8.261,0.635,6218,0.672,4.983,0.383,3421,0.650,8.994,0.692
800,12,12,0.2,0.25,0.2,4,8736,3.216,4.012,0.309,8045,4.485,4.265,0.328,4403,0.468,7.762,0.597,7098,1.470,4.767,0.367
800,12,12,0.2,0.25,0.2,4,6006,2.465,5.622,0.432,6854,2.752,5.080,0.391,4376,0.476,7.705,0.593,5359,2.503,6.293,0.484
800,12,12,0.2,0.25,0.2,4,3234,0.457,8.541,0.657,6449,3.377,4.367,0.336,2946,0.333,9.714,0.747,6155,3.844,4.487,0.345
800,12,12,0.2,0.25,0.2,4,3154,1.011,9.396,0.723,2531,0.931,11.869,0.913,2925,0.280,10.390,0.799,2783,0.958,10.846,0.834
800,12,12,0.2,0.25,0.2,4,3314,1.620,8.893,0.684,4264,2.758,7.074,0.544,6426,0.743,4.632,0.356,4373,2.375,6.926,0.533
800,12,12,0.2,0.25,0.2,4,3770,1.211,7.412,0.570,2992,1.466,9.184,0.706,2972,0.349,9.478,0.729,4216,2.880,6.669,0.513
800,12,12,0.2,0.25,0.2,4,4952,2.879,5.508,0.424,3959,2.377,6.957,0.535,3141,0.325,8.652,0.666,3402,1.776,8.090,0.622
800,12,12,0.2,0.25,0.5,2,3286,2.624,4.388,0.338,3385,0.539,4.258,0.328,2252,0.453,6.383,0.491,2837,1.966,5.070,0.390
800,12,12,0.2,0.25,0.5,2,2144,2.230,6.508,0.501,1804,1.610,7.842,0.603,2368,0.684,5.837,0.449,3778,3.437,3.618,0.278
800,12,12,0.2,0.25,0.5,2,2494,2.804,6.207,0.477,1698,1.634,9.460,0.728,2271,0.484,6.711,0.516,1675,1.506,9.512,0.732
800,12,12,0.2,0.25,0.5,2,2697,0.613,6.421,0.494,4680,3.655,3.700,0.285,2203,0.491,7.881,0.606,2794,1.565,6.198,0.477
800,12,12,0.2,0.25,0.5,2,1732,0.906,9.780,0.752,3986,2.094,4.384,0.337,1518,0.304,11.514,0.886,2643,2.832,5.760,0.443
800,12,12,0.2,0.25,0.5,2,2158,0.550,6.462,0.497,2636,2.888,5.166,0.397,1532,0.350,8.890,0.684,3204,2.873,4.352,0.335
800,12,12,0.2,0.25,0.5,2,1797,1.116,8.601,0.662,2068,1.356,7.383,0.568,1651,0.303,8.935,0.687,1290,0.828,11.433,0.879
800,12,12,0.2,0.25,0.5,2,1579,2.087,9.335,0.718,1456,0.550,10.126,0.779,1487,0.342,9.808,0.754,1804,0.502,8.197,0.631
800,12,12,0.2,0.25,0.5,2,1779,1.932,7.577,0.583,1549,1.973,8.819,0.678,1438,0.305,9.724,0.748,1768,2.446,7.688,0.591
800,12,12,0.2,0.25,0.5,2,1781,0.527,7.753,0.596,1734,1.028,8.143,0.626,1592,0.364,8.665,0.667,1982,2.729,6.943,0.534
800,12,12,0.2,0.25,0.5,3,5397,2.623,3.908,0.301,5019,4.352,4.115,0.317,3284,0.530,6.265,0.482,6913,0.774,3.053,0.235
800,12,12,0.2,0.25,0.5,3,3301,0.565,6.376,0.490,3030,1.776,7.019,0.540,3528,0.415,5.827,0.448,4716,4.072,4.328,0.333
800,12,12,0.2,0.25,0.5,3,4250,2.828,5.480,0.422,3235,1.189,7.156,0.550,4706,0.732,5.025,0.387,2659,0.885,8.772,0.675
800,12,12,0.2,0.25,0.5,3,4977,1.124,5.237,0.403,7612,5.191,3.481,0.268,3297,0.498,7.892,0.607,6046,1.975,4.256,0.327
800,12,12,0.2,0.25,0.5,3,5501,2.115,4.789,0.368,4070,1.288,6.294,0.484,3217,0.461,8.018,0.617,3601,2.990,7.190,0.553
