podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,12,12,0.10,0.25,0.2,2,3544,0.590,5.360,0.412,4733,3.327,4.094,0.315,2921,0.586,6.645,0.511,3794,4.327,5.189,0.399
1100,12,12,0.10,0.25,0.2,2,2432,2.079,7.872,0.606,3274,1.133,5.806,0.447,2098,0.448,9.049,0.696,1667,2.694,11.439,0.880
1100,12,12,0.10,0.25,0.2,2,2471,2.019,8.665,0.667,2363,1.017,9.062,0.697,4205,0.864,5.093,0.392,2377,1.345,9.008,0.693
1100,12,12,0.10,0.25,0.2,2,4185,3.891,5.651,0.435,3602,1.516,6.707,0.516,3003,0.698,8.061,0.620,3303,0.668,7.277,0.560
1100,12,12,0.10,0.25,0.2,2,2696,3.098,8.669,0.667,3266,2.290,7.156,0.550,2931,0.548,8.026,0.617,3398,2.493,6.693,0.515
1100,12,12,0.10,0.25,0.2,2,3364,1.932,5.656,0.435,2265,2.682,8.380,0.645,2081,0.521,9.292,0.715,2006,1.480,9.504,0.731
1100,12,12,0.10,0.25,0.2,2,2051,1.691,9.363,0.720,1845,1.133,11.220,0.863,1988,0.372,10.533,0.810,1820,2.597,11.380,0.875
1100,12,12,0.10,0.25,0.2,2,2577,1.914,8.021,0.617,2897,3.669,7.215,0.555,2044,0.521,10.109,0.778,2474,2.440,8.328,0.641
1100,12,12,0.10,0.25,0.2,2,3584,3.082,5.377,0.414,3175,2.435,6.016,0.463,2032,0.297,9.446,0.727,2935,1.089,6.637,0.511
1100,12,12,0.10,0.25,0.2,2,2875,1.471,6.476,0.498,2091,1.843,9.271,0.713,2005,0.387,9.210,0.708,1934,2.909,9.703,0.746
1100,12,12,0.10,0.25,0.2,3,4611,0.508,6.274,0.483,5838,2.986,5.003,0.385,4500,0.735,6.506,0.500,3888,1.717,7.457,0.574
1100,12,12,0.10,0.25,0.2,3,4197,2.663,6.808,0.524,3386,1.873,8.510,0.655,4671,0.713,5.981,0.460,2782,1.715,10.361,0.797
1100,12,12,0.10,0.25,0.2,3,3778,2.203,9.502,0.731,3692,1.503,8.521,0.655,6384,0.931,5.121,0.394,2910,1.662,11.231,0.864
1100,12,12,0.10,0.25,0.2,3,4602,2.495,7.587,0.584,4457,2.711,7.833,0.603,4362,0.639,8.029,0.618,5893,4.168,5.929,0.456
1100,12,12,0.10,0.25,0.2,3,4930,2.617,7.257,0.558,4575,3.180,7.567,0.582,4331,0.634,7.993,0.615,4721,1.820,7.371,0.567
1100,12,12,0.10,0.25,0.2,3,3429,2.276,8.404,0.646,3300,0.882,8.792,0.676,3143,0.409,9.066,0.697,4152,2.579,6.907,0.531
1100,12,12,0.10,0.25,0.2,3,2980,1.427,10.343,0.796,2859,2.005,10.945,0.842,3280,0.501,9.740,0.749,2609,1.573,12.009,0.924
1100,12,12,0.10,0.25,0.2,3,4691,3.045,6.566,0.505,3407,1.578,9.009,0.693,3000,0.459,10.083,0.776,2648,1.861,11.632,0.895
1100,12,12,0.10,0.25,0.2,3,3022,1.361,9.688,0.745,3303,1.959,8.863,0.682,3183,0.315,9.199,0.708,4175,1.815,7.013,0.539
1100,12,12,0.10,0.25,0.2,3,4035,3.348,7.008,0.539,2827,2.145,9.900,0.762,2975,0.394,9.455,0.727,2708,0.905,10.397,0.800
1100,12,12,0.10,0.25,0.2,4,10012,1.014,3.841,0.295,7464,4.071,5.147,0.396,5934,0.635,6.516,0.501,10332,4.273,3.695,0.284
1100,12,12,0.10,0.25,0.2,4,3842,1.775,9.876,0.760,4466,1.920,8.395,0.646,6263,0.725,6.172,0.475,3539,1.840,10.738,0.826
1100,12,12,0.10,0.25,0.2,4,4785,2.160,8.766,0.674,4111,2.342,10.350,0.796,8492,0.880,5.033,0.387,4875,2.119,8.620,0.663
1100,12,12,0.10,0.25,0.2,4,6211,2.026,6.890,0.530,6435,2.023,7.287,0.561,5852,0.669,8.040,0.618,5566,1.672,8.421,0.648
1100,12,12,0.10,0.25,0.2,4,5002,1.349,9.378,0.721,5967,3.001,8.162,0.628,6059,0.562,7.795,0.600,5915,2.698,7.932,0.610
1100,12,12,0.10,0.25,0.2,4,4652,2.350,8.376,0.644,5900,1.829,6.452,0.496,3926,0.391,9.925,0.763,5665,1.879,6.878,0.529
1100,12,12,0.10,0.25,0.2,4,3964,2.381,10.283,0.791,3849,2.000,10.167,0.782,6178,0.689,6.735,0.518,3537,1.540,11.524,0.886
1100,12,12,0.10,0.25,0.2,4,5241,2.922,7.798,0.600,4132,2.413,10.115,0.778,4115,0.504,10.155,0.781,4570,1.379,9.161,0.705
1100,12,12,0.10,0.25,0.2,4,4314,0.943,8.694,0.669,5262,2.602,7.199,0.554,4178,0.275,9.352,0.719,5457,1.258,6.908,0.531
1100,12,12,0.10,0.25,0.2,4,4791,1.161,7.833,0.603,3401,0.862,10.968,0.844,3889,0.449,9.716,0.747,3290,1.563,11.483,0.883
1100,12,12,0.10,0.25,0.5,2,3968,0.614,4.782,0.368,5037,1.104,3.784,0.291,2983,0.720,6.476,0.498,4764,5.963,4.087,0.314
1100,12,12,0.10,0.25,0.5,2,3067,2.682,6.197,0.477,1911,1.991,9.945,0.765,2105,0.450,9.031,0.695,1770,2.010,10.739,0.826
1100,12,12,0.10,0.25,0.5,2,2323,1.494,9.217,0.709,2556,1.233,8.111,0.624,4285,0.770,4.998,0.384,2665,1.787,7.862,0.605
