podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,10,12,0.10,0.25,0.2,2,2046,1.555,10.978,0.844,2604,2.877,8.420,0.648,2442,0.529,9.223,0.709,2338,2.323,9.653,0.743
1100,10,12,0.10,0.25,0.2,2,2657,1.131,9.513,0.732,2727,2.682,9.195,0.707,3589,0.924,6.859,0.528,2281,2.359,11.081,0.852
1100,10,12,0.10,0.25,0.2,2,2311,1.808,11.150,0.858,2167,2.548,11.836,0.910,2499,0.592,10.373,0.798,2013,2.222,12.877,0.991
1100,10,12,0.10,0.25,0.2,2,2787,3.487,9.107,0.701,2387,2.429,10.472,0.806,2451,0.732,10.220,0.786,2280,1.639,11.148,0.858
1100,10,12,0.10,0.25,0.2,2,2433,2.474,10.189,0.784,2020,1.674,12.297,0.946,2411,0.710,10.231,0.787,2066,1.309,11.947,0.919
1100,10,12,0.10,0.25,0.2,2,2494,3.106,9.110,0.701,2474,2.870,9.176,0.706,2435,0.648,9.301,0.715,2121,2.168,10.711,0.824
1100,10,12,0.10,0.25,0.2,2,3196,1.176,8.408,0.647,2541,1.891,10.578,0.814,3482,0.832,7.718,0.594,2469,1.633,11.115,0.855
1100,10,12,0.10,0.25,0.2,2,2361,2.134,12.897,0.992,2451,0.854,12.432,0.956,3768,0.892,8.254,0.635,2254,1.070,13.467,1.036
1100,10,12,0.10,0.25,0.2,2,2553,3.493,9.705,0.747,2835,1.577,8.832,0.679,3747,1.024,6.613,0.509,2517,1.427,9.769,0.751
1100,10,12,0.10,0.25,0.2,2,2655,2.731,8.509,0.655,2598,2.234,8.606,0.662,3681,0.941,6.428,0.494,2496,3.166,9.251,0.712
1100,10,12,0.10,0.25,0.2,3,4011,2.551,8.767,0.674,3391,2.210,9.934,0.764,3601,0.683,9.489,0.730,4146,2.977,8.481,0.652
