podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,10,12,0.2,0.25,0.2,2,2147,1.322,8.701,0.669,4101,4.275,4.559,0.351,2038,0.569,9.193,0.707,2152,2.391,8.477,0.652
900,10,12,0.2,0.25,0.2,2,2654,3.461,7.994,0.615,2440,0.751,8.362,0.643,2974,0.810,6.759,0.520,2195,2.127,9.472,0.729
900,10,12,0.2,0.25,0.2,2,1998,1.835,10.466,0.805,1912,1.792,11.404,0.877,2016,0.468,10.495,0.807,1781,0.823,11.665,0.897
900,10,12,0.2,0.25,0.2,2,2885,3.311,7.078,0.544,2203,2.461,9.272,0.713,2069,0.544,9.850,0.758,2587,2.427,7.933,0.610
900,10,12,0.2,0.25,0.2,2,2412,1.935,8.422,0.648,1738,1.725,11.841,0.911,2024,0.641,9.944,0.765,2676,2.056,7.688,0.591
900,10,12,0.2,0.25,0.2,2,1964,0.952,9.654,0.743,1829,1.136,10.325,0.794,2008,0.576,9.452,0.727,1757,1.427,10.804,0.831
900,10,12,0.2,0.25,0.2,2,2416,1.721,9.405,0.723,1915,1.216,11.718,0.901,2973,0.702,7.578,0.583,2233,1.344,10.064,0.774
900,10,12,0.2,0.25,0.2,2,2680,0.718,9.646,0.742,2270,1.216,11.389,0.876,3089,0.662,8.276,0.637,1995,0.819,12.996,1.000
900,10,12,0.2,0.25,0.2,2,2760,2.763,7.387,0.568,2446,1.510,8.167,0.628,2961,0.772,6.886,0.530,2412,0.960,8.392,0.646
900,10,12,0.2,0.25,0.2,2,3039,4.175,6.036,0.464,2470,2.269,7.452,0.573,3016,0.763,6.194,0.476,2513,2.536,7.494,0.576
900,10,12,0.2,0.25,0.2,3,2800,1.746,9.989,0.768,2632,2.605,10.743,0.826,3043,0.481,9.180,0.706,2445,2.484,11.371,0.875
900,10,12,0.2,0.25,0.2,3,2461,1.092,12.689,0.976,3602,1.417,10.217,0.786,4383,0.820,6.475,0.498,3730,1.039,8.145,0.627
900,10,12,0.2,0.25,0.2,3,3158,2.060,9.925,0.763,2717,1.785,11.899,0.915,3059,0.467,10.324,0.794,4276,1.137,7.497,0.577
900,10,12,0.2,0.25,0.2,3,2747,0.944,11.082,0.852,2805,2.026,10.770,0.828,3045,0.374,9.969,0.767,2612,1.826,11.849,0.911
900,10,12,0.2,0.25,0.2,3,4174,3.479,7.164,0.551,4237,3.699,7.130,0.548,2995,0.493,10.230,0.787,2730,1.234,11.162,0.859
900,10,12,0.2,0.25,0.2,3,3063,2.365,9.334,0.718,4020,1.781,6.990,0.538,2991,0.478,9.214,0.709,2683,1.189,10.606,0.816
900,10,12,0.2,0.25,0.2,3,3248,1.445,10.587,0.814,2867,1.230,11.775,0.906,4390,0.806,7.690,0.592,2940,1.849,11.544,0.888
900,10,12,0.2,0.25,0.2,3,3526,2.210,10.858,0.835,2835,1.340,10.799,0.831,6330,1.058,6.220,0.478,3124,1.702,12.107,0.931
900,10,12,0.2,0.25,0.2,3,3760,2.341,8.076,0.621,3561,1.795,8.472,0.652,4424,0.812,6.756,0.520,3650,1.956,8.188,0.630
900,10,12,0.2,0.25,0.2,3,5238,3.357,5.281,0.406,3546,2.627,7.870,0.605,4436,0.774,6.236,0.480,5047,2.807,5.481,0.422
900,10,12,0.2,0.25,0.2,4,3989,2.682,9.316,0.717,3479,1.124,10.583,0.814,5962,0.975,6.117,0.471,4513,1.876,8.036,0.618
