podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,12,12,0.10,0.25,0.2,2,3197,1.405,5.057,0.389,3673,4.484,4.142,0.319,2472,0.500,6.347,0.488,2768,1.897,5.699,0.438
900,12,12,0.10,0.25,0.2,2,2031,1.799,7.660,0.589,2969,3.113,5.227,0.402,2612,0.573,5.941,0.457,2742,3.163,5.546,0.427
900,12,12,0.10,0.25,0.2,2,1869,1.110,9.493,0.730,1919,1.201,9.013,0.693,3594,0.718,4.968,0.382,2752,1.159,6.382,0.491
900,12,12,0.10,0.25,0.2,2,3119,3.266,6.184,0.476,2773,2.812,7.023,0.540,2396,0.475,8.046,0.619,3627,1.451,5.315,0.409
900,12,12,0.10,0.25,0.2,2,1703,1.120,11.214,0.863,2388,1.867,8.036,0.618,2448,0.527,7.753,0.596,3535,2.989,5.442,0.419
900,12,12,0.10,0.25,0.2,2,2382,2.507,6.622,0.509,3391,1.269,4.651,0.358,1586,0.370,10.074,0.775,2501,1.556,6.147,0.473
900,12,12,0.10,0.25,0.2,2,1554,0.720,10.982,0.845,1489,1.052,11.234,0.864,1658,0.401,10.083,0.776,1393,0.878,11.955,0.920
900,12,12,0.10,0.25,0.2,2,1754,0.886,9.624,0.740,2289,1.847,7.290,0.561,1634,0.399,10.212,0.786,1912,0.786,8.637,0.664
900,12,12,0.10,0.25,0.2,2,1995,2.019,7.972,0.613,1615,1.623,9.661,0.743,1686,0.333,9.398,0.723,1847,1.479,8.395,0.646
900,12,12,0.10,0.25,0.2,2,1842,0.516,8.610,0.662,1644,1.953,9.615,0.740,1622,0.329,9.525,0.733,1730,1.581,8.905,0.685
900,12,12,0.10,0.25,0.2,3,6074,0.432,3.849,0.296,6473,4.713,3.546,0.273,3646,0.488,6.431,0.495,7247,7.190,3.224,0.248
900,12,12,0.10,0.25,0.2,3,3070,1.825,7.552,0.581,3476,2.435,6.710,0.516,3735,0.542,6.323,0.486,4547,4.165,5.082,0.391
900,12,12,0.10,0.25,0.2,3,2743,1.135,9.453,0.727,3280,0.573,8.007,0.616,5263,0.730,5.031,0.387,2710,1.251,9.909,0.762
900,12,12,0.10,0.25,0.2,3,4327,2.703,6.613,0.509,6020,2.766,4.818,0.371,3660,0.490,7.738,0.595,4451,2.638,6.512,0.501
900,12,12,0.10,0.25,0.2,3,3807,1.172,7.635,0.587,3214,1.764,8.936,0.687,3632,0.511,8.129,0.625,3729,2.900,7.995,0.615
900,12,12,0.10,0.25,0.2,3,3471,2.124,6.803,0.523,4574,2.368,5.020,0.386,2585,0.326,9.098,0.700,3887,1.725,5.909,0.455
900,12,12,0.10,0.25,0.2,3,2486,1.613,10.105,0.777,2331,0.812,11.025,0.848,2494,0.392,10.346,0.796,2759,2.296,9.311,0.716
900,12,12,0.10,0.25,0.2,3,2799,1.033,8.920,0.686,2849,1.689,8.668,0.667,2550,0.249,9.987,0.768,2981,2.290,8.536,0.657
900,12,12,0.10,0.25,0.2,3,4238,3.691,5.487,0.422,2747,2.106,8.591,0.661,2531,0.349,9.253,0.712,2664,1.342,8.790,0.676
900,12,12,0.10,0.25,0.2,3,2386,0.849,9.498,0.731,2541,1.218,9.098,0.700,2348,0.387,9.848,0.758,2500,1.151,9.151,0.704
900,12,12,0.10,0.25,0.2,4,5773,0.738,5.547,0.427,10157,5.028,3.119,0.240,4885,0.553,6.386,0.491,9198,6.485,3.382,0.260
900,12,12,0.10,0.25,0.2,4,4484,2.490,6.942,0.534,4481,3.215,6.946,0.534,5109,0.586,6.097,0.469,6129,3.012,5.033,0.387
900,12,12,0.10,0.25,0.2,4,4275,1.772,8.275,0.637,3915,1.223,9.059,0.697,7045,0.800,5.048,0.388,3338,1.867,10.587,0.814
900,12,12,0.10,0.25,0.2,4,5940,3.612,6.612,0.509,8015,4.916,4.821,0.371,4947,0.586,7.963,0.613,5978,1.297,6.590,0.507
900,12,12,0.10,0.25,0.2,4,6403,1.894,5.951,0.458,5224,2.608,7.226,0.556,4715,0.471,8.107,0.624,5129,1.872,7.385,0.568
