podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,12,12,0.2,0.25,0.2,2,5617,4.729,3.399,0.261,3956,3.222,4.891,0.376,3036,0.701,6.371,0.490,3998,2.423,4.791,0.369
1100,12,12,0.2,0.25,0.2,2,4346,2.566,4.374,0.336,1923,2.274,9.884,0.760,3135,0.670,5.959,0.458,1746,2.090,10.867,0.836
1100,12,12,0.2,0.25,0.2,2,2270,0.519,9.187,0.707,2124,1.469,10.085,0.776,4295,0.772,4.788,0.368,2037,1.154,10.514,0.809
1100,12,12,0.2,0.25,0.2,2,3403,1.940,7.099,0.546,2959,0.867,8.165,0.628,3039,0.610,7.949,0.611,3759,4.252,6.291,0.484
1100,12,12,0.2,0.25,0.2,2,3668,3.258,6.373,0.490,3156,2.213,7.406,0.570,2952,0.552,8.002,0.616,2560,2.617,9.038,0.695
1100,12,12,0.2,0.25,0.2,2,2379,1.510,8.215,0.632,2905,1.480,6.598,0.508,2016,0.469,9.539,0.734,1993,1.841,9.407,0.724
1100,12,12,0.2,0.25,0.2,2,2174,1.319,9.591,0.738,1840,1.130,11.259,0.866,2053,0.504,10.181,0.783,1804,1.395,11.484,0.883
1100,12,12,0.2,0.25,0.2,2,2726,3.774,7.610,0.585,2458,2.672,8.269,0.636,2058,0.518,9.963,0.766,2441,2.916,8.401,0.646
1100,12,12,0.2,0.25,0.2,2,2300,1.648,8.463,0.651,2003,2.672,9.799,0.754,1980,0.414,9.491,0.730,2933,2.873,6.750,0.519
1100,12,12,0.2,0.25,0.2,2,1944,1.450,9.649,0.742,2014,1.116,9.347,0.719,2093,0.472,8.965,0.690,1864,0.696,10.064,0.774
1100,12,12,0.2,0.25,0.2,3,7147,3.456,4.087,0.314,5688,3.866,5.135,0.395,4446,0.637,6.305,0.485,6629,2.034,4.317,0.332
1100,12,12,0.2,0.25,0.2,3,4235,2.640,6.747,0.519,3359,1.596,8.507,0.654,4650,0.567,6.107,0.470,3343,2.771,8.547,0.657
1100,12,12,0.2,0.25,0.2,3,3197,0.801,9.923,0.763,5319,2.018,5.936,0.457,6626,0.870,4.836,0.372,3954,1.529,8.104,0.623
1100,12,12,0.2,0.25,0.2,3,4593,2.491,7.602,0.585,4442,1.082,7.860,0.605,4393,0.680,8.117,0.624,5774,2.664,6.070,0.467
1100,12,12,0.2,0.25,0.2,3,4804,2.558,7.445,0.573,4576,3.181,7.565,0.582,4508,0.758,7.679,0.591,4527,3.194,7.647,0.588
1100,12,12,0.2,0.25,0.2,3,4401,1.736,6.578,0.506,4753,1.581,6.092,0.469,2995,0.493,9.698,0.746,3704,2.468,7.755,0.597
1100,12,12,0.2,0.25,0.2,3,3201,1.502,9.740,0.749,2664,1.213,11.684,0.899,3228,0.507,9.456,0.727,4369,2.753,7.106,0.547
1100,12,12,0.2,0.25,0.2,3,5532,2.164,5.558,0.428,3255,2.244,9.462,0.728,3001,0.396,10.330,0.795,3449,0.768,8.229,0.633
1100,12,12,0.2,0.25,0.2,3,3241,1.364,8.944,0.688,3689,2.044,7.936,0.610,3150,0.290,9.182,0.706,3744,1.689,7.537,0.580
1100,12,12,0.2,0.25,0.2,3,2695,2.377,10.471,0.805,2773,1.824,10.132,0.779,3151,0.497,8.945,0.688,3348,1.583,8.576,0.660
1100,12,12,0.2,0.25,0.2,4,12844,5.484,2.984,0.230,9840,3.858,3.905,0.300,5943,0.666,6.504,0.500,9272,3.861,4.133,0.318
1100,12,12,0.2,0.25,0.2,4,3796,0.331,9.976,0.767,6557,3.469,5.805,0.447,4148,0.470,9.315,0.717,3641,2.047,10.472,0.806
1100,12,12,0.2,0.25,0.2,4,4480,1.605,9.543,0.734,4003,2.333,10.629,0.818,8481,0.879,5.035,0.387,4732,2.643,9.019,0.694
1100,12,12,0.2,0.25,0.2,4,5749,1.130,8.085,0.622,8937,1.781,5.389,0.415,5989,0.601,7.827,0.602,7447,3.435,6.294,0.484
1100,12,12,0.2,0.25,0.2,4,4977,1.342,9.426,0.725,6055,2.737,7.748,0.596,6031,0.727,7.778,0.598,6224,3.656,7.538,0.580
1100,12,12,0.2,0.25,0.2,4,4504,2.276,8.487,0.653,4366,1.582,8.724,0.671,3987,0.380,9.640,0.742,5877,2.665,6.489,0.499
1100,12,12,0.2,0.25,0.2,4,4351,1.221,9.483,0.729,3577,0.871,11.396,0.877,3936,0.411,10.354,0.796,3507,2.185,11.623,0.894
1100,12,12,0.2,0.25,0.2,4,5282,2.945,7.942,0.611,4431,2.232,9.468,0.728,4074,0.413,10.124,0.779,3888,1.906,10.405,0.800
1100,12,12,0.2,0.25,0.2,4,3536,2.640,10.663,0.820,4660,1.346,8.090,0.622,3950,0.263,9.555,0.735,3554,2.077,10.608,0.816
1100,12,12,0.2,0.25,0.2,4,4752,2.678,8.008,0.616,4039,1.632,9.340,0.718,4175,0.430,9.098,0.700,3592,2.146,10.519,0.809
1100,12,12,0.2,0.25,0.5,2,5478,0.848,3.497,0.269,4335,0.942,4.467,0.344,2940,0.733,6.532,0.502,4902,0.580,3.908,0.301
1100,12,12,0.2,0.25,0.5,2,2221,2.136,8.556,0.658,1920,2.271,9.803,0.754,3190,0.695,5.930,0.456,2849,0.957,6.671,0.513
1100,12,12,0.2,0.25,0.5,2,2396,1.829,8.936,0.687,2348,1.267,9.117,0.701,4369,1.024,4.873,0.375,2292,1.106,9.451,0.727
1100,12,12,0.2,0.25,0.5,2,4006,3.725,5.928,0.456,3255,3.015,7.281,0.560,3043,0.658,7.881,0.606,3927,4.715,6.117,0.471
1100,12,12,0.2,0.25,0.5,2,2356,1.817,9.888,0.761,3734,2.979,6.285,0.483,3027,0.671,7.746,0.596,3412,2.786,7.149,0.550
1100,12,12,0.2,0.25,0.5,2,2524,3.238,7.648,0.588,2615,3.521,7.385,0.568,2979,0.536,6.483,0.499,2359,1.594,8.186,0.630
1100,12,12,0.2,0.25,0.5,2,2127,2.020,9.622,0.740,1817,1.858,11.601,0.892,2012,0.415,10.205,0.785,1863,1.621,11.124,0.856
1100,12,12,0.2,0.25,0.5,2,2224,3.079,9.184,0.706,2036,2.388,10.152,0.781,2049,0.408,9.858,0.758,2101,2.465,9.836,0.757
1100,12,12,0.2,0.25,0.5,2,2017,0.787,9.129,0.702,2363,2.193,8.152,0.627,2055,0.290,9.427,0.725,3249,1.602,6.057,0.466
1100,12,12,0.2,0.25,0.5,2,2086,1.561,9.141,0.703,2050,1.252,9.329,0.718,2129,0.521,8.812,0.678,2146,1.297,8.744,0.673
1100,12,12,0.2,0.25,0.5,3,6539,5.836,4.437,0.341,5696,3.229,5.166,0.397,4382,0.568,6.666,0.513,6409,4.400,4.557,0.351
1100,12,12,0.2,0.25,0.5,3,4217,2.972,6.777,0.521,3204,2.085,8.919,0.686,4664,0.658,6.165,0.474,2626,1.430,10.789,0.830
1100,12,12,0.2,0.25,0.5,3,3794,2.212,8.446,0.650,3071,0.895,10.256,0.789,6437,0.935,4.978,0.383,3847,1.610,8.277,0.637
1100,12,12,0.2,0.25,0.5,3,8868,4.809,3.937,0.303,4595,3.468,7.599,0.585,4396,0.681,8.224,0.633,4424,2.290,7.886,0.607
1100,12,12,0.2,0.25,0.5,3,4075,1.084,8.571,0.659,4767,2.004,7.262,0.559,4355,0.637,7.952,0.612,4306,2.141,8.104,0.623
1100,12,12,0.2,0.25,0.5,3,3523,1.055,7.989,0.615,4405,1.466,6.572,0.506,2997,0.493,9.662,0.743,4064,1.366,7.126,0.548
1100,12,12,0.2,0.25,0.5,3,2811,1.245,11.180,0.860,2731,1.549,11.307,0.870,2997,0.417,10.318,0.794,2454,1.327,12.643,0.973
1100,12,12,0.2,0.25,0.5,3,3638,2.808,8.265,0.636,3940,1.597,7.833,0.603,2964,0.463,10.390,0.799,2636,1.569,11.926,0.917
1100,12,12,0.2,0.25,0.5,3,2966,2.257,9.673,0.744,3605,2.050,7.786,0.599,3047,0.280,9.609,0.739,4268,1.554,6.859,0.528
1100,12,12,0.2,0.25,0.5,3,3394,2.865,8.288,0.638,2784,0.833,10.396,0.800,3085,0.451,9.118,0.701,2779,0.712,10.122,0.779
1100,12,12,0.2,0.25,0.5,4,7264,4.519,5.276,0.406,10190,6.163,3.761,0.289,5945,0.666,6.879,0.529,6756,3.397,5.673,0.436
1100,12,12,0.2,0.25,0.5,4,3896,0.340,9.625,0.740,4239,2.274,8.845,0.680,6252,0.634,5.997,0.461,3706,2.162,10.116,0.778
1100,12,12,0.2,0.25,0.5,4,5948,2.504,7.109,0.547,4476,2.184,9.479,0.729,8392,0.869,5.118,0.394,4868,1.862,8.674,0.667
1100,12,12,0.2,0.25,0.5,4,6282,1.112,7.462,0.574,6716,1.536,7.037,0.541,12155,1.221,3.918,0.301,9419,0.610,4.977,0.383
1100,12,12,0.2,0.25,0.5,4,5196,1.125,9.122,0.702,6176,2.684,7.598,0.584,6109,0.704,7.610,0.585,5571,0.657,8.421,0.648
1100,12,12,0.2,0.25,0.5,4,4490,2.368,8.429,0.648,5271,3.344,7.273,0.559,4086,0.448,9.492,0.730,5445,2.803,6.960,0.535
1100,12,12,0.2,0.25,0.5,4,3714,1.560,10.988,0.845,3677,1.599,11.202,0.862,3878,0.431,10.754,0.827,3333,2.162,12.409,0.955
1100,12,12,0.2,0.25,0.5,4,5483,1.339,7.670,0.590,4220,2.234,9.941,0.765,4076,0.413,10.292,0.792,5105,1.101,8.217,0.632
1100,12,12,0.2,0.25,0.5,4,3681,1.258,10.241,0.788,4772,1.378,7.922,0.609,4045,0.447,9.272,0.713,5505,1.993,6.849,0.527
1100,12,12,0.2,0.25,0.5,4,5915,3.417,6.387,0.491,3472,1.626,10.881,0.837,4196,0.414,8.994,0.692,3753,1.759,10.124,0.779
1100,12,12,0.2,0.25,2.0,2,2854,0.442,6.712,0.516,4136,3.610,4.630,0.356,2997,0.656,6.427,0.494,1829,1.950,10.404,0.800
1100,12,12,0.2,0.25,2.0,2,2563,2.289,7.250,0.558,4067,5.380,4.674,0.360,2986,0.592,6.472,0.498,1723,1.827,11.158,0.858
1100,12,12,0.2,0.25,2.0,2,2333,1.345,9.178,0.706,2336,0.840,9.170,0.705,4285,0.770,4.946,0.380,2458,1.483,8.724,0.671
1100,12,12,0.2,0.25,2.0,2,3049,2.137,7.740,0.595,3013,3.039,8.018,0.617,2993,0.616,7.992,0.615,4241,2.528,5.566,0.428
1100,12,12,0.2,0.25,2.0,2,3061,3.276,7.672,0.590,3127,0.958,7.597,0.584,3039,0.569,7.568,0.582,2856,2.825,8.331,0.641
1100,12,12,0.2,0.25,2.0,2,2641,1.239,7.313,0.563,2111,3.074,9.147,0.704,2048,0.444,9.430,0.725,2351,2.420,8.213,0.632
