podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,10,12,0.2,0.25,0.2,2,2093,1.863,7.971,0.613,1513,1.749,11.097,0.854,1880,0.490,8.809,0.678,1436,1.124,11.610,0.893
800,10,12,0.2,0.25,0.2,2,3854,0.868,4.806,0.370,2037,1.471,8.741,0.672,2611,0.563,7.140,0.549,2267,1.154,8.202,0.631
800,10,12,0.2,0.25,0.2,2,2005,1.101,9.500,0.731,1576,0.789,11.940,0.918,1831,0.512,10.332,0.795,1724,1.583,10.913,0.839
800,10,12,0.2,0.25,0.2,2,1991,2.007,9.149,0.704,2023,2.175,8.935,0.687,1769,0.449,10.296,0.792,1985,1.414,9.439,0.726
800,10,12,0.2,0.25,0.2,2,1980,1.648,8.953,0.689,2700,2.337,6.642,0.511,1784,0.433,9.891,0.761,1868,1.661,9.450,0.727
800,10,12,0.2,0.25,0.2,2,2024,1.593,8.002,0.616,1581,1.644,10.130,0.779,3613,1.041,4.554,0.350,1784,1.381,9.223,0.709
800,10,12,0.2,0.25,0.2,2,2336,0.670,8.506,0.654,2089,1.074,9.627,0.741,2687,0.612,7.371,0.567,2231,2.029,8.878,0.683
800,10,12,0.2,0.25,0.2,2,1812,1.418,12.815,0.986,3177,1.629,7.042,0.542,2644,0.635,8.443,0.649,1944,1.889,11.483,0.883
800,10,12,0.2,0.25,0.2,2,2557,2.026,7.097,0.546,1846,2.050,8.813,0.678,2703,0.622,6.512,0.501,2159,1.273,8.272,0.636
800,10,12,0.2,0.25,0.2,2,2820,3.600,5.884,0.453,1470,0.736,11.577,0.891,2606,0.659,6.280,0.483,2663,2.063,6.130,0.472
800,10,12,0.2,0.25,0.2,3,2313,1.250,10.520,0.809,2889,1.787,8.361,0.643,2721,0.421,9.132,0.702,2445,1.032,10.212,0.786
800,10,12,0.2,0.25,0.2,3,2808,2.003,9.716,0.747,1928,1.776,14.045,1.080,3892,0.725,6.957,0.535,3547,1.869,7.632,0.587
800,10,12,0.2,0.25,0.2,3,2753,1.159,10.168,0.782,2394,1.087,11.692,0.899,2697,0.483,10.528,0.810,2242,1.673,12.456,0.958
800,10,12,0.2,0.25,0.2,3,2722,1.005,9.945,0.765,3483,2.721,8.111,0.624,2807,0.446,9.970,0.767,2419,1.908,11.367,0.874
800,10,12,0.2,0.25,0.2,3,3201,2.341,8.413,0.647,3902,3.586,6.928,0.533,2703,0.498,10.123,0.779,5506,3.266,4.884,0.376
800,10,12,0.2,0.25,0.2,3,2953,2.349,8.540,0.657,2607,2.014,9.321,0.717,2678,0.515,9.181,0.706,2372,2.097,10.664,0.820
800,10,12,0.2,0.25,0.2,3,3566,1.883,8.273,0.636,2825,1.010,10.508,0.808,3952,0.674,7.102,0.546,2767,0.967,10.971,0.844
800,10,12,0.2,0.25,0.2,3,2878,1.613,11.790,0.907,2505,1.933,14.158,1.089,4067,0.634,8.480,0.652,2482,1.240,13.464,1.036
800,10,12,0.2,0.25,0.2,3,3691,2.612,7.195,0.553,3787,1.770,7.144,0.550,3897,0.731,6.996,0.538,6048,3.358,4.493,0.346
800,10,12,0.2,0.25,0.2,3,3308,1.819,7.396,0.569,3677,2.340,6.761,0.520,3907,0.667,6.423,0.494,3803,1.540,6.593,0.507
800,10,12,0.2,0.25,0.2,4,4108,1.163,8.011,0.616,3863,2.082,8.404,0.646,3581,0.432,9.104,0.700,4438,2.405,7.424,0.571
800,10,12,0.2,0.25,0.2,4,4513,1.325,8.076,0.621,4182,2.352,8.749,0.673,5208,0.662,7.069,0.544,4759,1.430,7.728,0.594
800,10,12,0.2,0.25,0.2,4,3657,1.522,10.318,0.794,3170,0.763,12.006,0.924,3528,0.417,10.675,0.821,2645,1.479,13.924,1.071
800,10,12,0.2,0.25,0.2,4,4016,1.998,8.893,0.684,3621,1.754,10.101,0.777,5506,0.678,6.298,0.484,4054,0.745,8.894,0.684
800,10,12,0.2,0.25,0.2,4,4675,2.656,7.704,0.593,7710,2.848,4.713,0.363,3541,0.463,10.146,0.780,4363,2.361,8.327,0.641
800,10,12,0.2,0.25,0.2,4,4127,1.320,8.083,0.622,3264,1.044,10.220,0.786,3641,0.485,9.099,0.700,3932,1.404,8.361,0.643
800,10,12,0.2,0.25,0.2,4,3725,1.383,10.824,0.833,3796,0.687,10.599,0.815,5233,0.461,7.786,0.599,3707,1.377,10.902,0.839
800,10,12,0.2,0.25,0.2,4,4092,1.680,11.070,0.852,3525,1.656,12.799,0.985,5333,0.649,8.637,0.664,3612,1.340,12.487,0.961
800,10,12,0.2,0.25,0.2,4,5594,1.981,6.439,0.495,4891,3.189,7.333,0.564,5164,0.715,7.049,0.542,4576,1.413,7.926,0.610
800,10,12,0.2,0.25,0.2,4,4497,0.892,7.272,0.559,6165,1.788,5.296,0.407,5109,0.650,6.477,0.498,5921,3.506,5.539,0.426
800,10,12,0.2,0.25,0.5,2,1945,0.509,8.717,0.671,1799,1.356,9.323,0.717,1864,0.550,8.988,0.691,2422,1.640,6.857,0.527
800,10,12,0.2,0.25,0.5,2,2370,0.625,7.277,0.560,2046,1.775,9.209,0.708,2573,0.602,7.070,0.544,2323,1.739,7.753,0.596
