podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,10,12,0.2,0.25,0.2,2,1905,1.338,7.573,0.583,1839,1.708,7.916,0.609,1549,0.428,9.472,0.729,2369,2.970,6.087,0.468
700,10,12,0.2,0.25,0.2,2,2669,1.499,5.372,0.413,1943,1.614,8.065,0.620,2426,0.606,6.628,0.510,2275,0.914,7.102,0.546
700,10,12,0.2,0.25,0.2,2,2467,1.174,6.716,0.517,1449,1.200,11.765,0.905,1583,0.440,10.689,0.822,1357,1.690,12.472,0.959
700,10,12,0.2,0.25,0.2,2,2209,2.470,7.472,0.575,2395,1.190,6.671,0.513,1611,0.388,10.079,0.775,1510,1.878,10.481,0.806
700,10,12,0.2,0.25,0.2,2,2340,2.591,6.624,0.510,1535,1.738,10.554,0.812,1636,0.430,9.801,0.754,2576,3.078,5.547,0.427
700,10,12,0.2,0.25,0.2,2,1874,1.413,7.537,0.580,1352,1.333,10.635,0.818,1650,0.446,8.569,0.659,1633,1.121,8.826,0.679
700,10,12,0.2,0.25,0.2,2,1680,1.169,10.685,0.822,1574,1.865,11.408,0.878,2350,0.558,7.576,0.583,2053,1.725,8.485,0.653
700,10,12,0.2,0.25,0.2,2,1575,0.965,13.147,1.011,1514,1.181,13.092,1.007,2346,0.594,8.584,0.660,1513,1.300,13.119,1.009
700,10,12,0.2,0.25,0.2,2,1286,1.039,12.516,0.963,2147,1.858,7.255,0.558,2350,0.535,6.777,0.521,2031,2.115,7.833,0.603
700,10,12,0.2,0.25,0.2,2,2460,2.461,5.715,0.440,1624,1.245,9.050,0.696,2246,0.554,6.625,0.510,3447,1.048,4.336,0.334
700,10,12,0.2,0.25,0.2,3,2209,2.091,9.929,0.764,2386,1.824,9.195,0.707,2400,0.380,8.995,0.692,2321,1.584,9.451,0.727
700,10,12,0.2,0.25,0.2,3,3920,0.762,6.064,0.466,2405,1.769,9.960,0.766,3501,0.353,6.689,0.515,3277,1.745,7.420,0.571
700,10,12,0.2,0.25,0.2,3,2524,0.720,9.937,0.764,2125,1.193,11.897,0.915,2375,0.370,10.415,0.801,1979,1.317,13.086,1.007
700,10,12,0.2,0.25,0.2,3,2857,1.811,8.453,0.650,3012,2.290,7.951,0.612,2336,0.400,10.479,0.806,2563,1.882,9.413,0.724
700,10,12,0.2,0.25,0.2,3,3065,1.899,7.917,0.609,3499,1.924,6.873,0.529,2506,0.409,9.193,0.707,3600,2.149,6.566,0.505
700,10,12,0.2,0.25,0.2,3,3551,1.666,6.074,0.467,2734,1.824,7.904,0.608,2256,0.429,9.746,0.750,2047,1.510,10.605,0.816
700,10,12,0.2,0.25,0.2,3,2615,1.184,10.430,0.802,2891,1.518,9.313,0.716,3473,0.640,7.533,0.579,2762,1.618,9.340,0.718
700,10,12,0.2,0.25,0.2,3,2125,1.104,14.015,1.078,2213,0.842,13.672,1.052,3536,0.626,8.350,0.642,2602,1.668,11.416,0.878
700,10,12,0.2,0.25,0.2,3,3619,1.643,6.480,0.498,3985,2.575,5.909,0.455,3504,0.604,6.821,0.525,4032,3.010,5.952,0.458
700,10,12,0.2,0.25,0.2,3,3007,1.304,7.390,0.568,4182,1.248,5.284,0.406,3371,0.588,6.567,0.505,3810,2.953,5.646,0.434
700,10,12,0.2,0.25,0.2,4,3211,2.162,9.052,0.696,3276,1.245,8.809,0.678,3093,0.368,9.272,0.713,4969,1.980,5.854,0.450
700,10,12,0.2,0.25,0.2,4,3560,1.509,8.836,0.680,4678,2.378,6.812,0.524,4588,0.554,6.731,0.518,4087,1.206,7.648,0.588
700,10,12,0.2,0.25,0.2,4,3309,1.718,10.199,0.785,3212,1.171,10.420,0.802,3158,0.427,10.659,0.820,2599,0.658,12.825,0.987
700,10,12,0.2,0.25,0.2,4,3389,1.448,9.556,0.735,3582,1.668,9.131,0.702,3111,0.453,10.188,0.784,3263,2.211,9.702,0.746
700,10,12,0.2,0.25,0.2,4,2629,0.997,12.084,0.930,4244,1.461,7.247,0.557,3399,0.461,9.437,0.726,4849,1.694,6.415,0.493
700,10,12,0.2,0.25,0.2,4,3371,0.912,8.625,0.663,3222,1.579,9.003,0.693,3120,0.389,9.087,0.699,2914,1.168,10.026,0.771
700,10,12,0.2,0.25,0.2,4,4042,1.426,7.611,0.585,3788,1.150,9.308,0.716,4593,0.544,7.612,0.586,3770,1.085,9.421,0.725
700,10,12,0.2,0.25,0.2,4,3402,1.217,11.718,0.901,3159,0.901,12.465,0.959,3177,0.390,12.309,0.947,3065,1.492,13.333,1.026
700,10,12,0.2,0.25,0.2,4,5295,2.478,5.953,0.458,6081,2.217,5.149,0.396,3122,0.431,10.197,0.784,4001,2.172,7.889,0.607
700,10,12,0.2,0.25,0.2,4,4878,1.790,5.902,0.454,3586,1.550,8.061,0.620,4599,0.596,6.193,0.476,4947,2.216,5.898,0.454
700,10,12,0.2,0.25,0.5,2,1563,1.230,8.992,0.692,1714,2.348,8.212,0.632,1535,0.407,10.341,0.795,2397,2.637,6.011,0.462
700,10,12,0.2,0.25,0.5,2,1752,2.313,9.275,0.713,2027,1.265,7.932,0.610,2364,0.590,6.681,0.514,1889,1.823,8.565,0.659
700,10,12,0.2,0.25,0.5,2,1725,0.864,9.902,0.762,1344,0.657,12.294,0.946,1578,0.377,10.931,0.841,1685,1.129,9.672,0.744
700,10,12,0.2,0.25,0.5,2,1920,1.938,8.708,0.670,1574,1.609,10.335,0.795,1616,0.508,10.217,0.786,1555,1.705,10.615,0.817
700,10,12,0.2,0.25,0.5,2,1539,2.110,10.469,0.805,1301,0.939,12.227,0.941,1638,0.352,9.606,0.739,1908,1.812,8.440,0.649
700,10,12,0.2,0.25,0.5,2,1795,2.517,7.969,0.613,1380,0.921,10.370,0.798,1590,0.403,8.745,0.673,1609,0.719,9.043,0.696
700,10,12,0.2,0.25,0.5,2,2271,1.307,6.832,0.526,1665,1.042,10.600,0.815,2340,0.533,7.672,0.590,1932,1.423,8.729,0.671
700,10,12,0.2,0.25,0.5,2,1701,1.547,11.736,0.903,1515,0.791,13.213,1.016,2409,0.694,8.207,0.631,1445,1.285,13.604,1.046
700,10,12,0.2,0.25,0.5,2,3106,2.194,5.203,0.400,2302,2.517,6.831,0.525,2343,0.540,6.832,0.526,1819,0.733,8.565,0.659
700,10,12,0.2,0.25,0.5,2,2530,3.104,5.787,0.445,2743,0.988,5.238,0.403,2312,0.577,6.333,0.487,2282,2.712,6.415,0.493
700,10,12,0.2,0.25,0.5,3,2253,1.503,9.737,0.749,2401,1.778,9.144,0.703,2370,0.462,9.258,0.712,2336,0.583,9.193,0.707
700,10,12,0.2,0.25,0.5,3,3506,2.961,6.750,0.519,3924,0.875,6.046,0.465,2300,0.389,10.626,0.817,3826,3.388,6.263,0.482
700,10,12,0.2,0.25,0.5,3,2591,2.161,9.580,0.737,1958,1.416,12.433,0.956,2412,0.410,10.013,0.770,2033,1.037,12.212,0.939
700,10,12,0.2,0.25,0.5,3,2515,1.174,9.667,0.744,2558,0.890,9.572,0.736,2330,0.409,10.351,0.796,2598,1.299,9.415,0.724
700,10,12,0.2,0.25,0.5,3,1958,0.564,11.913,0.916,3465,2.758,7.146,0.550,2460,0.416,9.508,0.731,4441,0.826,5.364,0.413
700,10,12,0.2,0.25,0.5,3,2299,1.947,9.254,0.712,2201,2.122,10.024,0.771,2577,0.296,8.527,0.656,2180,1.604,9.888,0.761
700,10,12,0.2,0.25,0.5,3,3195,1.507,8.181,0.629,2372,1.276,11.050,0.850,3490,0.561,7.537,0.580,2969,1.386,8.955,0.689
700,10,12,0.2,0.25,0.5,3,2673,1.210,11.011,0.847,2215,1.338,13.662,1.051,3560,0.667,8.440,0.649,2145,0.717,13.968,1.074
700,10,12,0.2,0.25,0.5,3,3942,1.757,5.949,0.458,3706,2.163,6.395,0.492,3524,0.604,6.758,0.520,3336,0.770,7.138,0.549
700,10,12,0.2,0.25,0.5,3,3452,1.713,6.270,0.482,3690,2.536,5.845,0.450,3424,0.653,6.260,0.482,3477,3.012,6.165,0.474
700,10,12,0.2,0.25,0.5,4,3852,1.619,7.518,0.578,2840,1.109,10.310,0.793,3132,0.373,9.181,0.706,3308,1.934,8.663,0.666
700,10,12,0.2,0.25,0.5,4,2698,1.383,11.792,0.907,3911,1.007,8.138,0.626,4547,0.521,7.058,0.543,4405,0.869,7.243,0.557
700,10,12,0.2,0.25,0.5,4,3580,1.433,9.359,0.720,3456,0.683,9.857,0.758,3251,0.397,10.321,0.794,2985,0.834,11.193,0.861
700,10,12,0.2,0.25,0.5,4,3307,1.624,9.680,0.745,4408,2.261,7.506,0.577,3199,0.380,10.023,0.771,5535,3.095,5.885,0.453
700,10,12,0.2,0.25,0.5,4,4244,2.064,7.717,0.594,3146,1.847,10.191,0.784,3082,0.384,10.204,0.785,8102,3.876,3.891,0.299
700,10,12,0.2,0.25,0.5,4,4133,1.428,7.049,0.542,3853,0.747,7.479,0.575,3063,0.423,9.478,0.729,3511,2.766,8.374,0.644
700,10,12,0.2,0.25,0.5,4,3463,1.015,10.355,0.797,3502,1.004,10.111,0.778,4559,0.536,7.962,0.612,3482,1.016,10.297,0.792
700,10,12,0.2,0.25,0.5,4,4085,0.990,9.666,0.744,3160,1.415,12.677,0.975,4670,0.601,8.722,0.671,3169,1.313,12.411,0.955
700,10,12,0.2,0.25,0.5,4,4327,1.787,7.234,0.556,4888,1.430,6.416,0.494,4703,0.666,6.509,0.501,4863,1.411,6.215,0.478
700,10,12,0.2,0.25,0.5,4,6806,1.625,4.263,0.328,5022,0.977,5.627,0.433,4668,0.591,6.069,0.467,6624,2.784,4.448,0.342
700,10,12,0.2,0.25,2.0,2,2230,1.593,6.585,0.507,1725,2.413,8.241,0.634,1563,0.527,9.440,0.726,2194,2.605,6.444,0.496
700,10,12,0.2,0.25,2.0,2,1751,1.298,9.273,0.713,2544,2.892,6.159,0.474,2387,0.727,6.614,0.509,1634,1.136,9.609,0.739
700,10,12,0.2,0.25,2.0,2,1650,1.436,10.029,0.771,1802,1.932,8.033,0.618,1627,0.403,10.083,0.776,1462,1.406,11.576,0.890
700,10,12,0.2,0.25,2.0,2,1762,0.318,9.368,0.721,2059,1.839,7.680,0.591,2377,0.592,6.926,0.533,1570,1.660,10.386,0.799
700,10,12,0.2,0.25,2.0,2,2555,2.164,6.171,0.475,2065,2.155,7.691,0.592,1680,0.485,9.785,0.753,2275,2.407,6.888,0.530
700,10,12,0.2,0.25,2.0,2,1625,1.223,8.739,0.672,1774,1.719,8.119,0.625,1597,0.442,9.092,0.699,2119,1.922,6.712,0.516
700,10,12,0.2,0.25,2.0,2,1860,1.005,9.462,0.728,1906,1.674,9.419,0.725,2301,0.625,7.670,0.590,1577,1.377,10.928,0.841
700,10,12,0.2,0.25,2.0,2,1619,1.238,12.278,0.944,1768,1.251,11.296,0.869,2447,0.520,8.084,0.622,1743,1.398,11.628,0.894
700,10,12,0.2,0.25,2.0,2,3994,6.203,3.957,0.304,2331,1.161,6.681,0.514,2353,0.542,6.478,0.498,3389,2.693,4.596,0.354
700,10,12,0.2,0.25,2.0,2,3628,4.716,4.059,0.312,3145,1.080,4.601,0.354,2286,0.531,6.215,0.478,2067,1.754,6.976,0.537
700,10,12,0.2,0.25,2.0,3,2504,1.664,8.566,0.659,2495,1.677,8.600,0.662,2410,0.391,9.134,0.703,3038,2.155,7.221,0.555
700,10,12,0.2,0.25,2.0,3,3522,2.144,6.641,0.511,2584,1.835,9.319,0.717,3421,0.659,6.825,0.525,3342,0.486,7.305,0.562
700,10,12,0.2,0.25,2.0,3,2077,1.411,12.147,0.934,4211,2.695,5.907,0.454,2326,0.412,10.696,0.823,2040,0.962,12.062,0.928
700,10,12,0.2,0.25,2.0,3,3172,1.581,7.528,0.579,3472,2.713,6.255,0.481,2340,0.382,10.418,0.801,2547,2.222,9.473,0.729
700,10,12,0.2,0.25,2.0,3,3366,2.327,7.078,0.544,3644,2.839,6.499,0.500,2262,0.386,10.493,0.807,3381,2.538,7.011,0.539
700,10,12,0.2,0.25,2.0,3,2108,1.847,10.533,0.810,2066,2.124,10.452,0.804,2445,0.424,9.023,0.694,2341,1.734,9.425,0.725
700,10,12,0.2,0.25,2.0,3,3155,1.889,8.434,0.649,2679,1.402,9.708,0.747,3571,0.583,6.767,0.521,2752,0.944,9.838,0.757
700,10,12,0.2,0.25,2.0,3,3397,1.422,8.815,0.678,2227,1.188,13.567,1.044,3509,0.587,8.499,0.654,2150,1.004,13.945,1.073
700,10,12,0.2,0.25,2.0,3,3919,1.439,6.036,0.464,4132,1.718,5.658,0.435,3539,0.644,6.596,0.507,3400,1.496,6.918,0.532
700,10,12,0.2,0.25,2.0,3,2684,1.805,8.009,0.616,4081,2.284,5.456,0.420,3414,0.589,6.270,0.482,3825,2.998,5.622,0.432
700,10,12,0.2,0.25,2.0,4,3207,1.188,9.054,0.696,2916,1.606,10.002,0.769,3063,0.417,9.389,0.722,3361,1.924,8.554,0.658
700,10,12,0.2,0.25,2.0,4,3761,1.949,8.420,0.648,3426,0.585,9.292,0.715,4711,0.573,6.743,0.519,5713,3.279,5.636,0.434
700,10,12,0.2,0.25,2.0,4,3693,1.421,8.969,0.690,2920,0.758,11.492,0.884,3106,0.400,10.930,0.841,2739,1.009,12.243,0.942
700,10,12,0.2,0.25,2.0,4,3501,0.825,9.255,0.712,5542,3.026,5.818,0.448,4788,0.642,6.649,0.511,3298,1.821,9.531,0.733
700,10,12,0.2,0.25,2.0,4,4700,1.948,6.735,0.518,3029,1.601,10.360,0.797,3193,0.430,9.964,0.766,4775,1.085,6.660,0.512
700,10,12,0.2,0.25,2.0,4,3320,2.032,8.754,0.673,3471,2.350,8.456,0.650,3039,0.424,9.523,0.733,3089,1.196,9.364,0.720
700,10,12,0.2,0.25,2.0,4,4535,1.839,7.957,0.612,3292,1.743,10.705,0.823,4595,0.585,7.756,0.597,3617,1.169,9.914,0.763
700,10,12,0.2,0.25,2.0,4,3117,1.307,12.940,0.995,3176,0.874,12.358,0.951,4859,0.585,8.337,0.641,4680,0.797,8.496,0.654
700,10,12,0.2,0.25,2.0,4,5703,1.576,5.556,0.427,6338,1.467,5.078,0.391,4633,0.623,6.949,0.535,4823,1.185,6.472,0.498
700,10,12,0.2,0.25,2.0,4,4828,2.444,5.879,0.452,5477,2.754,5.204,0.400,4537,0.662,6.368,0.490,4621,2.137,6.908,0.531
700,10,12,0.2,0.25,5.0,2,1728,1.414,8.359,0.643,1548,1.308,9.081,0.699,1680,0.496,8.768,0.674,1477,0.603,9.958,0.766
700,10,12,0.2,0.25,5.0,2,2331,0.566,6.967,0.536,2243,2.563,7.354,0.566,2362,0.661,6.818,0.524,2455,2.779,6.512,0.501
700,10,12,0.2,0.25,5.0,2,1577,2.059,10.728,0.825,1543,1.384,10.967,0.844,1638,0.366,10.376,0.798,1474,1.115,11.431,0.879
700,10,12,0.2,0.25,5.0,2,2007,2.273,7.753,0.596,2076,1.199,7.728,0.594,1532,0.399,10.712,0.824,2170,1.211,7.238,0.557
700,10,12,0.2,0.25,5.0,2,2356,1.737,6.905,0.531,2013,2.130,7.858,0.604,1695,0.424,9.330,0.718,2240,2.804,7.202,0.554
700,10,12,0.2,0.25,5.0,2,2110,1.427,6.780,0.522,1967,1.275,7.163,0.551,1609,0.415,9.114,0.701,1586,0.984,8.897,0.684
700,10,12,0.2,0.25,5.0,2,1986,1.178,9.080,0.698,1829,0.728,9.767,0.751,2386,0.488,7.472,0.575,1717,1.169,10.082,0.776
700,10,12,0.2,0.25,5.0,2,1638,1.415,12.182,0.937,1739,1.587,11.310,0.870,2403,0.622,8.344,0.642,1530,1.164,13.071,1.005
700,10,12,0.2,0.25,5.0,2,2348,0.866,6.755,0.520,2687,2.978,5.890,0.453,2401,0.571,6.448,0.496,1975,1.740,7.776,0.598
700,10,12,0.2,0.25,5.0,2,2415,3.278,6.067,0.467,1950,2.427,7.507,0.577,2410,0.672,6.086,0.468,2219,2.791,6.608,0.508
700,10,12,0.2,0.25,5.0,3,2780,1.715,7.925,0.610,3477,2.583,6.057,0.466,2392,0.423,9.011,0.693,2579,1.469,9.172,0.706
700,10,12,0.2,0.25,5.0,3,4092,2.716,5.868,0.451,2674,1.513,10.443,0.803,3499,0.656,6.919,0.532,2449,1.849,9.579,0.737
700,10,12,0.2,0.25,5.0,3,2301,1.128,10.822,0.832,2149,1.122,11.493,0.884,2320,0.484,10.823,0.833,2158,1.399,11.763,0.905
700,10,12,0.2,0.25,5.0,3,4117,2.008,5.921,0.455,3109,1.789,7.860,0.605,2357,0.411,10.379,0.798,2384,0.985,10.167,0.782
700,10,12,0.2,0.25,5.0,3,2684,0.784,8.854,0.681,2007,1.066,11.285,0.868,2490,0.394,9.484,0.730,3078,1.996,7.755,0.597
700,10,12,0.2,0.25,5.0,3,3077,1.379,7.165,0.551,2605,0.766,8.357,0.643,2529,0.403,8.765,0.674,1948,1.249,11.115,0.855
700,10,12,0.2,0.25,5.0,3,3563,1.902,7.314,0.563,2470,1.651,10.653,0.819,3446,0.565,7.672,0.590,2819,1.041,9.307,0.716
700,10,12,0.2,0.25,5.0,3,4726,0.891,6.406,0.493,2594,1.462,11.463,0.882,3619,0.693,8.354,0.643,2415,1.435,12.402,0.954
700,10,12,0.2,0.25,5.0,3,5417,2.534,4.388,0.338,3933,1.234,5.996,0.461,3556,0.574,6.581,0.506,2815,0.995,9.018,0.694
700,10,12,0.2,0.25,5.0,3,3928,0.679,5.457,0.420,3681,1.111,5.819,0.448,3577,0.727,6.047,0.465,3663,2.932,5.916,0.455
700,10,12,0.2,0.25,5.0,4,3490,1.070,8.223,0.633,3305,1.571,8.474,0.652,3188,0.401,9.096,0.700,2969,1.487,9.673,0.744
700,10,12,0.2,0.25,5.0,4,4187,1.116,7.472,0.575,3286,1.753,9.768,0.751,4821,0.647,6.555,0.504,4480,0.982,7.185,0.553
700,10,12,0.2,0.25,5.0,4,3608,1.866,9.164,0.705,3049,1.407,10.909,0.839,3065,0.356,10.963,0.843,2803,1.267,11.822,0.909
700,10,12,0.2,0.25,5.0,4,4144,2.408,7.549,0.581,5106,2.789,6.210,0.478,3152,0.383,9.991,0.769,3448,2.170,9.397,0.723
700,10,12,0.2,0.25,5.0,4,5671,3.632,5.715,0.440,3241,1.950,9.822,0.756,3280,0.386,9.690,0.745,5701,1.767,5.566,0.428
700,10,12,0.2,0.25,5.0,4,4007,1.742,7.214,0.555,2686,0.831,10.783,0.829,3044,0.400,9.447,0.727,3383,1.118,8.562,0.659
700,10,12,0.2,0.25,5.0,4,3795,1.665,9.117,0.701,3433,1.128,10.304,0.793,4573,0.584,7.730,0.595,3611,1.125,9.789,0.753
700,10,12,0.2,0.25,5.0,4,3766,1.223,10.850,0.835,3209,1.280,12.232,0.941,4722,0.604,8.352,0.642,3018,1.531,14.110,1.085
700,10,12,0.2,0.25,5.0,4,6048,3.909,5.222,0.402,5619,1.935,5.620,0.432,4795,0.661,6.556,0.504,4057,1.165,7.075,0.544
700,10,12,0.2,0.25,5.0,4,4394,2.731,6.493,0.499,4458,2.271,6.463,0.497,4731,0.589,6.005,0.462,4973,2.127,5.971,0.459
700,10,12,0.2,0.50,0.2,2,1593,2.047,9.052,0.696,1471,1.617,9.535,0.733,1553,0.426,9.886,0.760,1671,1.575,8.399,0.646
700,10,12,0.2,0.50,0.2,2,1787,1.166,8.852,0.681,1865,1.951,8.615,0.663,2322,0.590,6.922,0.532,1509,1.041,10.746,0.827
700,10,12,0.2,0.50,0.2,2,1855,1.210,7.727,0.594,1508,1.357,10.607,0.816,1571,0.450,10.584,0.814,1324,1.337,12.566,0.967
700,10,12,0.2,0.50,0.2,2,1777,2.137,9.284,0.714,2405,1.217,6.927,0.533,2495,0.738,6.375,0.490,1823,0.846,8.837,0.680
700,10,12,0.2,0.50,0.2,2,1402,0.901,11.204,0.862,2107,2.665,7.406,0.570,1563,0.368,9.831,0.756,3643,4.879,4.339,0.334
700,10,12,0.2,0.50,0.2,2,1957,1.235,7.063,0.543,1395,1.229,10.491,0.807,1561,0.416,9.187,0.707,1332,1.587,10.759,0.828
700,10,12,0.2,0.50,0.2,2,1736,0.968,10.049,0.773,1848,1.227,9.565,0.736,2317,0.559,7.325,0.563,1589,0.863,10.819,0.832
700,10,12,0.2,0.50,0.2,2,1667,0.729,12.287,0.945,1633,1.547,12.040,0.926,2368,0.626,8.302,0.639,3719,3.693,5.286,0.407
700,10,12,0.2,0.50,0.2,2,2388,0.623,6.482,0.499,2968,1.421,5.298,0.408,2273,0.614,6.737,0.518,2232,2.309,6.897,0.531
700,10,12,0.2,0.50,0.2,2,2607,3.066,5.554,0.427,2700,1.495,5.458,0.420,1509,0.420,9.566,0.736,2210,2.119,6.632,0.510
700,10,12,0.2,0.50,0.2,3,2062,1.375,10.614,0.816,2225,1.727,9.700,0.746,2353,0.424,9.125,0.702,2005,0.927,10.665,0.820
700,10,12,0.2,0.50,0.2,3,3044,2.012,8.158,0.628,3317,1.411,7.218,0.555,3374,0.605,7.070,0.544,3363,0.455,7.096,0.546
700,10,12,0.2,0.50,0.2,3,2881,1.529,8.495,0.653,2157,1.319,11.544,0.888,2362,0.365,10.625,0.817,2271,1.209,10.958,0.843
700,10,12,0.2,0.50,0.2,3,2874,2.863,7.776,0.598,2787,1.139,8.729,0.671,2321,0.451,10.305,0.793,3596,2.030,6.814,0.524
700,10,12,0.2,0.50,0.2,3,3000,0.963,7.842,0.603,3563,1.561,6.631,0.510,2292,0.385,10.377,0.798,3827,2.621,6.067,0.467
700,10,12,0.2,0.50,0.2,3,2967,2.372,7.255,0.558,2665,2.013,8.276,0.637,2429,0.400,9.101,0.700,2344,1.574,9.334,0.718
700,10,12,0.2,0.50,0.2,3,2836,1.013,8.037,0.618,3138,1.563,8.323,0.640,3398,0.582,7.665,0.590,3339,1.101,8.093,0.623
700,10,12,0.2,0.50,0.2,3,2668,1.832,11.182,0.860,2280,1.629,12.910,0.993,3554,0.677,8.225,0.633,2315,1.073,12.556,0.966
700,10,12,0.2,0.50,0.2,3,3546,1.916,6.536,0.503,4100,2.847,5.749,0.442,3472,0.533,6.714,0.516,3647,1.363,6.306,0.485
700,10,12,0.2,0.50,0.2,3,3870,3.086,5.645,0.434,3742,3.513,5.916,0.455,3518,0.691,6.169,0.475,3483,1.993,6.172,0.475
700,10,12,0.2,0.50,0.2,4,3202,0.875,9.074,0.698,3004,1.410,9.621,0.740,3075,0.384,9.334,0.718,3129,1.814,9.109,0.701
700,10,12,0.2,0.50,0.2,4,6894,4.255,4.656,0.358,5235,1.815,6.146,0.473,4748,0.630,6.637,0.511,5841,3.695,5.366,0.413
700,10,12,0.2,0.50,0.2,4,2505,1.192,12.463,0.959,2585,1.162,12.593,0.969,3199,0.404,10.387,0.799,3143,1.562,10.365,0.797
700,10,12,0.2,0.50,0.2,4,3062,0.882,10.484,0.806,3544,2.224,9.106,0.700,4794,0.647,6.770,0.521,3753,2.032,8.629,0.664
700,10,12,0.2,0.50,0.2,4,5382,2.217,5.821,0.448,5202,2.678,6.023,0.463,3183,0.437,9.717,0.747,3709,0.872,8.548,0.658
700,10,12,0.2,0.50,0.2,4,3898,2.483,7.309,0.562,2764,2.044,10.486,0.807,3039,0.428,9.628,0.741,2592,1.276,11.249,0.865
700,10,12,0.2,0.50,0.2,4,3399,1.126,10.386,0.799,3514,0.820,10.046,0.773,4609,0.538,7.501,0.577,3568,1.448,9.747,0.750
700,10,12,0.2,0.50,0.2,4,3274,1.315,12.155,0.935,3075,1.109,12.531,0.964,3046,0.376,12.991,0.999,3175,1.454,12.312,0.947
700,10,12,0.2,0.50,0.2,4,5520,1.721,5.637,0.434,5369,2.660,5.750,0.442,4708,0.723,6.666,0.513,5585,1.750,5.607,0.431
700,10,12,0.2,0.50,0.2,4,5777,1.638,4.964,0.382,5973,2.583,4.848,0.373,4436,0.538,6.527,0.502,3829,1.988,7.753,0.596
700,10,12,0.2,0.50,0.5,2,1601,0.366,8.947,0.688,1525,1.060,9.755,0.750,1561,0.446,9.051,0.696,1749,1.093,8.022,0.617
700,10,12,0.2,0.50,0.5,2,1959,1.179,8.205,0.631,2028,1.288,7.948,0.611,2238,0.680,7.062,0.543,1482,1.029,10.858,0.835
700,10,12,0.2,0.50,0.5,2,1758,1.794,9.419,0.725,1330,1.359,12.575,0.967,1626,0.424,10.227,0.787,1271,1.122,12.796,0.984
700,10,12,0.2,0.50,0.5,2,3356,3.661,4.844,0.373,2453,1.383,6.728,0.518,1735,0.423,9.509,0.731,2126,1.543,7.387,0.568
700,10,12,0.2,0.50,0.5,2,2126,0.602,7.478,0.575,2110,1.442,7.468,0.574,1537,0.421,10.202,0.785,2100,1.742,7.527,0.579
700,10,12,0.2,0.50,0.5,2,2295,2.584,6.272,0.482,1569,0.950,9.364,0.720,1586,0.432,9.250,0.712,1532,0.907,9.384,0.722
700,10,12,0.2,0.50,0.5,2,2451,0.716,7.199,0.554,1627,1.004,10.691,0.822,2218,0.587,7.971,0.613,1937,0.836,8.924,0.686
700,10,12,0.2,0.50,0.5,2,1768,1.778,11.118,0.855,1456,1.323,13.500,1.038,2345,0.668,8.383,0.645,1567,0.843,12.606,0.970
700,10,12,0.2,0.50,0.5,2,2592,1.763,5.972,0.459,2261,1.489,6.865,0.528,2307,0.707,6.681,0.514,2560,1.628,6.035,0.464
700,10,12,0.2,0.50,0.5,2,2501,1.883,5.769,0.444,2944,1.383,5.070,0.390,2312,0.550,6.361,0.489,2212,2.165,6.649,0.511
700,10,12,0.2,0.50,0.5,3,2373,1.338,9.229,0.710,2363,1.723,8.996,0.692,2362,0.396,9.101,0.700,2458,2.104,8.885,0.683
700,10,12,0.2,0.50,0.5,3,3633,1.503,6.592,0.507,2622,1.442,9.060,0.697,2321,0.501,10.453,0.804,3676,2.671,6.507,0.501
700,10,12,0.2,0.50,0.5,3,2840,1.678,7.533,0.579,2031,1.429,11.949,0.919,2357,0.416,10.313,0.793,2576,0.992,9.473,0.729
700,10,12,0.2,0.50,0.5,3,2414,0.957,10.133,0.779,3508,2.780,6.972,0.536,2322,0.460,10.491,0.807,2282,1.885,10.085,0.776
700,10,12,0.2,0.50,0.5,3,3320,2.278,7.116,0.547,2992,2.386,7.863,0.605,2375,0.378,9.692,0.746,3395,2.625,6.981,0.537
700,10,12,0.2,0.50,0.5,3,2884,2.249,7.569,0.582,2003,1.619,10.785,0.830,2289,0.389,9.659,0.743,2144,1.446,10.294,0.792
700,10,12,0.2,0.50,0.5,3,4447,2.631,5.866,0.451,2900,1.483,9.034,0.695,3533,0.752,7.496,0.577,2505,0.894,10.207,0.785
700,10,12,0.2,0.50,0.5,3,2859,1.964,10.294,0.792,2507,1.514,11.456,0.881,2328,0.409,12.856,0.989,2549,1.394,11.464,0.882
700,10,12,0.2,0.50,0.5,3,4257,1.358,5.499,0.423,2783,0.940,8.487,0.653,3525,0.548,6.708,0.516,3547,1.326,6.634,0.510
700,10,12,0.2,0.50,0.5,3,4917,3.830,4.380,0.337,4321,1.329,4.984,0.383,3387,0.595,6.430,0.495,3908,2.936,5.516,0.424
700,10,12,0.2,0.50,0.5,4,3278,1.244,8.990,0.692,2956,0.943,9.530,0.733,3144,0.420,9.119,0.701,4172,2.427,6.933,0.533
700,10,12,0.2,0.50,0.5,4,3428,1.982,9.055,0.697,3970,0.667,8.009,0.616,4432,0.575,6.787,0.522,4436,2.562,7.139,0.549
