podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,10,12,1.00,0.25,0.2,2,2406,2.102,7.719,0.594,1729,1.844,10.937,0.841,2154,0.530,8.507,0.654,1558,1.229,12.016,0.924
900,10,12,1.00,0.25,0.2,2,3887,0.954,5.174,0.398,2617,3.228,7.863,0.605,3205,0.754,6.340,0.488,2119,1.295,9.689,0.745
900,10,12,1.00,0.25,0.2,2,1980,1.645,10.893,0.838,1647,1.551,12.860,0.989,2078,0.551,10.001,0.769,1772,1.446,11.723,0.902
900,10,12,1.00,0.25,0.2,2,2078,1.656,9.828,0.756,2103,1.443,9.638,0.741,2081,0.501,10.096,0.777,2397,1.475,8.544,0.657
900,10,12,1.00,0.25,0.2,2,2347,0.552,8.934,0.687,2956,1.164,6.625,0.510,2199,0.569,9.351,0.719,2592,1.989,7.751,0.596
900,10,12,1.00,0.25,0.2,2,2065,2.513,8.930,0.687,2051,1.004,8.988,0.691,2219,0.543,9.030,0.695,1743,1.625,10.577,0.814
900,10,12,1.00,0.25,0.2,2,3083,2.308,7.288,0.561,1997,1.102,11.251,0.865,3088,0.711,7.138,0.549,1935,1.206,9.933,0.764
900,10,12,1.00,0.25,0.2,2,2966,1.270,7.227,0.556,1630,1.587,15.306,1.177,3209,0.922,8.057,0.620,2025,0.697,12.767,0.982
900,10,12,1.00,0.25,0.2,2,2351,1.072,8.431,0.649,2462,1.684,8.049,0.619,3136,0.953,6.330,0.487,4114,3.745,5.045,0.388
900,10,12,1.00,0.25,0.2,2,2596,1.322,7.165,0.551,2593,2.159,7.231,0.556,3083,0.674,6.055,0.466,3505,0.480,5.263,0.405
900,10,12,1.00,0.25,0.2,3,3275,1.484,8.480,0.652,2718,2.116,10.285,0.791,3284,0.585,8.613,0.663,2563,2.590,11.036,0.849
900,10,12,1.00,0.25,0.2,3,3823,1.848,8.041,0.619,3938,2.918,7.806,0.600,4845,0.756,6.483,0.499,3508,0.698,8.893,0.684
900,10,12,1.00,0.25,0.2,3,3190,1.125,10.043,0.773,2567,1.219,12.642,0.972,3062,0.455,10.302,0.792,2472,1.857,12.861,0.989
900,10,12,1.00,0.25,0.2,3,4382,3.764,6.977,0.537,2803,2.372,11.001,0.846,3100,0.509,9.820,0.755,2710,2.064,11.234,0.864
900,10,12,1.00,0.25,0.2,3,4402,2.402,6.873,0.529,3888,3.612,7.712,0.593,3202,0.606,9.431,0.725,3075,2.364,9.826,0.756
900,10,12,1.00,0.25,0.2,3,3382,2.075,8.152,0.627,2817,1.047,9.739,0.749,3078,0.508,9.310,0.716,2794,1.285,10.022,0.771
900,10,12,1.00,0.25,0.2,3,3931,2.141,8.438,0.649,2935,2.255,11.287,0.868,4583,0.753,7.337,0.564,2962,1.197,11.627,0.894
900,10,12,1.00,0.25,0.2,3,3000,1.211,12.965,0.997,3087,1.857,12.517,0.963,3157,0.559,11.978,0.921,2935,1.555,13.206,1.016
900,10,12,1.00,0.25,0.2,3,4211,3.121,7.118,0.548,3113,1.515,9.724,0.748,4678,0.752,6.377,0.491,3263,0.934,9.252,0.712
900,10,12,1.00,0.25,0.2,3,3999,3.701,6.982,0.537,3681,1.962,7.495,0.577,4637,0.846,5.966,0.459,5115,2.845,5.409,0.416
900,10,12,1.00,0.25,0.2,4,3421,1.911,10.883,0.837,3352,1.528,11.130,0.856,4187,0.335,8.663,0.666,3136,1.723,11.814,0.909
900,10,12,1.00,0.25,0.2,4,4887,1.565,8.321,0.640,5005,1.911,8.090,0.622,6164,0.898,6.664,0.513,5531,1.761,7.442,0.572
900,10,12,1.00,0.25,0.2,4,4201,1.440,10.157,0.781,3625,1.521,11.737,0.903,4198,0.493,10.135,0.780,3436,0.866,12.202,0.939
900,10,12,1.00,0.25,0.2,4,5394,1.663,7.631,0.587,3590,1.813,11.467,0.882,4116,0.475,9.789,0.753,4727,2.695,8.815,0.678
900,10,12,1.00,0.25,0.2,4,5711,3.408,6.445,0.496,5573,3.339,7.291,0.561,4362,0.566,9.293,0.715,4958,2.873,8.051,0.619
900,10,12,1.00,0.25,0.2,4,3851,1.501,9.621,0.740,4334,1.447,8.650,0.665,4179,0.531,9.047,0.696,3867,1.232,9.669,0.744
