podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,12,12,0.2,0.25,0.2,2,4058,3.901,2.967,0.228,3311,2.035,3.711,0.285,1924,0.418,6.148,0.473,4123,2.618,2.868,0.221
700,12,12,0.2,0.25,0.2,2,2462,1.166,4.872,0.375,2500,2.632,4.798,0.369,1941,0.473,6.365,0.490,2701,3.018,4.380,0.337
700,12,12,0.2,0.25,0.2,2,1917,1.647,6.999,0.538,2239,1.699,6.130,0.472,2748,0.541,4.915,0.378,1733,1.535,7.587,0.584
700,12,12,0.2,0.25,0.2,2,2659,2.824,5.702,0.439,3557,2.425,4.468,0.344,1977,0.454,6.309,0.485,3035,2.896,5.218,0.401
700,12,12,0.2,0.25,0.2,2,3050,2.013,4.931,0.379,1752,1.224,8.425,0.648,1980,0.394,7.619,0.586,3409,2.576,4.406,0.339
700,12,12,0.2,0.25,0.2,2,1734,0.476,6.964,0.536,1831,1.212,6.826,0.525,1326,0.321,9.332,0.718,2011,1.942,6.232,0.479
700,12,12,0.2,0.25,0.2,2,1289,0.856,10.507,0.808,1229,1.088,10.740,0.826,1277,0.271,10.567,0.813,1274,1.292,10.373,0.798
700,12,12,0.2,0.25,0.2,2,1665,1.115,7.795,0.600,1844,1.136,7.177,0.552,1351,0.271,9.815,0.755,2028,2.538,6.460,0.497
700,12,12,0.2,0.25,0.2,2,1598,1.048,7.767,0.597,1547,1.138,8.022,0.617,1373,0.282,8.963,0.689,2360,2.319,5.258,0.404
700,12,12,0.2,0.25,0.2,2,1566,0.953,7.838,0.603,1356,0.847,8.944,0.688,1309,0.284,9.293,0.715,1356,1.184,9.025,0.694
700,12,12,0.2,0.25,0.2,3,5890,4.821,3.173,0.244,5981,3.362,3.122,0.240,2886,0.436,6.477,0.498,8308,4.221,2.247,0.173
700,12,12,0.2,0.25,0.2,3,2697,1.637,6.788,0.522,2134,0.743,8.729,0.671,2021,0.294,9.006,0.693,3135,2.277,5.688,0.438
700,12,12,0.2,0.25,0.2,3,3091,0.340,6.684,0.514,2352,1.240,8.634,0.664,4178,0.744,5.017,0.386,2302,1.882,8.969,0.690
700,12,12,0.2,0.25,0.2,3,4596,0.689,5.152,0.396,4526,1.779,5.232,0.402,2874,0.416,8.287,0.637,8010,4.874,2.956,0.227
700,12,12,0.2,0.25,0.2,3,2300,1.196,9.958,0.766,2602,0.801,8.821,0.679,2931,0.374,7.644,0.588,3747,0.938,6.263,0.482
700,12,12,0.2,0.25,0.2,3,2489,2.301,7.271,0.559,2910,1.931,6.487,0.499,2040,0.399,9.007,0.693,3061,1.929,6.039,0.465
700,12,12,0.2,0.25,0.2,3,1882,0.655,10.431,0.802,1824,0.682,10.744,0.826,2040,0.371,9.642,0.742,1850,1.012,10.682,0.822
700,12,12,0.2,0.25,0.2,3,3055,0.736,6.365,0.490,2576,0.685,7.569,0.582,2026,0.315,9.844,0.757,2004,1.593,9.745,0.750
700,12,12,0.2,0.25,0.2,3,3043,0.535,5.900,0.454,1830,1.049,9.750,0.750,1946,0.292,9.554,0.735,3883,1.636,4.776,0.367
700,12,12,0.2,0.25,0.2,3,2049,1.424,9.043,0.696,1928,1.579,9.482,0.729,2054,0.298,9.028,0.694,2084,1.677,8.729,0.671
700,12,12,0.2,0.25,0.2,4,7113,0.644,3.478,0.268,8207,2.838,2.938,0.226,3844,0.416,6.447,0.496,8387,5.182,2.934,0.226
700,12,12,0.2,0.25,0.2,4,4072,0.863,5.981,0.460,4405,2.024,5.583,0.429,4007,0.394,6.018,0.463,4830,2.724,5.089,0.391
700,12,12,0.2,0.25,0.2,4,2956,1.060,9.320,0.717,3588,1.465,7.539,0.580,5397,0.501,5.026,0.387,3438,0.955,7.890,0.607
700,12,12,0.2,0.25,0.2,4,8118,2.373,3.703,0.285,5050,1.442,6.219,0.478,3899,0.368,8.018,0.617,5640,2.717,5.462,0.420
700,12,12,0.2,0.25,0.2,4,3236,0.934,9.333,0.718,4765,1.747,6.496,0.500,3994,0.404,7.657,0.589,5958,3.179,4.114,0.316
700,12,12,0.2,0.25,0.2,4,3552,0.714,6.941,0.534,2992,0.791,8.334,0.641,2563,0.283,9.398,0.723,4404,1.704,5.757,0.443
700,12,12,0.2,0.25,0.2,4,2803,0.959,9.546,0.734,2342,0.816,11.428,0.879,3996,0.410,6.577,0.506,2593,1.077,10.447,0.804
700,12,12,0.2,0.25,0.2,4,3280,1.900,8.068,0.621,3006,1.643,8.819,0.678,2796,0.355,9.531,0.733,2890,0.586,8.909,0.685
700,12,12,0.2,0.25,0.2,4,3766,1.233,6.535,0.503,3239,1.394,7.709,0.593,2603,0.279,9.557,0.735,2984,1.060,8.373,0.644
700,12,12,0.2,0.25,0.2,4,3529,0.674,6.740,0.518,2790,1.714,8.676,0.667,2669,0.283,8.895,0.684,2640,1.609,9.165,0.705
700,12,12,0.2,0.25,0.5,2,3065,2.010,3.893,0.299,3517,3.926,3.557,0.274,1935,0.352,6.361,0.489,5409,2.879,2.187,0.168
700,12,12,0.2,0.25,0.5,2,1939,0.918,6.053,0.466,2168,2.067,5.909,0.455,1323,0.279,9.417,0.724,2193,2.170,5.533,0.426
700,12,12,0.2,0.25,0.5,2,2449,2.043,5.638,0.434,2114,0.991,6.357,0.489,2725,0.585,5.062,0.389,1474,0.741,9.165,0.705
700,12,12,0.2,0.25,0.5,2,2669,2.834,5.809,0.447,3560,3.961,4.263,0.328,1949,0.376,7.921,0.609,3627,1.007,4.289,0.330
700,12,12,0.2,0.25,0.5,2,2536,1.008,6.018,0.463,2208,1.000,6.742,0.519,1967,0.358,7.759,0.597,2615,0.909,5.766,0.444
700,12,12,0.2,0.25,0.5,2,2131,0.973,5.781,0.445,1739,1.145,7.105,0.547,1322,0.292,9.325,0.717,2440,2.553,5.066,0.390
700,12,12,0.2,0.25,0.5,2,1364,1.245,9.768,0.751,1210,1.049,10.671,0.821,1306,0.298,10.127,0.779,1381,1.439,9.439,0.726
700,12,12,0.2,0.25,0.5,2,1617,0.542,7.993,0.615,1551,1.415,8.311,0.639,1591,0.361,8.154,0.627,1274,1.435,10.403,0.800
700,12,12,0.2,0.25,0.5,2,1343,0.881,9.240,0.711,1315,1.385,9.437,0.726,1354,0.273,9.084,0.699,2350,2.960,5.182,0.399
700,12,12,0.2,0.25,0.5,2,1702,1.403,7.009,0.539,1509,1.434,8.039,0.618,1283,0.300,9.569,0.736,1343,1.401,9.319,0.717
700,12,12,0.2,0.25,0.5,3,2214,0.582,8.053,0.619,4072,2.348,4.401,0.339,2900,0.419,6.529,0.502,6234,2.613,2.944,0.226
700,12,12,0.2,0.25,0.5,3,2852,1.770,6.353,0.489,3173,1.909,5.770,0.444,2958,0.439,6.152,0.473,3324,2.365,5.559,0.428
700,12,12,0.2,0.25,0.5,3,2955,0.659,6.978,0.537,3404,1.386,6.189,0.476,4174,0.596,4.737,0.364,2528,2.512,8.144,0.626
700,12,12,0.2,0.25,0.5,3,3162,2.072,7.526,0.579,3899,2.389,6.072,0.467,2980,0.426,7.947,0.611,3937,0.639,5.823,0.448
700,12,12,0.2,0.25,0.5,3,4883,1.813,4.464,0.343,2600,1.470,8.873,0.683,2882,0.399,7.761,0.597,4255,2.284,5.382,0.414
700,12,12,0.2,0.25,0.5,3,4489,0.737,4.014,0.309,3226,2.664,5.670,0.436,1920,0.303,9.540,0.734,3008,1.669,5.990,0.461
700,12,12,0.2,0.25,0.5,3,2467,1.164,7.961,0.612,2005,1.019,9.794,0.753,1974,0.251,10.169,0.782,1744,1.487,11.471,0.882
700,12,12,0.2,0.25,0.5,3,2338,1.387,8.475,0.652,2216,1.382,8.948,0.688,1936,0.263,10.166,0.782,1898,1.305,10.541,0.811
700,12,12,0.2,0.25,0.5,3,2086,1.142,8.861,0.682,5742,2.999,3.124,0.240,1938,0.289,9.567,0.736,4282,1.811,4.329,0.333
700,12,12,0.2,0.25,0.5,3,2544,1.581,7.291,0.561,2047,0.948,8.962,0.689,2182,0.292,8.500,0.654,2106,1.695,8.852,0.681
700,12,12,0.2,0.25,0.5,4,3939,2.261,6.298,0.484,6729,3.694,4.518,0.348,3881,0.396,6.386,0.491,8544,2.745,2.901,0.223
700,12,12,0.2,0.25,0.5,4,5075,0.686,4.847,0.373,4907,2.553,5.031,0.387,3919,0.439,6.427,0.494,5145,0.748,4.765,0.367
700,12,12,0.2,0.25,0.5,4,3396,1.514,8.235,0.633,3923,1.290,7.053,0.543,5403,0.573,5.098,0.392,3411,1.326,8.221,0.632
700,12,12,0.2,0.25,0.5,4,7773,1.586,4.024,0.310,10270,1.011,2.957,0.227,3824,0.409,7.984,0.614,6350,1.982,4.801,0.369
700,12,12,0.2,0.25,0.5,4,3558,0.512,8.349,0.642,3056,1.277,9.829,0.756,3853,0.425,7.056,0.543,5114,1.441,6.052,0.466
700,12,12,0.2,0.25,0.5,4,5834,3.416,4.172,0.321,2751,1.263,8.829,0.679,2606,0.280,9.535,0.733,4353,1.244,5.429,0.418
700,12,12,0.2,0.25,0.5,4,2758,0.997,9.616,0.740,2492,0.912,10.640,0.818,2758,0.310,9.377,0.721,3613,1.168,7.364,0.566
700,12,12,0.2,0.25,0.5,4,3623,1.803,7.339,0.565,3665,1.664,7.051,0.542,2787,0.354,9.465,0.728,3529,1.943,7.512,0.578
700,12,12,0.2,0.25,0.5,4,2860,1.180,8.428,0.648,4457,2.086,5.485,0.422,2541,0.283,9.486,0.730,3813,1.571,6.383,0.491
700,12,12,0.2,0.25,0.5,4,2463,1.520,10.007,0.770,3068,0.899,8.053,0.619,2660,0.268,9.275,0.713,3431,2.037,6.982,0.537
700,12,12,0.2,0.25,2.0,2,3505,3.474,3.534,0.272,3887,2.974,3.194,0.246,1872,0.367,6.538,0.503,4098,2.602,2.992,0.230
700,12,12,0.2,0.25,2.0,2,1807,1.997,6.655,0.512,2301,2.312,5.123,0.394,2043,0.427,5.858,0.451,1550,2.002,7.638,0.588
700,12,12,0.2,0.25,2.0,2,1714,0.795,7.879,0.606,2084,1.119,6.480,0.498,2730,0.586,4.923,0.379,1473,0.983,9.723,0.748
700,12,12,0.2,0.25,2.0,2,2979,1.724,5.207,0.401,3501,4.017,4.277,0.329,1986,0.456,7.641,0.588,3755,3.157,4.014,0.309
700,12,12,0.2,0.25,2.0,2,1758,1.630,8.751,0.673,2119,0.914,7.171,0.552,1990,0.396,6.219,0.478,2815,2.356,5.574,0.429
