podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,8,12,0.10,0.25,0.2,2,3748,3.307,6.931,0.533,2026,2.646,12.355,0.950,4481,1.559,5.566,0.428,2256,2.270,11.055,0.850
1000,8,12,0.10,0.25,0.2,2,2634,2.664,9.675,0.744,2945,2.716,8.708,0.670,5698,1.864,4.501,0.346,2262,1.813,11.385,0.876
1000,8,12,0.10,0.25,0.2,2,3055,3.514,8.775,0.675,2707,2.493,9.903,0.762,6013,2.014,4.458,0.343,3218,3.022,8.331,0.641
1000,8,12,0.10,0.25,0.2,2,3730,4.435,7.164,0.551,3008,2.905,9.031,0.695,4186,1.391,6.423,0.494,3390,3.172,7.583,0.583
1000,8,12,0.10,0.25,0.2,2,3106,2.332,9.012,0.693,2133,2.061,12.270,0.944,2818,0.825,10.161,0.782,2738,2.869,10.457,0.804
1000,8,12,0.10,0.25,0.2,2,2717,1.393,9.347,0.719,2500,2.152,10.064,0.774,2852,1.021,8.737,0.672,2854,2.201,8.733,0.672
1000,8,12,0.10,0.25,0.2,2,2174,2.301,12.532,0.964,1904,2.149,13.943,1.073,3468,1.250,7.592,0.584,1871,1.247,14.072,1.082
1000,8,12,0.10,0.25,0.2,2,2875,3.502,9.142,0.703,3478,3.185,7.609,0.585,2828,0.984,9.292,0.715,3757,4.175,6.995,0.538
1000,8,12,0.10,0.25,0.2,2,3605,3.930,6.991,0.538,3833,3.205,6.518,0.501,4211,1.614,5.890,0.453,2980,3.541,8.483,0.653
1000,8,12,0.10,0.25,0.2,2,2446,1.519,10.386,0.799,2550,0.834,9.915,0.763,2809,0.735,9.179,0.706,2133,1.978,11.835,0.910
1000,8,12,0.10,0.25,0.2,3,2913,1.358,13.052,1.004,3359,0.777,11.236,0.864,6715,1.279,5.693,0.438,3012,1.799,12.644,0.973
1000,8,12,0.10,0.25,0.2,3,4037,1.813,9.399,0.723,3931,1.601,9.617,0.740,8549,1.786,4.426,0.340,3745,2.800,9.945,0.765
1000,8,12,0.10,0.25,0.2,3,5330,2.165,7.410,0.570,4769,2.772,8.282,0.637,8950,1.845,4.434,0.341,4007,1.420,9.967,0.767
1000,8,12,0.10,0.25,0.2,3,6063,0.662,6.370,0.490,4779,2.460,8.089,0.622,6208,1.230,6.410,0.493,5262,2.791,7.516,0.578
1000,8,12,0.10,0.25,0.2,3,4676,2.675,9.236,0.710,3685,2.435,10.154,0.781,6197,1.175,6.786,0.522,3366,1.952,12.664,0.974
1000,8,12,0.10,0.25,0.2,3,4339,3.630,8.837,0.680,4675,2.391,8.074,0.621,6478,1.496,5.919,0.455,4384,1.487,8.746,0.673
1000,8,12,0.10,0.25,0.2,3,2918,2.528,14.126,1.087,3082,2.148,14.088,1.084,5155,1.189,7.856,0.604,2940,2.060,13.729,1.056
1000,8,12,0.10,0.25,0.2,3,4751,2.838,8.538,0.657,4729,4.494,8.474,0.652,4387,0.931,9.247,0.711,5382,0.626,7.667,0.590
1000,8,12,0.10,0.25,0.2,3,6689,5.427,5.634,0.433,4207,3.030,8.868,0.682,6318,1.261,5.934,0.456,4550,3.826,8.247,0.634
1000,8,12,0.10,0.25,0.2,3,4252,1.450,9.053,0.696,3177,2.048,12.063,0.928,4258,1.047,9.041,0.695,3401,2.082,11.317,0.871
1000,8,12,0.10,0.25,0.2,4,3941,0.713,12.652,0.973,4179,1.966,11.954,0.920,9086,1.377,5.510,0.424,4685,2.645,10.957,0.843
