podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,12,12,1.00,0.25,0.2,2,1971,1.348,6.542,0.503,2896,2.590,4.340,0.334,1976,0.377,6.059,0.466,3391,4.061,3.577,0.275
700,12,12,1.00,0.25,0.2,2,2157,2.978,5.561,0.428,1961,1.244,6.439,0.495,1914,0.482,6.140,0.472,1742,1.748,6.719,0.517
700,12,12,1.00,0.25,0.2,2,1993,1.025,6.859,0.528,1655,1.026,8.313,0.639,2698,0.705,5.005,0.385,1750,1.543,7.831,0.602
700,12,12,1.00,0.25,0.2,2,3065,1.145,4.980,0.383,3023,2.581,5.447,0.419,2031,0.407,7.303,0.562,2884,0.732,5.403,0.416
700,12,12,1.00,0.25,0.2,2,1631,1.421,9.355,0.720,2209,0.891,6.871,0.529,2083,0.476,7.326,0.564,2387,0.819,6.165,0.474
700,12,12,1.00,0.25,0.2,2,1763,0.414,7.015,0.540,2071,2.518,5.975,0.460,1422,0.267,8.691,0.669,1711,2.283,7.344,0.565
700,12,12,1.00,0.25,0.2,2,1464,0.351,9.001,0.692,1125,1.026,11.542,0.888,1436,0.265,8.993,0.692,1142,0.765,11.644,0.896
700,12,12,1.00,0.25,0.2,2,1868,0.666,7.040,0.542,1630,1.627,7.972,0.613,1422,0.267,9.266,0.713,2048,0.944,6.473,0.498
700,12,12,1.00,0.25,0.2,2,1886,2.494,6.580,0.506,1443,0.991,8.378,0.644,1446,0.292,8.472,0.652,1502,2.446,8.347,0.642
700,12,12,1.00,0.25,0.2,2,1585,0.870,7.515,0.578,1417,1.800,8.507,0.654,1397,0.269,8.665,0.667,1713,0.933,7.053,0.543
700,12,12,1.00,0.25,0.2,3,4109,2.291,4.666,0.359,5928,3.373,3.126,0.240,3001,0.485,6.193,0.476,7344,4.498,2.490,0.192
700,12,12,1.00,0.25,0.2,3,3370,3.202,5.366,0.413,4956,3.346,3.662,0.282,2571,0.351,7.318,0.563,2840,1.104,6.688,0.514
700,12,12,1.00,0.25,0.2,3,2829,1.292,7.406,0.570,3128,0.474,6.624,0.510,4214,0.750,4.916,0.378,2515,2.499,8.238,0.634
700,12,12,1.00,0.25,0.2,3,3893,2.643,6.045,0.465,2937,1.019,7.817,0.601,3071,0.468,7.322,0.563,4233,0.734,5.595,0.430
700,12,12,1.00,0.25,0.2,3,2606,1.362,8.787,0.676,2544,1.329,9.001,0.692,3021,0.421,7.313,0.563,3963,2.862,5.605,0.431
700,12,12,1.00,0.25,0.2,3,3451,1.653,5.396,0.415,3168,2.752,5.715,0.440,2005,0.310,9.023,0.694,3102,0.956,6.023,0.463
700,12,12,1.00,0.25,0.2,3,2182,1.109,9.201,0.708,1861,0.816,10.453,0.804,2457,0.376,7.992,0.615,1734,1.321,11.650,0.896
700,12,12,1.00,0.25,0.2,3,2523,1.125,7.751,0.596,2393,2.056,8.051,0.619,2000,0.256,9.822,0.756,2382,1.500,8.391,0.645
700,12,12,1.00,0.25,0.2,3,3155,1.947,5.894,0.453,1597,0.910,11.604,0.893,3025,0.463,6.111,0.470,2246,1.354,8.463,0.651
700,12,12,1.00,0.25,0.2,3,2010,1.772,9.347,0.719,2174,1.342,8.439,0.649,2021,0.310,8.992,0.692,1716,1.247,10.878,0.837
700,12,12,1.00,0.25,0.2,4,5648,1.985,4.313,0.332,6631,2.129,3.730,0.287,3941,0.422,6.290,0.484,8509,3.191,2.863,0.220
700,12,12,1.00,0.25,0.2,4,4486,1.641,5.422,0.417,3912,1.913,6.100,0.469,4182,0.476,5.939,0.457,3994,2.827,5.970,0.459
700,12,12,1.00,0.25,0.2,4,4074,2.599,6.545,0.503,3786,1.743,7.163,0.551,5653,0.558,4.798,0.369,3376,1.862,8.032,0.618
700,12,12,1.00,0.25,0.2,4,5912,1.980,5.217,0.401,7448,2.055,4.064,0.313,4118,0.453,7.625,0.587,6138,0.717,4.928,0.379
700,12,12,1.00,0.25,0.2,4,3024,1.332,10.086,0.776,5541,0.553,5.586,0.430,4025,0.408,7.397,0.569,5400,1.204,4.496,0.346
700,12,12,1.00,0.25,0.2,4,4499,2.793,5.594,0.430,3202,0.790,7.628,0.587,2816,0.303,8.298,0.638,4829,3.311,5.307,0.408
700,12,12,1.00,0.25,0.2,4,2738,0.847,9.685,0.745,2696,1.201,9.839,0.757,4050,0.373,6.457,0.497,2387,0.870,10.970,0.844
700,12,12,1.00,0.25,0.2,4,2909,1.418,8.903,0.685,3358,2.452,7.895,0.607,2786,0.300,9.196,0.707,4205,0.850,6.303,0.485
700,12,12,1.00,0.25,0.2,4,4010,2.111,6.150,0.473,3352,1.126,7.191,0.553,2613,0.280,9.099,0.700,3877,2.624,6.180,0.475
700,12,12,1.00,0.25,0.2,4,3300,1.609,7.362,0.566,2898,1.959,8.410,0.647,2861,0.332,8.490,0.653,2806,1.681,8.647,0.665
700,12,12,1.00,0.25,0.5,2,2394,2.632,5.141,0.395,4987,1.134,2.506,0.193,2029,0.415,5.943,0.457,3136,4.313,3.878,0.298
700,12,12,1.00,0.25,0.5,2,1575,1.424,7.625,0.587,2591,3.805,4.657,0.358,2110,0.408,5.662,0.436,1934,1.361,6.526,0.502
700,12,12,1.00,0.25,0.5,2,1824,1.568,7.657,0.589,1778,0.798,7.669,0.590,2734,0.587,4.869,0.375,1579,2.120,8.990,0.692
700,12,12,1.00,0.25,0.5,2,2785,2.433,5.354,0.412,2798,1.896,5.586,0.430,2054,0.362,7.650,0.588,3683,3.313,4.231,0.325
700,12,12,1.00,0.25,0.5,2,3084,2.319,4.949,0.381,2212,0.893,6.742,0.519,1968,0.455,7.976,0.614,2883,2.554,5.081,0.391
700,12,12,1.00,0.25,0.5,2,1734,1.461,6.922,0.532,1414,1.734,8.542,0.657,1438,0.357,8.596,0.661,2027,1.958,6.096,0.469
700,12,12,1.00,0.25,0.5,2,1295,1.182,10.285,0.791,1202,1.125,11.354,0.873,1360,0.310,9.458,0.728,2761,2.515,4.761,0.366
700,12,12,1.00,0.25,0.5,2,1628,0.353,7.873,0.606,1669,0.499,7.604,0.585,1466,0.346,9.043,0.696,1274,1.443,10.403,0.800
700,12,12,1.00,0.25,0.5,2,1931,2.435,6.435,0.495,1440,0.972,8.672,0.667,1476,0.285,8.408,0.647,1714,1.838,7.240,0.557
700,12,12,1.00,0.25,0.5,2,1445,1.564,8.416,0.647,1427,2.077,8.460,0.651,1438,0.268,8.348,0.642,1374,1.023,8.738,0.672
700,12,12,1.00,0.25,0.5,3,4134,2.305,4.521,0.348,6378,4.677,2.961,0.228,2995,0.456,6.242,0.480,6487,2.874,2.851,0.219
700,12,12,1.00,0.25,0.5,3,3121,1.790,5.924,0.456,2388,0.814,7.760,0.597,3180,0.442,5.758,0.443,3262,2.090,5.528,0.425
700,12,12,1.00,0.25,0.5,3,3200,0.912,6.326,0.487,2780,1.081,7.337,0.564,4236,0.583,4.834,0.372,2547,1.979,8.067,0.621
700,12,12,1.00,0.25,0.5,3,3373,2.173,6.661,0.512,3997,1.502,5.649,0.435,2990,0.423,7.513,0.578,6300,3.714,3.759,0.289
700,12,12,1.00,0.25,0.5,3,2526,0.962,8.731,0.672,2458,1.284,9.322,0.717,3183,0.456,7.194,0.553,3765,1.290,5.965,0.459
700,12,12,1.00,0.25,0.5,3,2482,1.745,7.346,0.565,2392,1.284,7.754,0.596,2085,0.280,8.640,0.665,2774,2.169,6.496,0.500
700,12,12,1.00,0.25,0.5,3,2533,1.287,7.752,0.596,1975,1.003,9.944,0.765,2057,0.261,9.696,0.746,1765,0.805,11.447,0.881
700,12,12,1.00,0.25,0.5,3,3232,2.686,5.892,0.453,2330,0.794,8.545,0.657,2032,0.258,9.668,0.744,2031,1.566,9.670,0.744
700,12,12,1.00,0.25,0.5,3,2710,0.976,6.776,0.521,1899,1.415,9.632,0.741,2090,0.296,8.801,0.677,2692,1.850,6.887,0.530
700,12,12,1.00,0.25,0.5,3,2493,1.493,7.360,0.566,2505,1.162,7.190,0.553,2198,0.354,8.204,0.631,1933,1.717,9.511,0.732
