podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,8,12,0.10,0.25,0.2,2,2103,2.314,9.508,0.731,1862,1.945,10.801,0.831,3780,1.527,5.449,0.419,1680,2.155,12.262,0.943
800,8,12,0.10,0.25,0.2,2,2840,1.985,7.095,0.546,2430,2.539,8.320,0.640,4614,1.525,4.402,0.339,2288,1.582,8.665,0.667
800,8,12,0.10,0.25,0.2,2,2399,1.966,8.773,0.675,2388,2.407,8.761,0.674,4702,1.401,4.536,0.349,2335,1.307,8.826,0.679
800,8,12,0.10,0.25,0.2,2,3100,3.811,6.927,0.533,3080,0.929,7.036,0.541,3335,1.138,6.429,0.495,2698,2.511,7.948,0.611
800,8,12,0.10,0.25,0.2,2,2205,1.261,10.351,0.796,2043,1.360,11.093,0.853,3358,1.097,6.910,0.532,1943,2.074,11.705,0.900
800,8,12,0.10,0.25,0.2,2,2383,1.155,8.503,0.654,2071,1.772,9.785,0.753,2278,0.753,8.904,0.685,2217,2.694,9.104,0.700
800,8,12,0.10,0.25,0.2,2,1904,1.495,11.524,0.886,1591,1.848,13.915,1.070,1704,0.620,12.882,0.991,1575,1.520,13.930,1.072
800,8,12,0.10,0.25,0.2,2,2702,2.668,7.817,0.601,2488,2.457,8.884,0.683,2317,0.721,9.400,0.723,3324,3.479,6.557,0.504
800,8,12,0.10,0.25,0.2,2,2822,1.115,7.210,0.555,2518,2.075,7.818,0.601,3268,1.168,6.023,0.463,2564,0.662,7.786,0.599
800,8,12,0.10,0.25,0.2,2,2156,1.364,9.377,0.721,1833,1.809,11.065,0.851,2254,0.774,9.011,0.693,1747,1.559,11.627,0.894
800,8,12,0.10,0.25,0.2,3,3256,2.898,9.297,0.715,2478,0.825,12.147,0.934,5457,1.174,5.663,0.436,2942,1.851,10.217,0.786
800,8,12,0.10,0.25,0.2,3,4813,1.079,6.410,0.493,3410,1.875,8.968,0.690,5154,1.108,5.835,0.449,3731,0.962,8.197,0.631
800,8,12,0.10,0.25,0.2,3,4613,1.441,6.563,0.505,3463,1.760,9.063,0.697,7228,1.453,4.395,0.338,3698,1.448,8.526,0.656
800,8,12,0.10,0.25,0.2,3,5042,4.533,6.435,0.495,4618,2.872,6.704,0.516,5005,0.996,6.541,0.503,4110,2.941,7.313,0.563
800,8,12,0.10,0.25,0.2,3,3207,2.293,10.569,0.813,3366,1.212,10.285,0.791,5079,1.087,6.770,0.521,2822,1.856,12.253,0.943
800,8,12,0.10,0.25,0.2,3,3451,2.766,8.733,0.672,3304,2.814,9.120,0.702,3372,0.676,8.938,0.688,3470,2.865,8.714,0.670
800,8,12,0.10,0.25,0.2,3,2546,1.997,12.857,0.989,2702,2.459,11.923,0.917,4402,0.940,7.148,0.550,2316,1.358,14.153,1.089
800,8,12,0.10,0.25,0.2,3,4292,3.077,7.605,0.585,3498,1.154,9.324,0.717,4690,1.006,6.980,0.537,4244,3.571,7.754,0.596
800,8,12,0.10,0.25,0.2,3,3703,0.891,8.079,0.621,4550,2.400,6.575,0.506,4950,0.952,6.151,0.473,5392,5.063,5.567,0.428
800,8,12,0.10,0.25,0.2,3,3355,1.334,9.105,0.700,3056,1.133,9.995,0.769,3354,0.710,9.106,0.700,2932,0.821,10.170,0.782
800,8,12,0.10,0.25,0.2,4,4644,2.228,8.727,0.671,3580,2.039,11.130,0.856,7299,1.233,5.458,0.420,3828,1.735,10.407,0.801
800,8,12,0.10,0.25,0.2,4,4513,0.994,8.850,0.681,3878,1.619,10.437,0.803,7004,1.096,7.600,0.585,3935,1.578,10.279,0.791
800,8,12,0.10,0.25,0.2,4,6336,3.291,6.694,0.515,4185,1.179,10.233,0.787,6940,1.191,6.658,0.512,5373,2.508,7.918,0.609
800,8,12,0.10,0.25,0.2,4,6986,0.913,6.247,0.481,6114,3.161,7.100,0.546,6663,1.082,6.426,0.494,6059,1.905,6.724,0.517
800,8,12,0.10,0.25,0.2,4,5354,2.135,7.899,0.608,4785,1.381,9.479,0.729,6563,1.141,6.055,0.466,3749,0.862,12.168,0.936
800,8,12,0.10,0.25,0.2,4,3845,2.171,10.701,0.823,4039,2.136,10.159,0.781,4472,0.768,9.175,0.706,4490,2.071,9.118,0.701
800,8,12,0.10,0.25,0.2,4,4019,1.625,10.796,0.830,3130,1.750,13.768,1.059,3330,0.525,13.060,1.005,3184,1.555,13.503,1.039
800,8,12,0.10,0.25,0.2,4,4302,0.539,10.225,0.787,4352,1.201,9.914,0.763,6793,1.146,6.476,0.498,5049,2.758,8.712,0.670
800,8,12,0.10,0.25,0.2,4,7576,2.348,5.354,0.412,5222,1.654,7.731,0.595,6682,1.063,6.078,0.468,5876,2.938,6.910,0.532
800,8,12,0.10,0.25,0.2,4,4566,2.596,8.701,0.669,4176,1.973,9.752,0.750,4478,0.672,8.925,0.687,3771,1.752,10.721,0.825
800,8,12,0.10,0.25,0.5,2,2033,1.758,10.097,0.777,2159,2.407,9.235,0.710,3543,0.806,5.813,0.447,1707,0.600,11.888,0.914
800,8,12,0.10,0.25,0.5,2,2276,0.500,8.953,0.689,2432,2.540,8.428,0.648,2230,0.763,9.066,0.697,2283,2.472,8.859,0.681
800,8,12,0.10,0.25,0.5,2,2269,2.705,9.269,0.713,2520,0.751,8.503,0.654,3469,1.269,6.063,0.466,2495,0.930,8.664,0.666
800,8,12,0.10,0.25,0.5,2,2939,3.775,7.295,0.561,2906,0.876,7.957,0.612,3330,1.146,6.439,0.495,2615,1.238,8.173,0.629
800,8,12,0.10,0.25,0.5,2,2448,2.114,9.267,0.713,2596,2.355,8.790,0.676,3360,1.098,6.791,0.522,1923,1.230,11.867,0.913
800,8,12,0.10,0.25,0.5,2,2014,2.663,10.106,0.777,2080,2.574,9.761,0.751,2360,0.941,8.599,0.661,2295,2.168,8.940,0.688
800,8,12,0.10,0.25,0.5,2,1892,1.720,11.600,0.892,1651,1.621,13.290,1.022,1704,0.620,12.876,0.990,1623,2.000,13.519,1.040
800,8,12,0.10,0.25,0.5,2,2767,1.171,7.877,0.606,3254,3.443,6.699,0.515,3436,0.970,6.202,0.477,1995,2.136,10.600,0.815
800,8,12,0.10,0.25,0.5,2,2948,3.494,6.939,0.534,2606,2.167,7.623,0.586,3270,1.168,6.235,0.480,2671,0.748,7.371,0.567
800,8,12,0.10,0.25,0.5,2,2281,2.830,8.812,0.678,1881,0.987,10.945,0.842,2189,0.739,9.277,0.714,1969,0.791,10.442,0.803
800,8,12,0.10,0.25,0.5,3,2850,1.912,10.696,0.823,3085,3.225,9.881,0.760,5463,1.344,5.557,0.427,2348,1.665,12.657,0.974
800,8,12,0.10,0.25,0.5,3,3364,3.331,9.047,0.696,3122,2.439,9.537,0.734,7029,1.634,4.301,0.331,2982,1.762,10.298,0.792
800,8,12,0.10,0.25,0.5,3,4496,3.301,6.953,0.535,3211,2.018,9.778,0.752,7172,1.504,4.469,0.344,3634,1.179,8.741,0.672
800,8,12,0.10,0.25,0.5,3,5770,4.611,5.626,0.433,4628,1.286,6.821,0.525,5021,1.089,6.442,0.496,4847,1.083,6.656,0.512
800,8,12,0.10,0.25,0.5,3,3204,2.076,10.647,0.819,3032,1.816,11.527,0.887,5080,1.088,6.806,0.524,2842,1.851,12.164,0.936
800,8,12,0.10,0.25,0.5,3,4775,3.827,6.338,0.488,3705,0.928,8.187,0.630,3327,0.787,9.182,0.706,4203,3.305,7.185,0.553
800,8,12,0.10,0.25,0.5,3,2846,2.159,11.576,0.890,2351,2.027,13.598,1.046,4021,0.876,7.769,0.598,2472,2.195,12.823,0.986
800,8,12,0.10,0.25,0.5,3,4617,2.633,7.128,0.548,3902,1.759,8.471,0.652,5051,1.240,6.087,0.468,3697,2.775,8.277,0.637
800,8,12,0.10,0.25,0.5,3,4626,1.098,6.466,0.497,4284,3.035,8.163,0.628,4952,0.953,6.071,0.467,3629,1.818,8.245,0.634
