podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,12,12,1.00,0.25,0.2,2,3029,0.953,5.824,0.448,3331,0.581,5.322,0.409,2854,0.568,6.159,0.474,3452,0.951,5.159,0.397
1000,12,12,1.00,0.25,0.2,2,2083,1.971,8.069,0.621,2369,1.128,7.329,0.564,2917,0.649,5.818,0.448,1852,1.887,9.075,0.698
1000,12,12,1.00,0.25,0.2,2,2551,1.249,7.419,0.571,2086,1.696,9.072,0.698,3933,0.830,4.812,0.370,1839,0.927,10.288,0.791
1000,12,12,1.00,0.25,0.2,2,4689,5.749,4.680,0.360,2990,3.666,7.340,0.565,2885,0.707,7.627,0.587,2883,3.340,7.478,0.575
1000,12,12,1.00,0.25,0.2,2,3233,0.519,6.588,0.507,2472,1.564,8.710,0.670,2777,0.537,7.838,0.603,2444,2.058,8.905,0.685
1000,12,12,1.00,0.25,0.2,2,2134,1.067,8.134,0.626,2105,0.984,8.314,0.640,2011,0.446,8.424,0.648,2045,1.665,8.285,0.637
1000,12,12,1.00,0.25,0.2,2,1969,1.382,9.537,0.734,1635,1.215,11.482,0.883,1879,0.406,10.200,0.785,1633,1.184,11.496,0.884
1000,12,12,1.00,0.25,0.2,2,2258,2.710,8.124,0.625,2011,2.005,9.317,0.717,2034,0.396,9.172,0.706,2063,1.523,8.914,0.686
1000,12,12,1.00,0.25,0.2,2,1976,1.435,8.905,0.685,2211,3.101,7.792,0.599,2004,0.457,8.361,0.643,2229,3.288,7.824,0.602
1000,12,12,1.00,0.25,0.2,2,1992,2.298,8.672,0.667,1968,0.726,8.994,0.692,1898,0.421,9.083,0.699,1783,1.955,9.495,0.730
1000,12,12,1.00,0.25,0.2,3,5875,5.339,4.431,0.341,4337,0.933,6.178,0.475,4273,0.627,6.342,0.488,4773,4.572,5.403,0.416
1000,12,12,1.00,0.25,0.2,3,3128,2.200,8.368,0.644,2964,0.972,8.831,0.679,4368,0.573,5.898,0.454,2904,2.478,9.013,0.693
1000,12,12,1.00,0.25,0.2,3,2884,1.128,10.130,0.779,3331,1.658,8.549,0.658,5992,0.813,4.741,0.365,2665,1.079,11.052,0.850
