podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,12,12,1.00,0.25,0.2,2,3323,2.175,5.802,0.446,3133,3.172,6.136,0.472,3183,0.578,6.109,0.470,3872,2.707,4.991,0.384
1100,12,12,1.00,0.25,0.2,2,2487,1.668,7.777,0.598,2495,2.209,7.544,0.580,3219,0.688,5.906,0.454,1797,1.878,10.578,0.814
1100,12,12,1.00,0.25,0.2,2,2864,1.409,7.449,0.573,2205,1.765,9.808,0.754,4423,0.795,4.842,0.372,2273,1.280,9.420,0.725
1100,12,12,1.00,0.25,0.2,2,3445,2.308,7.014,0.540,4416,3.590,5.577,0.429,3090,0.683,7.819,0.601,4464,4.308,5.412,0.416
1100,12,12,1.00,0.25,0.2,2,3448,1.961,6.778,0.521,3349,1.722,6.980,0.537,3065,0.573,7.504,0.577,2511,1.485,9.329,0.718
1100,12,12,1.00,0.25,0.2,2,3207,0.919,6.036,0.464,2534,1.823,7.594,0.584,2132,0.504,9.114,0.701,2540,1.830,7.603,0.585
1100,12,12,1.00,0.25,0.2,2,2064,1.430,10.035,0.772,1842,0.968,10.966,0.844,2007,0.458,10.322,0.794,1810,2.581,11.447,0.881
1100,12,12,1.00,0.25,0.2,2,2706,3.346,7.638,0.588,2130,1.021,9.872,0.759,2146,0.408,9.568,0.736,2608,3.635,7.926,0.610
1100,12,12,1.00,0.25,0.2,2,3510,2.365,5.519,0.425,3201,2.572,6.051,0.465,2159,0.316,8.838,0.680,2088,2.224,9.139,0.703
1100,12,12,1.00,0.25,0.2,2,1772,1.298,10.437,0.803,1938,1.758,9.667,0.744,2191,0.508,8.709,0.670,1880,1.864,9.980,0.768
1100,12,12,1.00,0.25,0.2,3,6935,1.154,4.212,0.324,5950,3.120,4.869,0.375,4590,0.657,6.399,0.492,4687,1.976,6.244,0.480
1100,12,12,1.00,0.25,0.2,3,4102,2.738,7.874,0.606,3075,0.829,9.340,0.718,4777,0.661,5.982,0.460,2597,1.757,11.003,0.846
1100,12,12,1.00,0.25,0.2,3,3777,2.202,8.433,0.649,3248,1.281,9.755,0.750,6590,0.897,4.862,0.374,3953,1.521,8.106,0.624
1100,12,12,1.00,0.25,0.2,3,4727,2.563,7.387,0.568,4539,3.250,7.691,0.592,4575,0.649,7.631,0.587,5729,4.256,6.094,0.469
1100,12,12,1.00,0.25,0.2,3,4717,2.588,7.340,0.565,4558,1.667,7.595,0.584,4533,0.663,7.865,0.605,4772,2.531,7.255,0.558
1100,12,12,1.00,0.25,0.2,3,4700,1.828,6.160,0.474,4430,3.462,6.535,0.503,3219,0.530,8.786,0.676,3910,2.852,7.421,0.571
1100,12,12,1.00,0.25,0.2,3,3157,1.680,9.895,0.761,4426,1.961,6.883,0.529,3098,0.443,10.171,0.782,2743,1.962,11.643,0.896
1100,12,12,1.00,0.25,0.2,3,3411,2.474,9.100,0.700,3209,1.633,9.493,0.730,3130,0.441,9.840,0.757,2807,2.102,11.069,0.851
1100,12,12,1.00,0.25,0.2,3,2650,1.645,10.498,0.808,2357,1.352,12.375,0.952,3181,0.435,9.203,0.708,4747,1.762,6.182,0.476
1100,12,12,1.00,0.25,0.2,3,3266,2.757,8.613,0.663,2945,2.032,9.701,0.746,3315,0.484,8.530,0.656,3169,2.436,8.876,0.683
1100,12,12,1.00,0.25,0.2,4,6431,2.917,5.960,0.458,9777,4.687,3.920,0.302,6183,0.693,6.103,0.469,7570,0.905,5.108,0.393
1100,12,12,1.00,0.25,0.2,4,3782,0.330,9.913,0.763,4270,2.711,8.781,0.675,6513,0.758,5.757,0.443,3797,2.216,9.874,0.760
1100,12,12,1.00,0.25,0.2,4,6301,2.269,6.729,0.518,4551,1.702,9.399,0.723,8855,0.949,4.731,0.364,4600,1.069,9.268,0.713
1100,12,12,1.00,0.25,0.2,4,6700,3.747,7.074,0.544,6678,3.663,7.124,0.548,6114,0.661,7.842,0.603,9252,0.588,5.064,0.390
1100,12,12,1.00,0.25,0.2,4,5737,2.205,8.177,0.629,5983,2.336,7.841,0.603,6355,0.594,7.546,0.580,5989,0.925,7.788,0.599
1100,12,12,1.00,0.25,0.2,4,5755,2.908,6.770,0.521,5961,1.950,6.407,0.493,4091,0.484,9.374,0.721,4861,2.694,7.849,0.604
1100,12,12,1.00,0.25,0.2,4,4040,1.079,10.172,0.782,3667,1.628,11.115,0.855,4164,0.435,9.788,0.753,3391,2.026,12.218,0.940
1100,12,12,1.00,0.25,0.2,4,5304,2.420,7.561,0.582,4395,1.926,9.545,0.734,4237,0.430,9.673,0.744,3924,2.228,10.282,0.791
1100,12,12,1.00,0.25,0.2,4,4603,0.819,8.352,0.642,4962,2.056,7.751,0.596,4135,0.438,9.118,0.701,5326,1.590,7.079,0.545
1100,12,12,1.00,0.25,0.2,4,4678,2.536,8.076,0.621,3763,2.315,10.186,0.784,4430,0.508,8.625,0.663,3965,1.128,9.612,0.739
1100,12,12,1.00,0.25,0.5,2,4037,1.780,4.832,0.372,3142,1.762,6.235,0.480,3105,0.649,6.169,0.475,4703,0.560,4.073,0.313
1100,12,12,1.00,0.25,0.5,2,2994,3.998,6.350,0.488,1922,1.949,9.891,0.761,3233,0.691,5.708,0.439,2887,3.262,6.459,0.497
1100,12,12,1.00,0.25,0.5,2,2298,2.508,9.249,0.711,2160,2.205,9.742,0.749,4447,1.004,4.757,0.366,2270,1.720,9.435,0.726
1100,12,12,1.00,0.25,0.5,2,3366,3.130,7.178,0.552,3667,2.457,6.589,0.507,3119,0.675,7.676,0.590,3891,2.726,5.909,0.455
1100,12,12,1.00,0.25,0.5,2,2896,1.382,8.138,0.626,3264,1.678,7.217,0.555,3131,0.720,7.529,0.579,3385,2.428,6.905,0.531
1100,12,12,1.00,0.25,0.5,2,3307,2.722,5.839,0.449,2748,1.722,7.029,0.541,2108,0.491,9.417,0.724,5814,3.493,3.322,0.256
1100,12,12,1.00,0.25,0.5,2,2036,1.305,10.241,0.788,1903,1.135,10.888,0.838,2185,0.512,9.468,0.728,1788,2.579,11.776,0.906
1100,12,12,1.00,0.25,0.5,2,2068,2.408,10.045,0.773,2070,2.249,9.782,0.752,2224,0.464,9.293,0.715,1985,2.756,10.291,0.792
1100,12,12,1.00,0.25,0.5,2,2180,1.840,8.887,0.684,3241,2.485,6.128,0.471,2180,0.442,8.485,0.653,2149,2.246,8.721,0.671
1100,12,12,1.00,0.25,0.5,2,2624,2.898,7.140,0.549,2018,1.471,9.230,0.710,2185,0.481,8.589,0.661,1839,1.405,10.203,0.785
1100,12,12,1.00,0.25,0.5,3,4695,4.190,6.221,0.479,5567,3.412,5.246,0.404,4718,0.771,6.197,0.477,6200,4.864,4.670,0.359
1100,12,12,1.00,0.25,0.5,3,4007,2.751,7.183,0.553,3030,2.115,9.395,0.723,4795,0.725,5.959,0.458,2593,1.304,10.875,0.837
1100,12,12,1.00,0.25,0.5,3,3632,2.848,8.713,0.670,3146,2.288,10.167,0.782,6679,0.999,4.853,0.373,4159,1.362,7.806,0.600
1100,12,12,1.00,0.25,0.5,3,7959,5.152,4.437,0.341,5044,3.129,7.158,0.551,4588,0.710,6.702,0.516,4662,3.022,7.521,0.579
1100,12,12,1.00,0.25,0.5,3,4912,2.673,7.077,0.544,4149,2.723,8.683,0.668,4757,0.596,7.459,0.574,4230,2.324,8.286,0.637
1100,12,12,1.00,0.25,0.5,3,3868,1.526,7.485,0.576,4758,3.718,6.085,0.468,4729,0.724,6.122,0.471,3763,3.458,7.695,0.592
1100,12,12,1.00,0.25,0.5,3,3176,1.460,10.021,0.771,2726,1.633,11.584,0.891,3462,0.456,9.227,0.710,2954,1.637,10.812,0.832
1100,12,12,1.00,0.25,0.5,3,3934,0.722,7.793,0.599,3390,1.522,9.044,0.696,3280,0.496,9.392,0.722,2684,2.056,11.333,0.872
1100,12,12,1.00,0.25,0.5,3,3052,2.361,9.388,0.722,3739,1.439,7.636,0.587,3163,0.584,9.252,0.712,2786,1.792,10.343,0.796
1100,12,12,1.00,0.25,0.5,3,4011,2.849,7.125,0.548,2742,0.648,10.258,0.789,3432,0.464,8.196,0.630,2754,1.232,10.216,0.786
1100,12,12,1.00,0.25,0.5,4,11195,0.725,3.442,0.265,7253,0.566,5.317,0.409,6264,0.639,6.119,0.471,9262,4.244,4.138,0.318
1100,12,12,1.00,0.25,0.5,4,3909,0.630,9.631,0.741,8820,4.558,4.353,0.335,6324,0.607,5.888,0.453,3643,1.297,10.469,0.805
1100,12,12,1.00,0.25,0.5,4,6077,2.514,7.026,0.540,4410,1.250,9.627,0.741,8661,0.903,4.942,0.380,4924,1.063,8.540,0.657
1100,12,12,1.00,0.25,0.5,4,7969,2.298,5.882,0.452,7018,0.686,6.757,0.520,6188,0.691,7.575,0.583,7637,2.437,6.138,0.472
1100,12,12,1.00,0.25,0.5,4,4990,1.346,9.401,0.723,6096,3.490,7.671,0.590,6253,0.616,7.400,0.569,5853,2.294,8.049,0.619
1100,12,12,1.00,0.25,0.5,4,6604,4.686,5.865,0.451,5331,3.136,7.228,0.556,4410,0.480,8.680,0.668,5253,1.941,7.262,0.559
1100,12,12,1.00,0.25,0.5,4,4428,1.546,9.332,0.718,3730,1.083,11.306,0.870,4429,0.467,9.351,0.719,3554,2.205,11.822,0.909
1100,12,12,1.00,0.25,0.5,4,5684,2.436,7.084,0.545,6859,3.888,5.939,0.457,4360,0.442,9.622,0.740,4914,2.137,8.366,0.644
1100,12,12,1.00,0.25,0.5,4,4109,0.464,9.237,0.711,5229,1.426,7.300,0.562,4259,0.431,8.911,0.685,3686,1.786,10.285,0.791
1100,12,12,1.00,0.25,0.5,4,4961,2.161,7.561,0.582,3982,2.194,9.489,0.730,4279,0.450,8.829,0.679,3262,1.463,11.757,0.904
1100,12,12,1.00,0.25,2.0,2,5008,0.516,3.930,0.302,3040,2.544,6.473,0.498,3129,0.882,6.122,0.471,4818,4.818,3.975,0.306
1100,12,12,1.00,0.25,2.0,2,2004,2.676,9.444,0.726,1929,1.149,9.853,0.758,2750,0.588,6.912,0.532,2535,2.252,7.595,0.584
1100,12,12,1.00,0.25,2.0,2,2225,2.375,8.379,0.645,2327,2.365,9.063,0.697,4498,0.892,4.717,0.363,2604,1.057,8.141,0.626
1100,12,12,1.00,0.25,2.0,2,4556,3.160,5.302,0.408,3427,1.866,7.050,0.542,3298,0.662,7.326,0.564,4302,4.259,5.616,0.432
1100,12,12,1.00,0.25,2.0,2,3139,1.569,7.495,0.577,3132,0.902,7.462,0.574,3202,0.599,7.354,0.566,2416,1.241,9.651,0.742
1100,12,12,1.00,0.25,2.0,2,2774,3.651,7.044,0.542,2252,2.728,8.575,0.660,2181,0.507,8.857,0.681,2487,3.213,7.767,0.597
1100,12,12,1.00,0.25,2.0,2,1973,1.552,10.501,0.808,1913,1.645,10.826,0.833,2312,0.568,8.844,0.680,1887,0.958,10.980,0.845
1100,12,12,1.00,0.25,2.0,2,2630,1.366,7.858,0.604,2200,2.596,9.393,0.723,2393,0.602,8.655,0.666,1992,1.992,10.301,0.792
1100,12,12,1.00,0.25,2.0,2,1915,1.877,9.717,0.747,3330,1.338,5.798,0.446,2206,0.478,8.524,0.656,2503,2.138,7.738,0.595
1100,12,12,1.00,0.25,2.0,2,2328,2.993,8.198,0.631,2062,2.340,9.101,0.700,2283,0.456,8.468,0.651,2003,2.828,9.458,0.728
1100,12,12,1.00,0.25,2.0,3,4693,3.613,6.067,0.467,5215,4.057,5.487,0.422,4791,0.783,5.971,0.459,7152,3.656,3.981,0.306
1100,12,12,1.00,0.25,2.0,3,3679,1.255,7.706,0.593,3640,2.547,7.850,0.604,4643,0.655,6.154,0.473,2971,2.457,9.690,0.745
1100,12,12,1.00,0.25,2.0,3,3658,1.445,8.876,0.683,2920,1.179,10.808,0.831,4783,0.678,6.725,0.517,4407,2.321,7.295,0.561
1100,12,12,1.00,0.25,2.0,3,4274,0.340,8.115,0.624,5507,0.513,6.271,0.482,4623,0.674,7.552,0.581,5687,3.574,6.140,0.472
1100,12,12,1.00,0.25,2.0,3,5030,2.024,6.883,0.529,4631,1.863,7.476,0.575,4600,0.673,7.718,0.594,3460,2.469,10.006,0.770
1100,12,12,1.00,0.25,2.0,3,4698,1.041,6.066,0.467,3279,1.566,8.829,0.679,3269,0.538,8.683,0.668,3684,1.213,7.740,0.595
1100,12,12,1.00,0.25,2.0,3,3180,1.133,9.530,0.733,2826,1.843,11.232,0.864,4685,0.714,6.652,0.512,3591,1.437,8.685,0.668
1100,12,12,1.00,0.25,2.0,3,4416,3.735,6.997,0.538,3507,1.041,8.861,0.682,3458,0.456,8.715,0.670,2964,0.869,10.400,0.800
1100,12,12,1.00,0.25,2.0,3,4355,2.820,6.571,0.505,3893,1.717,7.283,0.560,3486,0.321,8.116,0.624,4267,1.693,6.861,0.528
1100,12,12,1.00,0.25,2.0,3,3831,2.319,7.471,0.575,2813,1.736,10.264,0.790,3289,0.443,8.553,0.658,2719,1.986,10.543,0.811
1100,12,12,1.00,0.25,2.0,4,5685,2.256,6.767,0.521,13026,4.494,2.923,0.225,6232,0.638,6.141,0.472,10792,4.184,3.542,0.272
1100,12,12,1.00,0.25,2.0,4,6584,3.383,5.687,0.437,4503,1.295,8.405,0.647,6216,0.686,6.054,0.466,4090,1.268,9.235,0.710
1100,12,12,1.00,0.25,2.0,4,5270,1.934,8.127,0.625,4214,1.231,10.096,0.777,8834,1.020,4.823,0.371,4217,1.424,9.879,0.760
1100,12,12,1.00,0.25,2.0,4,6457,2.760,6.677,0.514,5825,1.057,8.096,0.623,6191,0.708,7.572,0.582,8091,4.886,5.794,0.446
1100,12,12,1.00,0.25,2.0,4,6084,2.359,7.694,0.592,8510,3.625,5.563,0.428,6337,0.718,7.404,0.570,5258,2.102,8.903,0.685
1100,12,12,1.00,0.25,2.0,4,4735,1.435,8.230,0.633,5923,1.835,6.579,0.506,5414,0.577,7.197,0.554,5057,3.014,7.424,0.571
1100,12,12,1.00,0.25,2.0,4,3846,1.347,10.789,0.830,3645,2.137,11.474,0.883,6257,0.647,6.514,0.501,3620,1.576,11.585,0.891
1100,12,12,1.00,0.25,2.0,4,4915,1.417,8.138,0.626,4305,1.164,9.494,0.730,4366,0.485,9.443,0.726,5027,1.461,8.277,0.637
