podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,10,12,0.10,0.25,0.2,2,2288,0.849,7.983,0.614,2148,2.965,8.702,0.669,2106,0.538,8.959,0.689,1572,1.468,11.840,0.911
900,10,12,0.10,0.25,0.2,2,2956,3.000,7.010,0.539,2271,1.618,8.314,0.640,2004,0.488,10.268,0.790,2392,0.697,8.623,0.663
900,10,12,0.10,0.25,0.2,2,1971,1.819,10.807,0.831,1827,1.844,11.583,0.891,1918,0.516,10.833,0.833,1638,1.528,12.682,0.976
900,10,12,0.10,0.25,0.2,2,1977,1.964,9.584,0.737,2407,1.216,8.483,0.653,2058,0.541,9.925,0.763,2359,2.873,8.905,0.685
900,10,12,0.10,0.25,0.2,2,2218,2.073,9.054,0.696,2581,2.705,7.968,0.613,2082,0.458,9.898,0.761,1990,2.351,9.969,0.767
900,10,12,0.10,0.25,0.2,2,3733,0.760,4.929,0.379,2053,1.311,8.981,0.691,2001,0.490,9.095,0.700,1816,1.437,10.358,0.797
900,10,12,0.10,0.25,0.2,2,2364,1.484,9.335,0.718,2090,1.444,10.720,0.825,2928,0.674,7.674,0.590,2035,1.589,11.172,0.859
900,10,12,0.10,0.25,0.2,2,3114,1.226,8.021,0.617,1912,0.956,13.468,1.036,2995,0.836,8.591,0.661,1795,1.659,14.399,1.108
900,10,12,0.10,0.25,0.2,2,2336,1.259,8.764,0.674,2832,3.459,7.163,0.551,2947,0.855,6.827,0.525,2588,1.794,7.656,0.589
900,10,12,0.10,0.25,0.2,2,3115,1.246,6.005,0.462,2681,2.903,6.995,0.538,2989,0.703,6.223,0.479,3719,5.188,5.002,0.385
900,10,12,0.10,0.25,0.2,3,2797,2.109,9.930,0.764,2867,0.580,9.708,0.747,3017,0.513,9.871,0.759,2384,1.618,11.887,0.914
900,10,12,0.10,0.25,0.2,3,4377,2.167,6.875,0.529,3181,1.742,9.514,0.732,4430,0.778,7.341,0.565,3236,1.028,9.499,0.731
900,10,12,0.10,0.25,0.2,3,3083,1.043,10.025,0.771,2552,1.394,12.031,0.925,2879,0.540,10.684,0.822,2449,1.108,12.557,0.966
900,10,12,0.10,0.25,0.2,3,2783,2.168,10.992,0.846,3216,2.431,9.517,0.732,2953,0.499,10.311,0.793,2555,2.042,11.914,0.916
900,10,12,0.10,0.25,0.2,3,3704,2.165,8.089,0.622,3379,1.966,8.844,0.680,2995,0.501,10.178,0.783,2949,1.793,10.235,0.787
900,10,12,0.10,0.25,0.2,3,3024,1.561,9.196,0.707,2724,1.572,11.722,0.902,2993,0.528,9.491,0.730,2846,2.308,9.927,0.764
900,10,12,0.10,0.25,0.2,3,3416,1.926,9.881,0.760,3130,1.437,10.825,0.833,4377,0.724,7.729,0.595,2997,1.265,11.426,0.879
