podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,8,12,1.00,0.25,0.2,2,1850,1.731,10.527,0.810,2001,1.494,9.991,0.769,3734,1.396,5.517,0.424,1676,1.300,12.288,0.945
800,8,12,1.00,0.25,0.2,2,2030,1.590,9.996,0.769,2295,2.873,8.934,0.687,4888,1.490,3.992,0.307,2424,3.230,8.749,0.673
800,8,12,1.00,0.25,0.2,2,2359,1.552,8.868,0.682,2202,0.656,9.504,0.731,2872,0.962,7.072,0.544,2441,2.566,8.615,0.663
800,8,12,1.00,0.25,0.2,2,3088,2.550,7.011,0.539,2972,0.896,7.215,0.555,3555,1.223,5.823,0.448,2876,2.115,7.432,0.572
800,8,12,1.00,0.25,0.2,2,2131,2.237,10.574,0.813,1704,1.477,13.472,1.036,3558,1.120,6.455,0.497,1941,1.715,11.759,0.905
800,8,12,1.00,0.25,0.2,2,2714,1.121,7.478,0.575,2224,1.838,9.086,0.699,2471,0.861,8.215,0.632,2312,2.184,8.779,0.675
800,8,12,1.00,0.25,0.2,2,1734,1.854,12.658,0.974,1613,1.873,13.606,1.047,1804,0.578,11.862,0.912,1557,1.339,13.752,1.058
800,8,12,1.00,0.25,0.2,2,3094,1.831,6.960,0.535,2035,2.753,10.712,0.824,2688,0.759,8.108,0.624,2589,1.396,8.419,0.648
800,8,12,1.00,0.25,0.2,2,2493,2.649,7.894,0.607,2876,2.917,6.887,0.530,3549,1.229,5.546,0.427,2520,2.789,7.812,0.601
800,8,12,1.00,0.25,0.2,2,2119,1.542,9.586,0.737,1795,1.586,11.217,0.863,2418,0.671,8.399,0.646,1977,2.312,10.271,0.790
800,8,12,1.00,0.25,0.2,3,3134,1.913,9.725,0.748,3194,0.752,9.489,0.730,5640,1.277,5.324,0.410,2460,2.431,12.385,0.953
800,8,12,1.00,0.25,0.2,3,3421,1.451,8.977,0.691,3131,1.125,9.698,0.746,7344,1.439,4.164,0.320,3515,1.996,8.702,0.669
