podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,12,12,0.10,0.25,0.2,2,3218,3.139,4.349,0.335,3970,3.948,3.495,0.269,2231,0.461,6.463,0.497,3930,2.565,3.669,0.282
800,12,12,0.10,0.25,0.2,2,3563,3.974,3.907,0.301,3465,2.227,3.997,0.307,2057,0.489,6.625,0.510,2216,2.444,6.366,0.490
800,12,12,0.10,0.25,0.2,2,2578,0.814,5.664,0.436,2446,1.589,5.692,0.438,3121,0.580,5.006,0.385,1702,1.463,9.051,0.696
800,12,12,0.10,0.25,0.2,2,2434,0.554,7.113,0.547,4662,3.641,3.767,0.290,2190,0.489,7.973,0.613,3726,2.989,4.648,0.358
800,12,12,0.10,0.25,0.2,2,2771,2.386,6.309,0.485,1815,1.548,9.629,0.741,2070,0.472,7.993,0.615,2619,2.184,6.463,0.497
800,12,12,0.10,0.25,0.2,2,2124,2.532,6.411,0.493,2936,2.822,4.667,0.359,1464,0.296,9.399,0.723,2663,1.199,5.165,0.397
800,12,12,0.10,0.25,0.2,2,1502,0.766,9.884,0.760,1334,0.675,11.163,0.859,2200,0.559,7.062,0.543,1288,0.839,11.851,0.912
800,12,12,0.10,0.25,0.2,2,1828,0.955,8.093,0.623,1299,1.298,11.305,0.870,1487,0.364,10.017,0.771,1920,1.803,7.675,0.590
800,12,12,0.10,0.25,0.2,2,2288,2.200,6.144,0.473,1908,1.357,7.294,0.561,1566,0.280,8.736,0.672,1624,2.247,8.426,0.648
800,12,12,0.10,0.25,0.2,2,2221,1.276,6.296,0.484,1431,1.615,9.749,0.750,1542,0.336,9.045,0.696,1562,0.588,8.650,0.665
800,12,12,0.10,0.25,0.2,3,4418,3.845,4.773,0.367,4943,2.733,4.316,0.332,3183,0.494,6.417,0.494,5282,4.957,3.877,0.298
800,12,12,0.10,0.25,0.2,3,2882,2.280,7.245,0.557,4038,2.490,5.169,0.398,2605,0.387,7.807,0.601,3524,2.264,5.875,0.452
800,12,12,0.10,0.25,0.2,3,4230,2.332,5.472,0.421,4036,2.154,5.736,0.441,4620,0.719,5.214,0.401,2946,1.505,8.767,0.674
800,12,12,0.10,0.25,0.2,3,5288,0.709,4.828,0.371,4670,3.365,5.692,0.438,3278,0.495,7.907,0.608,5822,4.162,4.453,0.343
800,12,12,0.10,0.25,0.2,3,2922,1.579,8.829,0.679,2616,2.175,9.862,0.759,3211,0.477,8.063,0.620,3767,1.799,6.863,0.528
800,12,12,0.10,0.25,0.2,3,3780,1.174,5.451,0.419,3781,1.914,5.601,0.431,2197,0.343,9.599,0.738,3576,0.972,5.921,0.455
800,12,12,0.10,0.25,0.2,3,2071,0.743,11.124,0.856,2066,0.840,10.926,0.840,2193,0.314,10.338,0.795,2068,1.033,10.884,0.837
800,12,12,0.10,0.25,0.2,3,2907,1.764,7.825,0.602,2298,1.268,9.756,0.750,2305,0.336,9.800,0.754,2098,1.334,10.581,0.814
800,12,12,0.10,0.25,0.2,3,3151,1.783,6.704,0.516,1856,0.826,11.210,0.862,2254,0.315,9.141,0.703,3367,2.274,6.204,0.477
800,12,12,0.10,0.25,0.2,3,2957,0.954,7.126,0.548,2662,1.490,7.794,0.600,2216,0.359,9.195,0.707,2579,2.216,8.198,0.631
800,12,12,0.10,0.25,0.2,4,6097,0.715,4.610,0.355,7108,2.692,4.017,0.309,4239,0.455,6.482,0.499,7575,5.561,3.663,0.282
800,12,12,0.10,0.25,0.2,4,4215,1.070,6.596,0.507,4829,2.291,5.766,0.444,3095,0.338,9.056,0.697,3812,2.437,7.289,0.561
800,12,12,0.10,0.25,0.2,4,4210,2.561,7.290,0.561,3636,1.270,8.435,0.649,6226,0.666,5.048,0.388,3508,2.121,8.842,0.680
800,12,12,0.10,0.25,0.2,4,6257,0.778,5.487,0.422,6370,1.812,5.513,0.424,4334,0.437,8.082,0.622,8206,1.939,4.271,0.329
800,12,12,0.10,0.25,0.2,4,5818,3.445,5.796,0.446,6528,2.184,5.165,0.397,4230,0.515,7.992,0.615,5335,2.312,6.335,0.487
800,12,12,0.10,0.25,0.2,4,4749,1.292,5.808,0.447,5702,2.115,4.907,0.377,3104,0.306,8.916,0.686,6103,3.386,4.526,0.348
800,12,12,0.10,0.25,0.2,4,3195,1.102,9.270,0.713,2660,1.084,11.069,0.851,2969,0.325,9.967,0.767,2500,0.877,12.126,0.933
800,12,12,0.10,0.25,0.2,4,4191,2.224,7.102,0.546,3149,1.424,9.268,0.713,3055,0.377,9.986,0.768,3694,2.045,8.216,0.632
800,12,12,0.10,0.25,0.2,4,2914,1.122,9.520,0.732,3552,1.779,7.772,0.598,2906,0.333,9.416,0.724,4786,2.542,5.885,0.453
800,12,12,0.10,0.25,0.2,4,3513,2.042,7.835,0.603,3128,2.042,8.630,0.664,3112,0.338,8.979,0.691,3401,1.776,8.036,0.618
800,12,12,0.10,0.25,0.5,2,3428,2.737,4.206,0.324,3392,1.670,4.129,0.318,2185,0.472,6.600,0.508,3887,2.618,3.699,0.285
800,12,12,0.10,0.25,0.5,2,1973,0.339,7.004,0.539,2748,2.194,4.963,0.382,2253,0.543,6.133,0.472,2581,2.729,5.381,0.414
800,12,12,0.10,0.25,0.5,2,1621,0.778,9.572,0.736,2406,1.664,6.405,0.493,3109,0.658,5.039,0.388,1575,0.795,9.948,0.765
800,12,12,0.10,0.25,0.5,2,2855,0.614,6.065,0.467,2998,3.531,5.776,0.444,2190,0.489,7.926,0.610,3293,3.605,5.258,0.404
800,12,12,0.10,0.25,0.5,2,3353,2.914,5.183,0.399,1558,1.281,10.834,0.833,2229,0.414,7.841,0.603,2790,2.073,6.265,0.482
800,12,12,0.10,0.25,0.5,2,3103,3.699,4.389,0.338,2611,2.845,5.204,0.400,1420,0.302,9.745,0.750,3091,2.297,4.572,0.352
800,12,12,0.10,0.25,0.5,2,1486,1.353,10.067,0.774,1315,1.005,11.329,0.871,1554,0.342,9.689,0.745,1363,1.604,10.824,0.833
800,12,12,0.10,0.25,0.5,2,1709,2.260,8.601,0.662,1755,1.730,8.562,0.659,1476,0.339,10.311,0.793,2404,1.430,6.137,0.472
800,12,12,0.10,0.25,0.5,2,1829,1.505,7.514,0.578,1807,1.263,7.572,0.582,1489,0.295,9.185,0.707,1768,2.435,7.875,0.606
800,12,12,0.10,0.25,0.5,2,2000,1.149,6.869,0.528,1571,1.386,8.796,0.677,1463,0.301,9.437,0.726,2026,1.909,6.588,0.507
800,12,12,0.10,0.25,0.5,3,3721,2.054,5.489,0.422,4047,1.384,5.145,0.396,3165,0.476,6.462,0.497,6569,2.122,3.452,0.266
800,12,12,0.10,0.25,0.5,3,4447,2.571,4.667,0.359,6322,4.822,3.364,0.259,2302,0.271,9.041,0.695,7154,6.142,2.931,0.225
800,12,12,0.10,0.25,0.5,3,2818,1.478,8.338,0.641,4032,2.151,5.714,0.440,4657,0.749,5.038,0.388,2308,1.010,10.160,0.782
800,12,12,0.10,0.25,0.5,3,4632,1.794,5.605,0.431,4847,3.118,5.341,0.411,3248,0.440,7.757,0.597,5622,4.133,4.654,0.358
800,12,12,0.10,0.25,0.5,3,3253,1.901,7.931,0.610,2592,2.155,9.953,0.766,3240,0.539,8.107,0.624,3675,1.848,7.008,0.539
800,12,12,0.10,0.25,0.5,3,2993,2.417,6.981,0.537,4720,3.828,4.487,0.345,2254,0.342,9.393,0.723,4920,2.828,4.362,0.336
800,12,12,0.10,0.25,0.5,3,2672,1.539,7.971,0.613,1937,0.837,11.836,0.910,2174,0.335,10.386,0.799,1871,0.950,12.330,0.948
800,12,12,0.10,0.25,0.5,3,2278,2.063,10.113,0.778,2707,1.548,8.294,0.638,2286,0.280,9.881,0.760,3386,2.333,7.020,0.540
800,12,12,0.10,0.25,0.5,3,2424,1.495,8.535,0.657,1823,0.909,11.402,0.877,2241,0.306,9.424,0.725,2679,1.043,7.602,0.585
800,12,12,0.10,0.25,0.5,3,2920,1.704,7.155,0.550,2385,2.055,8.617,0.663,2241,0.316,9.302,0.716,2380,1.554,8.772,0.675
800,12,12,0.10,0.25,0.5,4,10061,0.942,2.753,0.212,7340,2.699,3.859,0.297,4395,0.470,6.252,0.481,7579,4.165,3.625,0.279
800,12,12,0.10,0.25,0.5,4,4432,2.152,6.174,0.475,5656,1.813,4.896,0.377,3029,0.346,9.222,0.709,4847,2.862,5.745,0.442
800,12,12,0.10,0.25,0.5,4,3843,1.585,8.045,0.619,4859,2.390,6.376,0.490,6180,0.676,5.070,0.390,3259,0.929,9.527,0.733
800,12,12,0.10,0.25,0.5,4,7051,3.771,4.982,0.383,4606,2.232,7.424,0.571,4399,0.483,7.967,0.613,8145,2.451,4.317,0.332
800,12,12,0.10,0.25,0.5,4,3789,0.704,9.112,0.701,4019,1.499,8.593,0.661,4331,0.436,8.090,0.622,5734,2.548,5.969,0.459
800,12,12,0.10,0.25,0.5,4,5073,0.685,5.506,0.424,4162,1.224,6.651,0.512,2929,0.359,9.246,0.711,3584,1.085,7.759,0.597
800,12,12,0.10,0.25,0.5,4,2913,0.853,10.299,0.792,2525,0.810,11.647,0.896,2859,0.314,10.542,0.811,2545,1.602,11.679,0.898
800,12,12,0.10,0.25,0.5,4,3503,2.021,8.366,0.644,2942,1.464,10.112,0.778,2960,0.328,10.054,0.773,4374,2.375,6.806,0.524
800,12,12,0.10,0.25,0.5,4,3868,1.835,7.105,0.547,3918,2.090,6.877,0.529,2910,0.331,9.443,0.726,3798,1.978,7.241,0.557
800,12,12,0.10,0.25,0.5,4,4534,3.219,5.934,0.456,2824,1.274,9.992,0.769,2914,0.323,9.331,0.718,2977,0.785,9.078,0.698
800,12,12,0.10,0.25,2.0,2,3504,2.375,4.147,0.319,3467,2.060,4.087,0.314,2224,0.424,6.269,0.482,3755,0.940,3.786,0.291
800,12,12,0.10,0.25,2.0,2,2274,2.186,7.888,0.607,2958,1.987,4.673,0.359,2362,0.586,5.779,0.445,2256,2.254,6.194,0.476
800,12,12,0.10,0.25,2.0,2,2545,0.676,6.145,0.473,2522,2.688,6.058,0.466,3137,0.814,4.994,0.384,1795,1.092,8.726,0.671
800,12,12,0.10,0.25,2.0,2,2565,0.583,6.752,0.519,4674,3.650,3.640,0.280,2220,0.493,7.899,0.608,4431,4.536,3.908,0.301
800,12,12,0.10,0.25,2.0,2,2058,1.817,8.494,0.653,2640,1.838,6.599,0.508,2247,0.501,7.780,0.598,2805,1.932,6.233,0.479
800,12,12,0.10,0.25,2.0,2,2358,2.345,5.776,0.444,2922,2.195,4.828,0.371,1533,0.275,8.939,0.688,2038,2.921,6.681,0.514
800,12,12,0.10,0.25,2.0,2,1484,1.352,10.304,0.793,1444,1.144,9.887,0.761,1528,0.309,10.034,0.772,1292,0.829,11.519,0.886
800,12,12,0.10,0.25,2.0,2,1737,0.794,8.484,0.653,1353,1.143,11.034,0.849,1498,0.310,9.836,0.757,1943,1.815,7.584,0.583
800,12,12,0.10,0.25,2.0,2,1827,2.456,7.486,0.576,1785,1.247,7.731,0.595,1479,0.286,9.235,0.710,1773,2.250,7.743,0.596
800,12,12,0.10,0.25,2.0,2,2027,1.165,6.882,0.529,1965,1.921,7.098,0.546,1602,0.360,8.704,0.670,1505,0.602,9.266,0.713
800,12,12,0.10,0.25,2.0,3,4042,3.288,5.303,0.408,5224,3.429,3.910,0.301,3188,0.477,7.025,0.540,7362,4.406,2.796,0.215
800,12,12,0.10,0.25,2.0,3,3253,0.941,6.158,0.474,3388,1.041,6.278,0.483,3459,0.531,6.003,0.462,3803,1.514,5.461,0.420
800,12,12,0.10,0.25,2.0,3,2729,0.491,8.557,0.658,2359,1.001,9.814,0.755,4730,0.654,4.938,0.380,2442,1.468,9.525,0.733
800,12,12,0.10,0.25,2.0,3,5211,1.756,4.986,0.384,4486,2.984,5.773,0.444,3223,0.431,8.061,0.620,5946,4.581,4.371,0.336
800,12,12,0.10,0.25,2.0,3,3042,1.801,8.480,0.652,2674,1.232,9.503,0.731,3176,0.480,6.528,0.502,3824,2.174,6.741,0.519
800,12,12,0.10,0.25,2.0,3,3171,2.086,6.837,0.526,3806,2.916,5.652,0.435,2211,0.329,9.681,0.745,4952,2.733,4.240,0.326
800,12,12,0.10,0.25,2.0,3,2457,1.369,9.128,0.702,1982,0.963,11.213,0.863,2305,0.318,9.818,0.755,1978,0.934,11.342,0.872
800,12,12,0.10,0.25,2.0,3,2551,1.467,8.802,0.677,2887,2.140,7.658,0.589,2363,0.369,9.502,0.731,3311,2.281,6.780,0.522
800,12,12,0.10,0.25,2.0,3,2597,2.197,7.944,0.611,2440,1.073,8.555,0.658,2130,0.324,9.495,0.730,3291,2.926,6.320,0.486
800,12,12,0.10,0.25,2.0,3,2999,1.750,6.961,0.535,2210,1.978,9.445,0.727,2312,0.360,9.028,0.694,2632,1.926,7.981,0.614
800,12,12,0.10,0.25,2.0,4,7026,4.323,4.017,0.309,7380,3.424,3.752,0.289,4311,0.465,6.453,0.496,8044,3.429,3.495,0.269
800,12,12,0.10,0.25,2.0,4,3979,1.796,7.009,0.539,5611,3.374,4.849,0.373,4457,0.449,6.179,0.475,7332,3.727,3.784,0.291
