podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,10,12,0.2,0.25,0.2,2,2204,1.356,9.385,0.722,1957,2.024,10.409,0.801,2213,0.590,9.261,0.712,2132,1.732,9.620,0.740
1000,10,12,0.2,0.25,0.2,2,2713,2.036,8.449,0.650,2933,3.188,7.920,0.609,3268,1.023,6.846,0.527,2323,0.842,9.874,0.760
1000,10,12,0.2,0.25,0.2,2,1922,2.311,12.371,0.952,2002,1.918,11.874,0.913,2277,0.502,10.444,0.803,1922,0.817,12.369,0.951
1000,10,12,0.2,0.25,0.2,2,2799,3.248,8.248,0.634,2571,2.949,8.655,0.666,2192,0.483,10.473,0.806,2155,2.463,10.653,0.819
1000,10,12,0.2,0.25,0.2,2,2011,1.540,10.763,0.828,2534,1.572,8.544,0.657,2427,0.711,8.919,0.686,1914,2.463,11.864,0.913
1000,10,12,0.2,0.25,0.2,2,2151,1.372,9.637,0.741,2340,1.635,8.820,0.678,2213,0.564,9.337,0.718,1978,2.081,10.600,0.815
1000,10,12,0.2,0.25,0.2,2,2469,1.163,10.144,0.780,2682,3.413,9.431,0.725,3281,0.801,7.496,0.577,2508,1.873,10.249,0.788
1000,10,12,0.2,0.25,0.2,2,2270,1.439,10.824,0.833,2440,0.902,11.680,0.898,3393,0.771,8.357,0.643,2050,1.599,13.681,1.052
1000,10,12,0.2,0.25,0.2,2,3857,1.336,5.817,0.447,2663,3.211,8.510,0.655,3323,0.840,7.313,0.563,3549,2.299,6.520,0.502
1000,10,12,0.2,0.25,0.2,2,2899,2.800,7.230,0.556,2877,2.152,7.267,0.559,3168,0.768,6.734,0.518,2486,2.736,8.474,0.652
1000,10,12,0.2,0.25,0.2,3,2844,2.169,10.540,0.811,2745,1.357,11.467,0.882,3345,0.577,9.130,0.702,3287,2.144,9.319,0.717
1000,10,12,0.2,0.25,0.2,3,3667,2.792,9.403,0.723,4288,1.558,7.912,0.609,7252,1.295,4.601,0.354,3657,1.452,9.339,0.718
1000,10,12,0.2,0.25,0.2,3,2931,1.278,12.232,0.941,2790,1.333,12.588,0.968,3261,0.572,10.948,0.842,2774,2.036,12.738,0.980
1000,10,12,0.2,0.25,0.2,3,3717,2.971,9.313,0.716,3963,3.342,8.738,0.672,3352,0.557,10.127,0.779,3489,3.089,9.685,0.745
1000,10,12,0.2,0.25,0.2,3,3407,2.331,10.037,0.772,3654,2.260,9.360,0.720,3396,0.591,9.842,0.757,2760,1.659,12.390,0.953
1000,10,12,0.2,0.25,0.2,3,2919,1.337,10.836,0.834,2983,1.230,10.603,0.816,3361,0.616,9.364,0.720,2897,1.220,10.820,0.832
1000,10,12,0.2,0.25,0.2,3,3338,1.510,11.553,0.889,3531,1.403,10.615,0.817,4878,0.893,6.880,0.529,3291,2.615,11.206,0.862
1000,10,12,0.2,0.25,0.2,3,4481,2.443,9.543,0.734,3013,1.336,14.162,1.089,5140,0.868,8.165,0.628,2965,1.056,14.482,1.114
1000,10,12,0.2,0.25,0.2,3,3494,1.657,9.703,0.746,3798,2.001,9.072,0.698,5012,0.783,6.817,0.524,5035,3.318,6.727,0.517
1000,10,12,0.2,0.25,0.2,3,4955,3.221,6.362,0.489,4603,1.351,6.774,0.521,4863,0.547,6.526,0.502,3500,0.925,8.909,0.685
