podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,8,12,0.2,0.25,0.2,2,2526,2.920,9.943,0.765,2180,1.876,11.540,0.888,2917,0.910,8.550,0.658,2068,3.088,12.062,0.928
1000,8,12,0.2,0.25,0.2,2,3895,4.164,6.449,0.496,2613,2.017,9.510,0.732,5738,1.929,4.412,0.339,2651,2.243,9.473,0.729
1000,8,12,0.2,0.25,0.2,2,3746,3.293,7.156,0.550,2711,2.497,9.887,0.761,6011,2.316,4.502,0.346,2671,1.832,9.969,0.767
1000,8,12,0.2,0.25,0.2,2,3724,3.811,7.229,0.556,3273,3.335,8.186,0.630,4256,1.547,6.278,0.483,3459,3.523,7.830,0.602
1000,8,12,0.2,0.25,0.2,2,3082,2.119,9.243,0.711,2732,1.946,10.448,0.804,4230,1.250,6.835,0.526,2718,2.524,10.573,0.813
1000,8,12,0.2,0.25,0.2,2,2569,3.703,9.860,0.758,2749,3.152,9.065,0.697,2778,0.848,9.041,0.695,3364,2.189,7.408,0.570
1000,8,12,0.2,0.25,0.2,2,2337,2.616,11.256,0.866,1897,1.242,13.880,1.068,3362,1.026,8.086,0.622,1966,1.829,14.001,1.077
1000,8,12,0.2,0.25,0.2,2,2944,2.910,9.166,0.705,3490,2.914,7.912,0.609,4245,1.432,6.192,0.476,2638,2.229,10.150,0.781
1000,8,12,0.2,0.25,0.2,2,3745,3.231,6.733,0.518,2914,1.667,8.683,0.668,4157,1.486,6.077,0.467,3069,4.539,8.231,0.633
1000,8,12,0.2,0.25,0.2,2,3020,1.501,8.414,0.647,2550,0.835,9.964,0.766,2828,0.741,8.923,0.686,2320,1.849,10.989,0.845
1000,8,12,0.2,0.25,0.2,3,3135,2.129,12.149,0.935,3143,1.883,12.119,0.932,4337,0.903,8.718,0.671,2906,1.632,12.954,0.996
1000,8,12,0.2,0.25,0.2,3,3487,2.511,10.777,0.829,4160,2.065,9.094,0.700,8790,1.646,4.304,0.331,3837,0.628,9.861,0.759
1000,8,12,0.2,0.25,0.2,3,4039,1.280,9.780,0.752,4827,3.175,8.128,0.625,8866,1.972,4.488,0.345,4794,2.654,8.459,0.651
1000,8,12,0.2,0.25,0.2,3,6256,1.099,6.531,0.502,6785,5.051,5.978,0.460,6254,1.239,6.418,0.494,6592,5.016,6.107,0.470
1000,8,12,0.2,0.25,0.2,3,3944,1.944,10.874,0.836,4048,2.306,10.407,0.801,6226,1.264,6.905,0.531,3694,1.330,10.984,0.845
1000,8,12,0.2,0.25,0.2,3,6344,2.588,5.984,0.460,4313,1.767,8.744,0.673,4311,0.936,8.749,0.673,4169,1.681,9.150,0.704
1000,8,12,0.2,0.25,0.2,3,3145,1.924,12.703,0.977,3690,1.708,10.918,0.840,5213,1.290,7.645,0.588,2842,1.655,14.248,1.096
1000,8,12,0.2,0.25,0.2,3,4620,3.930,8.713,0.670,4295,1.931,9.274,0.713,6145,1.159,6.590,0.507,5401,3.823,7.500,0.577
1000,8,12,0.2,0.25,0.2,3,4097,2.603,9.115,0.701,4742,2.386,7.943,0.611,6249,1.385,5.988,0.461,6270,1.176,5.968,0.459
1000,8,12,0.2,0.25,0.2,3,3935,2.760,9.783,0.753,3210,2.559,11.993,0.923,4318,0.982,8.797,0.677,3583,2.473,10.553,0.812
1000,8,12,0.2,0.25,0.2,4,6485,3.651,7.683,0.591,5035,0.632,10.041,0.772,6996,1.169,7.230,0.556,3795,1.908,13.218,1.017
1000,8,12,0.2,0.25,0.2,4,6825,4.281,7.444,0.573,6320,4.313,7.982,0.614,6418,1.079,7.870,0.605,4742,2.377,10.589,0.815
1000,8,12,0.2,0.25,0.2,4,6282,2.215,8.517,0.655,5133,1.256,10.362,0.797,11944,2.125,4.454,0.343,5952,2.172,8.913,0.686
1000,8,12,0.2,0.25,0.2,4,9190,5.186,5.829,0.448,7019,0.623,7.622,0.586,8442,1.325,6.423,0.494,6157,2.648,8.379,0.645
1000,8,12,0.2,0.25,0.2,4,5558,1.855,10.357,0.797,4817,2.238,11.794,0.907,8342,1.250,6.793,0.523,5243,1.824,9.591,0.738
1000,8,12,0.2,0.25,0.2,4,5733,1.950,8.749,0.673,5192,3.223,9.619,0.740,5547,0.946,9.019,0.694,7968,1.377,6.411,0.493
1000,8,12,0.2,0.25,0.2,4,4145,1.704,12.989,0.999,3806,1.460,14.097,1.084,6788,1.160,7.950,0.612,3874,1.636,13.929,1.071
1000,8,12,0.2,0.25,0.2,4,6665,1.655,8.181,0.629,6061,1.275,8.996,0.692,8585,1.322,6.289,0.484,6145,3.535,8.806,0.677
1000,8,12,0.2,0.25,0.2,4,7047,0.973,7.123,0.548,5965,2.242,8.497,0.654,8401,1.356,5.976,0.460,6270,2.823,8.007,0.616
1000,8,12,0.2,0.25,0.2,4,4757,1.312,10.655,0.820,4768,2.289,10.552,0.812,5723,0.970,8.747,0.673,4116,2.192,12.050,0.927
1000,8,12,0.2,0.25,0.5,2,2109,3.118,12.098,0.931,2579,2.455,9.670,0.744,4494,1.563,5.571,0.429,2029,1.725,12.248,0.942
1000,8,12,0.2,0.25,0.5,2,2927,2.668,8.581,0.660,2613,3.634,9.801,0.754,2825,0.839,8.935,0.687,3223,3.384,7.819,0.601
1000,8,12,0.2,0.25,0.5,2,3399,2.194,7.683,0.591,2649,2.589,9.990,0.768,4452,1.289,6.024,0.463,2942,2.760,8.679,0.668
1000,8,12,0.2,0.25,0.5,2,3162,1.125,8.452,0.650,3175,1.046,8.762,0.674,4182,1.248,6.183,0.476,3425,2.806,7.991,0.615
1000,8,12,0.2,0.25,0.5,2,3055,2.537,9.471,0.729,2898,1.959,9.872,0.759,4182,1.462,6.847,0.527,2746,2.690,10.185,0.783
1000,8,12,0.2,0.25,0.5,2,2833,2.247,8.789,0.676,2403,1.917,10.296,0.792,2830,1.053,8.804,0.677,2666,1.941,9.348,0.719
1000,8,12,0.2,0.25,0.5,2,2039,1.710,12.911,0.993,2085,1.908,12.630,0.972,3296,1.006,7.987,0.614,1927,1.285,13.660,1.051
1000,8,12,0.2,0.25,0.5,2,2994,3.885,8.928,0.687,2938,1.048,9.276,0.714,4304,1.249,6.376,0.490,2236,1.328,11.970,0.921
1000,8,12,0.2,0.25,0.5,2,3137,1.481,8.004,0.616,3457,3.644,7.307,0.562,4354,1.460,5.815,0.447,3092,2.972,8.170,0.628
1000,8,12,0.2,0.25,0.5,2,2391,1.565,10.624,0.817,2704,2.113,9.397,0.723,2832,0.741,8.744,0.673,2144,1.608,11.718,0.901
1000,8,12,0.2,0.25,0.5,3,3715,2.102,10.125,0.779,5848,4.252,6.543,0.503,6860,1.571,5.509,0.424,3109,2.600,12.107,0.931
1000,8,12,0.2,0.25,0.5,3,5321,5.233,7.237,0.557,3776,3.679,10.024,0.771,8736,1.912,4.282,0.329,3858,3.157,9.813,0.755
1000,8,12,0.2,0.25,0.5,3,5259,2.315,7.534,0.580,3858,2.385,10.237,0.787,8857,1.872,4.459,0.343,4004,2.394,9.866,0.759
1000,8,12,0.2,0.25,0.5,3,7726,2.140,5.250,0.404,7523,2.243,5.392,0.415,6257,1.240,6.408,0.493,5651,2.856,7.304,0.562
1000,8,12,0.2,0.25,0.5,3,3894,3.213,10.914,0.840,4372,2.592,9.721,0.748,6292,1.357,6.830,0.525,4077,3.017,10.472,0.806
1000,8,12,0.2,0.25,0.5,3,4273,1.845,8.960,0.689,5191,1.900,7.386,0.568,4280,0.883,8.865,0.682,3813,1.917,9.932,0.764
1000,8,12,0.2,0.25,0.5,3,3422,2.696,11.833,0.910,3006,1.859,13.474,1.036,4976,1.147,8.139,0.626,2769,1.621,14.624,1.125
1000,8,12,0.2,0.25,0.5,3,6933,3.329,5.471,0.421,5308,1.457,7.643,0.588,4274,0.938,9.411,0.724,4380,3.464,9.282,0.714
1000,8,12,0.2,0.25,0.5,3,7428,1.224,5.054,0.389,5229,3.602,7.257,0.558,6248,1.327,6.020,0.463,7014,4.072,5.351,0.412
1000,8,12,0.2,0.25,0.5,3,3877,2.025,9.928,0.764,3044,1.455,12.382,0.952,4193,0.927,9.197,0.707,3388,1.940,11.313,0.870
1000,8,12,0.2,0.25,0.5,4,5542,2.675,9.085,0.699,4123,0.831,12.798,0.984,5727,0.906,8.705,0.670,3960,2.075,12.589,0.968
1000,8,12,0.2,0.25,0.5,4,6827,2.342,7.469,0.575,5605,2.440,8.976,0.690,11521,2.148,4.390,0.338,5285,2.038,9.510,0.732
1000,8,12,0.2,0.25,0.5,4,6818,1.157,7.803,0.600,5374,2.520,9.930,0.764,12039,1.937,4.419,0.340,4826,2.341,10.918,0.840
1000,8,12,0.2,0.25,0.5,4,8861,1.172,6.058,0.466,7545,5.065,7.080,0.545,5477,0.926,9.705,0.747,6385,2.627,8.380,0.645
1000,8,12,0.2,0.25,0.5,4,5374,3.471,10.597,0.815,5086,2.546,11.223,0.863,8439,1.215,6.749,0.519,5268,2.595,10.812,0.832
