podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,8,12,1.00,0.25,0.2,2,1984,2.206,9.081,0.699,1643,1.983,11.062,0.851,3255,1.171,5.428,0.418,1730,1.594,10.213,0.786
700,8,12,1.00,0.25,0.2,2,2404,2.039,7.495,0.577,1760,1.544,10.208,0.785,3337,0.959,5.329,0.410,1939,0.996,9.113,0.701
700,8,12,1.00,0.25,0.2,2,2687,2.722,7.025,0.540,2464,1.851,7.411,0.570,4373,1.395,4.351,0.335,2018,3.113,9.189,0.707
700,8,12,1.00,0.25,0.2,2,3123,0.557,5.944,0.457,3129,1.929,5.890,0.453,3068,0.985,5.955,0.458,2456,2.242,7.822,0.602
700,8,12,1.00,0.25,0.2,2,2416,2.428,8.582,0.660,2305,1.193,8.606,0.662,3135,1.067,6.506,0.500,1935,1.227,10.254,0.789
700,8,12,1.00,0.25,0.2,2,1698,1.145,10.510,0.808,1849,1.130,9.639,0.741,2234,0.645,7.685,0.591,2229,1.590,8.003,0.616
700,8,12,1.00,0.25,0.2,2,1590,1.080,11.906,0.916,1532,1.157,12.354,0.950,1567,0.473,11.872,0.913,1454,1.334,13.002,1.000
700,8,12,1.00,0.25,0.2,2,2367,1.734,8.008,0.616,2053,2.173,9.519,0.732,2054,0.720,9.228,0.710,2144,0.614,8.839,0.680
700,8,12,1.00,0.25,0.2,2,3333,3.561,5.305,0.408,2171,0.966,8.198,0.631,3134,0.995,5.755,0.443,2440,1.321,7.257,0.558
700,8,12,1.00,0.25,0.2,2,1909,1.681,9.092,0.699,2002,2.561,9.289,0.715,2163,0.689,8.471,0.652,1700,1.769,10.756,0.827
700,8,12,1.00,0.25,0.2,3,3036,0.817,9.327,0.717,3510,2.811,7.673,0.590,4815,0.936,5.465,0.420,2060,2.070,12.869,0.990
700,8,12,1.00,0.25,0.2,3,3205,1.109,8.174,0.629,3338,0.693,7.918,0.609,3670,0.686,7.331,0.564,3656,0.657,7.292,0.561
700,8,12,1.00,0.25,0.2,3,4221,2.609,6.730,0.518,3313,2.271,8.418,0.648,6427,1.574,4.391,0.338,3064,1.855,8.966,0.690
700,8,12,1.00,0.25,0.2,3,3777,2.079,7.420,0.571,3557,2.382,7.979,0.614,4699,0.975,5.932,0.456,3069,2.204,9.292,0.715
700,8,12,1.00,0.25,0.2,3,3203,1.747,9.389,0.722,3216,1.984,9.425,0.725,4614,0.944,6.511,0.501,2986,2.413,10.249,0.788
700,8,12,1.00,0.25,0.2,3,4426,0.881,6.063,0.466,3843,2.287,6.923,0.533,2349,0.315,11.345,0.873,3516,1.694,7.578,0.583
700,8,12,1.00,0.25,0.2,3,2334,1.676,12.131,0.933,2236,1.813,12.661,0.974,3835,0.918,7.273,0.559,2208,1.347,12.908,0.993
700,8,12,1.00,0.25,0.2,3,3278,2.566,8.536,0.657,4787,3.059,5.928,0.456,3498,0.753,7.602,0.585,2947,0.762,9.822,0.756
700,8,12,1.00,0.25,0.2,3,3112,1.750,8.614,0.663,3244,0.812,8.237,0.634,4696,0.967,5.628,0.433,3963,2.865,6.725,0.517
700,8,12,1.00,0.25,0.2,3,2368,1.328,11.583,0.891,3084,1.697,8.795,0.677,3139,0.757,8.497,0.654,2496,2.314,10.758,0.828
700,8,12,1.00,0.25,0.2,4,3622,0.624,9.786,0.753,3049,1.852,11.576,0.890,6553,0.994,5.439,0.418,2961,1.337,11.943,0.919
700,8,12,1.00,0.25,0.2,4,5564,1.980,6.410,0.493,4416,1.982,8.129,0.625,4204,0.637,8.440,0.649,5234,2.012,6.714,0.516
700,8,12,1.00,0.25,0.2,4,4912,1.387,7.522,0.579,4573,1.604,8.080,0.622,8354,1.465,4.423,0.340,3930,1.393,9.402,0.723
