podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,8,12,0.10,0.25,0.2,2,2073,2.416,8.628,0.664,1490,1.739,11.858,0.912,1999,0.696,8.877,0.683,1828,2.152,9.665,0.743
700,8,12,0.10,0.25,0.2,2,2595,0.871,6.811,0.524,2364,0.891,7.458,0.574,4162,0.807,4.301,0.331,2074,3.010,8.743,0.673
700,8,12,0.10,0.25,0.2,2,2637,2.268,7.033,0.541,2072,1.068,8.951,0.689,4154,1.428,4.465,0.343,2027,1.062,9.149,0.704
700,8,12,0.10,0.25,0.2,2,4124,0.959,4.645,0.357,2699,0.519,7.107,0.547,3007,1.026,5.993,0.461,2703,1.350,6.818,0.524
700,8,12,0.10,0.25,0.2,2,2920,2.630,6.961,0.535,2074,2.479,10.095,0.777,2879,1.040,7.145,0.550,1798,1.043,11.034,0.849
700,8,12,0.10,0.25,0.2,2,2162,0.861,8.141,0.626,1985,1.326,8.966,0.690,2062,0.750,8.746,0.673,2264,0.463,7.855,0.604
700,8,12,0.10,0.25,0.2,2,1562,1.222,12.124,0.933,1385,1.419,13.670,1.052,2363,0.821,7.847,0.604,1316,2.096,14.384,1.106
700,8,12,0.10,0.25,0.2,2,1874,2.413,9.477,0.729,1945,1.863,9.743,0.749,2209,0.726,8.470,0.652,2306,0.547,8.057,0.620
700,8,12,0.10,0.25,0.2,2,2300,0.752,8.045,0.619,2393,2.588,7.204,0.554,3008,0.897,5.996,0.461,2711,2.592,6.652,0.512
700,8,12,0.10,0.25,0.2,2,1898,2.181,9.616,0.740,2096,1.793,8.745,0.673,2010,0.603,9.011,0.693,1619,1.458,11.036,0.849
700,8,12,0.10,0.25,0.2,3,3645,0.397,7.320,0.563,2499,1.401,10.539,0.811,3044,0.645,8.671,0.667,2713,1.903,9.737,0.749
700,8,12,0.10,0.25,0.2,3,2964,1.712,8.792,0.676,3258,0.642,8.283,0.637,2950,0.611,9.217,0.709,2949,1.167,8.954,0.689
700,8,12,0.10,0.25,0.2,3,4317,2.656,6.550,0.504,3203,1.569,8.829,0.679,6291,1.541,4.477,0.344,2804,1.138,10.088,0.776
700,8,12,0.10,0.25,0.2,3,3587,3.133,7.783,0.599,3727,1.455,7.561,0.582,4408,0.909,6.442,0.496,5081,1.791,5.510,0.424
700,8,12,0.10,0.25,0.2,3,3277,2.061,9.112,0.701,3190,2.103,9.303,0.716,4392,1.055,6.916,0.532,2929,1.870,10.435,0.803
700,8,12,0.10,0.25,0.2,3,4100,1.731,6.499,0.500,2941,1.296,9.061,0.697,2939,0.413,9.064,0.697,3548,1.156,7.533,0.579
