podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,8,12,0.2,0.25,0.2,2,1957,2.037,10.335,0.795,1619,1.588,12.504,0.962,3615,1.093,5.698,0.438,1681,2.156,12.256,0.943
800,8,12,0.2,0.25,0.2,2,2876,2.252,7.032,0.541,2431,2.540,8.317,0.640,4598,1.519,4.466,0.344,2039,2.946,10.051,0.773
800,8,12,0.2,0.25,0.2,2,2256,1.819,9.420,0.725,2345,2.372,8.861,0.682,4636,1.405,4.656,0.358,2190,2.242,9.559,0.735
800,8,12,0.2,0.25,0.2,2,2859,1.023,7.501,0.577,2962,0.893,7.128,0.548,3354,1.127,6.438,0.495,3097,1.756,6.775,0.521
800,8,12,0.2,0.25,0.2,2,2063,2.875,10.467,0.805,2212,2.212,10.316,0.794,3383,1.105,5.946,0.457,1944,2.075,12.004,0.923
800,8,12,0.2,0.25,0.2,2,2283,2.551,8.889,0.684,2219,2.567,9.149,0.704,2267,0.750,8.964,0.690,2861,2.817,7.206,0.554
800,8,12,0.2,0.25,0.2,2,1696,1.858,12.936,0.995,1648,1.658,13.314,1.024,2859,1.040,7.644,0.588,1625,1.466,13.006,1.000
800,8,12,0.2,0.25,0.2,2,2944,3.396,7.438,0.572,2292,0.665,9.528,0.733,2412,0.770,8.731,0.672,2152,1.511,9.979,0.768
800,8,12,0.2,0.25,0.2,2,2832,1.119,7.015,0.540,2705,3.042,7.348,0.565,3442,1.123,5.718,0.440,2567,2.042,7.949,0.611
800,8,12,0.2,0.25,0.2,2,2451,1.381,8.271,0.636,2342,1.736,8.496,0.654,2305,0.724,8.748,0.673,1946,1.871,10.435,0.803
800,8,12,0.2,0.25,0.2,3,3303,2.521,9.150,0.704,3364,2.424,9.036,0.695,3378,0.723,8.994,0.692,3036,2.440,10.063,0.774
800,8,12,0.2,0.25,0.2,3,5063,3.614,6.040,0.465,3293,3.008,9.101,0.700,5088,1.130,5.921,0.455,3528,2.634,8.600,0.662
800,8,12,0.2,0.25,0.2,3,4407,3.235,7.168,0.551,3125,2.450,10.072,0.775,5056,1.247,6.318,0.486,3585,1.404,8.936,0.687
800,8,12,0.2,0.25,0.2,3,5017,3.081,6.526,0.502,4781,3.474,6.775,0.521,5018,1.180,6.322,0.486,4094,3.928,7.998,0.615
800,8,12,0.2,0.25,0.2,3,4130,1.756,8.360,0.643,3013,1.581,11.251,0.865,5113,1.095,6.774,0.521,3193,1.287,10.810,0.832
800,8,12,0.2,0.25,0.2,3,3398,1.847,8.956,0.689,3356,0.841,8.979,0.691,3395,0.680,8.875,0.683,3465,3.011,8.696,0.669
800,8,12,0.2,0.25,0.2,3,3076,1.886,10.309,0.793,2658,1.433,11.856,0.912,4100,0.848,7.844,0.603,2235,1.205,14.522,1.117
800,8,12,0.2,0.25,0.2,3,4471,3.577,7.248,0.558,4984,1.492,6.572,0.506,3428,0.804,9.613,0.739,4790,0.602,6.730,0.518
800,8,12,0.2,0.25,0.2,3,4349,3.142,6.811,0.524,4459,3.402,6.779,0.521,5000,1.183,5.983,0.460,3659,1.935,8.047,0.619
800,8,12,0.2,0.25,0.2,3,3090,1.431,9.892,0.761,2625,1.053,12.455,0.958,3434,0.721,8.755,0.673,2943,0.830,10.380,0.798
800,8,12,0.2,0.25,0.2,4,4727,2.547,8.491,0.653,3118,1.854,12.918,0.994,4576,0.918,8.899,0.685,3557,1.507,11.438,0.880
800,8,12,0.2,0.25,0.2,4,4608,1.842,8.875,0.683,4359,0.808,9.162,0.705,9220,1.464,4.404,0.339,3988,1.510,10.165,0.782
800,8,12,0.2,0.25,0.2,4,5413,3.283,7.686,0.591,4112,1.779,10.381,0.799,6944,0.984,6.116,0.470,5158,2.415,8.322,0.640
800,8,12,0.2,0.25,0.2,4,8838,3.946,4.946,0.380,5831,0.945,7.339,0.565,6580,1.210,6.606,0.508,6191,3.557,6.663,0.513
800,8,12,0.2,0.25,0.2,4,7401,4.066,6.129,0.471,3996,1.966,11.354,0.873,6689,1.112,6.782,0.522,4029,2.272,11.490,0.884
800,8,12,0.2,0.25,0.2,4,4007,1.398,10.138,0.780,3948,1.707,10.210,0.785,4564,0.657,8.880,0.683,4691,3.352,8.537,0.657
800,8,12,0.2,0.25,0.2,4,4107,1.402,10.536,0.810,3134,1.082,13.815,1.063,5529,0.867,7.859,0.605,3220,1.347,13.542,1.042
800,8,12,0.2,0.25,0.2,4,6304,2.935,6.776,0.521,3977,1.887,10.822,0.832,4701,0.751,9.358,0.720,6217,1.382,7.076,0.544
800,8,12,0.2,0.25,0.2,4,7569,4.629,5.359,0.412,5204,1.736,7.795,0.600,6853,1.146,5.927,0.456,5488,3.577,7.292,0.561
800,8,12,0.2,0.25,0.2,4,4468,1.995,9.055,0.697,3694,1.131,10.992,0.846,4494,0.735,9.008,0.693,3486,1.567,11.515,0.886
800,8,12,0.2,0.25,0.5,2,2203,2.076,8.969,0.690,1985,2.086,10.162,0.782,2341,0.821,8.800,0.677,1682,2.158,11.980,0.922
800,8,12,0.2,0.25,0.5,2,2006,2.130,10.164,0.782,2288,3.972,8.930,0.687,4721,1.454,4.244,0.326,1879,0.775,11.052,0.850
800,8,12,0.2,0.25,0.5,2,2553,2.827,8.190,0.630,2123,1.170,10.169,0.782,3458,1.104,6.124,0.471,2449,0.645,8.708,0.670
800,8,12,0.2,0.25,0.5,2,3859,2.846,5.195,0.400,3297,3.213,6.421,0.494,3335,1.049,6.514,0.501,2767,1.067,7.712,0.593
800,8,12,0.2,0.25,0.5,2,2632,2.065,8.768,0.674,2072,1.185,10.773,0.829,3414,1.101,6.601,0.508,2005,1.571,11.172,0.859
800,8,12,0.2,0.25,0.5,2,3173,3.312,6.296,0.484,2211,1.644,9.221,0.709,2306,0.676,8.848,0.681,2899,4.138,6.978,0.537
800,8,12,0.2,0.25,0.5,2,1821,1.667,11.901,0.915,1647,1.416,12.793,0.984,2816,1.024,7.794,0.600,1584,1.952,13.850,1.065
800,8,12,0.2,0.25,0.5,2,2706,1.145,8.091,0.622,2641,2.620,8.168,0.628,2465,0.782,9.151,0.704,2428,0.920,8.870,0.682
800,8,12,0.2,0.25,0.5,2,3081,2.738,6.388,0.491,2847,3.423,6.913,0.532,3297,1.178,6.229,0.479,2427,1.603,8.456,0.650
800,8,12,0.2,0.25,0.5,2,1790,1.083,11.960,0.920,1806,1.049,11.245,0.865,2328,0.700,8.766,0.674,1907,2.411,10.445,0.803
800,8,12,0.2,0.25,0.5,3,2995,2.684,10.007,0.770,3234,3.016,9.291,0.715,2519,0.588,12.102,0.931,2361,1.964,12.891,0.992
800,8,12,0.2,0.25,0.5,3,3619,1.484,8.438,0.649,3679,2.119,8.262,0.636,5186,1.128,5.982,0.460,3475,2.881,8.636,0.664
800,8,12,0.2,0.25,0.5,3,4376,2.524,7.251,0.558,3303,1.939,9.669,0.744,7227,1.599,4.255,0.327,3603,1.920,8.897,0.684
800,8,12,0.2,0.25,0.5,3,5532,2.944,5.918,0.455,4452,1.122,7.394,0.569,5150,0.975,6.114,0.470,4500,2.619,7.145,0.550
800,8,12,0.2,0.25,0.5,3,3160,2.061,11.023,0.848,2822,1.378,12.275,0.944,5071,1.035,6.818,0.524,2894,1.110,11.955,0.920
800,8,12,0.2,0.25,0.5,3,4662,3.183,6.685,0.514,3040,2.004,10.118,0.778,3366,0.833,9.182,0.706,3754,1.065,7.977,0.614
800,8,12,0.2,0.25,0.5,3,2899,1.449,10.935,0.841,2365,0.999,13.857,1.066,3342,0.797,9.484,0.730,2315,1.196,13.692,1.053
800,8,12,0.2,0.25,0.5,3,3729,2.587,7.953,0.612,3009,1.648,10.910,0.839,5085,1.035,6.416,0.494,4466,2.682,7.368,0.567
800,8,12,0.2,0.25,0.5,3,4493,1.066,6.808,0.524,4187,0.919,7.280,0.560,5005,1.057,5.977,0.460,3634,1.647,8.233,0.633
800,8,12,0.2,0.25,0.5,3,2837,1.128,10.529,0.810,2788,0.751,10.680,0.822,3366,0.702,9.076,0.698,2741,2.233,11.153,0.858
800,8,12,0.2,0.25,0.5,4,4553,1.831,8.973,0.690,3739,1.414,10.861,0.835,7367,1.115,5.408,0.416,3139,1.430,12.691,0.976
800,8,12,0.2,0.25,0.5,4,4584,2.334,8.946,0.688,4302,2.497,9.358,0.720,9383,1.703,4.400,0.338,4685,2.232,8.525,0.656
800,8,12,0.2,0.25,0.5,4,6413,3.140,6.635,0.510,4401,1.188,11.470,0.882,9788,1.429,4.146,0.319,3562,1.949,11.934,0.918
800,8,12,0.2,0.25,0.5,4,11391,2.989,3.811,0.293,6125,1.116,7.088,0.545,6593,1.034,6.585,0.507,5930,2.773,7.338,0.564
800,8,12,0.2,0.25,0.5,4,3953,1.371,11.551,0.889,3607,1.707,12.762,0.982,6593,0.972,6.885,0.530,4822,2.236,9.502,0.731
800,8,12,0.2,0.25,0.5,4,4667,0.736,8.769,0.675,4072,2.610,10.025,0.771,4454,0.697,9.189,0.707,4061,1.374,9.802,0.754
800,8,12,0.2,0.25,0.5,4,3755,1.377,11.571,0.890,3203,1.549,13.501,1.039,5446,0.918,8.015,0.617,3103,1.241,14.165,1.090
800,8,12,0.2,0.25,0.5,4,5994,2.357,7.220,0.555,4194,2.085,10.291,0.792,6753,1.043,6.514,0.501,5068,2.354,8.507,0.654
800,8,12,0.2,0.25,0.5,4,6179,1.812,6.618,0.509,5329,2.748,7.524,0.579,6856,1.147,5.951,0.458,5176,2.295,7.757,0.597
800,8,12,0.2,0.25,0.5,4,4189,1.086,9.675,0.744,4092,1.924,9.868,0.759,4456,0.680,8.935,0.687,4085,0.855,9.926,0.764
800,8,12,0.2,0.25,2.0,2,1886,1.945,10.599,0.815,2155,0.642,9.260,0.712,3733,1.080,5.342,0.411,2068,0.739,9.663,0.743
800,8,12,0.2,0.25,2.0,2,2318,2.718,8.700,0.669,2236,1.534,9.019,0.694,2869,0.960,7.116,0.547,1942,2.217,10.621,0.817
800,8,12,0.2,0.25,2.0,2,2730,2.886,7.792,0.599,2186,1.900,9.563,0.736,4760,1.483,4.344,0.334,2122,1.650,10.050,0.773
800,8,12,0.2,0.25,2.0,2,3466,1.088,6.186,0.476,2724,0.822,7.895,0.607,3434,1.146,6.245,0.480,2904,2.261,7.457,0.574
800,8,12,0.2,0.25,2.0,2,2048,0.924,11.140,0.857,2127,2.077,9.866,0.759,3380,1.147,6.909,0.531,1968,1.071,11.646,0.896
