podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,8,12,0.2,0.25,0.2,2,3104,4.107,7.330,0.564,2665,2.072,8.545,0.657,4116,1.420,5.598,0.431,2033,2.102,11.336,0.872
900,8,12,0.2,0.25,0.2,2,2656,3.362,8.492,0.653,2339,1.739,9.791,0.753,2595,1.011,8.717,0.671,2600,1.975,8.667,0.667
900,8,12,0.2,0.25,0.2,2,2893,3.352,8.493,0.653,3016,1.760,7.681,0.591,2558,0.839,9.169,0.705,2572,2.421,9.119,0.701
900,8,12,0.2,0.25,0.2,2,4213,4.269,5.758,0.443,3323,3.427,7.298,0.561,3778,1.298,6.379,0.491,3304,3.206,7.267,0.559
900,8,12,0.2,0.25,0.2,2,2698,2.943,9.698,0.746,2481,2.761,10.321,0.794,3927,1.180,6.520,0.502,2349,1.272,11.351,0.873
900,8,12,0.2,0.25,0.2,2,2205,1.156,10.255,0.789,2698,2.015,8.395,0.646,2586,1.035,8.606,0.662,2009,2.434,11.280,0.868
900,8,12,0.2,0.25,0.2,2,1927,1.393,12.728,0.979,2027,1.824,11.652,0.896,2079,0.651,11.774,0.906,1809,2.035,13.453,1.035
900,8,12,0.2,0.25,0.2,2,4107,1.454,5.922,0.456,2926,3.331,8.212,0.632,3847,1.190,5.917,0.455,2638,3.028,8.380,0.645
900,8,12,0.2,0.25,0.2,2,4657,3.207,4.901,0.377,3483,3.595,6.242,0.480,3817,1.546,5.948,0.458,2861,2.989,8.022,0.617
900,8,12,0.2,0.25,0.2,2,2387,1.013,9.551,0.735,1968,1.143,11.581,0.891,2535,0.759,8.993,0.692,2080,1.929,10.829,0.833
900,8,12,0.2,0.25,0.2,3,3313,2.620,10.495,0.807,5309,5.427,6.279,0.483,6162,1.348,5.523,0.425,2842,1.640,11.974,0.921
900,8,12,0.2,0.25,0.2,3,4238,1.637,8.278,0.637,3764,2.049,9.133,0.703,5834,1.251,5.855,0.450,3562,1.837,9.525,0.733
900,8,12,0.2,0.25,0.2,3,4528,1.542,7.961,0.612,3804,0.712,9.363,0.720,8028,2.005,4.439,0.341,3663,1.886,9.937,0.764
900,8,12,0.2,0.25,0.2,3,5433,5.150,6.656,0.512,4346,3.566,8.462,0.651,5601,1.082,6.556,0.504,5532,1.185,6.535,0.503
900,8,12,0.2,0.25,0.2,3,4372,2.684,8.877,0.683,3696,2.303,10.632,0.818,5743,1.179,6.825,0.525,3355,1.250,10.201,0.785
900,8,12,0.2,0.25,0.2,3,3395,1.265,10.062,0.774,3212,1.728,10.843,0.834,3799,0.846,9.122,0.702,3332,2.339,10.363,0.797
900,8,12,0.2,0.25,0.2,3,3372,2.024,10.671,0.821,2580,0.996,13.732,1.056,4611,1.009,7.926,0.610,2721,1.768,13.560,1.043
900,8,12,0.2,0.25,0.2,3,3822,1.620,9.484,0.730,3523,2.049,10.469,0.805,3862,0.969,9.603,0.739,4205,0.899,8.637,0.664
900,8,12,0.2,0.25,0.2,3,4680,4.673,7.370,0.567,4208,2.340,8.196,0.630,5702,0.852,5.971,0.459,4796,2.477,7.121,0.548
900,8,12,0.2,0.25,0.2,3,3347,0.955,10.331,0.795,3083,1.612,11.218,0.863,3799,0.815,9.070,0.698,3234,1.191,10.409,0.801
900,8,12,0.2,0.25,0.2,4,3882,1.667,11.761,0.905,6801,3.836,6.757,0.520,6348,0.967,7.091,0.545,3606,2.052,12.577,0.967
900,8,12,0.2,0.25,0.2,4,6733,1.616,6.906,0.531,4007,1.515,11.611,0.893,5160,0.836,8.939,0.688,4520,1.785,10.206,0.785
900,8,12,0.2,0.25,0.2,4,5153,1.306,9.307,0.716,5270,1.253,9.103,0.700,7706,1.225,6.165,0.474,5124,2.285,9.339,0.718
900,8,12,0.2,0.25,0.2,4,6076,3.449,7.869,0.605,6930,3.921,7.112,0.547,7441,1.188,6.312,0.486,6187,1.938,7.836,0.603
900,8,12,0.2,0.25,0.2,4,6742,2.068,7.601,0.585,4746,1.932,10.803,0.831,7573,1.072,6.825,0.525,4174,1.603,10.967,0.844
900,8,12,0.2,0.25,0.2,4,5449,2.392,8.295,0.638,4644,2.484,9.769,0.751,5076,0.731,8.979,0.691,5410,1.195,8.408,0.647
