podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1000,12,12,0.2,0.25,0.2,2,3174,2.697,5.613,0.432,3868,3.263,4.548,0.350,2654,0.477,6.676,0.514,2861,2.242,6.101,0.469
1000,12,12,0.2,0.25,0.2,2,2134,2.020,7.873,0.606,2010,2.797,8.439,0.649,2344,0.477,7.325,0.563,1789,1.739,9.682,0.745
1000,12,12,0.2,0.25,0.2,2,2176,1.927,9.167,0.705,2392,2.574,8.354,0.643,3942,0.807,4.800,0.369,1819,0.913,10.402,0.800
1000,12,12,0.2,0.25,0.2,2,3232,3.870,6.790,0.522,3559,3.928,6.165,0.474,2773,0.680,7.717,0.594,4790,5.252,4.581,0.352
1000,12,12,0.2,0.25,0.2,2,2811,2.223,7.739,0.595,5441,4.427,3.899,0.300,3937,1.022,5.406,0.416,2473,2.082,8.804,0.677
1000,12,12,0.2,0.25,0.2,2,2404,1.169,7.046,0.542,1951,0.949,8.680,0.668,1813,0.353,9.648,0.742,1891,0.980,9.374,0.721
1000,12,12,0.2,0.25,0.2,2,2060,1.822,9.162,0.705,2594,3.041,7.309,0.562,1960,0.523,9.578,0.737,1616,0.999,11.649,0.896
1000,12,12,0.2,0.25,0.2,2,1990,0.671,9.428,0.725,2020,1.865,9.489,0.730,1833,0.345,10.328,0.794,2005,1.209,9.359,0.720
1000,12,12,0.2,0.25,0.2,2,2137,1.939,8.211,0.632,1801,1.763,9.304,0.716,1819,0.415,9.211,0.709,2226,3.283,7.529,0.579
1000,12,12,0.2,0.25,0.2,2,2392,1.815,7.221,0.555,2199,1.937,7.857,0.604,2693,0.647,6.414,0.493,1714,0.926,10.075,0.775
1000,12,12,0.2,0.25,0.2,3,4896,4.450,5.357,0.412,6374,2.661,4.088,0.314,4057,0.611,6.403,0.493,4760,2.193,5.436,0.418
1000,12,12,0.2,0.25,0.2,3,5331,4.405,4.917,0.378,2914,0.956,8.785,0.676,4339,0.569,6.086,0.468,3692,1.112,7.102,0.546
1000,12,12,0.2,0.25,0.2,3,3070,1.163,9.467,0.728,3273,1.176,8.960,0.689,5845,0.946,4.860,0.374,2651,1.073,10.716,0.824
1000,12,12,0.2,0.25,0.2,3,4582,3.094,7.082,0.545,4709,2.961,6.881,0.529,3999,0.603,8.058,0.620,4972,3.208,6.526,0.502
1000,12,12,0.2,0.25,0.2,3,5148,2.205,6.445,0.496,4450,0.520,7.455,0.573,4194,0.562,7.631,0.587,4395,1.652,7.272,0.559
1000,12,12,0.2,0.25,0.2,3,3032,1.935,8.660,0.666,2691,1.719,9.744,0.750,2684,0.346,9.584,0.737,2648,2.024,9.903,0.762
1000,12,12,0.2,0.25,0.2,3,2611,1.547,10.819,0.832,2444,1.313,11.732,0.902,2828,0.434,10.180,0.783,4089,2.268,7.062,0.543
1000,12,12,0.2,0.25,0.2,3,3484,1.806,8.017,0.617,2677,1.703,10.636,0.818,2716,0.361,10.253,0.789,2517,1.873,11.112,0.855
1000,12,12,0.2,0.25,0.2,3,3894,4.135,6.601,0.508,3269,3.472,7.862,0.605,2775,0.471,9.350,0.719,3604,2.061,7.200,0.554
1000,12,12,0.2,0.25,0.2,3,2833,1.857,9.216,0.709,3201,1.819,8.091,0.622,2850,0.424,9.161,0.705,2579,1.918,10.127,0.779
1000,12,12,0.2,0.25,0.2,4,9686,3.586,3.595,0.277,7091,2.890,4.981,0.383,5330,0.608,6.542,0.503,6471,4.654,5.387,0.414
1000,12,12,0.2,0.25,0.2,4,6350,3.195,5.499,0.423,4233,2.395,8.063,0.620,4182,0.508,8.348,0.642,4311,2.262,8.098,0.623
1000,12,12,0.2,0.25,0.2,4,3947,1.177,9.911,0.762,4993,1.130,7.711,0.593,7722,0.896,5.000,0.385,4065,1.814,9.488,0.730
1000,12,12,0.2,0.25,0.2,4,6288,3.335,6.817,0.524,7814,1.304,5.532,0.426,5362,0.645,8.015,0.617,7889,0.963,5.450,0.419
1000,12,12,0.2,0.25,0.2,4,5387,1.848,8.070,0.621,7136,2.983,6.005,0.462,5732,0.641,7.593,0.584,9560,3.505,4.407,0.339
1000,12,12,0.2,0.25,0.2,4,3848,0.552,8.934,0.687,3633,2.247,9.464,0.728,3645,0.368,9.580,0.737,3970,2.217,8.944,0.688
1000,12,12,0.2,0.25,0.2,4,3856,1.431,9.810,0.755,3403,1.536,11.202,0.862,3711,0.356,10.152,0.781,3180,1.102,11.838,0.911
1000,12,12,0.2,0.25,0.2,4,4358,2.745,8.577,0.660,3968,0.619,9.409,0.724,3700,0.387,10.193,0.784,3820,2.204,9.825,0.756
1000,12,12,0.2,0.25,0.2,4,4805,2.241,7.200,0.554,4368,1.706,7.991,0.615,3685,0.405,9.395,0.723,4743,1.425,7.301,0.562
1000,12,12,0.2,0.25,0.2,4,3879,1.094,9.085,0.699,4331,1.301,8.004,0.616,3674,0.444,9.165,0.705,3798,2.013,9.224,0.710
1000,12,12,0.2,0.25,0.5,2,3043,0.938,5.758,0.443,3693,3.240,4.892,0.376,2736,0.539,6.425,0.494,3448,1.182,5.099,0.392
1000,12,12,0.2,0.25,0.5,2,2076,1.964,8.096,0.623,2035,2.152,8.258,0.635,2819,0.546,5.961,0.459,2006,2.876,8.376,0.644
1000,12,12,0.2,0.25,0.5,2,2460,0.844,8.002,0.616,2660,1.663,7.129,0.548,3890,0.799,4.850,0.373,2290,1.224,8.572,0.659
1000,12,12,0.2,0.25,0.5,2,2933,1.525,7.490,0.576,2908,1.668,7.581,0.583,2704,0.562,8.114,0.624,3741,4.045,5.719,0.440
1000,12,12,0.2,0.25,0.5,2,2625,1.067,8.104,0.623,3197,2.762,6.796,0.523,2805,0.559,7.469,0.575,2472,2.311,8.921,0.686
1000,12,12,0.2,0.25,0.5,2,2799,3.201,6.145,0.473,2407,1.212,7.201,0.554,1821,0.354,9.302,0.716,1881,0.979,9.004,0.693
1000,12,12,0.2,0.25,0.5,2,2020,1.418,9.293,0.715,1642,1.220,11.432,0.879,1857,0.401,10.250,0.788,1616,1.205,11.880,0.914
1000,12,12,0.2,0.25,0.5,2,1979,2.094,9.720,0.748,2008,1.853,9.168,0.705,1882,0.391,9.955,0.766,1969,2.068,9.516,0.732
1000,12,12,0.2,0.25,0.5,2,2694,2.637,6.460,0.497,2284,2.807,7.742,0.596,1858,0.478,9.018,0.694,2395,3.049,7.215,0.555
1000,12,12,0.2,0.25,0.5,2,2182,1.016,7.960,0.612,1853,1.884,9.321,0.717,2698,0.648,6.612,0.509,1640,1.477,10.633,0.818
1000,12,12,0.2,0.25,0.5,3,4069,1.462,6.660,0.512,7145,1.764,3.793,0.292,4204,0.611,6.190,0.476,4432,4.039,6.203,0.477
1000,12,12,0.2,0.25,0.5,3,3064,2.033,8.572,0.659,2837,1.509,9.216,0.709,4311,0.661,6.044,0.465,2869,1.935,9.040,0.695
1000,12,12,0.2,0.25,0.5,3,3094,1.462,9.754,0.750,3780,1.762,7.550,0.581,5956,0.884,4.931,0.379,3279,1.281,8.857,0.681
1000,12,12,0.2,0.25,0.5,3,4494,2.122,7.135,0.549,4782,3.067,6.775,0.521,4059,0.646,7.898,0.608,5005,1.924,6.629,0.510
1000,12,12,0.2,0.25,0.5,3,5108,1.883,6.494,0.500,4463,0.509,7.285,0.560,4017,0.583,7.799,0.600,6799,3.046,4.843,0.373
1000,12,12,0.2,0.25,0.5,3,3234,1.646,8.108,0.624,2680,1.712,9.677,0.744,2780,0.419,11.162,0.859,2524,2.411,10.390,0.799
1000,12,12,0.2,0.25,0.5,3,3034,1.480,9.450,0.727,2582,1.387,11.103,0.854,2827,0.380,10.109,0.778,2422,2.038,11.750,0.904
1000,12,12,0.2,0.25,0.5,3,3113,2.500,8.407,0.647,2997,1.879,9.354,0.720,2792,0.408,10.019,0.771,2993,0.491,9.294,0.715
1000,12,12,0.2,0.25,0.5,3,2831,2.184,9.112,0.701,3007,2.296,8.506,0.654,2789,0.394,9.215,0.709,3212,2.076,8.065,0.620
1000,12,12,0.2,0.25,0.5,3,3034,0.929,8.541,0.657,2640,1.143,10.005,0.770,2815,0.408,9.319,0.717,2645,1.636,9.624,0.740
1000,12,12,0.2,0.25,0.5,4,9231,1.664,3.827,0.294,8644,4.977,4.034,0.310,5407,0.526,6.439,0.495,7018,2.305,5.041,0.388
1000,12,12,0.2,0.25,0.5,4,5416,2.835,7.331,0.564,4188,1.947,8.272,0.636,3659,0.382,9.540,0.734,4265,2.238,8.072,0.621
1000,12,12,0.2,0.25,0.5,4,5205,1.594,7.491,0.576,6593,2.275,5.942,0.457,5514,0.579,7.167,0.551,3606,1.988,10.707,0.824
1000,12,12,0.2,0.25,0.5,4,7404,2.056,5.838,0.449,7670,2.842,5.539,0.426,5373,0.577,7.960,0.612,6255,1.031,6.910,0.532
1000,12,12,0.2,0.25,0.5,4,5642,2.726,7.689,0.591,5185,2.415,8.367,0.644,5734,0.641,7.598,0.584,5183,1.881,8.460,0.651
1000,12,12,0.2,0.25,0.5,4,5944,1.839,5.839,0.449,4612,3.075,7.706,0.593,3576,0.375,9.614,0.740,4788,2.317,7.181,0.552
1000,12,12,0.2,0.25,0.5,4,4173,1.398,9.140,0.703,3052,1.423,12.473,0.959,4206,0.437,8.937,0.687,3287,1.498,11.417,0.878
1000,12,12,0.2,0.25,0.5,4,3811,0.812,9.832,0.756,3714,2.141,10.070,0.775,3674,0.414,10.122,0.779,4229,0.832,8.870,0.682
1000,12,12,0.2,0.25,0.5,4,4599,1.743,7.531,0.579,3703,1.259,9.441,0.726,3715,0.408,9.130,0.702,2785,0.965,12.433,0.956
1000,12,12,0.2,0.25,0.5,4,4171,1.176,8.412,0.647,3921,1.392,8.948,0.688,3897,0.426,8.933,0.687,3424,1.816,10.246,0.788
1000,12,12,0.2,0.25,2.0,2,3796,4.987,4.628,0.356,3323,2.359,5.403,0.416,2765,0.624,6.358,0.489,3587,3.414,4.849,0.373
1000,12,12,0.2,0.25,2.0,2,2134,0.312,7.875,0.606,2073,2.370,8.108,0.624,2795,0.622,6.125,0.471,1963,1.151,8.942,0.688
1000,12,12,0.2,0.25,2.0,2,2465,2.834,7.629,0.587,1832,0.807,10.847,0.834,2830,0.704,6.798,0.523,1811,0.719,10.766,0.828
1000,12,12,0.2,0.25,2.0,2,4697,4.821,4.672,0.359,3812,2.338,5.721,0.440,2717,0.632,7.817,0.601,2723,2.976,7.994,0.615
1000,12,12,0.2,0.25,2.0,2,3063,2.249,7.106,0.547,3217,2.238,6.767,0.521,2819,0.552,7.616,0.586,4034,2.286,5.377,0.414
1000,12,12,0.2,0.25,2.0,2,2212,1.597,7.865,0.605,2024,1.166,8.462,0.651,2205,0.453,7.824,0.602,1916,2.191,9.031,0.695
1000,12,12,0.2,0.25,2.0,2,2040,1.354,9.204,0.708,2591,2.379,7.246,0.557,1813,0.337,10.356,0.797,1690,1.562,11.270,0.867
1000,12,12,0.2,0.25,2.0,2,2068,2.138,9.028,0.694,2245,2.072,8.238,0.634,1843,0.347,10.165,0.782,2184,2.293,8.579,0.660
1000,12,12,0.2,0.25,2.0,2,1772,2.526,9.969,0.767,2123,1.862,8.186,0.630,1821,0.418,9.202,0.708,2234,2.015,7.501,0.577
1000,12,12,0.2,0.25,2.0,2,2043,0.762,8.455,0.650,1943,0.746,8.783,0.676,1995,0.404,8.399,0.646,1728,2.003,9.994,0.769
1000,12,12,0.2,0.25,2.0,3,4702,0.555,5.764,0.443,5953,4.218,4.382,0.337,4072,0.680,6.633,0.510,4269,2.024,6.071,0.467
1000,12,12,0.2,0.25,2.0,3,3464,1.313,7.494,0.576,5470,2.742,4.794,0.369,4297,0.601,6.036,0.464,4659,2.855,5.619,0.432
